date,open,high,low,close,volume
1987-11-05,0.0097,0.0097,0.0083,0.0083,1000
1987-11-06,0.0083,0.0097,0.0083,0.0083,1200
1987-11-09,0.0083,0.0083,0.0083,0.0083,800
1987-11-10,0.0083,0.0083,0.0083,0.0083,2800
1987-11-11,0.0083,0.0083,0.0083,0.0083,1200
1987-11-12,0.0083,0.0083,0.0083,0.0083,3600
1987-11-13,0.0083,0.0083,0.0083,0.0083,1000
1987-11-16,0.0083,0.0083,0.0069,0.0083,4400
1987-11-17,0.0083,0.0083,0.0069,0.0083,7800
1987-11-18,0.0083,0.0083,0.0083,0.0083,600
1987-11-19,0.0083,0.0083,0.0083,0.0083,2200
1987-11-20,0.0083,0.0083,0.0083,0.0083,1800
1987-11-23,0.0083,0.0083,0.0083,0.0083,1600
1987-11-24,0.0083,0.0083,0.0083,0.0083,2000
1987-11-25,0.0083,0.0083,0.0083,0.0083,1600
1987-11-27,0.0083,0.0083,0.0069,0.0083,6400
1987-11-30,0.0083,0.0083,0.0083,0.0083,400
1987-12-01,0.0083,0.0083,0.0083,0.0083,1000
1987-12-02,0.0083,0.0083,0.0083,0.0083,3000
1987-12-03,0.0083,0.0083,0.0077,0.0083,2800
1987-12-04,0.0077,0.0077,0.0077,0.0077,1800
1987-12-07,0.0077,0.0077,0.0077,0.0077,1400
1987-12-08,0.0069,0.0069,0.0069,0.0069,1400
1987-12-09,0.0069,0.0077,0.0069,0.0069,3400
1987-12-10,0.0077,0.0083,0.0077,0.0077,4000
1987-12-11,0.0077,0.0077,0.0077,0.0077,1400
1987-12-14,0.0069,0.0069,0.0069,0.0069,6400
1987-12-15,0.0069,0.0083,0.0069,0.0069,14000
1987-12-16,0.0077,0.0077,0.0077,0.0077,2600
1987-12-17,0.0077,0.0083,0.0077,0.0077,4000
1987-12-18,0.0077,0.0077,0.0077,0.0077,1200
1987-12-21,0.0077,0.0097,0.0077,0.0077,800
1987-12-22,0.0097,0.0097,0.0077,0.0083,3200
1987-12-23,0.0083,0.0097,0.0083,0.0083,1800
1987-12-24,0.0083,0.0083,0.0083,0.0083,1000
1987-12-28,0.0083,0.0097,0.0083,0.0083,1000
1987-12-29,0.0083,0.0097,0.0083,0.0083,4400
1987-12-30,0.0077,0.0097,0.0077,0.0083,6000
1987-12-31,0.0083,0.0104,0.0083,0.0083,2000
1988-01-04,0.0111,0.0111,0.0090,0.0090,1200
1988-01-05,0.0104,0.0104,0.0090,0.0090,1800
1988-01-06,0.0090,0.0097,0.0090,0.0090,2800
1988-01-07,0.0083,0.0083,0.0083,0.0083,400
1988-01-08,0.0090,0.0097,0.0083,0.0083,2800
1988-01-11,0.0090,0.0090,0.0090,0.0090,1000
1988-01-12,0.0090,0.0090,0.0083,0.0083,1000
1988-01-13,0.0083,0.0097,0.0083,0.0097,200
1988-01-14,0.0097,0.0097,0.0090,0.0097,3200
1988-01-15,0.0097,0.0097,0.0097,0.0097,1000
1988-01-18,0.0083,0.0083,0.0083,0.0083,1000
1988-01-19,0.0083,0.0104,0.0083,0.0083,5200
1988-01-20,0.0090,0.0104,0.0090,0.0090,600
1988-01-21,0.0090,0.0097,0.0090,0.0097,1000
1988-01-22,0.0097,0.0104,0.0090,0.0097,6200
1988-01-25,0.0097,0.0097,0.0097,0.0097,0
1988-01-26,0.0097,0.0097,0.0090,0.0097,400
1988-01-27,0.0090,0.0097,0.0083,0.0090,2200
1988-01-28,0.0083,0.0097,0.0083,0.0090,8000
1988-01-29,0.0090,0.0097,0.0083,0.0097,1600
1988-02-01,0.0090,0.0097,0.0083,0.0083,2800
1988-02-02,0.0083,0.0083,0.0083,0.0083,0
1988-02-03,0.0083,0.0083,0.0083,0.0083,2600
1988-02-04,0.0090,0.0097,0.0083,0.0097,2000
1988-02-05,0.0097,0.0097,0.0090,0.0097,2600
1988-02-08,0.0097,0.0097,0.0083,0.0097,5600
1988-02-09,0.0097,0.0097,0.0090,0.0097,600
1988-02-10,0.0090,0.0097,0.0090,0.0097,800
1988-02-11,0.0104,0.0104,0.0090,0.0104,3600
1988-02-12,0.0097,0.0097,0.0097,0.0097,1800
1988-02-16,0.0104,0.0104,0.0097,0.0097,1200
1988-02-17,0.0097,0.0097,0.0097,0.0097,9000
1988-02-18,0.0090,0.0104,0.0090,0.0104,1200
1988-02-19,0.0090,0.0090,0.0090,0.0090,1200
1988-02-22,0.0090,0.0090,0.0090,0.0090,200
1988-02-23,0.0090,0.0097,0.0090,0.0090,1200
1988-02-24,0.0097,0.0097,0.0097,0.0097,1400
1988-02-25,0.0104,0.0104,0.0097,0.0097,1000
1988-02-26,0.0097,0.0097,0.0097,0.0097,0
1988-02-29,0.0104,0.0104,0.0097,0.0097,2000
1988-03-01,0.0097,0.0097,0.0097,0.0097,2600
1988-03-02,0.0090,0.0090,0.0090,0.0090,1800
1988-03-03,0.0090,0.0104,0.0090,0.0104,3200
1988-03-04,0.0104,0.0104,0.0097,0.0104,3800
1988-03-07,0.0097,0.0097,0.0097,0.0097,10000
1988-03-08,0.0097,0.0111,0.0097,0.0111,1000
1988-03-09,0.0104,0.0104,0.0097,0.0097,2400
1988-03-10,0.0097,0.0097,0.0097,0.0097,0
