date,open,high,low,close,volume
1995-05-09,3.2789,3.5953,3.2789,3.5054,2350301
1995-05-10,3.5953,3.8182,3.5953,3.7319,4206600
1995-05-11,3.7319,3.8649,3.7319,3.8182,2716601
1995-05-12,3.8182,3.8649,3.7750,3.7750,1416701
1995-05-15,3.7750,3.8182,3.7750,3.7750,1000601
1995-05-16,3.7750,3.8182,3.7319,3.7750,1076100
1995-05-17,3.7750,3.7750,3.6420,3.6852,1304100
1995-05-18,3.6852,3.7750,3.6852,3.7319,375701
1995-05-19,3.7750,3.7750,3.6852,3.7319,370500
1995-05-22,3.9117,4.0914,3.8649,4.0015,1147601
1995-05-23,3.9548,4.0914,3.9117,4.0447,1165200
1995-05-24,4.0447,4.0447,3.9548,3.9548,884700
1995-05-25,3.9548,3.9548,3.8218,3.8649,456401
1995-05-26,3.9117,3.9117,3.8649,3.9117,548501
1995-05-30,3.8649,4.0914,3.7750,4.0015,1342200
1995-05-31,3.9117,4.0447,3.8649,3.9548,1961201
1995-06-01,3.9117,3.9548,3.8218,3.9117,1344900
1995-06-02,3.8649,3.9117,3.8218,3.8649,746100
1995-06-05,3.8649,4.0015,3.8218,3.9548,2864100
1995-06-06,3.9117,4.0015,3.9117,3.9548,1801301
1995-06-07,3.9548,4.0447,3.9117,3.9548,1063800
1995-06-08,3.9548,4.0914,3.9548,4.0015,1294500
1995-06-09,3.9548,4.0447,3.9548,3.9548,1593701
1995-06-12,4.0015,4.0015,3.9548,3.9548,2283600
1995-06-13,3.9117,4.0015,3.9117,4.0015,1550400
1995-06-14,3.9548,4.0447,3.9548,4.0015,1015601
1995-06-15,4.0015,4.1346,4.0015,4.0447,1559700
1995-06-16,4.0447,4.0914,4.0015,4.0015,1113401
1995-06-19,4.0015,4.0914,3.9548,4.0914,1375800
1995-06-20,4.0447,4.1346,4.0015,4.0447,2045501
1995-06-21,4.0447,4.0447,3.9117,3.9117,1594901
1995-06-22,3.9117,3.9548,3.8218,3.8649,2161500
1995-06-23,3.9117,4.0447,3.9117,3.9117,1132001
1995-06-26,3.9117,4.0015,3.8649,3.8649,1278101
