date,open,high,low,close,volume
1970-01-02,3.4678,3.5888,3.4678,3.5888,6400
1970-01-05,3.5888,3.6904,3.5888,3.6694,4000
1970-01-06,3.6694,3.7098,3.6694,3.6694,11100
1970-01-07,3.6694,3.7098,3.6485,3.6694,8600
1970-01-08,3.6694,3.7291,3.6694,3.7291,6100
1970-01-09,3.7291,3.7501,3.6904,3.7291,4000
1970-01-12,3.7291,3.7501,3.6694,3.7291,6000
1970-01-13,3.7291,3.7501,3.6485,3.7098,7900
1970-01-14,3.6904,3.6904,3.6485,3.6485,3300
1970-01-15,3.6485,3.6904,3.6291,3.6694,7500
1970-01-16,3.6291,3.6291,3.5678,3.5888,5100
1970-01-19,3.5888,3.5888,3.5485,3.5485,5600
1970-01-20,3.5485,3.5678,3.4872,3.5291,7200
1970-01-21,3.5291,3.5888,3.5081,3.5485,4400
1970-01-22,3.5485,3.5888,3.5485,3.5485,5400
1970-01-23,3.5485,3.5678,3.4678,3.5081,5300
1970-01-26,3.5081,3.5291,3.4485,3.4678,5200
1970-01-27,3.4678,3.5485,3.4485,3.4485,6100
1970-01-28,3.4678,3.5485,3.4678,3.4872,5700
1970-01-29,3.4872,3.5291,3.4065,3.4275,11300
1970-01-30,3.4275,3.4485,3.4065,3.4485,3700
1970-02-02,3.4485,3.5081,3.4275,3.4678,6800
1970-02-03,3.4678,3.5081,3.4485,3.4678,5200
1970-02-04,3.4678,3.5485,3.4678,3.5081,5800
1970-02-05,3.5081,3.5678,3.4872,3.5291,4300
1970-02-06,3.5291,3.5291,3.4872,3.5291,4800
1970-02-09,3.5291,3.5485,3.4872,3.4872,4500
1970-02-10,3.4872,3.5081,3.4678,3.4678,5300
1970-02-11,3.4678,3.5081,3.4485,3.5081,4000
1970-02-12,3.5081,3.6291,3.4678,3.6291,6800
1970-02-13,3.5888,3.5888,3.4872,3.5081,9200
1970-02-16,3.5081,3.5485,3.4872,3.5081,3500
1970-02-17,3.5081,3.5678,3.5081,3.5485,2900
1970-02-18,3.5678,3.6098,3.5678,3.6098,1700
1970-02-19,3.6098,3.6291,3.5888,3.5888,2400
1970-02-20,3.5888,3.6485,3.5678,3.5888,5300
1970-02-24,3.5888,3.6098,3.5485,3.5678,4100
1970-02-25,3.5678,3.6098,3.5485,3.6098,8000
1970-02-26,3.6098,3.6098,3.5678,3.5888,5600
1970-02-27,3.5888,3.6694,3.5678,3.6485,5400
1970-03-02,3.6485,3.6694,3.5888,3.6098,7100
1970-03-03,3.6291,3.7291,3.6291,3.7291,8100
1970-03-04,3.7291,3.7711,3.6694,3.7291,7600
1970-03-05,3.7291,3.7904,3.7098,3.7711,5900
1970-03-06,3.7711,3.7904,3.7501,3.7711,3900
1970-03-09,3.7711,3.7711,3.6904,3.6904,4900
1970-03-10,3.6904,3.7501,3.6904,3.7291,4400
1970-03-11,3.7291,3.7291,3.5485,3.6485,35300
1970-03-12,3.6291,3.6291,3.5485,3.5888,3000
1970-03-13,3.5888,3.6098,3.5081,3.5678,5400
1970-03-16,3.5678,3.6098,3.5291,3.6098,4600
1970-03-17,3.6098,3.6098,3.5678,3.5678,3100
1970-03-18,3.5678,3.6485,3.5485,3.6291,7300
1970-03-19,3.6098,3.6098,3.5678,3.6098,4400
1970-03-20,3.5485,3.5485,3.5081,3.5081,2400
1970-03-23,3.5081,3.5485,3.5081,3.5291,3400
1970-03-24,3.5291,3.5678,3.5081,3.5678,4200
1970-03-25,3.5678,3.7098,3.5485,3.6904,8100
1970-03-26,3.6904,3.7098,3.6694,3.6904,4300
1970-03-30,3.6904,3.6904,3.5888,3.5888,6400
1970-03-31,3.5888,3.6485,3.5678,3.5888,5000
1970-04-01,3.5888,3.6485,3.5678,3.5678,6200
1970-04-02,3.5678,3.6291,3.5678,3.5888,3700
1970-04-03,3.5888,3.6485,3.5678,3.6098,4300
1970-04-06,3.6098,3.6098,3.5291,3.5888,12400
1970-04-07,3.5888,3.5888,3.5291,3.5678,4900
1970-04-08,3.5678,3.6098,3.5291,3.6098,5500
1970-04-09,3.6098,3.6291,3.5678,3.5888,4200
1970-04-10,3.5888,3.6485,3.5888,3.6485,3100
1970-04-13,3.6485,3.6485,3.5888,3.5888,4600
1970-04-14,3.5888,3.6098,3.5485,3.5485,6700
1970-04-15,3.5485,3.6291,3.5485,3.5678,7500
1970-04-16,3.5678,3.6098,3.5485,3.5485,4300
1970-04-17,3.5485,3.6098,3.5291,3.5678,4600
1970-04-20,3.5678,3.5888,3.5291,3.5888,4300
1970-04-21,3.5888,3.5888,3.5081,3.5291,2800
1970-04-22,3.5291,3.5291,3.4678,3.5081,7400
1970-04-23,3.4678,3.4678,3.3872,3.4275,10900
1970-04-24,3.4275,3.4485,3.2452,3.3259,34100
1970-04-27,3.3468,3.4065,3.3468,3.3678,6000
1970-04-28,3.3678,3.4275,3.2872,3.3065,8500
1970-04-29,3.3065,3.3678,3.2662,3.3065,15900
1970-04-30,3.3065,3.3678,3.3065,3.3468,6100
1970-05-01,3.3468,3.3468,3.3065,3.3259,3500
1970-05-04,3.3259,3.3678,3.3065,3.3259,6500
1970-05-05,3.3259,3.3259,3.2872,3.3065,4500
