date,open,high,low,close,volume
1983-04-06,1.9820,1.9923,1.9820,1.9820,155700
1983-04-07,2.0034,2.0034,1.9708,1.9923,418700
1983-04-08,1.9923,2.0034,1.9923,1.9923,198700
1983-04-11,1.9923,2.0248,1.9923,2.0137,350500
1983-04-12,2.0248,2.0248,2.0034,2.0248,240400
1983-04-13,2.0137,2.0351,2.0034,2.0248,936300
1983-04-14,2.0137,2.0248,1.9923,2.0248,119500
1983-04-15,2.0248,2.0248,2.0034,2.0248,422800
1983-04-18,2.0248,2.0351,2.0137,2.0248,292500
1983-04-19,2.0248,2.0351,2.0137,2.0137,179200
1983-04-20,2.0351,2.0565,2.0248,2.0462,609100
1983-04-21,2.0462,2.0565,2.0137,2.0137,387000
1983-04-22,2.0137,2.0248,1.9923,2.0248,1195800
1983-04-25,2.0248,2.0351,2.0034,2.0248,131700
1983-04-26,2.0248,2.0351,2.0034,2.0351,474500
1983-04-27,2.0351,2.0462,2.0137,2.0137,729600
1983-04-28,2.0137,2.0248,1.9923,2.0034,1434200
1983-04-29,2.0034,2.0137,1.9820,1.9820,867000
1983-05-02,1.9820,1.9923,1.9708,1.9923,482300
1983-05-03,1.9923,2.0137,1.9820,2.0034,1038900
1983-05-04,2.0137,2.0248,2.0034,2.0248,174100
1983-05-05,2.0248,2.0351,2.0034,2.0248,915700
1983-05-06,2.0462,2.0565,2.0248,2.0565,331700
1983-05-09,2.0351,2.0462,1.9280,2.0248,707100
1983-05-10,2.0248,2.0351,2.0137,2.0351,1036600
1983-05-11,2.0351,2.0462,2.0248,2.0248,1592600
1983-05-12,2.0351,2.0462,2.0137,2.0248,551300
1983-05-13,2.0248,2.0351,2.0137,2.0137,2176300
1983-05-16,1.9605,1.9605,1.9494,1.9494,1662500
1983-05-17,1.9494,1.9605,1.9391,1.9494,368900
1983-05-18,1.9494,1.9605,1.9494,1.9605,382200
1983-05-19,1.9494,1.9605,1.9494,1.9605,232200
1983-05-20,1.9605,1.9605,1.9494,1.9605,293200
1983-05-23,1.9494,1.9605,1.9391,1.9605,460200
1983-05-24,1.9708,2.0034,1.9708,1.9923,422400
1983-05-25,1.9923,1.9923,1.9605,1.9605,630000
1983-05-26,1.9605,1.9923,1.9605,1.9708,320300
1983-05-27,1.9708,1.9820,1.9708,1.9820,113100
1983-05-31,1.9708,1.9820,1.9494,1.9708,963400
1983-06-01,1.9708,1.9708,1.9494,1.9605,569400
1983-06-02,1.9708,1.9708,1.9605,1.9708,673200
1983-06-03,1.9820,1.9820,1.9605,1.9708,370500
1983-06-06,1.9708,1.9708,1.9494,1.9605,388900
1983-06-07,1.9708,1.9708,1.9494,1.9605,307400
1983-06-08,1.9605,1.9605,1.9391,1.9391,780100
1983-06-09,1.9494,1.9494,1.9177,1.9280,670200
1983-06-10,1.9280,1.9391,1.9280,1.9391,187900
1983-06-13,1.9494,1.9605,1.9280,1.9605,67200
1983-06-14,1.9391,1.9605,1.9280,1.9391,276900
1983-06-15,1.9494,1.9494,1.9177,1.9494,143100
1983-06-16,1.9494,1.9605,1.9391,1.9494,349200
1983-06-17,1.9494,1.9708,1.9391,1.9605,301000
1983-06-20,1.9494,1.9605,1.9280,1.9391,307200
1983-06-21,1.9391,1.9494,1.8534,1.9391,757800
1983-06-22,1.9494,1.9494,1.9391,1.9494,616700
1983-06-23,1.9391,1.9494,1.9280,1.9391,216100
1983-06-24,1.9391,1.9494,1.9280,1.9280,130500
1983-06-27,1.9280,1.9391,1.9177,1.9391,175200
1983-06-28,1.9177,1.9391,1.9177,1.9391,537100
1983-06-29,1.9391,1.9494,1.9280,1.9391,428600
1983-06-30,1.9391,1.9494,1.9391,1.9494,176600
1983-07-01,1.9605,1.9605,1.9280,1.9280,241100
1983-07-05,1.9177,1.9391,1.9066,1.9280,1415400
1983-07-06,1.9391,1.9494,1.9280,1.9391,95900
1983-07-07,1.9494,1.9605,1.9391,1.9605,312900
1983-07-08,1.9494,1.9605,1.9494,1.9605,338800
1983-07-11,1.9605,1.9923,1.9494,1.9923,121600
1983-07-12,1.9708,1.9923,1.9605,1.9708,126600
1983-07-13,1.9605,1.9923,1.9605,1.9820,252300
1983-07-14,1.9923,2.0034,1.9820,1.9820,650000
1983-07-15,1.9820,1.9820,1.9708,1.9708,526800
1983-07-18,1.9708,1.9923,1.9708,1.9923,190200
1983-07-19,1.9820,2.0137,1.9820,2.0034,429900
1983-07-20,2.0137,2.0351,2.0137,2.0137,420300
1983-07-21,2.0248,2.0248,2.0034,2.0248,93600
1983-07-22,2.0137,2.0248,2.0034,2.0137,781500
1983-07-25,2.0034,2.0137,1.9923,2.0034,172300
1983-07-26,2.0034,2.0034,1.9923,2.0034,484100
1983-07-27,2.0034,2.0034,1.9820,1.9820,1094200
1983-07-28,1.9923,1.9923,1.9391,1.9391,108000
1983-07-29,1.9494,1.9494,1.9280,1.9494,1906900
1983-08-01,1.9391,1.9494,1.9177,1.9391,237900
1983-08-02,1.9605,1.9923,1.9605,1.9708,1225700
