date,open,high,low,close,volume
1992-03-17,3.1817,3.1817,3.0933,3.1375,31200
1992-03-18,3.1375,3.1375,3.1375,3.1375,200
1992-03-19,3.0933,3.0933,3.0491,3.0491,10000
1992-03-20,3.0491,3.0491,3.0491,3.0491,1400
1992-03-23,3.0491,3.0933,3.0491,3.0933,10200
1992-03-24,3.1375,3.1375,3.0933,3.0933,2000
1992-03-25,3.0933,3.1375,3.0933,3.1375,22000
1992-03-26,3.1375,3.1817,3.1375,3.1817,2400
1992-03-27,3.1375,3.2259,3.0933,3.0933,56400
1992-03-30,3.1375,3.1375,3.0491,3.0491,38600
1992-03-31,3.0049,3.0491,3.0049,3.0491,2800
1992-04-01,2.9607,3.0933,2.9607,2.9607,45000
1992-04-02,2.9607,2.9607,2.9607,2.9607,19600
1992-04-03,2.9607,2.9607,2.9607,2.9607,20400
1992-04-06,2.9607,2.9607,2.9607,2.9607,2200
1992-04-07,3.0049,3.0049,2.9607,2.9607,30000
1992-04-08,2.9607,2.9607,2.9607,2.9607,61400
1992-04-09,2.9607,3.0049,2.9607,3.0049,27200
1992-04-10,2.9607,3.0491,2.9607,3.0049,18000
1992-04-13,2.9607,3.0049,2.9607,3.0049,20600
1992-04-14,3.0049,3.0049,3.0049,3.0049,0
1992-04-15,2.9607,2.9607,2.9607,2.9607,1400
1992-04-16,3.0491,3.0491,3.0049,3.0049,3000
1992-04-20,3.0491,3.0491,2.9607,2.9607,6800
1992-04-21,2.9165,2.9165,2.9165,2.9165,37400
1992-04-22,2.8723,2.8723,2.8282,2.8282,7600
1992-04-23,2.8282,2.8282,2.8282,2.8282,800
1992-04-24,2.7840,2.9607,2.7840,2.9607,48600
1992-04-27,3.0049,3.0491,3.0049,3.0491,25400
1992-04-28,3.0491,3.0491,3.0491,3.0491,2200
1992-04-29,3.0491,3.0491,3.0049,3.0491,6400
1992-04-30,3.0049,3.1817,3.0049,3.1817,6000
1992-05-01,3.1817,3.1817,3.1817,3.1817,0
1992-05-04,3.1817,3.1817,3.1817,3.1817,8800
1992-05-05,3.1817,3.1817,3.1817,3.1817,7000
1992-05-06,3.1817,3.1817,3.1817,3.1817,7000
1992-05-07,3.2701,3.3142,3.2259,3.3142,13200
1992-05-08,3.3584,3.3584,3.3142,3.3142,5200
1992-05-11,3.3142,3.3584,3.3142,3.3584,12400
1992-05-12,3.3142,3.3142,3.3142,3.3142,20800
1992-05-13,3.3584,3.3584,3.3584,3.3584,1600
1992-05-14,3.4468,3.4468,3.4026,3.4026,5600
1992-05-15,3.4026,3.4026,3.4026,3.4026,2800
1992-05-18,3.4026,3.4026,3.4026,3.4026,8400
1992-05-19,3.4468,3.9347,3.4468,3.9347,37000
1992-05-20,3.8887,3.9771,3.8463,3.9771,44200
1992-05-21,3.9347,3.9347,3.7579,3.8003,55600
1992-05-22,3.8463,3.8463,3.8003,3.8003,2400
1992-05-26,3.8003,3.9771,3.8003,3.9771,14600
1992-05-27,3.9771,3.9771,3.8003,3.8003,18400
