date,open,high,low,close,volume
2017-04-03,57.3770,59.4546,56.0858,56.2430,34496446
2017-04-04,56.7645,58.4572,56.3755,57.4432,6991755
2017-04-05,57.9150,60.1250,57.6170,59.4215,5244219
2017-04-06,60.1912,62.1529,60.0505,61.8135,9425095
2017-04-07,61.5818,63.1048,61.5735,62.7985,3981631
2017-04-10,62.8234,63.0386,61.1183,61.8384,3184751
2017-04-11,61.3417,62.2274,60.8700,61.4825,2928972
2017-04-12,61.2838,63.5269,61.2507,63.0137,3587192
2017-04-13,62.6495,64.0153,62.5088,63.3283,2960952
2017-04-17,63.5683,64.5533,63.5683,63.7338,2065550
2017-04-18,63.4855,63.6014,61.8880,62.4012,3131160
2017-04-19,63.0386,63.0386,61.8301,62.2853,3219498
2017-04-20,62.5088,62.7240,61.9791,62.4840,2624505
2017-04-21,62.6744,63.3365,62.0867,63.1710,2727860
2017-04-24,63.7090,63.7587,62.4343,62.6495,2156462
2017-04-25,62.4178,63.2538,62.1529,63.0137,2329355
2017-04-26,63.1793,63.5269,62.6164,63.0220,1566573
2017-04-27,63.1793,63.2951,62.3681,62.8068,1185210
2017-04-28,62.8068,62.8068,62.0453,62.3598,2007802
2017-05-01,62.3929,63.5683,62.0370,63.2372,2962259
2017-05-02,63.2620,64.5036,63.1131,63.7173,2209133
2017-05-03,63.6014,65.0582,63.1793,63.9573,3073638
2017-05-04,64.4622,64.8181,64.1642,64.1974,2271897
2017-05-05,64.3877,64.9589,63.7752,64.8844,1005264
2017-05-08,64.6774,64.9175,64.1560,64.9009,1162570
2017-05-09,66.1590,66.2418,65.2568,65.3893,3522470
2017-05-10,65.4389,66.1011,65.4389,65.8942,2693431
2017-05-11,65.5714,65.8197,65.3644,65.7369,1775586
2017-05-12,65.7617,65.9107,65.4886,65.9024,1044019
2017-05-15,65.9190,66.7136,65.9190,66.6557,1856193
2017-05-16,66.7881,66.9040,66.4570,66.7053,1717816
2017-05-17,66.2418,66.3660,64.9878,65.2072,2145461
2017-05-18,65.1409,65.2982,64.3463,64.6609,3752918
2017-05-19,64.6278,65.4141,64.5119,64.6195,1731802
2017-05-22,64.6443,65.0416,64.2637,64.9589,1527982
2017-05-23,64.9340,65.2899,64.6857,64.7850,1091391
2017-05-24,65.0168,65.1625,64.0649,64.5202,1178954
2017-05-25,65.0085,65.8445,64.5781,65.0913,1700205
2017-05-26,65.8114,66.4901,63.8745,65.1078,2372728
2017-05-30,64.6443,65.0582,63.9573,64.8430,1997347
2017-05-31,64.7519,65.0913,64.0004,64.1642,2395551
2017-06-01,63.9822,64.4126,63.5352,63.8497,1719613
2017-06-02,63.7338,64.7602,63.1462,64.2222,2123220
2017-06-05,64.0235,64.6443,63.7090,64.3546,1675887
2017-06-06,64.1642,64.5533,63.6014,63.6262,2007454
2017-06-07,63.6345,63.9408,63.2124,63.5435,1140478
2017-06-08,63.5683,63.6436,62.7075,63.0303,1493799
2017-06-09,62.9739,63.3805,61.6547,62.3102,2288499
2017-06-12,62.0032,63.0154,61.3477,62.6835,2434160
2017-06-13,62.5757,63.0237,62.1442,62.9988,2087220
2017-06-14,63.0569,63.2145,61.9451,62.0530,1194670
2017-06-15,61.4473,61.8704,61.1901,61.4805,1710796
2017-06-16,61.0905,62.2106,60.9910,62.0945,2555736
2017-06-19,62.2272,63.7787,62.1442,63.6460,1683401
2017-06-20,63.3971,63.5049,62.7872,62.9905,1499980
2017-06-21,63.0569,63.8783,62.8827,63.4054,2000389
2017-06-22,63.5049,63.8866,63.1581,63.6543,1044465
2017-06-23,63.2809,65.1062,63.1067,65.0980,10491712
2017-06-26,64.7578,65.8032,64.6001,65.4215,2848008
2017-06-27,65.1643,65.7534,64.3014,64.3180,2011750
2017-06-28,64.6333,65.1975,64.1023,65.0482,2146986
2017-06-29,64.8739,65.4215,64.2766,65.1643,1999164
2017-06-30,64.8988,65.3640,63.6543,63.6543,1825589
2017-07-03,63.6875,63.7621,62.9241,63.0154,1217374
2017-07-05,63.0154,63.6128,62.9573,63.2560,1780607
2017-07-06,63.2228,63.6377,62.7582,63.4800,1941737
2017-07-07,63.4800,64.4259,63.4386,64.2683,842897
2017-07-10,64.1853,64.9237,63.9945,64.5918,2193458
2017-07-11,64.6499,64.7578,64.1687,64.4923,1945827
2017-07-12,64.9237,65.5294,64.6499,65.2805,967200
2017-07-13,65.2805,65.4879,64.6959,65.1809,1008611
2017-07-14,65.3966,65.3966,64.6499,65.1394,1411719
2017-07-17,65.1477,65.1892,64.4259,64.8905,1481771
2017-07-18,64.9154,65.0067,64.5006,64.6997,1719104
2017-07-19,64.7163,65.3054,64.5255,65.3054,1756210
2017-07-20,65.1477,65.4381,64.7910,65.2473,806270
2017-07-21,65.1560,66.6744,65.1560,66.3259,1610212
2017-07-24,66.3757,66.6993,66.0604,66.5831,1412060
2017-07-25,66.6661,66.9813,66.3591,66.4255,790060
2017-07-26,66.4255,66.6993,66.2512,66.4255,1064025
2017-07-27,66.5582,66.6163,64.1936,65.1145,1797975
2017-07-28,65.0565,65.4547,64.9984,65.0731,898616
2017-07-31,65.1643,65.5460,64.6831,65.0316,987671
2017-08-01,65.3386,65.8696,65.0648,65.8198,1065878
2017-08-02,65.5211,65.7534,64.6001,64.8076,1011471
2017-08-03,65.0233,65.2556,64.7163,65.0814,858624
2017-08-04,65.1228,65.5045,65.0482,65.3137,833086
2017-08-07,65.2556,65.7534,65.2390,65.4381,1219051
2017-08-08,65.0980,65.7866,64.1023,64.2931,2747431
2017-08-09,66.1102,70.1093,66.1019,68.8482,4614808
2017-08-10,68.1927,68.4914,66.9565,67.4294,2464145
2017-08-11,67.5870,68.2010,67.0809,68.0766,1552154
2017-08-14,68.7071,70.0595,68.4499,69.8853,2421380
2017-08-15,70.0678,71.0967,69.5285,70.8146,2206463
2017-08-16,70.8229,71.4202,70.4910,71.1796,1491771
2017-08-17,70.9390,71.1796,69.3377,69.3460,1772747
2017-08-18,69.2962,69.8023,68.6988,69.1469,1782636
2017-08-21,69.1718,69.4290,68.7403,69.0888,1093487
2017-08-22,69.2796,71.0137,69.2796,70.9473,1946184
2017-08-23,70.4661,70.7108,70.0263,70.5822,2261974
2017-08-24,70.9390,71.1855,70.4661,70.5491,1123512
2017-08-25,70.8394,71.0220,70.3084,70.4246,771416
2017-08-28,70.4329,70.5822,69.7940,70.3499,737182
2017-08-29,69.9517,70.4744,69.8023,70.2753,853101
2017-08-30,70.1840,70.3292,69.7608,70.0512,754264
2017-08-31,70.4246,70.7565,70.0429,70.5242,1503285
2017-09-01,70.7818,70.9896,70.3037,70.5988,754617
2017-09-05,70.3494,71.2640,70.0418,70.2081,1390966
2017-09-06,70.1997,70.6071,69.5346,69.8505,1216776
2017-09-07,70.0584,70.1249,69.4431,70.1166,1698718
2017-09-08,70.0833,70.3286,69.4930,69.9836,1669809
2017-09-11,70.5406,71.3887,69.9919,70.8815,2988096
2017-09-12,71.1476,71.7462,71.0561,71.4303,2038420
2017-09-13,71.3388,71.3388,70.4575,70.9730,2688694
2017-09-14,70.6570,71.3555,70.2580,71.0062,2410018
2017-09-15,71.3222,71.3638,70.6404,70.7319,2249700
2017-09-18,70.7402,70.9979,70.4492,70.5489,1269464
2017-09-19,70.5905,70.7152,70.3910,70.4824,832947
2017-09-20,70.4741,70.9314,70.0584,70.5822,1990252
2017-09-21,70.2746,70.9979,70.1166,70.5406,1383445
2017-09-22,70.1914,71.4968,70.0501,71.0977,2674002
2017-09-25,70.9480,71.1559,69.6759,70.3161,1644456
2017-09-26,70.2247,70.2912,69.7341,69.8588,925282
2017-09-27,70.3411,70.7354,69.9752,70.3577,1079411
2017-09-28,70.0501,70.6487,69.7840,70.4991,946923
2017-09-29,70.2746,71.5301,70.1832,71.4053,1477010
2017-10-02,71.4053,72.1287,70.7069,70.9647,1879726
2017-10-03,70.9813,71.2806,70.6737,70.7651,1131488
2017-10-04,70.7651,71.1892,70.5467,71.0894,742591
2017-10-05,71.0644,71.6174,70.8483,71.3222,1826940
2017-10-06,71.3970,72.7024,71.1210,72.7024,2213752
2017-10-09,73.0017,74.4310,72.7274,73.5089,1915874
2017-10-10,73.5172,73.7749,72.9768,73.2429,1569049
2017-10-11,73.0267,73.1597,72.3865,72.8770,2024394
2017-10-12,76.5437,77.6579,74.4152,75.8287,4302166
2017-10-13,76.1613,76.4855,75.6208,75.6957,2026531
2017-10-16,75.7123,76.3276,75.5378,76.0698,1740611
2017-10-17,75.9867,76.6851,75.8037,76.5853,2411484
2017-10-18,77.0343,77.0509,76.1363,76.1363,1374701
2017-10-19,75.6624,75.7372,74.9307,75.6873,1947624
2017-10-20,76.0948,76.4107,75.7372,76.4024,1549360
2017-10-23,76.7267,76.9927,76.0282,76.0698,789622
2017-10-24,75.9950,76.1446,75.7289,76.0033,737202
2017-10-25,75.7871,75.9950,75.1053,75.3714,871504
2017-10-26,75.9201,75.9783,75.2467,75.6042,638377
2017-10-27,75.6957,76.9345,75.0554,76.4190,968820
2017-10-30,76.2195,76.2195,75.1968,75.8121,947046
2017-10-31,75.8703,76.4024,75.3548,76.0948,1017224
2017-11-01,76.4855,76.9345,75.5709,76.0781,1145780
2017-11-02,75.7206,76.0324,75.2633,75.4046,1608127
2017-11-03,75.3797,76.2694,74.9557,76.0365,1317803
2017-11-06,75.7954,77.4999,75.7414,77.3419,1495044
2017-11-07,77.2920,77.3170,76.1737,76.9345,3181382
2017-11-08,80.6511,82.3140,79.4372,80.4433,4181354
2017-11-09,80.3185,80.8174,78.5392,78.6806,2212108
2017-11-10,78.6473,79.9153,78.6141,79.7698,1290133
2017-11-13,79.7365,81.1833,79.5204,80.4848,1902403
2017-11-14,80.4017,80.4931,79.2293,79.6201,1066120
2017-11-15,79.2875,80.0442,78.6224,79.8114,1152488
2017-11-16,79.9194,81.1916,79.8197,80.9172,1416836
2017-11-17,80.5597,80.8174,80.2271,80.5680,1097375
2017-11-20,80.6511,82.1228,80.4849,81.4077,977318
2017-11-21,81.9233,82.6799,81.4439,82.3307,1260705
2017-11-22,82.1561,82.1651,81.1500,81.3080,780345
2017-11-24,81.6406,81.8983,81.2331,81.2830,376949
2017-11-27,81.5657,81.8734,81.0669,81.1001,1444909
2017-11-28,81.4826,82.3038,81.1874,81.4826,2373023
2017-11-29,81.5242,81.5852,79.1961,79.4206,1539436
2017-11-30,79.7116,80.6179,79.4746,79.9361,2632982
2017-12-01,79.9028,80.1647,77.9831,79.4705,1441289
2017-12-04,79.6783,79.7365,76.9678,77.5082,1781621
2017-12-05,77.1003,78.4665,76.6629,77.3669,1388070
2017-12-06,77.4169,78.7331,77.0836,77.7917,1097667
2017-12-07,77.7251,78.9914,77.7251,78.8497,1516789
2017-12-08,79.1413,80.0244,78.7414,79.9161,1237680
2017-12-11,79.7911,80.6492,79.5287,79.7828,1135900
2017-12-12,79.7661,79.7661,78.7424,78.9664,1612496
2017-12-13,78.9497,79.9744,78.8164,79.0997,1626653
2017-12-14,79.1246,79.2663,78.1083,78.4749,1487366
2017-12-15,78.8122,79.6078,78.3332,79.3496,2120048
2017-12-18,79.8577,80.3409,79.5578,79.8994,1395404
2017-12-19,79.4412,79.7661,78.8497,79.0830,2022230
2017-12-20,79.7161,80.5908,79.2663,79.4579,1349741
2017-12-21,80.0327,80.6242,79.7578,80.2410,1301007
2017-12-22,79.7494,80.2326,79.6162,79.8827,1104519
2017-12-26,79.7078,80.2576,79.4246,79.8911,409194
2017-12-27,80.0244,80.0244,78.6290,78.9164,1834970
2017-12-28,78.9330,79.4662,78.7414,79.1163,677842
2017-12-29,79.2163,79.4745,78.6415,79.0580,881367
2018-01-02,79.0580,79.5995,78.7664,79.1830,1046616
2018-01-03,79.5412,80.9990,79.4745,80.6825,1457354
2018-01-04,81.1490,83.2983,81.0824,82.6235,2116692
2018-01-05,82.8901,83.9064,82.2820,83.8315,1244448
2018-01-08,83.7982,84.2730,83.3400,83.7648,1143466
2018-01-09,83.8898,85.5643,83.4399,84.6645,1786532
2018-01-10,84.0231,84.4396,83.3983,84.3313,1034466
2018-01-11,84.5729,84.7645,83.8565,84.2147,1281477
2018-01-12,84.4563,84.6062,83.6315,84.3813,1153171
2018-01-16,84.7978,85.7642,83.6982,84.1897,1604205
2018-01-17,84.4729,84.7145,83.7315,83.8148,1723200
2018-01-18,83.6232,84.0397,83.4816,83.7065,1408227
