date,open,high,low,close,volume
1988-01-05,1.8635,1.9206,1.8635,1.9015,425600
1988-01-06,1.9015,1.9015,1.8635,1.8635,296800
1988-01-07,1.8726,1.8726,1.8346,1.8544,527200
1988-01-08,1.8635,1.8635,1.8164,1.8164,412000
1988-01-11,1.8346,1.8346,1.7494,1.7875,134400
1988-01-12,1.7875,1.7875,1.7023,1.7205,260000
1988-01-13,1.7494,1.7875,1.7304,1.7684,342400
1988-01-14,1.7684,1.8065,1.7684,1.8065,73600
1988-01-15,1.8346,1.8635,1.8255,1.8346,223200
1988-01-18,1.8544,1.8544,1.8255,1.8255,49600
1988-01-19,1.8065,1.8255,1.7875,1.8065,177600
1988-01-20,1.8255,1.8346,1.7494,1.7494,152800
1988-01-21,1.7494,1.7494,1.6924,1.6924,211200
1988-01-22,1.7023,1.7114,1.7023,1.7023,284000
1988-01-25,1.7114,1.7403,1.7023,1.7304,303200
1988-01-26,1.7304,1.7403,1.7114,1.7114,125600
1988-01-27,1.7304,1.7494,1.7205,1.7304,52000
1988-01-28,1.7304,1.7783,1.7304,1.7586,195200
1988-01-29,1.7684,1.8164,1.7586,1.7966,363200
1988-02-01,1.7875,1.8065,1.7684,1.7684,134400
1988-02-02,1.7684,1.8164,1.7494,1.8164,144800
1988-02-03,1.8065,1.8255,1.8065,1.8065,39200
1988-02-04,1.8065,1.8164,1.7966,1.7966,154400
1988-02-05,1.8164,1.8164,1.7875,1.7875,131200
1988-02-08,1.7783,1.7783,1.7114,1.7304,362400
1988-02-09,1.7494,1.7875,1.7494,1.7783,148800
1988-02-10,1.7875,1.7966,1.7684,1.7684,38400
1988-02-11,1.7684,1.7966,1.7684,1.7966,200800
1988-02-12,1.7783,1.8065,1.7783,1.7783,197600
1988-02-16,1.7684,1.7684,1.7023,1.7114,1862400
1988-02-17,1.7114,1.7783,1.7114,1.7684,557600
1988-02-18,1.7684,1.8164,1.7494,1.7875,264000
1988-02-19,1.7875,1.8164,1.7875,1.8164,104800
1988-02-22,1.8065,1.8255,1.7966,1.8255,294400
1988-02-23,1.8445,1.9015,1.8445,1.8635,564800
1988-02-24,1.8544,1.8635,1.8255,1.8544,902400
1988-02-25,1.8346,1.9015,1.8346,1.8825,955200
1988-02-26,1.8825,1.9305,1.8825,1.9015,884000
1988-02-29,1.9015,1.9487,1.9015,1.9487,522400
1988-03-01,1.9396,2.0248,1.9396,2.0156,274400
1988-03-02,1.9966,2.0248,1.9966,1.9966,673600
1988-03-03,2.0156,2.0537,2.0156,2.0537,3256000
1988-03-04,2.0537,2.0537,2.0248,2.0537,248000
1988-03-07,2.0537,2.0727,2.0347,2.0628,233600
1988-03-08,2.0826,2.1107,2.0727,2.0917,180000
1988-03-09,2.1008,2.1107,2.0727,2.0826,267200
1988-03-10,2.0917,2.1008,2.0537,2.0727,546400
1988-03-11,2.0727,2.0727,2.0347,2.0445,555200
1988-03-14,2.0248,2.0628,2.0248,2.0537,409600
1988-03-15,2.0445,2.0727,2.0347,2.0727,981600
1988-03-16,2.0655,2.0846,2.0464,2.0563,293600
1988-03-17,2.0464,2.0563,2.0273,2.0464,232000
1988-03-18,2.0655,2.0655,2.0464,2.0563,151200
1988-03-21,2.0464,2.0464,2.0464,2.0464,24800
1988-03-22,2.0655,2.0747,2.0464,2.0563,136800
1988-03-23,2.0563,2.0655,2.0464,2.0464,1249600
1988-03-24,2.0364,2.0563,2.0364,2.0364,382400
1988-03-25,2.0364,2.0563,2.0364,2.0364,183200
1988-03-28,2.0364,2.0464,2.0181,2.0464,330400
1988-03-29,2.0364,2.0464,2.0081,2.0364,555200
1988-03-30,2.0364,2.0364,1.9798,1.9982,539200
1988-03-31,1.9890,1.9890,1.9316,1.9508,129600
1988-04-04,1.9316,1.9890,1.9316,1.9699,176800
1988-04-05,1.9599,1.9890,1.9599,1.9890,410400
1988-04-06,1.9699,2.0181,1.9599,2.0081,687200
1988-04-07,2.0181,2.0464,2.0181,2.0273,365600
1988-04-08,2.0273,2.0655,2.0273,2.0655,220000
1988-04-11,2.0464,2.1038,2.0464,2.1038,668000
1988-04-12,2.1129,2.1129,2.0946,2.0946,182400
1988-04-13,2.1038,2.1129,2.0846,2.1129,178400
1988-04-14,2.0946,2.0946,2.0273,2.0273,306400
1988-04-15,1.9982,2.0846,1.9599,2.0747,1169600
1988-04-18,2.0846,2.0846,2.0563,2.0747,256000
1988-04-19,2.0747,2.0846,2.0563,2.0655,217600
1988-04-20,2.0747,2.0846,2.0655,2.0655,1296800
1988-04-21,2.0846,2.0946,2.0655,2.0747,808800
1988-04-22,2.0563,2.0563,1.9890,1.9890,614400
1988-04-25,1.9699,1.9890,1.9508,1.9699,220800
1988-04-26,1.9699,1.9890,1.9699,1.9890,652800
1988-04-27,1.9890,1.9890,1.9508,1.9599,197600
