date,open,high,low,close,volume
1970-01-02,1.8244,1.9227,1.8244,1.9227,73200
1970-01-05,1.9405,2.0025,1.9405,2.0025,130800
1970-01-06,2.0025,2.0381,1.9405,1.9761,312400
1970-01-07,1.9669,1.9669,1.9405,1.9498,51600
1970-01-08,1.9498,1.9761,1.9405,1.9498,79200
1970-01-09,1.9498,1.9669,1.9405,1.9669,45600
1970-01-12,1.9669,1.9669,1.9498,1.9583,51200
1970-01-13,1.9583,1.9583,1.9142,1.9142,136800
1970-01-14,1.9142,1.9313,1.8956,1.9142,61600
1970-01-15,1.9142,1.9142,1.8693,1.8693,85200
1970-01-16,1.8693,1.8786,1.8515,1.8600,158000
1970-01-19,1.8693,1.9049,1.8693,1.9049,56000
1970-01-20,1.9049,1.9498,1.8871,1.9498,93600
1970-01-21,1.9405,1.9405,1.9142,1.9142,86800
1970-01-22,1.9142,1.9142,1.8956,1.9142,70000
1970-01-23,1.9142,1.9313,1.8956,1.9227,60000
1970-01-26,1.9227,1.9405,1.9227,1.9405,59600
1970-01-27,1.9405,1.9669,1.9227,1.9313,74000
1970-01-28,1.9313,1.9405,1.8956,1.9049,53200
1970-01-29,1.9049,1.9405,1.8871,1.9405,53600
1970-01-30,1.9405,1.9405,1.9142,1.9227,44400
1970-02-02,1.9227,1.9405,1.8956,1.9227,50800
1970-02-03,1.9227,1.9313,1.8956,1.9049,33200
1970-02-04,1.9049,1.9227,1.9049,1.9227,35200
1970-02-05,1.9142,1.9142,1.8871,1.9049,56400
1970-02-06,1.9049,1.9142,1.8871,1.9142,37600
1970-02-09,1.9142,1.9142,1.8956,1.9142,59200
1970-02-10,1.9142,1.9142,1.8956,1.9142,34800
1970-02-11,1.9142,1.9142,1.8956,1.9049,40000
1970-02-12,1.9049,1.9142,1.8956,1.8956,35200
1970-02-13,1.8956,1.9049,1.8786,1.8786,61600
1970-02-16,1.8786,1.9049,1.8693,1.8786,44800
1970-02-17,1.8786,1.9049,1.8693,1.8871,36800
1970-02-18,1.8871,1.9049,1.8786,1.8871,47200
1970-02-19,1.8871,1.9142,1.8871,1.9049,30400
1970-02-20,1.9049,1.9142,1.8871,1.9142,59200
1970-02-24,1.9142,1.9142,1.8956,1.9049,56400
1970-02-25,1.9049,1.9313,1.9049,1.9227,72400
1970-02-26,1.9227,1.9405,1.9227,1.9227,44800
1970-02-27,1.9313,1.9583,1.9313,1.9583,42000
1970-03-02,1.9583,1.9761,1.9498,1.9669,56000
1970-03-03,1.9669,1.9854,1.9583,1.9761,48800
1970-03-04,1.9761,2.0117,1.9583,2.0117,60000
1970-03-05,2.0117,2.0210,1.9939,1.9939,71600
1970-03-06,1.9939,2.0025,1.9761,1.9854,75200
1970-03-09,1.9854,1.9939,1.9761,1.9939,35200
1970-03-10,1.9939,1.9939,1.9761,1.9854,28400
1970-03-11,1.9854,2.0025,1.9761,1.9854,41200
1970-03-12,1.9854,1.9939,1.9761,1.9854,30800
1970-03-13,1.9854,1.9854,1.9761,1.9854,32000
1970-03-16,1.9854,1.9854,1.9583,1.9583,28800
1970-03-17,1.9405,1.9405,1.9227,1.9227,44800
1970-03-18,1.9227,1.9498,1.9227,1.9227,37200
1970-03-19,1.9227,1.9313,1.9142,1.9142,39600
1970-03-20,1.9142,1.9313,1.9049,1.9313,28000
1970-03-23,1.9313,1.9313,1.8956,1.8956,39600
1970-03-24,1.8956,1.9405,1.8956,1.9142,35200
1970-03-25,1.9313,1.9761,1.9313,1.9583,68400
1970-03-26,1.9583,1.9761,1.9313,1.9405,48000
1970-03-30,1.9405,1.9669,1.9313,1.9498,51200
1970-03-31,1.9498,1.9854,1.9405,1.9761,42800
1970-04-01,1.9761,1.9854,1.9583,1.9761,40400
1970-04-02,1.9761,1.9854,1.9498,1.9669,40800
1970-04-03,1.9761,2.0025,1.9761,2.0025,68400
1970-04-06,2.0025,2.0117,1.9854,1.9939,40400
1970-04-07,1.9939,2.0025,1.9854,1.9939,46400
1970-04-08,1.9939,2.0025,1.9854,2.0025,53600
1970-04-09,2.0025,2.0117,1.9939,2.0117,40000
1970-04-10,2.0117,2.0210,1.9939,2.0117,47600
1970-04-13,2.0117,2.0117,1.9939,2.0117,43200
1970-04-14,2.0117,2.0117,1.9669,1.9669,70800
1970-04-15,1.9761,1.9939,1.9761,1.9854,40000
1970-04-16,1.9854,1.9854,1.9583,1.9583,49600
1970-04-17,1.9583,1.9761,1.9498,1.9761,58400
1970-04-20,1.9761,1.9761,1.9405,1.9498,36000
1970-04-21,1.9498,1.9669,1.9405,1.9498,31200
1970-04-22,1.9498,1.9583,1.9405,1.9405,34000
1970-04-23,1.9405,1.9498,1.9227,1.9313,57200
1970-04-24,1.9313,1.9498,1.9227,1.9498,45200
1970-04-27,1.9498,1.9583,1.9227,1.9405,71200
1970-04-28,1.9405,1.9405,1.9227,1.9227,46800
1970-04-29,1.9142,1.9142,1.8871,1.8871,107200
1970-04-30,1.8871,1.9049,1.8693,1.8956,62800
1970-05-01,1.8956,1.9049,1.8786,1.9049,36400
1970-05-04,1.8693,1.8693,1.8515,1.8693,75600
1970-05-05,1.8600,1.8600,1.8337,1.8337,48000
1970-05-06,1.8430,1.8871,1.8430,1.8693,82000
1970-05-07,1.8693,1.8871,1.8600,1.8871,34000
1970-05-08,1.8786,1.8786,1.8337,1.8430,40000
1970-05-11,1.8430,1.8600,1.8337,1.8430,34400
1970-05-12,1.8430,1.8515,1.8244,1.8337,52400
1970-05-13,1.8337,1.8337,1.8159,1.8337,56000
1970-05-14,1.8244,1.8244,1.7981,1.8073,64800
1970-05-15,1.8073,1.8159,1.7981,1.7981,66400
1970-05-18,1.7981,1.8159,1.7888,1.7981,64400
1970-05-19,1.7981,1.8073,1.7888,1.7888,34000
1970-05-20,1.7888,1.7981,1.7888,1.7888,49200
1970-05-21,1.7888,1.7981,1.7803,1.7803,156400
1970-05-22,1.7803,1.7888,1.6735,1.6913,175200
1970-05-25,1.6820,1.6820,1.6464,1.6557,105600
1970-05-26,1.6557,1.6557,1.6379,1.6379,73200
1970-05-27,1.6379,1.6649,1.6379,1.6557,127600
1970-05-28,1.6557,1.6557,1.6379,1.6464,155200
1970-05-29,1.6464,1.6464,1.6379,1.6464,128400
1970-06-01,1.6464,1.6464,1.6379,1.6379,139200
1970-06-02,1.6379,1.6464,1.6379,1.6379,179200
1970-06-03,1.6379,1.6464,1.6379,1.6464,118400
1970-06-04,1.6464,1.6464,1.6379,1.6464,126800
1970-06-05,1.6464,1.6464,1.6379,1.6464,119200
1970-06-08,1.6464,1.6464,1.6379,1.6379,174000
1970-06-09,1.6379,1.6464,1.6379,1.6464,131600
1970-06-10,1.6464,1.6649,1.6379,1.6649,85600
1970-06-11,1.6649,1.6649,1.6464,1.6464,56000
1970-06-12,1.6557,1.7005,1.6557,1.6649,147600
1970-06-15,1.6649,1.6820,1.6649,1.6820,48000
1970-06-16,1.6820,1.7005,1.6735,1.6913,90800
