date,open,high,low,close,volume
1995-11-17,6.2953,6.7564,6.2721,6.6827,35659200
1995-11-20,6.6595,6.8280,6.3438,6.4406,8434000
1995-11-21,6.3922,6.4174,6.1501,6.3205,6440000
1995-11-22,6.2953,6.6111,6.2953,6.5142,3480800
1995-11-24,6.5626,6.7564,6.5375,6.7564,1279200
1995-11-27,6.7564,6.9016,6.6827,6.7796,2403200
1995-11-28,6.7796,6.8048,6.5859,6.6827,1054800
1995-11-29,6.6595,6.9501,6.6343,6.7796,1331200
1995-11-30,6.8532,7.1186,6.8280,7.0469,2426000
1995-12-01,7.0469,7.0702,6.9249,6.9733,978400
1995-12-04,6.9985,7.0469,6.8532,6.9016,594000
1995-12-05,6.9016,6.9016,6.6827,6.8048,1148800
1995-12-06,6.7796,6.9733,6.7796,6.8280,1216000
1995-12-07,6.8764,6.9016,6.7312,6.7796,641200
1995-12-08,6.7564,6.9501,6.6827,6.9501,668800
1995-12-11,6.9733,7.0469,6.9501,7.0469,660000
1995-12-12,6.9985,7.0217,6.7564,6.7796,971600
1995-12-13,6.8280,6.8280,6.6111,6.7312,528400
1995-12-14,6.7564,6.7564,6.5375,6.5375,639200
1995-12-15,6.5859,6.6343,6.4658,6.4890,1366400
1995-12-18,6.4890,6.5142,6.3922,6.4174,741600
1995-12-19,6.3922,6.6111,6.3689,6.5375,643600
1995-12-20,6.5626,6.7312,6.5626,6.6827,360400
1995-12-21,6.6595,6.8048,6.6343,6.7312,301600
1995-12-22,6.7564,6.7796,6.6827,6.7796,208400
1995-12-26,6.7564,6.7564,6.5859,6.6111,240000
1995-12-27,6.6827,6.8532,6.6827,6.8532,351600
1995-12-28,6.8764,6.9016,6.8048,6.8280,344400
1995-12-29,6.8048,6.8532,6.7079,6.7564,219200
1996-01-02,6.7564,6.8028,6.7060,6.7796,169200
1996-01-03,6.8028,6.9249,6.7060,6.7564,682000
1996-01-04,6.7554,6.8038,6.7070,6.7796,414800
1996-01-05,6.8038,6.9249,6.7070,6.7554,773600
1996-01-08,6.5375,6.5626,6.4890,6.5626,48800
1996-01-09,6.5859,6.5859,6.4890,6.4890,864000
1996-01-10,6.5375,6.5617,6.4890,6.5617,458400
1996-01-11,6.5859,6.5859,6.4890,6.4890,477600
1996-01-12,6.4164,6.4890,6.2953,6.4164,338400
1996-01-15,6.7312,6.7796,6.6827,6.7060,580800
1996-01-16,6.6595,6.6595,6.3689,6.5375,512800
1996-01-17,6.7312,6.7796,6.6827,6.7070,126400
1996-01-18,6.6585,6.6585,6.3680,6.5375,696000
1996-01-19,6.4406,6.4890,6.2953,6.4890,792800
1996-01-22,6.2721,6.5626,6.2721,6.4406,568800
1996-01-23,6.3922,6.4154,6.3186,6.3186,798400
1996-01-24,6.2711,6.5617,6.2711,6.4406,776400
1996-01-25,6.3922,6.4164,6.3196,6.3196,1303200
1996-01-26,6.2953,6.4164,6.2953,6.4164,634800
1996-01-29,6.6595,6.6595,6.4890,6.5375,652000
1996-01-30,6.5375,7.2871,6.4890,7.1670,2810800
1996-01-31,6.6585,6.6585,6.4890,6.5375,1136400
1996-02-01,6.5375,7.2881,6.4890,7.1670,516800
1996-02-02,7.1186,7.3849,7.0702,7.1428,702400
1996-02-05,7.2154,7.3365,7.1670,7.2881,756400
1996-02-06,7.2881,7.4091,7.2639,7.3365,455200
1996-02-07,7.3849,7.6270,7.3607,7.5786,650800
1996-02-08,7.5544,7.6028,7.3849,7.4091,571600
1996-02-09,7.4576,7.4576,7.3365,7.4333,520800
1996-02-12,7.3849,7.4091,7.1670,7.2396,619200
1996-02-13,7.1670,7.1912,7.0702,7.1186,204400
1996-02-14,7.1428,7.3123,7.0944,7.0944,410000
1996-02-15,7.1912,7.3123,7.1912,7.2396,348800
1996-02-16,7.2396,7.2396,7.0944,7.1186,322400
1996-02-20,7.0217,7.1186,6.9249,7.0217,633200
1996-02-21,7.0459,7.1428,7.0459,7.0702,497600
1996-02-22,7.0702,7.0702,6.8038,7.0459,1184000
1996-02-23,7.0702,7.2396,7.0459,7.2154,532400
1996-02-26,7.2154,7.2396,7.1186,7.1670,359600
1996-02-27,7.2154,7.2639,7.0702,7.0944,1742400
1996-02-28,7.1186,7.1670,7.1186,7.1428,921600
1996-02-29,7.1428,7.2639,7.0702,7.0944,812400
1996-03-01,7.1902,7.3839,7.1438,7.3375,605600
1996-03-04,7.3607,7.3607,7.2154,7.2639,650800
1996-03-05,7.2154,7.3375,7.1902,7.2871,511200
1996-03-06,7.3607,7.3607,7.2154,7.2639,445600
1996-03-07,7.2154,7.3365,7.1912,7.2881,547600
1996-03-08,7.3123,7.3365,7.2154,7.2154,625200
1996-03-11,6.9733,6.9733,6.8532,6.8764,217200
1996-03-12,6.8997,6.8997,6.5123,6.7060,598000
1996-03-13,6.9900,6.9900,6.8686,6.8929,335600
1996-03-14,6.9172,6.9172,6.5289,6.7230,273600
1996-03-15,6.7473,6.9415,6.6745,6.9172,371600
1996-03-18,6.7958,6.9667,6.7958,6.9667,257600
