date,open,high,low,close,volume
1993-12-14,8.9596,9.4805,8.9345,9.4284,1077400
1993-12-15,9.3763,9.3763,9.0637,9.2200,897800
1993-12-16,9.2471,9.2471,9.1679,9.2200,571200
1993-12-17,9.2200,9.2200,9.0116,9.0116,1053000
1993-12-20,9.0116,9.2992,9.0116,9.2992,1284800
1993-12-21,9.2721,9.5325,9.2721,9.4284,882800
1993-12-22,9.4555,9.4555,9.3513,9.4284,200600
1993-12-23,9.4555,9.6367,9.4555,9.6117,195800
1993-12-27,9.6638,9.8972,9.6638,9.8451,68400
1993-12-28,9.8201,9.8201,9.7409,9.7930,273600
1993-12-29,9.8451,9.9243,9.8451,9.9243,264400
1993-12-30,9.9243,10.0284,9.9243,9.9764,156200
1993-12-31,9.9243,9.9493,9.8451,9.8972,133000
1994-01-03,9.9243,9.9243,9.6367,9.7680,467800
1994-01-04,9.7680,9.7680,9.2992,9.4034,2250200
1994-01-05,9.1679,9.2471,9.0637,9.2471,2933400
1994-01-06,9.1679,9.2471,8.9596,9.0637,2753200
1994-01-07,9.0387,9.0387,8.6470,8.6991,3428400
1994-01-10,8.7262,8.9596,8.6991,8.9345,1411000
1994-01-11,8.9596,8.9596,8.8304,8.9075,1185400
1994-01-12,8.8825,8.8825,8.6991,8.7512,2209200
1994-01-13,8.7262,8.7512,8.6741,8.6991,1033400
1994-01-14,8.7262,8.7783,8.6741,8.7262,1366000
1994-01-17,8.6991,8.7512,8.6470,8.7262,1157400
1994-01-18,8.7262,8.7262,8.6470,8.6741,1118400
1994-01-19,8.6470,8.8554,8.6470,8.8033,1327800
1994-01-20,8.8033,8.8304,8.6741,8.7512,1121400
1994-01-21,8.7783,8.7783,8.6991,8.7512,1460800
1994-01-24,8.7512,8.7512,8.6470,8.6741,2101400
1994-01-25,8.6470,8.7262,8.5949,8.6741,1470400
1994-01-26,8.6470,8.6991,8.6470,8.6741,723600
1994-01-27,8.6741,8.7262,8.6741,8.6741,1610600
1994-01-28,8.7262,8.9866,8.6991,8.9596,1285200
1994-01-31,8.9596,9.2471,8.9596,9.1158,1316000
1994-02-01,8.8033,8.8554,8.7512,8.8033,3041400
1994-02-02,8.7783,8.7783,8.6741,8.7512,3352000
1994-02-03,8.7783,8.9345,8.7512,8.9075,2135600
1994-02-04,8.8825,9.0116,8.8554,8.8554,1256600
1994-02-07,8.8825,9.0908,8.8825,9.0637,799400
1994-02-08,8.9596,9.0116,8.9075,8.9345,916600
1994-02-09,8.8825,8.9866,8.8825,8.9866,769800
1994-02-10,8.9596,9.0387,8.9075,8.9075,977600
1994-02-11,8.9075,8.9345,8.8554,8.9075,690800
1994-02-14,8.9345,8.9866,8.9075,8.9596,616800
1994-02-15,8.9345,9.0637,8.9345,8.9866,701200
1994-02-16,8.9866,9.0908,8.9596,9.0387,668800
1994-02-17,9.0908,9.1679,9.0387,9.0387,995000
1994-02-18,9.0387,9.0637,8.9596,8.9866,434000
1994-02-22,8.8554,8.9345,8.7783,8.8554,1151800
1994-02-23,8.8554,8.9345,8.8554,8.9345,1016000
1994-02-24,8.9075,8.9075,8.8033,8.8304,537800
1994-02-25,8.7783,8.8033,8.7262,8.7262,651200
1994-02-28,8.7783,8.7783,8.6741,8.6991,520400
1994-03-01,8.6741,8.6991,8.6470,8.6991,751800
1994-03-02,8.6470,8.6741,8.5699,8.5699,1084800
1994-03-03,8.5699,8.5699,8.4386,8.4386,731600
1994-03-04,8.4386,8.4657,8.3345,8.3866,1008400
1994-03-07,8.3866,8.3866,8.3616,8.3616,600000
1994-03-08,8.3616,8.3866,8.3345,8.3616,1083600
1994-03-09,8.3397,8.4449,8.3397,8.4449,268400
1994-03-10,8.4175,8.4702,8.3397,8.3649,1073200
1994-03-11,8.3649,8.5754,8.3649,8.5501,297400
1994-03-14,8.6027,8.6027,8.5228,8.5754,343400
1994-03-15,8.5754,8.6553,8.5501,8.6280,630600
1994-03-16,8.6280,8.6553,8.4975,8.5228,474000
1994-03-17,8.4975,8.6280,8.4975,8.5754,672600
1994-03-18,8.5754,8.5754,8.4175,8.4449,991400
1994-03-21,8.4449,8.4975,8.4175,8.4449,422000
1994-03-22,8.4449,8.4702,8.3649,8.4702,550200
1994-03-23,8.4975,8.6027,8.4702,8.6027,512000
1994-03-24,8.5501,8.6806,8.5501,8.6280,419600
1994-03-25,8.6806,8.6806,8.6280,8.6280,231600
1994-03-28,8.6553,8.7079,8.5501,8.7079,484600
1994-03-29,8.6806,8.7606,8.6806,8.7079,313200
1994-03-30,8.6553,8.7079,8.5501,8.5754,595000
1994-03-31,8.5501,8.5754,8.4449,8.4702,674200
1994-04-04,8.3397,8.4175,8.3123,8.3649,944200
1994-04-05,8.4175,8.5228,8.4175,8.4975,1030000
1994-04-06,8.7332,8.8384,8.6806,8.7858,834000
1994-04-07,8.7858,8.8132,8.7079,8.8132,1355400
1994-04-08,8.7858,9.0762,8.7858,9.0236,897400
1994-04-11,8.9962,9.0236,8.8910,8.9710,469200
1994-04-12,8.9962,8.9962,8.7606,8.7606,437600
1994-04-13,8.8384,8.9710,8.8132,8.9710,1111000
1994-04-14,8.9184,8.9436,8.8910,8.9184,703000
1994-04-15,8.9962,9.1015,8.9436,8.9710,590600
1994-04-18,8.9710,9.0236,8.8910,8.9184,499200
1994-04-19,8.9710,8.9710,8.8384,8.9184,628400
1994-04-20,8.9184,8.9436,8.6280,8.6806,755000
1994-04-21,8.7079,8.9436,8.6806,8.8384,671400
1994-04-22,8.8658,8.9184,8.8384,8.8658,280200
1994-04-25,8.9184,9.0762,8.8910,9.0762,862200
1994-04-26,9.4697,9.5223,9.3919,9.4171,1685800
1994-04-28,9.4171,9.4171,9.2067,9.3393,1094800
1994-04-29,9.3119,9.4171,9.2867,9.3645,974200
1994-05-02,9.3645,9.4697,9.3119,9.4445,494600
1994-05-03,9.4697,9.4971,9.3645,9.4697,713000
1994-05-04,9.4445,9.5223,9.4171,9.4971,592600
1994-05-05,9.5223,9.5223,9.4445,9.4697,343200
1994-05-06,9.3919,9.4445,9.2593,9.2867,368000
1994-05-09,9.2867,9.2867,9.2340,9.2593,241800
1994-05-10,9.2867,9.6276,9.2867,9.4697,817000
1994-05-11,9.6276,9.6802,9.4971,9.4971,828200
1994-05-12,9.5223,9.5750,9.4971,9.4971,358400
1994-05-13,9.6023,9.7075,9.6023,9.6549,891000
1994-05-16,9.6023,9.6802,9.5750,9.6802,605200
1994-05-17,9.6276,9.7328,9.6023,9.6802,381200
1994-05-18,9.6549,9.6549,9.6023,9.6276,343600
1994-05-19,9.6023,9.7328,9.6023,9.6802,929800
1994-05-20,9.6549,9.6549,9.4697,9.4697,397800
1994-05-23,9.5750,9.6802,9.5750,9.5750,502000
1994-05-24,9.7854,9.9432,9.7854,9.8380,929600
1994-05-25,9.7854,10.0484,9.7854,10.0232,675600
1994-05-26,10.0484,10.1810,10.0484,10.1537,1315800
1994-05-27,10.1010,10.2862,10.1010,10.2589,634400
1994-05-31,10.2063,10.2862,10.1284,10.1284,536000
1994-06-01,10.1010,10.1537,9.9180,9.9706,349800
1994-06-02,9.9180,10.0758,9.8654,10.0484,542400
1994-06-03,10.0232,10.1010,10.0232,10.0484,507800
1994-06-06,10.0758,10.1284,10.0484,10.1284,299800
1994-06-07,10.1010,10.1010,9.9706,9.9958,537200
1994-06-08,9.9958,10.0232,9.8127,9.8127,248400
1994-06-09,9.9495,9.9750,9.8965,9.9495,271000
1994-06-10,10.0026,10.0026,9.9219,9.9219,142400
1994-06-13,9.9219,10.1087,9.8689,10.0557,703200
1994-06-14,10.0557,10.0811,9.9495,9.9495,505600
1994-06-15,9.9750,10.0026,9.9219,9.9219,473400
1994-06-16,9.9219,10.0811,9.9219,10.0026,547200
1994-06-17,10.0026,10.0281,9.9219,9.9219,1240400
