date,open,high,low,close,volume
1972-06-01,1.3665,1.3734,1.3595,1.3635,314400
1972-06-02,1.3635,1.3675,1.3595,1.3635,1396800
1972-06-05,1.3635,1.3654,1.3555,1.3575,372000
1972-06-06,1.3595,1.3675,1.3595,1.3595,177600
1972-06-07,1.3534,1.3534,1.3355,1.3355,379200
1972-06-08,1.3355,1.3475,1.3355,1.3395,552000
1972-06-09,1.3395,1.3435,1.3315,1.3435,177600
1972-06-12,1.3435,1.3475,1.3315,1.3435,506400
1972-06-13,1.3435,1.3475,1.3355,1.3435,288000
1972-06-14,1.3435,1.3494,1.3395,1.3395,789600
1972-06-15,1.3395,1.3534,1.3395,1.3475,220800
1972-06-16,1.3475,1.3515,1.3275,1.3294,96000
1972-06-19,1.3294,1.3494,1.3235,1.3494,124800
1972-06-20,1.3515,1.3595,1.3515,1.3534,206400
1972-06-21,1.3555,1.3715,1.3555,1.3715,232800
1972-06-22,1.3715,1.3715,1.3635,1.3675,336000
1972-06-23,1.3675,1.3755,1.3555,1.3575,242400
1972-06-26,1.3575,1.3575,1.3515,1.3515,237600
1972-06-27,1.3555,1.3675,1.3555,1.3615,285600
1972-06-28,1.3595,1.3595,1.3515,1.3555,139200
1972-06-29,1.3555,1.3675,1.3395,1.3675,11592
1972-06-30,1.3695,1.3815,1.3615,1.3615,153600
1972-07-03,1.3615,1.3635,1.3575,1.3595,134400
1972-07-05,1.3635,1.3994,1.3635,1.3954,148800
1972-07-06,1.4034,1.4194,1.4034,1.4114,391200
1972-07-07,1.4114,1.4134,1.3994,1.3994,175200
1972-07-10,1.3974,1.3974,1.3875,1.3875,201600
1972-07-11,1.3795,1.3795,1.3654,1.3734,117600
1972-07-12,1.3734,1.3815,1.3715,1.3715,242400
1972-07-13,1.3715,1.3715,1.3615,1.3715,120000
1972-07-14,1.3715,1.3795,1.3675,1.3734,182400
1972-07-17,1.3734,1.3774,1.3695,1.3755,170400
1972-07-18,1.3755,1.3835,1.3675,1.3835,158400
1972-07-19,1.3835,1.3994,1.3815,1.3875,307200
1972-07-20,1.3894,1.4074,1.3894,1.4074,76800
1972-07-21,1.4074,1.4154,1.3994,1.4114,184800
1972-07-24,1.4114,1.4415,1.4074,1.4415,194400
1972-07-25,1.4415,1.4754,1.4354,1.4354,391200
1972-07-26,1.4354,1.4394,1.4295,1.4335,196800
1972-07-27,1.4335,1.4394,1.4274,1.4394,446400
1972-07-28,1.4394,1.4394,1.4175,1.4274,218400
1972-07-31,1.4274,1.4274,1.4214,1.4274,144000
1972-08-01,1.4314,1.4434,1.4314,1.4354,206400
1972-08-02,1.4354,1.4374,1.4314,1.4314,1514400
1972-08-03,1.4314,1.4374,1.4314,1.4374,350400
1972-08-04,1.4374,1.4374,1.4295,1.4354,148800
1972-08-07,1.4354,1.4374,1.4234,1.4254,216000
1972-08-08,1.4314,1.4374,1.4314,1.4374,100800
1972-08-09,1.4374,1.4474,1.4374,1.4474,741600
1972-08-10,1.4474,1.4554,1.4434,1.4514,302400
1972-08-11,1.4554,1.4613,1.4554,1.4554,91200
1972-08-14,1.4554,1.4634,1.4493,1.4575,667200
1972-08-15,1.4575,1.4613,1.4514,1.4594,268800
1972-08-16,1.4594,1.4594,1.4493,1.4514,420000
1972-08-17,1.4493,1.4493,1.4314,1.4314,379200
1972-08-18,1.4314,1.4374,1.4295,1.4335,232800
1972-08-21,1.4335,1.4374,1.4314,1.4354,244800
1972-08-22,1.4354,1.4374,1.4314,1.4374,364800
1972-08-23,1.4354,1.4354,1.4154,1.4194,314400
1972-08-24,1.4194,1.4274,1.4154,1.4154,105600
1972-08-25,1.4154,1.4214,1.4095,1.4095,81600
1972-08-28,1.4095,1.4134,1.4074,1.4114,177600
1972-08-29,1.4114,1.4154,1.4074,1.4154,343200
1972-08-30,1.4154,1.4234,1.4154,1.4154,127200
