date,open,high,low,close,volume
1989-10-04,1.8741,1.9339,1.8504,1.8978,20636000
1989-10-05,1.9092,1.9927,1.8978,1.9567,6453600
1989-10-06,1.9690,1.9927,1.9339,1.9339,2755200
1989-10-09,1.9339,1.9339,1.8978,1.9339,1084000
1989-10-10,1.9453,1.9453,1.8978,1.9215,1493600
1989-10-11,1.8978,1.9092,1.8741,1.9092,1260000
1989-10-12,1.9092,1.9339,1.9092,1.9215,602400
1989-10-13,1.9215,1.9215,1.8741,1.8864,3970400
1989-10-16,1.8029,1.8741,1.8029,1.8741,3924800
1989-10-17,1.8504,1.8978,1.8504,1.8978,1843200
1989-10-18,1.8978,1.9453,1.8864,1.9339,1128000
1989-10-19,1.9215,1.9339,1.9215,1.9339,1040000
1989-10-20,1.9215,1.9215,1.9092,1.9215,237600
1989-10-23,1.9339,1.9453,1.9339,1.9339,87200
1989-10-24,1.9339,1.9453,1.9215,1.9453,689600
1989-10-25,1.9339,1.9567,1.9092,1.9339,608000
1989-10-26,1.9339,1.9453,1.9339,1.9339,228800
1989-10-27,1.9339,1.9339,1.8978,1.9092,456000
1989-10-30,1.9092,1.9092,1.8978,1.8978,250400
1989-10-31,1.8978,1.9092,1.8978,1.8978,424800
1989-11-01,1.9092,1.9453,1.9092,1.9453,715200
1989-11-02,1.9690,2.0041,1.9690,2.0041,130400
1989-11-03,1.9927,2.0876,1.9927,2.0762,1118400
1989-11-06,2.0639,2.0639,1.9567,1.9567,264800
1989-11-07,1.9339,2.0402,1.8978,2.0402,727200
1989-11-08,2.0402,2.0639,2.0288,2.0639,236800
1989-11-09,2.0639,2.0639,2.0402,2.0402,60800
1989-11-10,2.0402,2.0402,1.9339,1.9453,210400
1989-11-13,1.9453,1.9453,1.9092,1.9339,92800
1989-11-14,1.9567,1.9567,1.8864,1.9215,428000
1989-11-15,1.9339,1.9567,1.9215,1.9453,176000
1989-11-16,1.9339,1.9690,1.9339,1.9690,301600
1989-11-17,1.9690,2.0041,1.9690,2.0041,249600
1989-11-20,2.0164,2.0164,1.9813,1.9813,43200
1989-11-21,1.9690,2.0288,1.9690,2.0288,108800
1989-11-22,2.0402,2.0876,2.0402,2.0876,255200
1989-11-24,2.1113,2.2413,2.1113,2.2186,572000
1989-11-27,2.2062,2.2299,2.1711,2.1825,253600
1989-11-28,2.1825,2.1825,2.1464,2.1464,560000
1989-11-29,2.1350,2.1350,2.1113,2.1237,60800
1989-11-30,2.1350,2.2062,2.1350,2.1939,712800
1989-12-01,2.1939,2.2413,2.1939,2.2062,356800
1989-12-04,2.2299,2.2660,2.1825,2.2660,172000
1989-12-05,2.2413,2.2660,2.2062,2.2062,93600
1989-12-06,2.2062,2.2774,2.2062,2.2660,668800
1989-12-07,2.2660,2.2660,2.2186,2.2413,215200
1989-12-08,2.2186,2.2413,2.2186,2.2413,122400
1989-12-11,2.2537,2.3011,2.2299,2.2774,306400
1989-12-12,2.2888,2.3011,2.2660,2.2888,1119200
1989-12-13,2.2774,2.3960,2.2660,2.3960,400000
1989-12-14,2.3723,2.3837,2.3609,2.3723,391200
1989-12-15,2.3837,2.3837,2.3486,2.3609,155200
1989-12-18,2.3362,2.3723,2.3011,2.3011,224000
1989-12-19,2.3011,2.3248,2.3011,2.3248,215200
1989-12-20,2.3248,2.3609,2.3134,2.3362,166400
1989-12-21,2.3609,2.3723,2.3248,2.3609,174400
1989-12-22,2.3723,2.3723,2.3609,2.3723,173600
1989-12-26,2.3609,2.3609,2.3362,2.3362,97600
1989-12-27,2.3248,2.3248,2.3011,2.3011,144000
1989-12-28,2.3134,2.3134,2.3011,2.3011,11200
1989-12-29,2.3011,2.3960,2.2888,2.3960,219200
1990-01-02,2.3723,2.3723,2.3011,2.3134,194400
1990-01-03,2.3248,2.3248,2.3011,2.3011,361600
1990-01-04,2.3011,2.3248,2.2413,2.2413,166400
1990-01-05,2.2299,2.2299,2.1711,2.2062,100800
1990-01-08,2.1825,2.1939,2.1588,2.1711,880800
1990-01-09,2.1464,2.1588,2.1350,2.1350,282400
1990-01-10,2.1038,2.1038,2.0449,2.0563,784000
1990-01-11,2.0687,2.1038,2.0563,2.0924,347200
1990-01-12,2.0715,2.0839,2.0477,2.0715,159200
1990-01-15,2.0839,2.0839,2.0715,2.0715,25600
