date,open,high,low,close,volume
1993-08-12,3.0776,3.2162,3.0365,3.1752,13086600
1993-08-13,3.1607,3.1607,3.0776,3.0776,1277800
1993-08-16,3.0776,3.1053,3.0642,3.1053,559000
1993-08-17,3.1053,3.1330,3.0920,3.1197,545600
1993-08-18,3.1197,3.1197,3.1197,3.1197,469200
1993-08-19,3.1197,3.1197,3.0642,3.0642,409400
1993-08-20,3.0776,3.1197,3.0776,3.0920,540800
1993-08-23,3.0920,3.1197,3.0776,3.1053,335600
1993-08-24,3.1053,3.1474,3.1053,3.1474,234400
1993-08-25,3.1197,3.1197,3.1053,3.1053,102600
1993-08-26,3.1053,3.1752,3.1053,3.1752,180400
1993-08-27,3.1752,3.1752,3.1197,3.1330,119600
1993-08-30,3.1197,3.1607,3.1197,3.1330,71400
1993-08-31,3.1330,3.2029,3.1330,3.1885,147000
1993-09-01,3.2029,3.2162,3.1752,3.1752,141600
1993-09-02,3.2162,3.2162,3.1885,3.2162,217600
1993-09-03,3.2029,3.2861,3.2029,3.2439,178800
1993-09-07,3.2306,3.2861,3.2306,3.2583,167600
1993-09-08,3.2861,3.2994,3.2162,3.2162,276200
1993-09-09,3.2162,3.2994,3.2162,3.2439,74400
1993-09-10,3.2306,3.3825,3.2306,3.3548,245000
1993-09-13,3.3138,3.3271,3.2994,3.3271,251200
1993-09-14,3.2716,3.2861,3.2306,3.2716,127000
1993-09-15,3.2716,3.2716,3.2306,3.2716,162400
1993-09-16,3.2994,3.2994,3.2583,3.2994,88800
1993-09-17,3.2861,3.3415,3.2716,3.3415,113000
1993-09-20,3.3094,3.3374,3.2949,3.2949,15400
1993-09-21,3.3229,3.3229,3.2815,3.3094,286000
1993-09-22,3.2949,3.3374,3.2815,3.3374,54800
1993-09-23,3.3229,3.3229,3.2815,3.3094,51000
1993-09-24,3.2949,3.3653,3.2949,3.3653,265000
1993-09-27,3.3653,3.5183,3.3653,3.5049,675400
1993-09-28,3.4904,3.5328,3.4625,3.5183,360800
1993-09-29,3.5183,3.6021,3.5183,3.5183,823200
1993-09-30,3.5049,3.5183,3.4625,3.4770,138000
1993-10-01,3.4770,3.5183,3.4770,3.4770,31600
1993-10-04,3.4625,3.4625,3.3787,3.4066,27600
1993-10-05,3.4066,3.4491,3.3932,3.4066,87600
1993-10-06,3.3787,3.4770,3.3787,3.4625,327600
1993-10-07,3.4345,3.5183,3.4345,3.4770,40400
1993-10-08,3.5049,3.9092,3.5049,3.8255,1242600
1993-10-11,3.7975,3.8534,3.7975,3.7975,885200
1993-10-12,3.7975,4.0768,3.7975,4.0209,708200
1993-10-13,4.0489,4.0489,3.9651,3.9651,55600
1993-10-14,3.9651,3.9651,3.9651,3.9651,55000
1993-10-15,3.9651,4.1047,3.9651,4.0489,200600
1993-10-18,4.0354,4.0913,3.9651,4.0354,47200
1993-10-19,4.0075,4.0075,3.9092,3.9092,173400
1993-10-20,3.9092,3.9238,3.8121,3.8958,141600
1993-10-21,3.8679,3.8679,3.8400,3.8534,32200
1993-10-22,3.8400,3.9651,3.8400,3.9092,161000
1993-10-25,3.8958,3.9372,3.8255,3.8813,48000
1993-10-26,3.8255,3.8255,3.7841,3.7841,27000
1993-10-27,3.7417,3.7562,3.7283,3.7417,122400
1993-10-28,3.7417,3.7975,3.6859,3.7975,75400
1993-10-29,3.8255,3.8679,3.7975,3.8679,224400
1993-11-01,3.8534,3.8813,3.8400,3.8813,24400
1993-11-02,3.8534,3.8813,3.8400,3.8679,68800
1993-11-03,3.8679,3.9092,3.8534,3.9092,233600
1993-11-04,3.8958,3.8958,3.7696,3.7696,267400
1993-11-05,3.7696,3.9092,3.7696,3.8813,333200
1993-11-08,3.9092,4.0075,3.8813,4.0075,164600
1993-11-09,4.0489,4.0768,4.0075,4.0075,192800
1993-11-10,3.9796,3.9796,3.9372,3.9372,6800
1993-11-11,3.9092,3.9092,3.8400,3.8813,95800
1993-11-12,3.9092,3.9092,3.8813,3.8958,70400
1993-11-15,3.8679,3.8679,3.7417,3.8534,138000
1993-11-16,3.8400,3.8400,3.7696,3.7841,12200
1993-11-17,3.7562,3.7696,3.6445,3.6724,190800
1993-11-18,3.6300,3.6445,3.4770,3.5183,310600
1993-11-19,3.5183,3.5328,3.4770,3.5183,180200
1993-11-22,3.5049,3.5049,3.4904,3.5049,52200
1993-11-23,3.5049,3.5183,3.4625,3.4770,163200
1993-11-24,3.4491,3.5049,3.4345,3.4770,289200
1993-11-26,3.4770,3.4770,3.4625,3.4625,19000
1993-11-29,3.4904,3.5183,3.4491,3.4625,96400
1993-11-30,3.4491,3.6300,3.4491,3.6300,162600
1993-12-01,3.6021,3.6021,3.4904,3.5328,117600
1993-12-02,3.5429,3.5429,3.5009,3.5429,28200
1993-12-03,3.5145,3.5145,3.4726,3.5145,34800
1993-12-06,3.4726,3.5576,3.4726,3.5576,191800
1993-12-07,3.5576,3.5712,3.5145,3.5712,22600
1993-12-08,3.5712,3.5712,3.5145,3.5145,27000
1993-12-09,3.5145,3.5576,3.5145,3.5293,52400
1993-12-10,3.5576,3.5576,3.5145,3.5429,146000
1993-12-13,3.5576,3.5576,3.5145,3.5429,257200
1993-12-14,3.5429,3.5429,3.3728,3.3728,168800
1993-12-15,3.3445,3.5145,3.3025,3.5145,409600
1993-12-16,3.5145,3.6563,3.5145,3.5712,119800
1993-12-17,3.6537,3.6537,3.5962,3.5962,59400
1993-12-20,3.5962,3.6249,3.5824,3.5962,54600
1993-12-21,3.6249,3.6249,3.5099,3.5386,239000
1993-12-22,3.5674,3.5824,3.5674,3.5674,16600
1993-12-23,3.5824,3.6249,3.5674,3.5674,51000
1993-12-27,3.5674,3.5674,3.5674,3.5674,50000
1993-12-28,3.5962,3.6687,3.5962,3.6687,239000
1993-12-29,3.6537,3.6687,3.6249,3.6399,394600
1993-12-30,3.6249,3.6249,3.5674,3.6249,160000
1993-12-31,3.6399,3.6687,3.5824,3.6687,56000
1994-01-03,3.6399,3.6399,3.5099,3.5099,82200
1994-01-04,3.5386,3.5674,3.5386,3.5536,269000
1994-01-05,3.5536,3.5536,3.4385,3.4523,48000
1994-01-06,3.4523,3.4523,3.4236,3.4385,56200
1994-01-07,3.4236,3.4236,3.2947,3.3234,235600
1994-01-10,3.3234,3.3522,3.3234,3.3372,136400
1994-01-11,3.3372,3.4097,3.3234,3.3660,89200
1994-01-12,3.3948,3.4523,3.3948,3.4236,130400
1994-01-13,3.4385,3.4523,3.4385,3.4523,67400
1994-01-14,3.4673,3.4673,3.4236,3.4236,45800
1994-01-17,3.4523,3.4523,3.3372,3.3372,7000
1994-01-18,3.2947,3.3372,3.2659,3.3085,228400
1994-01-19,3.2797,3.3372,3.2797,3.3372,124800
1994-01-20,3.3660,3.3948,3.3522,3.3810,430200
1994-01-21,3.3660,3.3810,3.3522,3.3522,765000
1994-01-24,3.3522,3.3660,3.3372,3.3522,376000
1994-01-25,3.3522,3.3522,3.2659,3.3085,353000
1994-01-26,3.2797,3.3372,3.2797,3.3085,183400
1994-01-27,3.3234,3.3522,3.2947,3.3522,264000
1994-01-28,3.3522,3.3522,3.3085,3.3085,213600
1994-01-31,3.3372,3.3522,3.3234,3.3522,270800
1994-02-01,3.3372,3.3660,3.3234,3.3522,279000
1994-02-02,3.3522,3.3660,3.3522,3.3660,184800
1994-02-03,3.3522,3.3660,3.3372,3.3522,114600
1994-02-04,3.3810,3.3810,3.2947,3.2947,136600
1994-02-07,3.2797,3.3372,3.2797,3.3372,32200
1994-02-08,3.3372,3.3372,3.2947,3.3372,114400
1994-02-09,3.3372,3.3660,3.3085,3.3522,283400
1994-02-10,3.3522,3.3948,3.3522,3.3660,297800
1994-02-11,3.3660,3.4385,3.3660,3.4385,90800
1994-02-14,3.4097,3.5386,3.4097,3.5248,305000
1994-02-15,3.5248,3.5248,3.4961,3.4961,173600
1994-02-16,3.4961,3.5248,3.4961,3.5248,63400
1994-02-17,3.5536,3.6687,3.5536,3.6687,309200
1994-02-18,3.6825,3.7688,3.6825,3.7262,282000
1994-02-22,3.7550,3.8551,3.7550,3.8263,115200
1994-02-23,3.7976,3.8263,3.7688,3.8263,192800
1994-02-24,3.7976,3.7976,3.6825,3.6825,170000
1994-02-25,3.7112,3.7112,3.6825,3.6974,144000
1994-02-28,3.6825,3.7837,3.6825,3.7837,125000
1994-03-01,3.7688,3.7688,3.6974,3.7550,227400
1994-03-02,3.7262,3.7400,3.6825,3.6825,175000
1994-03-03,3.6399,3.6825,3.6249,3.6825,63600
1994-03-04,3.6825,3.6825,3.6537,3.6825,6600
1994-03-07,3.6825,3.7112,3.6687,3.7112,72600
1994-03-08,3.7112,3.7550,3.6825,3.6825,38200
1994-03-09,3.6687,3.6687,3.5674,3.6111,33200
1994-03-10,3.6249,3.7112,3.6249,3.6537,13000
1994-03-11,3.6825,3.6825,3.6111,3.6687,55600
1994-03-14,3.6687,3.7400,3.5962,3.7400,65000
1994-03-15,3.7112,3.7112,3.6399,3.6825,117800
1994-03-16,3.6974,3.6974,3.6537,3.6687,19800
1994-03-17,3.6687,3.7688,3.6687,3.7550,202800
1994-03-18,3.7688,3.7976,3.7112,3.7688,117200
1994-03-21,3.7656,3.8240,3.7365,3.8240,250000
1994-03-22,3.8240,3.8240,3.7948,3.7948,151000
1994-03-23,3.8240,3.8976,3.8240,3.8976,66600
1994-03-24,3.8976,3.8976,3.8392,3.8976,75200
1994-03-25,3.8684,3.8976,3.8684,3.8976,9600
1994-03-28,3.8824,3.8824,3.7948,3.8240,73000
1994-03-29,3.8240,3.8240,3.6197,3.6489,295800
1994-03-30,3.6349,3.6349,3.4737,3.5613,358000
1994-03-31,3.5765,3.5905,3.5029,3.5181,189000
1994-04-04,3.4889,3.5029,3.3278,3.4737,491000
1994-04-05,3.5029,3.5029,3.4445,3.5029,110800
1994-04-06,3.5181,3.7073,3.5181,3.7073,53200
1994-04-07,3.7365,3.8824,3.7365,3.8824,97400
1994-04-08,3.8824,3.8824,3.7516,3.7516,23000
1994-04-11,3.7808,3.8824,3.7656,3.8824,121600
1994-04-12,3.8684,3.9116,3.8240,3.8240,207000
1994-04-13,3.7948,3.7948,3.6781,3.6781,58000
1994-04-14,3.7073,3.7365,3.6489,3.6489,49800
1994-04-15,3.6489,3.7224,3.6489,3.7073,293800
1994-04-18,3.6781,3.7365,3.6781,3.7365,9600
1994-04-19,3.7365,3.7656,3.6932,3.7365,33600
1994-04-20,3.7073,3.7073,3.6781,3.7073,91600
1994-04-21,3.7073,3.7224,3.7073,3.7073,61000
1994-04-22,3.7073,3.7224,3.6932,3.7224,19800
1994-04-25,3.6932,3.8100,3.6932,3.8100,33400
1994-04-26,3.8240,3.8240,3.7808,3.7808,6200
1994-04-28,3.7808,3.8240,3.7656,3.8240,353000
1994-04-29,3.8240,3.8240,3.7948,3.8240,244400
1994-05-02,3.8240,3.8240,3.7948,3.7948,21200
1994-05-03,3.7656,3.7808,3.7516,3.7808,28000
1994-05-04,3.7808,3.7948,3.7365,3.7656,27000
1994-05-05,3.7948,3.7948,3.7516,3.7656,8400
1994-05-06,3.7516,3.7948,3.7516,3.7656,30000
1994-05-09,3.7656,3.8392,3.7656,3.8240,270400
1994-05-10,3.8392,3.9992,3.8240,3.9852,77000
1994-05-11,3.9852,4.0576,3.9852,4.0576,393400
1994-05-12,4.0867,4.1019,4.0576,4.0727,227000
1994-05-13,4.0727,4.1019,4.0727,4.1019,92600
1994-05-16,4.0867,4.1019,4.0867,4.0867,29400
1994-05-17,4.0867,4.1019,4.0435,4.0435,180200
1994-05-18,4.0576,4.0867,3.9268,4.0284,141800
1994-05-19,3.9992,3.9992,3.9700,3.9700,41200
1994-05-20,3.9408,3.9992,3.9268,3.9700,53600
1994-05-23,3.9408,3.9992,3.9116,3.9992,30600
1994-05-24,3.9700,4.0284,3.9560,4.0284,69800
1994-05-25,4.0435,4.0727,4.0143,4.0435,11600
1994-05-26,4.0435,4.0435,3.9992,3.9992,55600
1994-05-27,3.9852,4.0435,3.9852,4.0435,65000
