date,open,high,low,close,volume
1994-06-07,5.6106,5.7573,5.6106,5.6869,1595400
1994-06-08,5.6869,5.6869,5.6106,5.6487,162400
1994-06-09,5.6487,5.6487,5.6106,5.6487,76200
1994-06-10,5.6487,5.6487,5.5754,5.6106,110500
1994-06-13,5.6106,5.6106,5.5754,5.6106,51200
1994-06-14,5.6106,5.6487,5.6106,5.6487,28100
1994-06-15,5.6487,5.7221,5.6106,5.6487,96700
1994-06-16,5.6487,5.6487,5.6106,5.6106,19800
1994-06-17,5.6106,5.6487,5.5754,5.5754,56000
1994-06-20,5.5754,5.6106,5.5754,5.6106,43500
1994-06-21,5.6106,5.6106,5.5754,5.5754,34700
1994-06-22,5.5754,5.6106,5.5754,5.5754,29500
1994-06-23,5.5754,5.6106,5.5020,5.5020,67900
1994-06-24,5.4877,5.4877,5.3403,5.4169,72500
1994-06-27,5.4169,5.4169,5.0839,5.2696,70100
1994-06-28,5.2696,5.3403,5.1576,5.1929,64700
1994-06-29,5.2312,5.3403,5.2312,5.2696,25100
1994-06-30,5.2696,5.3049,5.1929,5.1929,26100
1994-07-01,5.1929,5.2312,5.1222,5.2312,25500
1994-07-05,5.2312,5.2696,5.2312,5.2696,2900
1994-07-06,5.2696,5.2696,5.1576,5.1929,33600
1994-07-07,5.1929,5.2696,5.1929,5.1929,30500
1994-07-08,5.1929,5.2696,5.1929,5.1929,30200
1994-07-11,5.1929,5.2696,5.1576,5.2312,29300
1994-07-12,5.2312,5.2696,5.1929,5.2312,11700
1994-07-13,5.2312,5.2696,5.1929,5.2312,37800
1994-07-14,5.2312,5.2696,5.1929,5.2696,24600
1994-07-15,5.2696,5.3049,5.2696,5.3049,15000
1994-07-18,5.3049,5.3049,5.2696,5.3049,22900
1994-07-19,5.3049,5.4523,5.3049,5.4523,25700
1994-07-20,5.4523,5.4523,5.3403,5.3786,15900
1994-07-21,5.3786,5.3786,5.3049,5.3786,16000
1994-07-22,5.3786,5.4523,5.3786,5.4169,18800
1994-07-25,5.4169,5.4523,5.3786,5.4523,20100
1994-07-26,5.4523,5.4877,5.4169,5.4523,14200
1994-07-27,5.4169,5.4169,5.3403,5.3786,10100
1994-07-28,5.3403,5.3403,5.2696,5.2696,9200
1994-07-29,5.2696,5.2696,5.1929,5.2312,71400
1994-08-01,5.2312,5.2312,5.1929,5.1929,23500
1994-08-02,5.1929,5.3403,5.1929,5.3403,36700
1994-08-03,5.3403,5.4169,5.2696,5.4169,16300
1994-08-04,5.4169,5.4169,5.2696,5.3049,19800
1994-08-05,5.3049,5.3049,5.2696,5.3049,9100
1994-08-08,5.3049,5.3403,5.2696,5.3049,20100
1994-08-09,5.2696,5.2696,5.2312,5.2312,26700
1994-08-10,5.2312,5.3403,5.2312,5.3403,52600
1994-08-11,5.3403,5.3786,5.2696,5.2696,15800
1994-08-12,5.2696,5.3403,5.2696,5.3049,6100
1994-08-15,5.3049,5.3049,5.2696,5.2696,14400
1994-08-16,5.2696,5.3403,5.2696,5.3403,16800
1994-08-17,5.3403,5.3403,5.3049,5.3403,14500
1994-08-18,5.3049,5.3049,5.2696,5.3049,11500
1994-08-19,5.3049,5.3403,5.2696,5.3049,10300
1994-08-22,5.3049,5.3403,5.3049,5.3403,6500
1994-08-23,5.3403,5.3403,5.3049,5.3403,9600
1994-08-24,5.3403,5.3403,5.3049,5.3403,18300
1994-08-25,5.3403,5.3403,5.2312,5.2312,12800
1994-08-26,5.2312,5.3049,5.2312,5.3049,13400
1994-08-29,5.3049,5.3403,5.2696,5.3403,11900
1994-08-30,5.3403,5.3786,5.3049,5.3786,39400
1994-08-31,5.3786,5.4523,5.3786,5.4169,23900
1994-09-01,5.4169,5.4523,5.3786,5.4523,31400
1994-09-02,5.4523,5.5996,5.4169,5.5996,27800
1994-09-06,5.5643,5.5643,5.4877,5.5260,8800
1994-09-07,5.5260,5.5643,5.4877,5.5260,10800
1994-09-08,5.5260,5.5643,5.4877,5.4877,7100
1994-09-09,5.4877,5.5260,5.3786,5.4877,17800
1994-09-12,5.4877,5.5260,5.4877,5.5260,9300
