date,open,high,low,close,volume
1972-06-01,1.0117,1.0126,0.9991,1.0072,82800
1972-06-02,1.0045,1.0045,0.9938,0.9963,119592
1972-06-05,0.9910,0.9910,0.9752,0.9778,107604
1972-06-06,0.9778,0.9831,0.9671,0.9724,327204
1972-06-07,0.9698,0.9698,0.9645,0.9645,42408
1972-06-08,0.9645,0.9698,0.9645,0.9645,86400
1972-06-09,0.9645,0.9645,0.9564,0.9564,497592
1972-06-12,0.9564,0.9589,0.9457,0.9457,108396
1972-06-13,0.9457,0.9617,0.9350,0.9617,103194
1972-06-14,0.9617,0.9671,0.9564,0.9671,34002
1972-06-15,0.9724,0.9778,0.9724,0.9778,61596
1972-06-16,0.9831,0.9991,0.9831,0.9963,50400
1972-06-19,0.9910,0.9910,0.9884,0.9884,46800
1972-06-20,0.9884,1.0045,0.9831,0.9991,190800
1972-06-21,1.0098,1.0258,1.0098,1.0126,136404
1972-06-22,1.0126,1.0126,1.0126,1.0126,53208
1972-06-23,1.0126,1.0205,1.0126,1.0126,94806
1972-06-26,1.0126,1.0126,0.9857,0.9857,700398
1972-06-27,0.9884,1.0019,0.9884,0.9910,349200
1972-06-28,0.9857,0.9857,0.9752,0.9752,83592
1972-06-29,0.9752,0.9778,0.9564,0.9617,104796
1972-06-30,0.9617,0.9752,0.9564,0.9698,108396
1972-07-03,0.9698,0.9752,0.9671,0.9724,46800
1972-07-05,0.9724,0.9831,0.9724,0.9752,42408
1972-07-06,0.9831,0.9991,0.9831,0.9963,140796
1972-07-07,0.9910,0.9910,0.9724,0.9805,133596
1972-07-10,0.9805,0.9831,0.9724,0.9805,83592
1972-07-11,0.9724,0.9724,0.9645,0.9645,19998
1972-07-12,0.9645,0.9778,0.9589,0.9778,46800
1972-07-13,0.9724,0.9724,0.9617,0.9617,514404
1972-07-14,0.9617,0.9724,0.9617,0.9724,49608
1972-07-17,0.9724,0.9778,0.9698,0.9698,138006
1972-07-18,0.9698,0.9698,0.9617,0.9617,132408
1972-07-19,0.9617,0.9778,0.9617,0.9778,99198
1972-07-20,0.9752,0.9752,0.9645,0.9645,91206
1972-07-21,0.9617,0.9617,0.9564,0.9617,61596
1972-07-24,0.9671,0.9805,0.9671,0.9724,368406
1972-07-25,0.9724,0.9778,0.9617,0.9617,399204
1972-07-26,0.9645,0.9752,0.9645,0.9645,162792
1972-07-27,0.9645,0.9671,0.9431,0.9536,212796
1972-07-28,0.9457,0.9457,0.9297,0.9297,162792
1972-07-31,0.9243,0.9243,0.9055,0.9109,182394
1972-08-01,0.9004,0.9004,0.8762,0.9004,368406
1972-08-02,0.9030,0.9215,0.9030,0.9215,204408
1972-08-03,0.9271,0.9378,0.9271,0.9297,115992
1972-08-04,0.9243,0.9243,0.9109,0.9190,88398
1972-08-07,0.9243,0.9378,0.9243,0.9271,86400
1972-08-08,0.9271,0.9350,0.9215,0.9350,182394
1972-08-09,0.9350,0.9350,0.9190,0.9243,141606
1972-08-10,0.9243,0.9324,0.9004,0.9004,77994
1972-08-11,0.9004,0.9083,0.8869,0.9083,356796
1972-08-14,0.9083,0.9162,0.9030,0.9162,138006
1972-08-15,0.9162,0.9215,0.9109,0.9109,1567998
1972-08-16,0.9109,0.9162,0.9083,0.9109,121608
1972-08-17,0.9109,0.9162,0.8976,0.8976,49608
1972-08-18,0.8976,0.9162,0.8923,0.9136,179604
1972-08-21,0.9136,0.9324,0.9136,0.9243,270792
1972-08-22,0.9243,0.9350,0.9243,0.9350,74394
1972-08-23,0.9350,0.9457,0.9297,0.9457,121608
1972-08-24,0.9457,0.9617,0.9431,0.9564,207198
1972-08-25,0.9564,0.9617,0.9536,0.9536,77994
1972-08-28,0.9536,0.9589,0.9536,0.9536,74394
1972-08-29,0.9536,0.9671,0.9536,0.9617,262404
1972-08-30,0.9617,0.9724,0.9617,0.9617,207198
1972-08-31,0.9617,0.9671,0.9589,0.9617,265194
1972-09-01,0.9617,0.9617,0.9564,0.9617,66006
1972-09-05,0.9617,0.9671,0.9617,0.9617,104796
1972-09-06,0.9617,0.9698,0.9617,0.9617,254394
1972-09-07,0.9617,0.9698,0.9617,0.9645,67194
1972-09-08,0.9645,0.9724,0.9617,0.9671,352008
1972-09-11,0.9671,0.9698,0.9645,0.9645,57996
1972-09-12,0.9645,0.9671,0.9589,0.9617,149202
1972-09-13,0.9617,0.9617,0.9510,0.9510,328806
1972-09-14,0.9510,0.9564,0.9483,0.9510,111204
