date,open,high,low,close,volume
1972-06-01,4.7503,4.7503,4.6451,4.6742,42000
1972-06-02,4.6742,4.7279,4.6451,4.7011,17600
1972-06-05,4.7011,4.7570,4.6742,4.6742,13200
1972-06-06,4.6451,4.6451,4.5892,4.6160,15700
1972-06-07,4.6160,4.6451,4.6160,4.6160,5000
1972-06-08,4.6160,4.6742,4.5623,4.5623,32900
1972-06-09,4.5623,4.5892,4.5332,4.5332,18500
1972-06-12,4.5332,4.6160,4.5332,4.5892,10600
1972-06-13,4.5892,4.5892,4.4772,4.5332,38400
1972-06-14,4.5041,4.5041,4.4213,4.4213,126800
1972-06-15,4.4213,4.4504,4.4213,4.4504,14100
1972-06-16,4.4504,4.4504,4.3922,4.4504,9000
1972-06-19,4.4504,4.4772,4.4213,4.4504,8500
1972-06-20,4.4504,4.4504,4.3922,4.3922,40600
1972-06-21,4.3922,4.4504,4.3384,4.3384,57000
1972-06-22,4.3384,4.3922,4.3384,4.3922,23700
1972-06-23,4.3922,4.3922,4.3384,4.3922,53000
1972-06-26,4.3922,4.4213,4.3384,4.3653,14400
1972-06-27,4.3653,4.3653,4.3384,4.3653,14200
1972-06-28,4.3653,4.4504,4.3384,4.4504,21000
1972-06-29,4.4504,4.4772,4.3922,4.4504,13300
1972-06-30,4.4504,4.5623,4.4504,4.5332,47100
1972-07-03,4.5332,4.5892,4.4772,4.5332,7300
1972-07-05,4.5892,4.7011,4.5892,4.6742,22400
1972-07-06,4.6742,4.7861,4.6742,4.7861,15300
1972-07-07,4.7861,4.8399,4.7570,4.8399,23900
1972-07-10,4.8399,4.8981,4.7861,4.8690,25600
1972-07-11,4.8130,4.8130,4.7279,4.7279,14400
1972-07-12,4.7279,4.8399,4.7279,4.7861,4800
1972-07-13,4.7861,4.8399,4.7279,4.7279,6000
1972-07-14,4.7279,4.8130,4.7011,4.7570,10600
1972-07-17,4.7570,4.7861,4.7011,4.7279,12300
1972-07-18,4.6742,4.6742,4.6160,4.6160,4400
1972-07-19,4.6160,4.6451,4.5892,4.5892,9300
1972-07-20,4.5892,4.6451,4.5892,4.6160,7500
1972-07-21,4.6160,4.6742,4.5892,4.6742,5500
1972-07-24,4.6742,4.7011,4.6160,4.6742,12600
1972-07-25,4.6742,4.7279,4.5892,4.6451,67600
1972-07-26,4.6451,4.7011,4.6160,4.6160,13800
1972-07-27,4.6160,4.6451,4.5623,4.5623,9900
1972-07-28,4.6160,4.6451,4.6160,4.6160,14300
1972-07-31,4.6160,4.6160,4.5332,4.5623,2800
1972-08-01,4.5623,4.5623,4.5332,4.5623,9000
1972-08-02,4.5623,4.6451,4.5332,4.5332,32100
1972-08-03,4.5332,4.5623,4.4772,4.4772,10700
1972-08-04,4.4772,4.5041,4.4772,4.4772,10500
1972-08-07,4.4772,4.5041,4.3922,4.3922,87100
1972-08-08,4.3922,4.4213,4.3653,4.4213,40600
1972-08-09,4.4213,4.4504,4.3653,4.3922,17100
1972-08-10,4.3922,4.4213,4.3384,4.3922,17200
1972-08-11,4.3922,4.4504,4.3922,4.4213,19600
1972-08-14,4.4213,4.4504,4.3922,4.4504,11200
1972-08-15,4.4504,4.4772,4.4504,4.4504,25100
1972-08-16,4.4504,4.4772,4.4504,4.4772,37800
1972-08-17,4.4772,4.5332,4.4772,4.5041,17500
1972-08-18,4.5041,4.6742,4.5041,4.6451,51800
1972-08-21,4.7011,4.7861,4.7011,4.7570,12800
1972-08-22,4.7861,4.8981,4.7861,4.8399,40400
1972-08-23,4.8690,4.9249,4.8690,4.8690,17600
1972-08-24,4.8981,5.0928,4.8981,5.0369,64400
