date,open,high,low,close,volume
1987-08-25,3.8027,3.8580,3.8027,3.8216,2027000
1987-08-26,3.8274,3.8629,3.8082,3.8274,145000
1987-08-27,3.8274,3.8452,3.7535,3.8274,88500
1987-08-28,3.8274,3.8452,3.7712,3.8452,13200
1987-08-31,3.7712,3.8452,3.7712,3.8452,13200
1987-09-01,3.8452,3.9014,3.6234,3.6603,29700
1987-09-02,3.6603,3.6796,3.5864,3.6234,28400
1987-09-03,3.6234,3.6973,3.5494,3.6973,30600
1987-09-04,3.6973,3.7150,3.6234,3.6234,30900
1987-09-08,3.6234,3.6603,3.5672,3.6234,40800
1987-09-09,3.6234,3.7535,3.6234,3.6411,63300
1987-09-10,3.6411,3.7343,3.6411,3.6796,51700
1987-09-11,3.6796,3.6796,3.5864,3.6411,14100
1987-09-14,3.6411,3.6796,3.5864,3.6411,11500
1987-09-15,3.6056,3.6411,3.5672,3.6056,21700
1987-09-16,3.5864,3.6234,3.5494,3.6234,17000
1987-09-17,3.5864,3.6056,3.5124,3.5864,44200
1987-09-18,3.6234,3.6973,3.6234,3.6796,57900
1987-09-21,3.6796,3.6973,3.6603,3.6603,29000
1987-09-22,3.6411,3.7150,3.6411,3.7150,22900
1987-09-23,3.9561,4.1040,3.9561,4.0670,23300
1987-09-24,3.6234,3.6796,3.6056,3.6234,52300
1987-09-25,3.6603,3.6603,3.5864,3.5864,16400
1987-09-28,3.6056,3.6411,3.5864,3.6234,34800
1987-09-29,3.6234,3.6796,3.5672,3.6796,23200
1987-09-30,3.6603,3.6796,3.6056,3.6603,11800
1987-10-01,3.6796,3.6796,3.6056,3.6796,39800
1987-10-02,3.7150,3.7150,3.6603,3.7150,19500
1987-10-05,3.6796,3.7712,3.6796,3.7535,13500
1987-10-06,3.7150,3.7890,3.6973,3.7343,30000
1987-10-07,3.7150,3.8082,3.6973,3.7890,62300
1987-10-08,3.8082,3.8082,3.7712,3.7890,41600
1987-10-09,3.7535,3.7890,3.7343,3.7535,58600
1987-10-12,3.7535,3.7890,3.6234,3.6796,120600
1987-10-13,3.7712,3.7712,3.6973,3.7712,41400
1987-10-14,3.7712,3.7890,3.7343,3.7535,15900
1987-10-15,3.6603,3.7712,3.6603,3.7343,71800
1987-10-16,3.7535,3.7712,3.6056,3.6056,66500
1987-10-19,3.4015,3.4193,2.9578,3.0140,169100
1987-10-20,3.0495,3.6603,3.0140,3.2536,111700
1987-10-21,3.3838,3.8274,3.3453,3.4385,63500
1987-10-22,3.5864,3.5864,3.2714,3.4385,156000
1987-10-23,3.4385,3.6603,3.3276,3.6603,43100
1987-10-26,3.5672,3.5864,3.5124,3.5317,37500
1987-10-27,3.4932,3.5864,3.4755,3.4755,52700
1987-10-28,3.4755,3.5672,3.3838,3.5494,62100
1987-10-29,3.5864,3.6056,3.4755,3.4932,24300
1987-10-30,3.4577,3.5317,3.4193,3.5317,109400
1987-11-02,3.5317,3.5317,3.3645,3.4755,85500
1987-11-03,3.4755,3.4932,3.4015,3.4385,24600
1987-11-04,3.4385,3.5494,3.4385,3.5317,42000
1987-11-05,3.4755,3.6234,3.4755,3.6234,30400
1987-11-06,3.6234,3.7150,3.6234,3.6603,103900
1987-11-09,3.6603,3.6603,3.5672,3.6234,39600
