date,open,high,low,close,volume
1980-01-02,1.3867,1.3867,1.3619,1.3619,83600
1980-01-03,1.3619,1.3985,1.3619,1.3867,93400
1980-01-04,1.3867,1.4362,1.3867,1.4362,60000
1980-01-07,1.4362,1.4362,1.4114,1.4243,52600
1980-01-08,1.4243,1.4362,1.4114,1.4362,33400
1980-01-09,1.4362,1.4609,1.4362,1.4481,54400
1980-01-10,1.4481,1.4609,1.4481,1.4609,41400
1980-01-11,1.4609,1.4609,1.4481,1.4609,45200
1980-01-14,1.4609,1.4738,1.4481,1.4481,67600
1980-01-15,1.4481,1.4738,1.4114,1.4609,34800
1980-01-16,1.4609,1.4609,1.4481,1.4481,39000
1980-01-17,1.4481,1.4857,1.4362,1.4362,50200
1980-01-18,1.4362,1.4481,1.3490,1.4243,49800
1980-01-21,1.4114,1.4114,1.3867,1.3985,103600
1980-01-22,1.3985,1.4114,1.3867,1.3867,77600
1980-01-23,1.3867,1.4114,1.3867,1.3985,41200
1980-01-24,1.3985,1.4738,1.3867,1.3867,119800
1980-01-25,1.3867,1.3985,1.3748,1.3867,121400
1980-01-28,1.3867,1.3985,1.3748,1.3748,166600
1980-01-29,1.3748,1.3867,1.3748,1.3867,61800
1980-01-30,1.3867,1.3985,1.3748,1.3985,45200
1980-01-31,1.3985,1.4114,1.3867,1.3867,66000
1980-02-01,1.3867,1.4243,1.3867,1.4243,54000
1980-02-04,1.4243,1.4243,1.3985,1.3985,80400
1980-02-05,1.3985,1.4114,1.3867,1.3985,34000
1980-02-06,1.3985,1.4114,1.3985,1.4114,42000
1980-02-07,1.4114,1.4114,1.3867,1.3867,76400
1980-02-08,1.3867,1.4114,1.3867,1.3867,66000
1980-02-11,1.3867,1.3985,1.3867,1.3867,57800
1980-02-12,1.3867,1.3985,1.3867,1.3867,56000
1980-02-13,1.3985,1.4114,1.3985,1.3985,61800
1980-02-14,1.3985,1.4114,1.3985,1.4114,76000
1980-02-15,1.3619,1.3619,1.3371,1.3490,100600
1980-02-19,1.3490,1.3619,1.3371,1.3490,94800
1980-02-20,1.3490,1.3490,1.2995,1.3124,146000
1980-02-21,1.3124,1.3371,1.3124,1.3252,60800
1980-02-22,1.3252,1.3252,1.3124,1.3252,51600
1980-02-25,1.3252,1.3252,1.2757,1.2757,171000
1980-02-26,1.2757,1.2876,1.2757,1.2757,68000
1980-02-27,1.2757,1.2757,1.2500,1.2500,121400
1980-02-28,1.2500,1.2628,1.2500,1.2628,57600
1980-02-29,1.2628,1.2876,1.2500,1.2876,63200
1980-03-03,1.2876,1.2995,1.2628,1.2876,100000
1980-03-04,1.2876,1.2876,1.2500,1.2628,91200
1980-03-05,1.2628,1.2757,1.2381,1.2500,218200
1980-03-06,1.2500,1.2500,1.2004,1.2133,106600
1980-03-07,1.2133,1.2500,1.2004,1.2381,91400
1980-03-10,1.2381,1.2628,1.2262,1.2381,88600
1980-03-11,1.2381,1.2628,1.2262,1.2381,198200
1980-03-12,1.2381,1.2381,1.2004,1.2262,195600
1980-03-13,1.2262,1.2381,1.2133,1.2262,55000
1980-03-14,1.2262,1.2381,1.2133,1.2381,68600
1980-03-17,1.2381,1.2628,1.2133,1.2133,68800
1980-03-18,1.2133,1.2628,1.2133,1.2500,104400
1980-03-19,1.2500,1.2500,1.2381,1.2381,57200
1980-03-20,1.2381,1.2500,1.2133,1.2262,57200
1980-03-21,1.2262,1.2500,1.2262,1.2381,49400
1980-03-24,1.2262,1.2262,1.1886,1.1886,145200
1980-03-25,1.1886,1.2133,1.1767,1.2004,107800
1980-03-26,1.2004,1.2004,1.1886,1.1886,103200
1980-03-27,1.1886,1.2004,1.1886,1.2004,84800
1980-03-28,1.2004,1.2004,1.1886,1.2004,78000
1980-03-31,1.2004,1.2133,1.1886,1.2133,97000
1980-04-01,1.2133,1.2381,1.2133,1.2262,83400
1980-04-02,1.2500,1.2876,1.2500,1.2628,105600
1980-04-03,1.2628,1.3619,1.2500,1.2876,73800
1980-04-07,1.2876,1.2995,1.2628,1.2876,97200
1980-04-08,1.2876,1.2876,1.2757,1.2876,67000
1980-04-09,1.2876,1.2995,1.2757,1.2876,91400
1980-04-10,1.2995,1.3371,1.2995,1.3371,80000
1980-04-11,1.3371,1.3619,1.3371,1.3619,69600
1980-04-14,1.3619,1.3619,1.3371,1.3490,78400
1980-04-15,1.3490,1.3619,1.3371,1.3619,48200
1980-04-16,1.3619,1.3985,1.3619,1.3867,62000
1980-04-17,1.3867,1.4243,1.3867,1.4114,106000
1980-04-18,1.4114,1.4114,1.3867,1.4114,104400
1980-04-21,1.3985,1.3985,1.3867,1.3985,61800
1980-04-22,1.3985,1.3985,1.3748,1.3748,57800
1980-04-23,1.3748,1.3867,1.3619,1.3748,81400
1980-04-24,1.3748,1.3985,1.3619,1.3748,145400
1980-04-25,1.3748,1.3985,1.3748,1.3867,57800
1980-04-28,1.3867,1.3985,1.3748,1.3867,82000
1980-04-29,1.3867,1.3867,1.3748,1.3867,48200
1980-04-30,1.3867,1.3985,1.3748,1.3985,47800
1980-05-01,1.3985,1.3985,1.3748,1.3867,38600
1980-05-02,1.3867,1.3867,1.3748,1.3867,29600
1980-05-05,1.3867,1.4114,1.3748,1.4114,96000
1980-05-06,1.4243,1.4609,1.4243,1.4609,171400
1980-05-07,1.4609,1.4976,1.4609,1.4976,76000
1980-05-08,1.4976,1.5233,1.4857,1.5105,105200
1980-05-09,1.5105,1.5105,1.4738,1.4857,40600
1980-05-12,1.4976,1.5105,1.4976,1.5105,27400
1980-05-13,1.5105,1.5352,1.4976,1.5233,106600
1980-05-14,1.5233,1.5471,1.5233,1.5471,57200
1980-05-15,1.5471,1.5600,1.5233,1.5352,171800
1980-05-16,1.5352,1.5471,1.5352,1.5471,41800
1980-05-19,1.5471,1.5471,1.4976,1.4976,53600
1980-05-20,1.4976,1.5233,1.4976,1.5105,90800
1980-05-21,1.4481,1.4481,1.4243,1.4481,132000
1980-05-22,1.4481,1.4609,1.4362,1.4481,68000
1980-05-23,1.4481,1.4738,1.4481,1.4609,181200
1980-05-27,1.4609,1.4738,1.4362,1.4481,64400
1980-05-28,1.4481,1.4609,1.4243,1.4362,38200
1980-05-29,1.4362,1.4362,1.3985,1.4114,94800
1980-05-30,1.4114,1.4362,1.3985,1.4362,77000
1980-06-02,1.4362,1.4362,1.4114,1.4243,58600
1980-06-03,1.4243,1.4362,1.3985,1.4114,83400
1980-06-04,1.4114,1.4362,1.4114,1.4243,39400
1980-06-05,1.4243,1.4362,1.4114,1.4114,136800
1980-06-06,1.4114,1.4362,1.3867,1.4243,102800
1980-06-09,1.4243,1.4243,1.3985,1.4114,45600
1980-06-10,1.4114,1.4114,1.3985,1.4114,77400
1980-06-11,1.4114,1.4362,1.3985,1.4243,66600
1980-06-12,1.4243,1.4362,1.4114,1.4243,69000
1980-06-13,1.4362,1.5471,1.4362,1.4481,122000
1980-06-16,1.4481,1.4738,1.4362,1.4738,74800
1980-06-17,1.4738,1.5233,1.4114,1.4976,192000
1980-06-18,1.4976,1.5105,1.4976,1.4976,107800
1980-06-19,1.4976,1.5105,1.4976,1.5105,84000
1980-06-20,1.5105,1.5105,1.4976,1.4976,86000
1980-06-23,1.4976,1.4976,1.4481,1.4609,87000
1980-06-24,1.4609,1.4738,1.4481,1.4481,159000
1980-06-25,1.4481,1.4738,1.4481,1.4609,70000
1980-06-26,1.4609,1.4738,1.4243,1.4243,90800
1980-06-27,1.4481,1.4738,1.4481,1.4609,59800
1980-06-30,1.4609,1.4738,1.4362,1.4362,67600
1980-07-01,1.4362,1.4481,1.4362,1.4362,70200
1980-07-02,1.4362,1.4857,1.4362,1.4857,127800
1980-07-03,1.4857,1.4976,1.4609,1.4857,118400
1980-07-07,1.4857,1.4976,1.4857,1.4857,72600
1980-07-08,1.4857,1.4976,1.4857,1.4976,120400
1980-07-09,1.4857,1.4857,1.4609,1.4738,71800
1980-07-10,1.4738,1.4857,1.4609,1.4738,62000
1980-07-11,1.4738,1.4857,1.4738,1.4738,353200
1980-07-14,1.4738,1.4857,1.4738,1.4857,165000
1980-07-15,1.4857,1.4857,1.4738,1.4738,89400
1980-07-16,1.4738,1.4857,1.4738,1.4857,108200
1980-07-17,1.4857,1.4857,1.4481,1.4609,283600
1980-07-18,1.4609,1.4609,1.4481,1.4609,155800
1980-07-21,1.4609,1.4609,1.4481,1.4609,96600
1980-07-22,1.4609,1.4609,1.4481,1.4609,79600
1980-07-23,1.4609,1.4609,1.4362,1.4481,151600
1980-07-24,1.4481,1.4609,1.4362,1.4362,143600
1980-07-25,1.4362,1.4609,1.4114,1.4481,96800
1980-07-28,1.4481,1.4481,1.4362,1.4362,57800
1980-07-29,1.4362,1.4609,1.4362,1.4481,89000
1980-07-30,1.4481,1.4481,1.4362,1.4481,71800
1980-07-31,1.4481,1.4481,1.4243,1.4362,88600
1980-08-01,1.4362,1.4481,1.4243,1.4243,60600
1980-08-04,1.4243,1.4362,1.4243,1.4362,89800
1980-08-05,1.4362,1.4481,1.4243,1.4481,103600
1980-08-06,1.4481,1.4481,1.4362,1.4362,52200
1980-08-07,1.4362,1.4738,1.4114,1.4362,196200
1980-08-08,1.4362,1.4362,1.4114,1.4243,123000
1980-08-11,1.4243,1.4362,1.4114,1.4243,69600
1980-08-12,1.4243,1.4243,1.4114,1.4243,85200
1980-08-13,1.4243,1.4362,1.4114,1.4114,73200
1980-08-14,1.4114,1.4362,1.4114,1.4362,54200
1980-08-15,1.4362,1.4481,1.4243,1.4362,95400
1980-08-18,1.4362,1.4362,1.4243,1.4243,74400
1980-08-19,1.4243,1.4362,1.4114,1.4243,86800
1980-08-20,1.4243,1.4362,1.4114,1.4243,206200
1980-08-21,1.3748,1.3748,1.3619,1.3619,193200
1980-08-22,1.3619,1.3748,1.3371,1.3371,129800
1980-08-25,1.3371,1.3619,1.3371,1.3490,121400
1980-08-26,1.3490,1.3619,1.3371,1.3490,88600
1980-08-27,1.3490,1.3490,1.3371,1.3371,72200
1980-08-28,1.3371,1.3490,1.3371,1.3371,103000
1980-08-29,1.3371,1.3490,1.3252,1.3252,106400
1980-09-02,1.3371,1.3619,1.3371,1.3490,75200
1980-09-03,1.3490,1.3748,1.3490,1.3490,85200
1980-09-04,1.3490,1.3748,1.3490,1.3619,96400
1980-09-05,1.3619,1.3619,1.3490,1.3619,73600
1980-09-08,1.3619,1.3619,1.3490,1.3619,63000
1980-09-09,1.3619,1.3619,1.3371,1.3490,62000
1980-09-10,1.3490,1.3619,1.3371,1.3490,82400
1980-09-11,1.3490,1.3748,1.3490,1.3490,63600
1980-09-12,1.3490,1.3748,1.3490,1.3619,85400
1980-09-15,1.3619,1.3748,1.3371,1.3371,85200
1980-09-16,1.3371,1.3490,1.3371,1.3490,96400
1980-09-17,1.3490,1.3490,1.3252,1.3252,234600
1980-09-18,1.3252,1.3371,1.2876,1.3124,271800
1980-09-19,1.3124,1.3252,1.2995,1.3124,101400
1980-09-22,1.3124,1.3124,1.2876,1.2995,217800
1980-09-23,1.2995,1.2995,1.2876,1.2876,224000
1980-09-24,1.2876,1.3619,1.2876,1.3124,67800
1980-09-25,1.3124,1.3124,1.2876,1.2995,93600
1980-09-26,1.2995,1.2995,1.2757,1.2995,68800
1980-09-29,1.2995,1.2995,1.2876,1.2995,98600
1980-09-30,1.2995,1.3124,1.2876,1.2995,76400
1980-10-01,1.2995,1.3124,1.2876,1.2995,90600
1980-10-02,1.3124,1.3252,1.3124,1.3252,86200
1980-10-03,1.3252,1.3252,1.3124,1.3252,71200
1980-10-06,1.3252,1.3371,1.3124,1.3252,80400
1980-10-07,1.3252,1.3490,1.3252,1.3490,56600
1980-10-08,1.3490,1.3619,1.3371,1.3371,88000
1980-10-09,1.3371,1.3490,1.3252,1.3371,65800
1980-10-10,1.3371,1.3371,1.3252,1.3252,77400
1980-10-13,1.3252,1.3371,1.3252,1.3371,43800
1980-10-14,1.3371,1.3371,1.3124,1.3124,85200
1980-10-15,1.3124,1.3371,1.2995,1.3124,185000
1980-10-16,1.3124,1.3252,1.3124,1.3124,82000
1980-10-17,1.3124,1.3252,1.3124,1.3124,86200
1980-10-20,1.3124,1.3252,1.3124,1.3124,97800
1980-10-21,1.3124,1.3252,1.3124,1.3124,68800
1980-10-22,1.3124,1.3252,1.3124,1.3124,47400
1980-10-23,1.3124,1.3252,1.2876,1.3252,73000
1980-10-24,1.3252,1.3371,1.2995,1.3124,66600
1980-10-27,1.3124,1.3252,1.2995,1.2995,128000
1980-10-28,1.2995,1.3252,1.2995,1.2995,111400
1980-10-29,1.2995,1.3124,1.2995,1.2995,93000
1980-10-30,1.2995,1.3124,1.2995,1.2995,107200
1980-10-31,1.2995,1.3124,1.2876,1.2995,64400
1980-11-03,1.3124,1.3252,1.3124,1.3252,163200
1980-11-05,1.2876,1.2876,1.2500,1.2628,211000
1980-11-06,1.2628,1.2757,1.2500,1.2628,163800
1980-11-07,1.2628,1.2757,1.2133,1.2757,149600
1980-11-10,1.2757,1.2876,1.2628,1.2876,94200
1980-11-11,1.2876,1.2876,1.2004,1.2876,91600
1980-11-12,1.2876,1.2995,1.2757,1.2995,106400
1980-11-13,1.2995,1.2995,1.2628,1.2876,160200
1980-11-14,1.2876,1.2876,1.2628,1.2628,116600
1980-11-17,1.2628,1.2628,1.2381,1.2500,126800
1980-11-18,1.2500,1.2628,1.2381,1.2500,189800
1980-11-19,1.2500,1.2757,1.2500,1.2500,103200
1980-11-20,1.2500,1.2757,1.1886,1.2381,105800
1980-11-21,1.2381,1.2628,1.2381,1.2381,130800
1980-11-24,1.2381,1.2500,1.2133,1.2133,174000
1980-11-25,1.2133,1.2262,1.2133,1.2133,131000
1980-11-26,1.2133,1.2381,1.1886,1.2004,137400
1980-11-28,1.2004,1.2133,1.2004,1.2133,142400
1980-12-01,1.2133,1.2133,1.2004,1.2004,163600
1980-12-02,1.2004,1.2004,1.1886,1.1886,155600
1980-12-03,1.1886,1.2133,1.1886,1.2004,119200
1980-12-04,1.2004,1.2133,1.2004,1.2004,103000
1980-12-05,1.2004,1.2381,1.1886,1.1886,130800
1980-12-08,1.1886,1.2004,1.1886,1.1886,164200
1980-12-09,1.1886,1.2262,1.1886,1.2004,133000
1980-12-10,1.2004,1.2004,1.1886,1.2004,143200
1980-12-11,1.2004,1.2004,1.1767,1.2004,174000
1980-12-12,1.2004,1.2004,1.1767,1.1886,400000
1980-12-15,1.1767,1.1767,1.1390,1.1390,450000
1980-12-16,1.1390,1.1638,1.1271,1.1509,297000
1980-12-17,1.1509,1.1638,1.1271,1.1638,353600
1980-12-18,1.1638,1.2262,1.1638,1.2133,255200
1980-12-19,1.2133,1.2381,1.2133,1.2262,426400
1980-12-22,1.2500,1.2876,1.2500,1.2876,244400
1980-12-23,1.2876,1.3124,1.2757,1.2995,224800
1980-12-24,1.2995,1.2995,1.2876,1.2876,70600
1980-12-26,1.2876,1.2995,1.2757,1.2757,66400
1980-12-29,1.2757,1.2757,1.2500,1.2628,177200
1980-12-30,1.2628,1.2628,1.2500,1.2500,150400
1980-12-31,1.2500,1.2628,1.2381,1.2381,175600
1981-01-02,1.2381,1.2757,1.2381,1.2757,92000
