date,open,high,low,close,volume
1990-03-26,0.6101,0.6101,0.6101,0.6101,352000
1990-03-27,0.6071,0.6133,0.6071,0.6071,48000
1990-03-28,0.6133,0.6133,0.6071,0.6071,864000
1990-03-29,0.6071,0.6133,0.6010,0.6133,601600
1990-03-30,0.6010,0.6071,0.6010,0.6010,419200
1990-04-02,0.6071,0.6071,0.6010,0.6040,3363200
1990-04-03,0.6133,0.6133,0.6040,0.6071,1315200
1990-04-04,0.6010,0.6010,0.6010,0.6010,6400
1990-04-05,0.6010,0.6040,0.5949,0.6040,185600
1990-04-06,0.5887,0.6010,0.5887,0.6010,9724800
1990-04-09,0.5949,0.6071,0.5949,0.6071,115200
1990-04-10,0.5887,0.5949,0.5887,0.5887,118400
1990-04-11,0.6071,0.6071,0.5887,0.5887,57600
1990-04-12,0.6010,0.6010,0.5949,0.5949,140800
1990-04-16,0.5887,0.6010,0.5887,0.6010,54400
1990-04-17,0.6010,0.6010,0.5765,0.5887,7772800
1990-04-18,0.5887,0.6010,0.5887,0.5949,281600
1990-04-19,0.6010,0.6010,0.5887,0.5887,537600
1990-04-20,0.5856,0.5856,0.5856,0.5856,25600
1990-04-23,0.5949,0.5949,0.5949,0.5949,3200
1990-04-24,0.5949,0.5949,0.5765,0.5765,272000
1990-04-25,0.5949,0.5949,0.5765,0.5765,204800
1990-04-26,0.5765,0.5765,0.5765,0.5765,0
1990-04-27,0.5765,0.5887,0.5765,0.5765,67200
1990-04-30,0.5826,0.5826,0.5765,0.5765,240000
1990-05-01,0.5887,0.5887,0.5765,0.5826,332800
1990-05-02,0.5949,0.5949,0.5949,0.5949,22400
1990-05-03,0.5949,0.5949,0.5949,0.5949,92800
1990-05-04,0.5949,0.5949,0.5949,0.5949,22400
1990-05-07,0.5949,0.6194,0.5949,0.6194,204800
1990-05-08,0.6255,0.6317,0.6071,0.6071,236800
1990-05-09,0.6194,0.6194,0.5949,0.5949,169600
1990-05-10,0.5949,0.6071,0.5949,0.6040,227200
1990-05-11,0.6071,0.6071,0.6071,0.6071,281600
1990-05-14,0.5949,0.6071,0.5949,0.6010,928000
