date,open,high,low,close,volume
2004-08-16,6.0277,6.0421,6.0277,6.0277,188800
2004-08-17,6.0277,6.0470,6.0277,6.0325,153600
2004-08-18,6.0277,6.1000,6.0277,6.0325,149800
2004-08-19,6.0277,6.0518,6.0277,6.0421,126900
2004-08-20,6.0421,6.0711,6.0277,6.0518,144900
2004-08-23,6.0518,6.0711,6.0277,6.0518,64400
2004-08-24,6.0518,6.2639,6.0518,6.2591,382900
2004-08-25,6.1482,6.3122,6.1482,6.2688,500200
2004-08-26,6.2929,6.4858,6.2447,6.4520,435200
2004-08-27,6.4617,6.5726,6.3700,6.4858,694300
2004-08-30,6.4858,6.5533,6.4375,6.5002,119100
2004-08-31,6.5292,6.6545,6.2688,6.6545,261900
2004-09-01,6.8956,6.9342,6.4713,6.5822,170900
2004-09-02,6.5822,6.6931,6.3170,6.6497,149200
2004-09-03,6.5340,6.6738,6.5099,6.5822,88600
2004-09-07,6.5340,6.6787,6.4906,6.6545,101100
2004-09-08,6.6545,6.6690,6.5629,6.5822,93800
2004-09-09,6.5822,6.6111,6.4665,6.5051,113900
2004-09-10,6.4617,6.6208,6.3893,6.5581,139900
2004-09-13,6.3683,6.6843,6.2905,6.6648,223700
2004-09-14,6.6356,6.6356,6.4655,6.5676,130000
2004-09-15,6.4655,6.5870,6.3634,6.4898,138800
2004-09-16,6.4898,6.5530,6.3683,6.4801,126300
2004-09-17,6.1009,6.6308,6.1009,6.6308,400200
2004-09-20,6.5822,6.6308,6.3829,6.4898,112300
2004-09-21,6.4655,6.6113,6.4558,6.5481,243700
2004-09-22,6.4169,6.6211,6.3440,6.5627,455800
2004-09-23,6.5141,6.6356,6.4266,6.4606,211000
2004-09-24,6.4655,6.5870,6.4412,6.5627,67500
2004-09-27,6.5870,6.5870,6.2856,6.3440,182200
2004-09-28,6.3488,6.3877,6.1398,6.2759,202900
2004-09-29,6.3731,6.3780,6.1252,6.2613,159900
2004-09-30,6.2467,6.2467,5.9794,6.1981,1156500
2004-10-01,6.2030,6.3488,6.1252,6.3197,217900
2004-10-04,6.3245,6.3440,6.2710,6.2905,122500
2004-10-05,6.2710,6.3342,6.2322,6.2516,128300
2004-10-06,6.2516,6.3926,6.2516,6.3683,447600
2004-10-07,6.3197,6.5093,6.3002,6.3294,160200
2004-10-08,6.3440,6.4266,6.3197,6.4266,118000
2004-10-11,6.4266,6.4412,6.3197,6.3683,90300
2004-10-12,6.3683,6.4412,6.3051,6.3683,69000
2004-10-13,6.3926,6.4655,6.2954,6.3002,75500
2004-10-14,6.3002,6.3488,6.2856,6.3488,44100
2004-10-15,6.3391,6.4023,6.2565,6.3099,73600
2004-10-18,6.3440,6.5141,6.2759,6.3780,52000
2004-10-19,6.3683,6.5627,6.3440,6.3440,56200
2004-10-20,6.2954,6.3683,6.2467,6.3683,57400
2004-10-21,6.3440,6.5141,6.2710,6.5044,49500
2004-10-22,6.5044,6.5627,6.4606,6.4655,75200
2004-10-25,6.4509,6.5579,6.4169,6.4655,99500
2004-10-26,6.4412,6.6600,6.4169,6.5870,137200
2004-10-27,6.5627,6.8058,6.5141,6.7572,173800
2004-10-28,6.8058,6.9322,6.7086,6.7669,107400
2004-10-29,6.7815,6.7863,6.5627,6.7377,233700
2004-11-01,6.6891,6.7863,6.6065,6.6794,60200
2004-11-02,6.7280,6.8544,6.7086,6.7377,93500
2004-11-03,6.7572,6.8301,6.6113,6.7572,84400
2004-11-04,6.7572,6.9225,6.7086,6.8058,47500
2004-11-05,6.8058,6.8787,6.7086,6.8301,55700
2004-11-08,6.8544,6.8933,6.7815,6.8301,63500
2004-11-09,6.8301,6.9225,6.7086,6.8447,129100
2004-11-10,6.8398,7.0343,6.6600,6.8690,59300
2004-11-11,6.8690,6.9030,6.8058,6.8787,44800
2004-11-12,6.8787,6.9079,6.8252,6.8544,39100
2004-11-15,6.8544,7.0732,6.7329,6.9759,133400
2004-11-16,6.9030,6.9030,6.6356,6.8544,74900
2004-11-17,6.8787,6.9954,6.8544,6.9030,120700
2004-11-18,6.8544,6.9273,6.7231,6.8301,43800
2004-11-19,6.8350,6.8787,6.7620,6.8301,22100
2004-11-22,6.8301,6.8933,6.7086,6.8933,71600
2004-11-23,7.0002,7.0002,6.6600,6.8738,108600
2004-11-24,6.8738,6.9030,6.7572,6.7961,80900
2004-11-26,6.7961,6.8058,6.7377,6.7572,25400
2004-11-29,6.7815,6.8544,6.7329,6.8058,115500
2004-11-30,6.8544,6.8544,6.6648,6.7572,83400
2004-12-01,6.7329,6.8593,6.6648,6.8058,145900
2004-12-02,6.8301,6.9273,6.8301,6.9030,46500
2004-12-03,6.9030,7.0002,6.9030,6.9759,75400
2004-12-06,7.0245,7.0245,6.8058,6.8787,94800
2004-12-07,6.8787,6.9030,6.7523,6.8058,326800
2004-12-08,6.8106,6.8787,6.8058,6.8301,621000
2004-12-09,6.8443,6.8492,6.7454,6.7949,84700
2004-12-10,6.7949,6.8146,6.7108,6.7603,83300
2004-12-13,6.7949,6.8591,6.5576,6.7652,98600
2004-12-14,6.7108,6.7701,6.6466,6.6762,139100
2004-12-15,6.6762,6.7603,6.5972,6.6021,75000
2004-12-16,6.6021,6.7207,6.5527,6.6169,192700
2004-12-17,6.6565,6.6565,6.5329,6.5675,134800
2004-12-20,6.5231,6.6219,6.5181,6.5626,63600
2004-12-21,6.5725,6.6071,6.5478,6.6021,112300
2004-12-22,6.6021,6.7207,6.5527,6.7010,71200
2004-12-23,6.7454,6.8146,6.6713,6.6960,44100
2004-12-27,6.6960,6.7553,6.5824,6.6367,31500
2004-12-28,6.6367,6.7553,6.5972,6.7207,50400
2004-12-29,6.7454,6.7504,6.5231,6.5972,58800
2004-12-30,6.6219,6.7356,6.5873,6.6219,98600
2004-12-31,6.6713,6.6713,6.5527,6.5873,43700
2005-01-03,6.5972,6.6614,6.3353,6.5675,157500
2005-01-04,6.6219,6.8196,6.6219,6.6318,74700
2005-01-05,6.6713,6.6713,6.4045,6.4242,77800
2005-01-06,6.4736,6.7108,6.4242,6.6466,60800
2005-01-07,6.6713,6.8937,6.5626,6.7998,68600
2005-01-10,6.7504,6.7800,6.6219,6.6268,123200
2005-01-11,6.6219,6.6664,6.4736,6.6515,41800
2005-01-12,6.6960,6.7059,6.4786,6.6713,120200
2005-01-13,6.6219,6.6367,6.4242,6.4489,281100
2005-01-14,6.5478,6.8492,6.5181,6.8492,525800
2005-01-18,6.6466,6.6466,6.3995,6.5478,790700
2005-01-19,6.5231,6.6417,6.3254,6.5725,1628200
2005-01-20,6.6219,6.6219,6.4736,6.4983,229000
2005-01-21,6.5132,6.5231,6.4588,6.5132,64500
2005-01-24,6.5082,6.5478,6.4885,6.5379,161900
2005-01-25,6.5379,6.5725,6.3995,6.4786,246300
2005-01-26,6.5231,6.5231,6.3254,6.3995,94400
2005-01-27,6.3995,6.4539,6.3946,6.4242,61500
2005-01-28,6.4736,6.4736,6.3254,6.3946,114800
2005-01-31,6.4143,6.4539,6.3007,6.4094,208200
2005-02-01,6.4094,6.4687,6.3995,6.4489,283000
2005-02-02,6.4588,6.5181,6.3303,6.4045,162300
2005-02-03,6.4638,6.5082,6.3649,6.4242,76800
2005-02-04,6.3748,6.5774,6.3649,6.5231,175800
2005-02-07,6.5675,6.6071,6.5329,6.5576,65300
2005-02-08,6.5576,6.5972,6.5478,6.5972,65200
2005-02-09,6.6071,6.6515,6.5231,6.5675,87300
2005-02-10,6.6169,6.7108,6.5725,6.6812,90200
2005-02-11,6.6812,6.8937,6.6812,6.8393,84100
2005-02-14,6.8887,6.9925,6.7207,6.8146,68000
2005-02-15,6.8196,6.9678,6.6960,6.7454,82800
2005-02-16,6.7949,6.9925,6.7701,6.9332,135200
2005-02-17,6.9826,6.9826,6.7454,6.9332,102200
2005-02-18,6.9826,6.9826,6.7998,6.9085,230400
2005-02-22,6.9085,6.9085,6.7454,6.7751,75400
2005-02-23,6.8245,6.8937,6.7949,6.8196,60400
2005-02-24,6.8294,6.8789,6.7405,6.8196,227200
2005-02-25,6.7949,7.0419,6.7949,6.9184,112000
2005-02-28,6.9184,6.9184,6.7701,6.8690,102500
2005-03-01,6.9678,7.0172,6.8492,6.9184,99000
2005-03-02,6.9925,7.0370,6.8690,6.9382,60700
2005-03-03,6.9678,6.9876,6.8690,6.8690,51700
2005-03-04,6.9678,6.9876,6.8986,6.9579,104600
2005-03-07,6.9579,6.9826,6.8789,6.9431,134200
2005-03-08,6.9925,7.0666,6.9283,6.9678,36300
2005-03-09,6.9431,7.0123,6.7701,6.9431,90700
2005-03-10,6.9678,6.9925,6.7998,6.9085,41300
2005-03-11,6.9324,7.0027,6.7817,6.9073,70500
2005-03-14,6.9374,6.9374,6.8068,6.8822,24600
2005-03-15,6.9073,6.9927,6.7465,6.7867,31000
2005-03-16,6.7867,6.7867,6.6410,6.7214,49700
2005-03-17,6.7566,6.8018,6.6561,6.7817,54400
2005-03-18,6.8319,6.9023,6.6812,6.8369,268800
2005-03-21,6.8570,6.8822,6.7214,6.7515,137000
2005-03-22,6.7315,6.8018,6.6511,6.6712,60600
2005-03-23,6.6561,6.6561,6.4451,6.5607,184200
2005-03-24,6.5305,6.5807,6.4753,6.5154,54000
2005-03-28,6.5305,6.5506,6.3396,6.4150,33100
2005-03-29,6.3647,6.4300,6.3045,6.4300,88300
2005-03-30,6.4803,6.7264,6.4753,6.7114,74600
2005-03-31,6.6812,6.7817,6.4853,6.7817,158700
2005-04-01,6.8118,6.8520,6.4853,6.5255,106000
2005-04-04,6.5556,6.5807,6.4552,6.5255,60200
2005-04-05,6.5255,6.6511,6.5205,6.6109,29800
2005-04-06,6.6109,6.7666,6.5807,6.6260,46500
2005-04-07,6.6059,6.8118,6.5908,6.6812,302800
2005-04-08,6.6812,6.7315,6.4049,6.5607,51400
2005-04-11,6.5807,6.6310,6.4803,6.5355,27600
2005-04-12,6.5406,6.6260,6.4351,6.5807,48700
2005-04-13,6.6059,6.7063,6.5406,6.6862,509700
2005-04-14,6.6862,6.7114,6.5908,6.6712,180600
2005-04-15,6.6712,6.7214,6.5707,6.5707,35600
2005-04-18,6.5556,6.6310,6.5305,6.5958,53000
2005-04-19,6.6059,6.8470,6.5305,6.6059,70800
2005-04-20,6.5958,6.6611,6.5556,6.5908,176800
2005-04-21,6.6561,6.6561,6.5305,6.5908,44800
2005-04-22,6.5607,6.5657,6.4049,6.4401,120900
2005-04-25,6.4401,6.6209,6.4300,6.6159,118400
2005-04-26,6.6310,6.6561,6.4351,6.5004,150900
2005-04-27,6.5054,6.6159,6.4803,6.5506,31600
2005-04-28,6.5154,6.5556,6.4552,6.4903,29700
2005-04-29,6.5305,6.5506,6.4552,6.5305,68800
2005-05-02,6.5807,6.5807,6.4803,6.5305,35400
2005-05-03,6.5657,6.6059,6.5154,6.5355,80100
2005-05-04,6.5305,6.5556,6.4702,6.4803,73200
2005-05-05,6.4953,6.5556,6.4049,6.4753,142500
2005-05-06,6.4049,6.4903,6.3396,6.4451,441900
2005-05-09,6.4451,6.5556,6.4300,6.5054,82800
2005-05-10,6.5054,6.5054,6.3296,6.4803,191300
2005-05-11,6.4803,6.4803,6.3246,6.4351,381100
2005-05-12,6.4401,6.4401,6.2793,6.3396,135800
2005-05-13,6.3045,6.4552,6.1236,6.4552,174200
2005-05-16,6.4150,6.5305,6.4150,6.4652,98900
2005-05-17,6.4803,6.5054,6.4300,6.4903,67000
2005-05-18,6.5054,6.6059,6.5004,6.5607,82600
2005-05-19,6.5305,6.6561,6.5305,6.6059,34800
2005-05-20,6.5807,6.6762,6.5506,6.6360,203400
2005-05-23,6.6661,6.9274,6.6661,6.7968,117400
2005-05-24,6.8319,6.9023,6.8018,6.8570,136500
2005-05-25,6.8721,6.9023,6.8118,6.8420,144800
2005-05-26,6.8822,6.9726,6.8319,6.9575,155900
2005-05-27,6.9826,7.1333,6.9123,7.1233,121700
2005-05-31,7.0730,7.2840,7.0730,7.2338,796800
2005-06-01,7.2589,7.2589,6.8822,7.0781,232300
2005-06-02,7.0781,7.1333,6.8319,7.0730,98500
2005-06-03,7.1233,7.1333,7.0128,7.1082,104700
2005-06-06,7.1082,7.2589,7.0429,7.2187,226200
2005-06-07,7.2238,7.2891,7.2187,7.2589,312200
2005-06-08,7.2690,7.2840,7.1836,7.2338,31200
2005-06-09,7.2589,7.2589,7.0429,7.1534,50700
2005-06-10,7.1936,7.2539,7.1082,7.1635,76400
2005-06-13,7.1442,7.3381,7.1442,7.3330,91700
2005-06-14,7.3075,7.3687,7.1697,7.3534,69400
2005-06-15,7.3228,7.3483,7.2054,7.2718,162000
2005-06-16,7.2718,7.2718,7.1697,7.2105,128000
2005-06-17,7.2105,7.2922,7.1952,7.1952,210800
2005-06-20,7.2054,7.2871,7.0268,7.0421,216300
2005-06-21,7.0421,7.2922,7.0421,7.2156,321800
2005-06-22,7.2616,7.2973,7.1901,7.2616,48300
2005-06-23,7.2616,7.3994,7.1442,7.1697,101900
2005-06-24,7.1697,7.4147,7.1238,7.3789,748800
2005-06-27,7.1952,7.5116,7.1952,7.3942,85900
2005-06-28,7.4453,7.5014,7.4453,7.4912,67100
2005-06-29,7.4963,7.5269,7.3994,7.4657,51100
2005-06-30,7.5116,7.5269,7.2667,7.3126,228900
2005-07-01,7.3483,7.4402,7.3075,7.4351,26000
2005-07-05,7.3994,7.7055,7.3994,7.6035,86900
2005-07-06,7.6035,7.8178,7.3942,7.4249,260200
2005-07-07,7.3994,7.6545,7.3994,7.5780,67900
2005-07-08,7.6035,7.8076,7.5933,7.7055,56700
2005-07-11,7.7055,8.2924,7.7055,8.0781,163100
2005-07-12,8.0372,8.1903,8.0168,8.1189,59700
2005-07-13,8.1648,8.1750,7.9607,8.1444,152700
2005-07-14,8.1903,8.2618,7.9627,7.9913,107900
2005-07-15,7.9862,8.0883,7.8229,8.0168,88700
2005-07-18,8.0219,8.0985,7.7668,8.0627,53100
2005-07-19,8.0934,8.2465,8.0627,8.2158,38100
2005-07-20,8.1750,8.5271,8.1648,8.4506,61600
2005-07-21,8.4455,8.4710,8.1648,8.1750,58800
2005-07-22,8.1852,8.2618,8.1393,8.2158,57400
2005-07-25,8.2209,8.2413,8.0627,8.1444,138200
2005-07-26,8.1648,8.2465,8.0627,8.2413,273100
2005-07-27,8.2567,8.2873,8.1342,8.2413,196000
2005-07-28,8.2567,8.3179,8.1444,8.2873,245300
2005-07-29,8.2975,8.3434,8.1291,8.2362,68700
2005-08-01,8.2567,8.3689,8.1699,8.2669,174800
2005-08-02,8.2669,8.2669,8.1648,8.2669,192100
2005-08-03,8.2618,8.2669,8.1903,8.2618,50200
2005-08-04,8.2413,8.2771,7.9862,8.0168,59100
2005-08-05,8.0219,8.0219,7.4912,7.6443,144200
2005-08-08,7.6647,7.7055,7.4249,7.5422,165200
2005-08-09,7.5524,7.5780,7.4096,7.5014,60700
2005-08-10,7.5524,7.8841,7.5524,7.8637,102200
2005-08-11,7.9454,7.9454,7.6596,7.7821,99500
2005-08-12,7.7821,7.8382,7.5269,7.5524,123200
2005-08-15,7.5780,7.6443,7.4504,7.6443,108400
2005-08-16,7.6443,7.8484,7.6137,7.7974,1129400
2005-08-17,7.7719,7.7719,7.4198,7.6035,156300
2005-08-18,7.6035,7.7055,7.5729,7.6698,112700
2005-08-19,7.6698,7.6800,7.5065,7.6035,104700
2005-08-22,7.6086,7.6239,7.5065,7.5524,133600
2005-08-23,7.5524,7.6086,7.4810,7.5524,194300
