date,open,high,low,close,volume
1972-06-01,0.6122,0.6131,0.6062,0.6074,1089198
1972-06-02,0.6074,0.6131,0.6039,0.6062,1173502
1972-06-05,0.6062,0.6120,0.6039,0.6062,5208101
1972-06-06,0.6062,0.6085,0.5970,0.5993,1421394
1972-06-07,0.5993,0.6028,0.5959,0.5959,671797
1972-06-08,0.5959,0.6005,0.5914,0.5914,1036601
1972-06-09,0.5914,0.5925,0.5765,0.5879,6589198
1972-06-12,0.5879,0.5948,0.5833,0.5879,1430107
1972-06-13,0.5879,0.5937,0.5879,0.5925,931407
1972-06-14,0.5948,0.6074,0.5948,0.6016,2939304
1972-06-15,0.6016,0.6074,0.5982,0.5993,1460700
1972-06-16,0.5993,0.6016,0.5925,0.6016,750392
1972-06-19,0.6016,0.6051,0.5959,0.5982,529293
1972-06-20,0.5982,0.6039,0.5982,0.6005,894097
1972-06-21,0.6005,0.6016,0.5948,0.5948,1608806
1972-06-22,0.5937,0.5937,0.5856,0.5914,1282195
1972-06-23,0.5902,0.5902,0.5845,0.5902,1273305
1972-06-26,0.5902,0.5902,0.5856,0.5879,621303
1972-06-27,0.5879,0.5925,0.5879,0.5925,877696
1972-06-28,0.5925,0.5959,0.5902,0.5914,904101
1972-06-29,0.5914,0.5937,0.5891,0.5891,447994
1972-06-30,0.5856,0.5856,0.5787,0.5845,825099
1972-07-03,0.5845,0.5845,0.5787,0.5822,438203
1972-07-05,0.5822,0.5833,0.5731,0.5787,1395007
1972-07-06,0.5810,0.5914,0.5810,0.5856,1173502
1972-07-07,0.5856,0.5891,0.5787,0.5833,1351105
1972-07-10,0.5833,0.5845,0.5765,0.5765,523709
1972-07-11,0.5765,0.5810,0.5731,0.5731,546596
1972-07-12,0.5731,0.5810,0.5685,0.5685,1801803
1972-07-13,0.5685,0.5696,0.5616,0.5685,680298
1972-07-14,0.5685,0.5719,0.5662,0.5673,941198
1972-07-17,0.5673,0.5719,0.5650,0.5673,583004
1972-07-18,0.5673,0.5742,0.5582,0.5731,1337991
1972-07-19,0.5731,0.5856,0.5719,0.5765,1707408
1972-07-20,0.5765,0.5787,0.5685,0.5685,492903
