date,open,high,low,close,volume
1995-07-10,6.7117,6.9618,6.7117,6.9618,5438000
1995-07-11,7.1380,7.1380,7.0328,7.1039,4907000
1995-07-12,7.1039,7.4221,7.0698,7.4221,1055800
1995-07-13,7.3880,7.4591,7.3539,7.4221,1373600
1995-07-14,7.3880,7.4221,7.3539,7.3880,985600
1995-07-17,7.3880,7.3880,7.3170,7.3539,947600
1995-07-18,7.3539,7.3539,7.1380,7.1749,727400
1995-07-19,7.1380,7.1380,6.6435,6.7487,558200
1995-07-20,6.6776,6.7117,6.6776,6.7117,464600
1995-07-21,6.7487,6.9277,6.7487,6.8538,721200
1995-07-24,6.8538,6.9618,6.8538,6.8538,509000
1995-07-25,6.8908,7.0328,6.8538,6.8908,847000
1995-07-26,6.9618,7.1380,6.9618,7.1380,1584800
1995-07-27,7.1039,7.3170,7.1039,7.3170,2082600
1995-07-28,7.3170,7.7802,7.2119,7.7802,14640800
1995-07-31,7.7432,7.7432,7.5301,7.6722,2544600
1995-08-01,7.6381,7.6381,7.5301,7.5642,1956000
1995-08-02,7.5642,7.5642,7.1749,7.2119,2307600
1995-08-03,7.1380,7.3880,7.1380,7.3880,1762800
1995-08-04,7.3170,7.3539,7.1039,7.2119,903800
1995-08-07,7.1749,7.1749,7.0698,7.1380,837000
1995-08-08,7.1039,7.1380,7.0698,7.0698,729000
1995-08-09,7.0698,7.0698,6.9277,6.9618,586600
1995-08-10,6.9618,7.1380,6.9618,7.0328,1319400
1995-08-11,7.0328,7.1749,7.0328,7.1039,1152000
1995-08-14,7.1039,7.1039,6.8908,6.9618,379800
1995-08-15,6.9618,7.0328,6.9618,6.9959,349600
1995-08-16,7.0698,7.1039,6.9959,7.0328,440200
1995-08-17,7.0328,7.1380,6.9959,7.1380,410600
1995-08-18,7.1380,7.1380,6.9277,6.9618,598800
1995-08-21,6.9959,7.0698,6.8908,6.8908,440400
1995-08-22,6.9277,6.9618,6.7487,6.8197,444200
1995-08-23,6.8538,6.8538,6.5697,6.7117,193200
1995-08-24,6.7117,6.7117,6.5697,6.6066,1284000
1995-08-25,6.6066,6.7856,6.5015,6.7117,733400
1995-08-28,6.7117,6.7117,6.5356,6.6066,447600
1995-08-29,6.6066,6.6066,6.4276,6.5015,368600
1995-08-30,6.4276,6.6776,6.4276,6.5697,398000
1995-08-31,6.6066,6.6435,6.5697,6.6435,417400
1995-09-01,6.6066,6.7117,6.6066,6.6776,594600
1995-09-05,6.7487,6.7856,6.6435,6.7117,487600
1995-09-06,6.7487,6.8197,6.7117,6.7856,476400
1995-09-07,6.7487,6.7487,6.5697,6.6066,618000
1995-09-08,6.6066,6.6435,6.5697,6.6066,1015600
1995-09-11,6.6066,6.8197,6.5697,6.7487,279000
1995-09-12,6.7487,6.8197,6.6435,6.8197,290000
1995-09-13,6.9277,7.0698,6.9277,6.9277,325000
1995-09-14,6.9277,6.9618,6.8538,6.9618,491800
1995-09-15,7.0328,7.0698,6.9618,7.0328,1108600
1995-09-18,7.0328,7.0698,6.9959,7.0698,609400
1995-09-19,7.0328,7.0698,6.9959,7.0698,581600
1995-09-20,7.0328,7.0698,6.9959,7.0328,597600
1995-09-21,7.0328,7.0698,6.9959,7.0328,437400
1995-09-22,6.9618,7.0328,6.9277,6.9959,832200
1995-09-25,7.0328,7.0698,6.9618,7.0328,436400
1995-09-26,6.9959,7.0698,6.9618,6.9959,571000
1995-09-27,7.0328,7.1380,6.9959,6.9959,893200
1995-09-28,7.0328,7.2119,7.0328,7.2119,728200
1995-09-29,7.2119,7.3880,7.1749,7.2800,300800
1995-10-02,7.3170,7.3170,7.2460,7.3170,292800
1995-10-03,7.2800,7.3170,7.1749,7.2800,197600
1995-10-04,7.2800,7.2800,7.0698,7.1039,232000
1995-10-05,7.1749,7.1749,7.0328,7.0698,397000
1995-10-06,7.0698,7.1749,7.0328,7.1039,124400
1995-10-09,7.0698,7.1039,6.9959,7.1039,148600
1995-10-10,7.1380,7.1749,7.1039,7.1380,407600
1995-10-11,7.1749,7.1749,7.0698,7.1380,251400
1995-10-12,7.1039,7.1749,7.0698,7.1749,462800
1995-10-13,7.1749,7.3880,7.1749,7.2800,666400
1995-10-16,7.3170,7.3170,7.1380,7.1749,304400
1995-10-17,7.1749,7.1749,7.0328,7.1039,358600
1995-10-18,7.1039,7.2460,7.1039,7.2119,860000
1995-10-19,7.2119,7.2460,7.1380,7.2119,437600
1995-10-20,7.1749,7.1749,7.0328,7.0328,459600
1995-10-23,7.0328,7.0698,6.9277,6.9618,109800
1995-10-24,6.9959,6.9959,6.8538,6.9959,294200
1995-10-25,6.9618,6.9959,6.7856,6.7856,149800
1995-10-26,6.7856,6.8197,6.6435,6.6776,187600
1995-10-27,6.6435,6.7487,6.5356,6.7487,491200
1995-10-30,6.7487,6.7487,6.6776,6.7117,131600
1995-10-31,6.6776,6.6776,6.4645,6.4645,267000
1995-11-01,6.4276,6.7117,6.4276,6.6776,1125400
1995-11-02,6.6435,6.6435,6.5015,6.5697,1404800
1995-11-03,6.5697,6.6435,6.5356,6.6066,184600
1995-11-06,6.5697,6.6435,6.5356,6.6066,426200
1995-11-07,6.6776,6.7487,6.6435,6.7117,336000
1995-11-08,6.6776,6.7487,6.6776,6.7487,288800
1995-11-09,6.7487,6.7856,6.6776,6.7856,408400
1995-11-10,6.9618,7.0328,6.8908,7.0328,798200
1995-11-13,7.0328,7.1408,6.9987,7.1039,720000
1995-11-14,7.1408,7.1749,7.1039,7.1749,400800
1995-11-15,7.1749,7.1749,7.0698,7.1749,497400
1995-11-16,7.1408,7.2119,7.1408,7.2119,381600
1995-11-17,7.2119,7.2119,7.0698,7.1039,260600
1995-11-20,7.1039,7.2460,7.0698,7.2119,758600
1995-11-21,7.2829,7.2829,7.2119,7.2829,340200
1995-11-22,7.2460,7.5301,7.2460,7.4591,755200
1995-11-24,7.5301,7.6381,7.5301,7.5301,181000
1995-11-27,7.5670,7.7091,7.4960,7.7091,1088000
1995-11-28,7.7091,7.8143,7.6011,7.7091,790800
1995-11-29,7.6722,7.7091,7.6011,7.6381,594000
1995-11-30,7.6381,7.7091,7.6381,7.7091,437800
1995-12-01,7.6722,7.8143,7.6011,7.8143,166000
1995-12-04,7.8143,8.2405,7.8143,8.0274,577000
1995-12-05,8.2405,8.4195,8.2405,8.3826,712200
1995-12-06,8.4536,8.7378,8.4536,8.4905,1098600
1995-12-07,8.4536,8.4905,8.2774,8.3115,708400
1995-12-08,8.3115,8.3485,8.2064,8.2774,863600
1995-12-11,8.2774,8.3115,8.2405,8.2405,466200
1995-12-12,8.2405,8.4195,8.2405,8.4195,435200
1995-12-13,8.3826,8.5957,8.3485,8.5246,614600
1995-12-14,8.5246,8.5957,8.4195,8.4905,573600
1995-12-15,8.4905,8.4905,8.3485,8.3826,1558000
1995-12-18,8.3115,8.3485,8.1354,8.2064,241600
1995-12-19,8.0274,8.0984,7.8512,7.9563,718200
1995-12-20,7.9563,7.9933,7.7432,7.7432,673800
1995-12-21,7.6722,7.7802,7.6722,7.7802,742400
1995-12-22,7.7432,7.9933,7.7432,7.9222,797400
1995-12-26,7.9563,7.9933,7.8853,7.9222,244400
1995-12-27,7.8853,7.8853,7.7802,7.8143,205600
1995-12-28,7.7432,7.8853,7.7432,7.7802,315000
1995-12-29,7.8143,8.0643,7.8143,7.9933,473800
1996-01-02,7.9563,7.9563,7.8484,7.9222,491400
1996-01-03,7.9563,7.9904,7.8853,7.8853,842000
1996-01-04,7.9563,7.9563,7.8498,7.9208,1186600
1996-01-05,7.9563,7.9919,7.8853,7.8853,684600
1996-01-08,7.9222,7.9563,7.8853,7.9222,510800
1996-01-09,7.9222,7.9563,7.8853,7.9222,605200
1996-01-10,7.9208,7.9563,7.8853,7.9208,1014200
1996-01-11,7.9848,8.0206,7.9489,7.9848,1512800
1996-01-12,7.9489,8.3070,7.9489,8.1996,354000
1996-01-15,8.0922,8.1294,7.8773,7.9117,941200
1996-01-16,7.9489,8.1294,7.9489,8.1294,246400
1996-01-17,8.0922,8.1280,7.8773,7.9131,723600
1996-01-18,7.9489,8.1280,7.9489,8.1280,362000
1996-01-19,8.1280,8.1280,8.0564,8.1280,450800
1996-01-22,8.1294,8.3070,8.1294,8.2354,775600
1996-01-23,8.2354,8.2726,8.0922,8.1982,498000
1996-01-24,8.1280,8.3070,8.1280,8.2354,883800
1996-01-25,8.2354,8.2712,8.0922,8.1996,1007000
1996-01-26,8.2354,8.2712,8.1280,8.2354,604200
1996-01-29,8.4159,8.4159,8.3070,8.3786,449200
1996-01-30,8.3414,8.4846,8.3414,8.4846,782000
1996-01-31,8.4144,8.4144,8.3070,8.3786,645400
1996-02-01,8.3428,8.4860,8.3428,8.4860,958800
1996-02-02,8.4860,8.4860,8.4144,8.4860,1114600
1996-02-05,9.0589,9.2022,9.0231,9.0947,1047800
1996-02-06,9.0947,9.0947,8.9873,9.0231,550400
1996-02-07,9.0231,9.1305,8.8441,8.8799,932200
1996-02-08,8.8083,8.8799,8.7367,8.8441,812600
1996-02-09,8.8799,8.8799,8.8083,8.8799,449800
1996-02-12,8.8441,8.9515,8.8441,8.9515,298200
1996-02-13,8.9515,8.9873,8.8799,8.8799,451600
