date,open,high,low,close,volume
1978-04-12,0.8272,0.8544,0.8272,0.8272,11657600
1978-04-13,0.8610,0.8882,0.8610,0.8610,7366400
1978-04-14,0.9154,0.9495,0.9154,0.9154,6771200
1978-04-17,0.9154,0.9154,0.8882,0.8882,4076800
1978-04-18,0.8882,0.9053,0.8817,0.8817,2966400
1978-04-19,0.8985,0.9222,0.8985,0.8985,2272000
1978-04-20,0.9222,0.9495,0.9222,0.9222,1699200
1978-04-21,0.9222,0.9394,0.9154,0.9154,1046400
1978-04-24,0.9154,0.9222,0.8985,0.8985,931200
1978-04-25,0.9394,0.9666,0.9394,0.9394,2256000
1978-04-26,0.9838,1.0110,0.9838,0.9838,1264000
1978-04-27,0.9838,1.0110,0.9838,0.9838,1075200
1978-04-28,1.0450,1.0723,1.0450,1.0450,1971200
1978-05-01,1.0279,1.0279,1.0006,1.0006,1500800
1978-05-02,1.0110,1.0382,1.0110,1.0110,816000
1978-05-03,1.0110,1.0110,0.9838,0.9838,627200
1978-05-04,1.0006,1.0279,1.0006,1.0006,1046400
1978-05-05,1.0110,1.0382,1.0110,1.0110,681600
1978-05-08,1.0211,1.0450,1.0211,1.0211,918400
1978-05-09,1.0279,1.0551,1.0279,1.0279,694400
1978-05-10,1.0382,1.0619,1.0382,1.0382,774400
1978-05-11,1.0723,1.1060,1.0723,1.0723,1449600
1978-05-12,1.0891,1.1164,1.0891,1.0891,627200
1978-05-15,1.0891,1.1060,1.0788,1.0788,307200
1978-05-16,1.1504,1.1776,1.1504,1.1504,1225600
1978-05-17,1.1504,1.1673,1.1401,1.1401,534400
1978-05-18,1.1401,1.1572,1.1332,1.1332,633600
1978-05-19,1.0995,1.0995,1.0723,1.0723,1040000
1978-05-22,1.0723,1.0891,1.0619,1.0619,451200
1978-05-23,1.0450,1.0450,1.0211,1.0211,656000
1978-05-24,1.0110,1.0110,0.9838,0.9838,912000
1978-05-25,1.0110,1.0450,1.0110,1.0110,1171200
1978-05-26,1.0279,1.0551,1.0279,1.0279,499200
1978-05-30,1.0723,1.0995,1.0723,1.0723,355200
1978-05-31,1.0723,1.0995,1.0723,1.0723,870400
1978-06-01,1.0723,1.0891,1.0619,1.0619,230400
1978-06-02,1.0619,1.0788,1.0551,1.0551,272000
1978-06-05,1.0723,1.0995,1.0723,1.0723,332800
1978-06-06,1.0891,1.1164,1.0891,1.0891,1222400
1978-06-07,1.0891,1.1060,1.0723,1.0723,576000
1978-06-08,1.0891,1.1164,1.0891,1.0891,569600
1978-06-09,1.0891,1.1060,1.0788,1.0788,339200
1978-06-12,1.1060,1.1332,1.1060,1.1060,774400
1978-06-13,1.1673,1.1945,1.1673,1.1673,1721600
1978-06-14,1.1844,1.2117,1.1844,1.1844,646400
1978-06-15,1.1844,1.2117,1.1844,1.1844,691200
1978-06-16,1.1776,1.1776,1.1504,1.1504,643200
1978-06-19,1.1401,1.1401,1.1164,1.1164,1452800
1978-06-20,1.0995,1.0995,1.0723,1.0723,502400
1978-06-21,1.0723,1.0723,1.0450,1.0450,521600
1978-06-22,1.0619,1.0891,1.0619,1.0619,742400
1978-06-23,1.0619,1.0723,1.0450,1.0450,412800
1978-06-26,1.0450,1.0450,1.0110,1.0110,348800
1978-06-27,1.0110,1.0279,1.0006,1.0006,822400
1978-06-28,1.0110,1.0450,1.0110,1.0110,656000
1978-06-29,1.0450,1.0723,1.0450,1.0450,598400
1978-06-30,1.0891,1.1164,1.0891,1.0891,550400
1978-07-03,1.0995,1.1232,1.0995,1.0995,176000
1978-07-05,1.0995,1.1060,1.0788,1.0788,499200
1978-07-06,1.1401,1.1673,1.1401,1.1401,1104000
1978-07-07,1.1572,1.1844,1.1572,1.1572,777600
1978-07-10,1.1776,1.2016,1.1776,1.1776,339200
1978-07-11,1.2016,1.2288,1.2016,1.2016,1475200
1978-07-12,1.2016,1.2117,1.1844,1.1844,700800
1978-07-13,1.1844,1.2016,1.1776,1.1776,323200
1978-07-14,1.1945,1.2185,1.1945,1.1945,201600
1978-07-17,1.2457,1.2729,1.2457,1.2457,1248000
1978-07-18,1.2457,1.2729,1.2457,1.2457,1075200
1978-07-19,1.2901,1.3238,1.2901,1.2901,947200
1978-07-20,1.2901,1.3173,1.2901,1.2901,784000
1978-07-21,1.2797,1.2797,1.2560,1.2560,441600
1978-07-24,1.2560,1.2797,1.2560,1.2560,646400
1978-07-25,1.2560,1.2729,1.2457,1.2457,1161600
1978-07-26,1.2457,1.2729,1.2457,1.2457,675200
1978-07-27,1.2629,1.2901,1.2629,1.2629,508800
1978-07-28,1.2629,1.2901,1.2629,1.2629,304000
1978-07-31,1.2629,1.2797,1.2560,1.2560,192000
1978-08-01,1.2797,1.3070,1.2797,1.2797,390400
1978-08-02,1.2966,1.3238,1.2966,1.2966,416000
1978-08-03,1.3579,1.3851,1.3579,1.3579,1081600
1978-08-04,1.4295,1.4567,1.4295,1.4295,972800
1978-08-07,1.4807,1.5079,1.4807,1.4807,1008000
1978-08-08,1.5144,1.5417,1.5144,1.5144,1068800
1978-08-09,1.5144,1.5351,1.5079,1.5079,636800
1978-08-10,1.5079,1.5248,1.4976,1.4976,595200
1978-08-11,1.4976,1.5248,1.4976,1.4976,268800
1978-08-14,1.5079,1.5351,1.5079,1.5079,563200
1978-08-15,1.5417,1.5689,1.5417,1.5417,710400
1978-08-16,1.6029,1.6372,1.6029,1.6029,611200
1978-08-17,1.6645,1.6985,1.6645,1.6645,1126400
1978-08-18,1.6645,1.6645,1.6372,1.6372,550400
1978-08-21,1.5520,1.5520,1.5248,1.5248,918400
1978-08-22,1.5351,1.5588,1.5351,1.5351,1011200
1978-08-23,1.6133,1.6372,1.6133,1.6133,1174400
1978-08-24,1.7154,1.7426,1.7154,1.7154,1219200
1978-08-25,1.7935,1.8208,1.7935,1.7935,1484800
1978-08-28,1.7595,1.7595,1.7323,1.7323,790400
1978-08-29,1.6985,1.6985,1.6745,1.6745,816000
1978-08-30,1.6473,1.6473,1.6201,1.6201,736000
1978-08-31,1.6029,1.6029,1.5757,1.5757,387200
1978-09-01,1.6029,1.6372,1.6029,1.6029,182400
1978-09-05,1.6745,1.6985,1.6745,1.6745,528000
1978-09-06,1.6985,1.7257,1.6985,1.6985,608000
1978-09-07,1.6985,1.7257,1.6985,1.6985,518400
1978-09-08,1.7867,1.8208,1.7867,1.7867,649600
1978-09-11,1.8208,1.8551,1.8208,1.8208,752000
1978-09-12,1.8480,1.8720,1.8480,1.8480,416000
1978-09-13,1.8480,1.8551,1.8208,1.8208,681600
1978-09-14,1.8208,1.8208,1.7935,1.7935,566400
1978-09-15,1.7935,1.8208,1.7935,1.7935,867200
1978-09-18,1.7323,1.7323,1.7086,1.7086,729600
1978-09-19,1.6814,1.6814,1.6541,1.6541,611200
1978-09-20,1.6133,1.6133,1.5861,1.5861,748800
1978-09-21,1.5520,1.5520,1.5248,1.5248,1222400
1978-09-22,1.4635,1.4635,1.4363,1.4363,1737600
1978-09-25,1.4466,1.4739,1.4466,1.4466,1126400
1978-09-26,1.5520,1.5929,1.5520,1.5520,917600
1978-09-27,1.6065,1.6473,1.6065,1.6065,1366400
1978-09-28,1.7018,1.7426,1.7018,1.7018,696000
1978-09-29,1.7426,1.7835,1.7426,1.7426,1027200
1978-10-02,1.7971,1.8379,1.7971,1.7971,505600
1978-10-03,1.7971,1.8107,1.7698,1.7698,652800
1978-10-04,1.7698,1.7835,1.7426,1.7426,483200
1978-10-05,1.7633,1.7971,1.7633,1.7633,414400
1978-10-06,1.7835,1.8243,1.7835,1.7835,110400
1978-10-09,1.8379,1.8788,1.8379,1.8379,283200
1978-10-10,1.8379,1.8581,1.8107,1.8107,296000
1978-10-11,1.8581,1.8924,1.8581,1.8581,174400
1978-10-12,1.8651,1.9060,1.8651,1.8651,771200
1978-10-13,1.8651,1.8788,1.8379,1.8379,264000
1978-10-16,1.7219,1.7219,1.6882,1.6882,332800
1978-10-17,1.6609,1.6609,1.6201,1.6201,913600
1978-10-18,1.6201,1.6201,1.5792,1.5792,339200
1978-10-19,1.5455,1.5455,1.4976,1.4976,388800
1978-10-20,1.4567,1.4567,1.4224,1.4224,576000
1978-10-23,1.4023,1.4023,1.3614,1.3614,814400
1978-10-24,1.3614,1.3750,1.3342,1.3342,499200
1978-10-25,1.3342,1.3478,1.3070,1.3070,761600
1978-10-26,1.1844,1.1844,1.1436,1.1436,1131200
1978-10-27,1.1436,1.1844,1.1436,1.1436,672000
1978-10-30,1.0483,1.0483,1.0074,1.0074,1032000
1978-10-31,1.0891,1.1300,1.0891,1.0891,814400
1978-11-01,1.2525,1.2863,1.2525,1.2525,884800
1978-11-02,1.2797,1.3277,1.2797,1.2797,905600
1978-11-03,1.3070,1.3478,1.3070,1.3070,672000
1978-11-06,1.3070,1.3342,1.2863,1.2863,390400
1978-11-07,1.2525,1.2525,1.2117,1.2117,416000
1978-11-08,1.2117,1.2117,1.1708,1.1708,451200
1978-11-09,1.1844,1.2253,1.1844,1.1844,680000
1978-11-10,1.2389,1.2797,1.2389,1.2389,390400
1978-11-13,1.2117,1.2117,1.1708,1.1708,177600
1978-11-14,1.1436,1.1436,1.1098,1.1098,534400
1978-11-15,1.1300,1.1708,1.1300,1.1300,324800
1978-11-16,1.1844,1.2253,1.1844,1.1844,188800
1978-11-17,1.2797,1.3277,1.2797,1.2797,537600
1978-11-20,1.2863,1.3342,1.2863,1.2863,400000
1978-11-21,1.2863,1.3070,1.2661,1.2661,444800
1978-11-22,1.2661,1.3070,1.2661,1.2661,235200
1978-11-24,1.2863,1.3342,1.2863,1.2863,372800
1978-11-27,1.2863,1.3070,1.2661,1.2661,158400
1978-11-28,1.2661,1.2863,1.2525,1.2525,246400
1978-11-29,1.2389,1.2389,1.2046,1.2046,198400
1978-11-30,1.2661,1.3070,1.2661,1.2661,379200
1978-12-01,1.3070,1.3478,1.3070,1.3070,520000
1978-12-04,1.4023,1.4431,1.4023,1.4023,843200
1978-12-05,1.4567,1.4976,1.4567,1.4567,521600
1978-12-06,1.4839,1.5248,1.4839,1.4839,502400
1978-12-07,1.4703,1.4703,1.4295,1.4295,252800
1978-12-08,1.4295,1.4567,1.4224,1.4224,252800
1978-12-11,1.4567,1.4976,1.4567,1.4567,214400
1978-12-12,1.4567,1.4703,1.4295,1.4295,355200
1978-12-13,1.4295,1.4567,1.4224,1.4224,300800
1978-12-14,1.4431,1.4839,1.4431,1.4431,104000
1978-12-15,1.4431,1.4567,1.4224,1.4224,91200
1978-12-18,1.3750,1.3750,1.3342,1.3342,427200
1978-12-19,1.3478,1.3886,1.3478,1.3478,248000
1978-12-20,1.3614,1.4023,1.3614,1.3614,1600
1978-12-21,1.3614,1.3750,1.3342,1.3342,508800
1978-12-22,1.3886,1.4295,1.3886,1.3886,422400
1978-12-26,1.4431,1.4839,1.4431,1.4431,348800
1978-12-27,1.4224,1.4224,1.3750,1.3750,484800
1978-12-28,1.3750,1.4224,1.3750,1.3750,257600
1978-12-29,1.3750,1.4295,1.3680,1.4295,384000
1979-01-02,1.4295,1.4295,1.3886,1.3952,384000
1979-01-03,1.4224,1.4703,1.4224,1.4703,372800
1979-01-04,1.4839,1.5656,1.4839,1.5455,633600
1979-01-05,1.5656,1.6201,1.5656,1.6201,603200
1979-01-08,1.6201,1.6201,1.5313,1.5586,457600
1979-01-09,1.5586,1.6065,1.4431,1.4431,793600
1979-01-10,1.4638,1.5183,1.4638,1.4839,491200
1979-01-11,1.4910,1.5248,1.4910,1.5248,840000
1979-01-12,1.5248,1.5656,1.5248,1.5248,513600
1979-01-15,1.5248,1.5520,1.5041,1.5248,284800
1979-01-16,1.5248,1.5455,1.4703,1.4703,113600
1979-01-17,1.4703,1.4976,1.4567,1.4976,75200
1979-01-18,1.4976,1.5248,1.4839,1.4839,105600
1979-01-19,1.4976,1.5183,1.4976,1.4976,107200
1979-01-22,1.4839,1.4839,1.4638,1.4703,59200
1979-01-23,1.4839,1.5041,1.4839,1.4839,97600
1979-01-24,1.4839,1.4910,1.4431,1.4567,241600
1979-01-25,1.4567,1.4638,1.4224,1.4224,198400
1979-01-26,1.4224,1.4431,1.3342,1.3614,510400
1979-01-29,1.3614,1.3750,1.3478,1.3750,278400
1979-01-30,1.3750,1.4023,1.3614,1.3886,196800
1979-01-31,1.3886,1.3886,1.3614,1.3680,123200
1979-02-01,1.3680,1.3750,1.3342,1.3750,92800
1979-02-02,1.3750,1.3886,1.3614,1.3614,75200
1979-02-05,1.3478,1.3478,1.2863,1.2863,244800
1979-02-06,1.2863,1.3277,1.2797,1.3070,156800
1979-02-07,1.2863,1.2863,1.2389,1.2525,222400
1979-02-08,1.2525,1.2797,1.2253,1.2797,251200
1979-02-09,1.2797,1.3342,1.2797,1.3342,588800
1979-02-12,1.3342,1.3478,1.3277,1.3478,30400
1979-02-13,1.3680,1.4093,1.3680,1.4093,116800
1979-02-14,1.4093,1.4224,1.3952,1.3952,337600
1979-02-15,1.3952,1.4295,1.3886,1.4295,68800
1979-02-16,1.4295,1.4431,1.4224,1.4224,49600
1979-02-20,1.4224,1.4295,1.4093,1.4224,94400
1979-02-21,1.4224,1.4295,1.3952,1.3952,356800
1979-02-22,1.3952,1.4093,1.3886,1.3886,158400
1979-02-23,1.3886,1.4023,1.3614,1.4023,92800
1979-02-26,1.4023,1.4093,1.3277,1.3277,188800
1979-02-27,1.3277,1.3342,1.2797,1.2797,246400
1979-02-28,1.2797,1.3342,1.2797,1.3277,88000
1979-03-01,1.3277,1.3277,1.3004,1.3277,110400
1979-03-02,1.3342,1.3680,1.3342,1.3680,107200
1979-03-05,1.3680,1.4023,1.3680,1.3952,126400
1979-03-06,1.3952,1.3952,1.3614,1.3614,102400
1979-03-07,1.3750,1.4224,1.3750,1.4023,364800
1979-03-08,1.3952,1.3952,1.3750,1.3886,296000
1979-03-09,1.3886,1.3886,1.3407,1.3478,198400
1979-03-12,1.3478,1.3750,1.3478,1.3614,72000
1979-03-13,1.3614,1.3750,1.3614,1.3750,150400
1979-03-14,1.3750,1.3886,1.3750,1.3886,337600
1979-03-15,1.3886,1.4295,1.3750,1.4224,2288000
1979-03-16,1.4295,1.4839,1.4295,1.4839,1656000
1979-03-19,1.4839,1.5183,1.4703,1.4839,937600
1979-03-20,1.4839,1.4839,1.4638,1.4638,793600
1979-03-21,1.4638,1.4976,1.4567,1.4976,326400
1979-03-22,1.4976,1.5183,1.4910,1.4910,958400
1979-03-23,1.4910,1.5248,1.4839,1.5248,556800
1979-03-26,1.5248,1.5248,1.4910,1.5041,955200
1979-03-27,1.5041,1.5248,1.4910,1.5183,1251200
1979-03-28,1.5183,1.5520,1.4703,1.4703,491200
1979-03-29,1.4703,1.5041,1.4567,1.4839,187200
1979-03-30,1.4839,1.5041,1.4839,1.4839,145600
1979-04-02,1.4839,1.4839,1.4431,1.4567,142400
1979-04-03,1.4638,1.5183,1.4638,1.5183,320000
1979-04-04,1.5183,1.5455,1.5041,1.5041,320000
1979-04-05,1.5041,1.5183,1.4910,1.5183,184000
1979-04-06,1.5183,1.5455,1.5041,1.5313,275200
1979-04-09,1.5313,1.5313,1.4976,1.5041,168000
1979-04-10,1.5041,1.5183,1.4839,1.4976,116800
1979-04-11,1.4976,1.4976,1.4431,1.4431,777600
1979-04-12,1.4431,1.4839,1.4431,1.4703,195200
1979-04-16,1.4567,1.4567,1.4224,1.4224,424000
1979-04-17,1.4224,1.4366,1.4023,1.4224,542400
1979-04-18,1.4224,1.4295,1.3750,1.3886,320000
1979-04-19,1.3886,1.4093,1.3886,1.3886,473600
1979-04-20,1.3886,1.4023,1.3886,1.3886,78400
1979-04-23,1.3886,1.3952,1.3886,1.3886,132800
1979-04-24,1.3886,1.4431,1.3886,1.4093,286400
1979-04-25,1.4023,1.4023,1.3886,1.3886,94400
1979-04-26,1.3886,1.4224,1.3886,1.4224,299200
1979-04-27,1.4224,1.4224,1.4023,1.4093,225600
1979-04-30,1.4023,1.4023,1.3886,1.3886,108800
1979-05-01,1.3886,1.4224,1.3886,1.4023,169600
1979-05-02,1.3952,1.3952,1.3952,1.3952,88000
1979-05-03,1.3952,1.4023,1.3886,1.3886,104000
1979-05-04,1.3886,1.3886,1.3277,1.3277,216000
1979-05-07,1.3070,1.3070,1.2389,1.2661,412800
1979-05-08,1.2661,1.3070,1.2661,1.3070,201600
1979-05-09,1.3135,1.3478,1.3135,1.3407,302400
1979-05-10,1.3277,1.3277,1.2863,1.2863,233600
1979-05-11,1.2863,1.3135,1.2863,1.3070,107200
1979-05-14,1.3070,1.3070,1.2797,1.2797,116800
1979-05-15,1.2797,1.2863,1.2797,1.2863,96000
1979-05-16,1.2797,1.2797,1.2661,1.2661,201600
1979-05-17,1.2661,1.3070,1.2661,1.3004,348800
1979-05-18,1.3004,1.3135,1.2863,1.3070,76800
