date,open,high,low,close,volume
1987-12-30,1.8362,1.9048,1.8232,1.8362,271674
1987-12-31,1.8645,1.8645,1.8232,1.8362,100500
1988-01-04,1.8645,1.9179,1.8504,1.9179,104076
1988-01-05,1.9592,1.9723,1.9451,1.9592,234474
1988-01-06,1.9592,1.9723,1.9592,1.9592,46350
1988-01-07,1.9320,1.9723,1.9320,1.9723,99498
1988-01-08,1.9592,1.9592,1.8504,1.8504,127848
1988-01-11,1.9048,1.9320,1.9048,1.9320,238050
1988-01-12,1.9179,1.9179,1.8776,1.8917,65700
1988-01-13,1.8917,1.8917,1.8504,1.8504,70128
1988-01-14,1.8504,1.8504,1.8504,1.8504,2526
1988-01-15,1.9048,1.9320,1.9048,1.9320,29202
1988-01-18,1.9320,1.9320,1.9179,1.9320,9678
1988-01-19,1.9048,1.9179,1.9048,1.9048,37674
1988-01-20,1.9048,1.9048,1.8645,1.8645,32424
1988-01-21,1.8362,1.8504,1.8232,1.8504,85050
1988-01-22,1.8504,1.8504,1.8504,1.8504,32598
1988-01-25,1.8776,1.8917,1.8776,1.8776,24276
1988-01-26,1.8504,1.8504,1.8504,1.8504,8976
1988-01-27,1.8362,1.8362,1.8232,1.8232,20874
1988-01-28,1.8232,1.8362,1.7960,1.8362,12552
1988-01-29,1.8504,1.8504,1.8090,1.8090,2874
1988-02-01,1.8362,1.8504,1.8362,1.8362,10350
1988-02-02,1.8645,1.8645,1.8504,1.8645,49578
1988-02-03,1.8645,1.8917,1.8362,1.8362,279150
1988-02-04,1.8232,1.8232,1.7960,1.8232,91350
1988-02-05,1.7960,1.8090,1.7960,1.7960,10350
1988-02-08,1.7143,1.7285,1.6871,1.6871,55674
1988-02-09,1.6871,1.6871,1.6196,1.6458,278124
1988-02-10,1.6599,1.6599,1.6327,1.6599,102552
1988-02-11,1.6730,1.7002,1.6730,1.6871,188628
1988-02-12,1.6730,1.7002,1.6730,1.7002,99498
1988-02-16,1.7285,1.7557,1.7285,1.7557,108648
1988-02-17,1.8090,1.8504,1.8090,1.8232,305976
