date,open,high,low,close,volume
1996-03-11,7.1066,7.2020,7.0626,7.2020,196200
1996-03-12,7.1543,7.2461,7.0186,7.2461,529500
1996-03-13,7.2461,7.3378,7.2020,7.3378,1057700
1996-03-14,7.2901,7.3378,7.2461,7.2901,494900
1996-03-15,7.2901,7.3378,7.2461,7.2901,1549200
1996-03-18,7.2901,7.4295,7.2901,7.4295,289500
1996-03-19,7.4295,7.4772,7.3818,7.4295,842800
1996-03-20,7.3818,7.4772,7.3378,7.4295,416500
1996-03-21,7.4772,7.6130,7.4295,7.5653,806400
1996-03-22,7.5653,7.6130,7.5212,7.6130,585400
1996-03-25,7.5653,7.7047,7.5653,7.7047,745300
1996-03-26,7.6606,7.6606,7.5653,7.5653,350400
1996-03-27,7.6130,7.6130,7.5653,7.5653,711100
1996-03-28,7.4772,7.4772,7.4295,7.4772,761800
1996-03-29,7.4295,7.4772,7.4295,7.4295,349500
1996-04-01,7.4772,7.6130,7.4772,7.6130,112900
1996-04-02,7.5653,7.6606,7.5212,7.6130,12729300
1996-04-03,7.5212,7.5653,7.3378,7.4295,430100
1996-04-04,7.3378,7.3818,7.2020,7.2461,793900
1996-04-08,7.0186,7.1066,6.9709,7.1066,368500
1996-04-09,7.2901,7.2901,7.1066,7.2020,426700
1996-04-10,7.1543,7.1543,6.9709,7.0186,1287900
1996-04-11,7.1066,7.1543,7.0186,7.0626,1647500
1996-04-12,7.0626,7.0626,6.9709,6.9709,1330700
1996-04-15,6.9709,7.1066,6.9709,7.0186,961500
1996-04-16,7.0186,7.0186,6.9232,7.0186,1847600
1996-04-17,7.0626,7.1543,7.0626,7.1066,434900
1996-04-18,7.1066,7.4295,7.1066,7.2461,632700
1996-04-19,7.2901,7.2901,7.1543,7.2461,1018100
1996-04-22,7.2461,7.2901,7.1543,7.2020,420600
1996-04-23,7.2461,7.5212,7.2020,7.4295,1165500
1996-04-24,7.4772,7.5212,7.4295,7.5212,915700
1996-04-25,7.5212,7.5653,7.5212,7.5212,466100
1996-04-26,7.5212,7.6130,7.5212,7.6130,227500
1996-04-29,7.5212,7.5653,7.4772,7.4772,208500
1996-04-30,7.5212,7.5212,7.4772,7.4772,108600
1996-05-01,7.4772,7.4772,7.4295,7.4772,230700
1996-05-02,7.4295,7.4295,7.3378,7.4295,289100
1996-05-03,7.3818,7.4295,7.2901,7.2901,228600
1996-05-06,7.3378,7.3818,7.2901,7.3818,470200
1996-05-07,7.3818,7.4295,7.2461,7.2901,425800
1996-05-08,7.2020,7.2020,6.9232,7.1066,1270500
1996-05-09,7.0626,7.0626,6.9709,7.0186,184000
1996-05-10,7.0626,7.0626,6.9709,6.9709,397300
1996-05-13,7.0186,7.1066,6.9709,7.1066,677100
1996-05-14,7.1066,7.1066,6.9709,7.0186,527000
1996-05-15,6.9709,6.9709,6.8315,6.8315,737100
1996-05-16,6.8792,6.9232,6.8315,6.8792,424000
1996-05-17,6.8792,7.0186,6.7875,7.0186,259600
1996-05-20,6.9709,7.0186,6.9232,6.9709,609000
1996-05-21,6.9232,6.9709,6.8792,6.8792,331900
1996-05-22,6.8315,6.9232,6.8315,6.9232,364700
1996-05-23,6.8792,7.0626,6.8792,6.9709,1059300
1996-05-24,6.9709,7.0186,6.9232,7.0186,285400
1996-05-28,7.0186,7.0626,6.9709,7.0186,329800
1996-05-29,7.0186,7.1066,7.0186,7.1066,1033000
1996-05-30,7.1066,7.1066,7.0186,7.1066,222500
1996-05-31,7.1066,7.1543,7.0626,7.1066,490100
1996-06-03,7.0186,7.0186,6.9232,7.0186,895100
1996-06-04,7.0186,7.0626,6.9709,6.9709,508900
