date,open,high,low,close,volume
2010-12-09,25.1306,25.9237,24.8908,25.7485,10609700
2010-12-10,25.2689,25.5640,24.9554,25.2781,1206800
2010-12-13,25.3611,25.5640,24.9000,25.2689,473200
2010-12-14,25.5456,25.7946,24.9185,25.1859,358200
2010-12-15,25.0845,25.5456,25.0753,25.3150,242200
2010-12-16,25.4534,25.4995,25.0891,25.4995,260000
2010-12-17,25.4073,25.8776,25.3611,25.8776,69800
2010-12-20,25.9145,26.2096,25.6747,25.9514,65900
2010-12-21,25.9790,26.7814,25.8315,26.6615,210200
2010-12-22,26.7445,28.1466,26.7076,27.1595,103000
2010-12-23,27.3716,27.3716,26.6430,26.8367,66100
2010-12-27,26.8828,27.0764,26.6246,26.7260,29800
2010-12-28,26.7353,26.8598,26.5693,26.7906,90200
2010-12-29,26.9750,26.9750,26.5969,26.8183,85300
2010-12-30,26.9566,27.6206,26.3848,26.7076,149800
2010-12-31,26.7445,26.8551,26.5877,26.8551,68800
2011-01-03,27.2056,27.2148,26.5001,26.7260,230900
2011-01-04,26.9566,26.9566,26.2834,26.3110,56500
2011-01-05,26.4494,26.6523,26.0989,26.2004,178700
2011-01-06,26.3848,26.9381,26.3110,26.7445,218600
2011-01-07,28.6258,28.7734,27.8051,28.1647,2144000
2011-01-10,28.4875,28.8933,28.4229,28.5243,621700
2011-01-11,28.7734,28.8103,28.0448,28.2016,330800
2011-01-12,28.3860,28.4967,27.8604,27.9434,216500
2011-01-13,28.0171,28.3676,27.9434,28.1370,132800
2011-01-14,28.2846,28.9117,28.2108,28.9117,269100
2011-01-18,28.7273,29.0224,27.9434,28.4875,49400
2011-01-19,28.2846,28.4321,28.0448,28.1463,300200
2011-01-20,27.9434,28.6719,27.6483,28.2200,155300
2011-01-21,28.3215,28.3215,27.6575,27.8696,152300
2011-01-24,27.8327,28.0725,27.4823,27.9434,85000
2011-01-25,27.8604,27.9618,27.6667,27.9618,54100
2011-01-26,27.9157,28.0724,27.7313,27.9895,62600
2011-01-27,28.3215,28.5889,27.9341,27.9526,168400
2011-01-28,27.8419,27.8511,27.0211,27.4085,311600
2011-01-31,27.4638,27.4639,27.2609,27.4177,57400
2011-02-01,27.4361,27.5376,26.9474,27.0027,197800
2011-02-02,26.8644,27.1964,26.7906,26.8551,100500
2011-02-03,26.8275,27.0209,26.6338,26.6523,169600
2011-02-04,26.6430,26.9474,26.3756,26.9289,146300
2011-02-07,27.4269,27.4269,27.1595,27.2056,148300
2011-02-08,27.3624,27.5653,26.9289,27.5191,107300
2011-02-09,27.3163,27.4361,27.1134,27.1687,35800
2011-02-10,26.9843,27.1318,26.3571,26.9750,197400
2011-02-11,26.9289,27.0857,26.5969,26.8644,91600
2011-02-14,26.7445,26.8367,26.4309,26.5877,75900
2011-02-15,26.5600,26.8828,26.5600,26.7814,59800
2011-02-16,26.7721,26.8736,26.5600,26.8736,75800
2011-02-17,26.8828,27.0488,26.7260,26.7629,49700
2011-02-18,26.7629,27.4454,26.7445,27.4454,59100
2011-02-22,27.2056,27.3993,26.7445,26.9381,146200
2011-02-23,26.7445,27.2978,26.7445,26.7998,158500
2011-02-24,26.8183,27.1272,26.7629,26.8367,102300
2011-02-25,26.8551,27.5560,26.8551,27.0211,99600
2011-02-28,27.0580,27.5560,26.9289,26.9750,182900
2011-03-01,27.1134,27.1686,26.6984,26.7998,133100
2011-03-02,26.7445,26.8183,26.2834,26.5047,177600
2011-03-03,26.3571,26.8367,26.3571,26.8183,101500
2011-03-04,26.8367,26.9474,26.4678,26.5600,119400
2011-03-07,26.6707,26.6707,25.7854,25.8223,183800
2011-03-08,25.8223,26.6246,25.7577,26.5047,263200
2011-03-09,26.4033,26.7721,26.0436,26.6523,147700
2011-03-10,26.4309,26.5139,25.9698,26.2834,134100
2011-03-11,25.8407,26.2188,25.6009,26.0805,143200
2011-03-14,25.8038,26.0897,25.7300,25.9883,119100
2011-03-15,25.5548,26.9750,25.4534,26.8090,278700
2011-03-16,26.7537,27.1503,26.1358,27.0765,421600
2011-03-17,27.1779,27.6667,27.1134,27.6390,154400
2011-03-18,27.6667,27.9803,27.5745,27.9803,209200
2011-03-21,28.0448,28.3030,27.5835,28.2108,83600
2011-03-22,28.1278,28.1278,27.3070,27.4546,114200
2011-03-23,27.3070,27.6759,27.3070,27.5745,28300
2011-03-24,27.6759,27.8235,27.2701,27.4131,110500
2011-03-25,27.5007,28.5147,27.4085,27.7405,203000
2011-03-28,27.7220,28.1186,27.5717,28.0079,158700
2011-03-29,27.9157,28.0079,27.6298,27.7589,70700
2011-03-30,27.7497,28.3307,27.5376,28.1555,149000
2011-03-31,28.0540,28.5889,28.0540,28.5059,95100
2011-04-01,28.5059,28.5244,27.9895,28.3307,136000
2011-04-04,28.4967,28.5336,27.3808,27.8235,276900
2011-04-05,27.7313,27.8880,27.2240,27.5099,194800
2011-04-06,27.5099,27.8143,27.3255,27.5468,85700
2011-04-07,27.6114,27.6575,27.3993,27.5745,53700
2011-04-08,27.7405,27.9249,26.8551,26.9566,116300
2011-04-11,28.3030,28.3030,27.1318,27.5745,196000
2011-04-12,27.4361,27.6298,27.1041,27.4823,59700
2011-04-13,27.4915,27.6667,27.2886,27.3716,57500
2011-04-14,27.3624,27.6667,27.2056,27.6390,144000
2011-04-15,27.7036,27.7110,27.4177,27.6667,139200
2011-04-18,27.4823,27.7128,27.0580,27.4915,45700
2011-04-19,27.5284,27.7497,27.5191,27.6483,96000
2011-04-20,27.7958,28.1094,27.5007,28.0448,305100
2011-04-21,28.0725,28.5520,28.0171,28.5520,410200
2011-04-25,28.5705,28.6719,28.3676,28.6074,137100
2011-04-26,28.5889,29.8523,28.4598,29.3452,253800
2011-04-27,29.4466,29.5296,28.4690,29.2253,164100
2011-04-28,29.1423,29.1884,28.9578,29.1884,68400
2011-04-29,29.2068,29.2160,28.4598,28.9117,161000
2011-05-02,28.9209,29.4005,28.5336,29.1423,269000
2011-05-03,29.1423,29.2622,28.5751,28.8564,56000
2011-05-04,28.9394,29.0039,28.5151,28.8656,117000
2011-05-05,28.8379,29.1792,28.5520,28.7826,116100
2011-05-06,28.8933,28.8933,28.4967,28.6627,87500
2011-05-09,28.7180,29.1792,28.5520,28.9394,114000
2011-05-10,28.8933,29.5573,28.7088,29.4927,204600
2011-05-11,29.4097,29.4097,28.5244,28.5336,230500
2011-05-12,28.4137,29.2898,28.3215,29.0039,136000
2011-05-13,28.9670,29.8155,28.4783,28.9348,287700
2011-05-16,28.8471,29.4918,28.5336,29.4558,191200
2011-05-17,29.3728,29.4466,28.6258,29.2253,139500
2011-05-18,29.1146,29.6587,28.6258,29.2714,253800
2011-05-19,29.3267,29.3267,28.7457,29.0500,84200
2011-05-20,29.0408,29.1330,28.3768,28.9486,123000
2011-05-23,28.5613,28.6350,27.8511,28.3307,194700
2011-05-24,28.3123,29.3083,27.7128,29.3083,176600
2011-05-25,29.1423,29.3636,28.4967,28.7734,179400
2011-05-26,28.6996,29.3728,28.2016,29.3452,173100
2011-05-27,29.3452,31.9458,29.3452,31.9089,2280200
2011-05-31,31.7614,31.7614,29.6679,29.7417,1353700
2011-06-01,29.7417,29.8985,29.3359,29.4005,321400
2011-06-02,29.5019,30.1290,29.0685,29.6495,417700
2011-06-03,29.4282,30.3780,29.2345,30.3227,252200
2011-06-06,30.1475,30.8668,29.5849,30.7377,383500
2011-06-07,30.7746,31.4478,30.4610,31.3279,730200
2011-06-08,31.2080,31.6323,30.9498,31.4386,440900
2011-06-09,31.2449,31.3556,30.7193,31.2449,458500
2011-06-10,31.3187,31.3187,30.2213,30.6178,333600
2011-06-13,30.8668,31.3372,30.4703,30.6178,488300
2011-06-14,30.8023,31.6230,30.6639,31.1343,520000
2011-06-15,31.1343,31.2634,30.6178,30.9222,393000
2011-06-16,30.9775,31.3187,30.7469,31.1988,314000
2011-06-17,31.3556,31.9089,30.9867,31.5862,324600
2011-06-20,31.5769,31.6599,31.2219,31.4017,338000
2011-06-21,31.5585,31.7706,31.1896,31.4017,479100
2011-06-22,31.5124,32.0473,31.3464,31.7614,607100
2011-06-23,31.4755,31.8444,30.1014,31.1804,751600
2011-06-24,31.0328,31.4663,30.2950,30.3965,4841000
2011-06-27,30.6363,30.6455,29.9815,30.2028,711500
2011-06-28,29.3359,29.3452,28.5889,28.8195,1705200
2011-06-29,28.8195,29.2529,28.7273,28.9947,546600
2011-06-30,29.1884,30.0645,29.1054,29.7694,1355100
2011-07-01,29.3267,29.3267,28.5428,28.5889,16742500
2011-07-05,28.6535,28.8195,28.4967,28.5889,1100700
2011-07-06,28.4967,28.6693,27.9895,28.0356,1342700
2011-07-07,28.1924,28.4506,28.0356,28.1831,633300
2011-07-08,28.0356,28.1278,27.8050,27.9065,537800
2011-07-11,27.7589,27.8604,27.6667,27.7128,1516200
2011-07-12,27.5468,28.3307,27.4361,28.0540,1775500
2011-07-13,28.0356,28.3399,27.9710,28.2200,530000
2011-07-14,28.2016,28.2016,27.4638,27.5007,459300
2011-07-15,27.5468,27.6575,27.2886,27.5560,693600
2011-07-18,27.4454,27.4454,26.5969,26.8551,684600
2011-07-19,27.0304,27.0304,26.5231,26.6984,961200
2011-07-20,27.1041,27.3808,26.1450,26.6154,1629300
2011-07-21,26.7076,27.0949,26.3940,26.8644,1194700
2011-07-22,26.7537,26.9566,26.4309,26.6891,399400
2011-07-25,26.5047,26.9474,26.3240,26.6061,986500
2011-07-26,26.5508,27.0857,26.3948,26.9566,769400
2011-07-27,26.7260,26.8367,26.3018,26.3756,2244200
2011-07-28,26.4033,26.7814,26.3571,26.3664,650100
2011-07-29,26.1450,26.3203,25.9237,26.1174,441700
2011-08-01,26.2557,26.4586,25.9237,26.2926,564900
2011-08-02,26.2834,26.3110,25.4903,25.6470,656100
2011-08-03,25.5456,25.8776,25.3150,25.6009,722900
2011-08-04,25.5548,25.7024,25.1583,25.1583,1223500
2011-08-05,25.2044,25.2044,24.5957,24.9093,1220700
2011-08-08,24.4850,24.7340,22.7974,23.1570,1306500
2011-08-09,23.3968,24.4389,23.2031,24.3651,907900
2011-08-10,23.9133,24.1715,22.8619,23.0187,676200
2011-08-11,23.0371,24.2176,22.6037,24.0793,651700
2011-08-12,24.1623,24.2637,23.2400,23.3323,388600
2011-08-15,23.5259,24.1438,23.5259,24.1346,434200
2011-08-16,23.9778,24.2914,23.6089,23.7380,340800
2011-08-17,23.8487,23.8764,23.5536,23.8210,262600
2011-08-18,23.4798,23.4798,22.3824,22.5023,307300
2011-08-19,22.2071,22.6775,21.9950,22.0780,461800
2011-08-22,22.5207,22.7605,21.6538,21.8936,293300
2011-08-23,21.9120,22.6683,21.5985,22.6683,462200
2011-08-24,22.7236,23.2216,22.3731,23.0925,270400
2011-08-25,23.4890,24.1899,22.2256,22.3455,328400
