date,open,high,low,close,volume
1962-01-02,2.4252,2.4656,2.4009,2.4171,259200
1962-01-03,2.4051,2.4051,2.3848,2.3929,177600
1962-01-04,2.3929,2.4129,2.3443,2.3647,220800
1962-01-05,2.3647,2.3686,2.2635,2.3039,327600
1962-01-08,2.3039,2.3039,2.2312,2.3000,372000
1962-01-09,2.3000,2.3321,2.2839,2.3120,279600
1962-01-10,2.3120,2.3363,2.3039,2.3243,235200
1962-01-11,2.3243,2.3282,2.2839,2.3282,195600
1962-01-12,2.3282,2.3321,2.2878,2.2958,202800
1962-01-15,2.3000,2.3282,2.3000,2.3201,254400
1962-01-16,2.3201,2.3482,2.3039,2.3405,166800
1962-01-17,2.3363,2.3363,2.2716,2.2878,256800
1962-01-18,2.2878,2.3120,2.2839,2.3120,177600
1962-01-19,2.3120,2.3321,2.3120,2.3321,159600
1962-01-22,2.3363,2.3686,2.3363,2.3405,170400
1962-01-23,2.3321,2.3321,2.2878,2.2958,273600
1962-01-24,2.2958,2.3482,2.2878,2.3405,192000
1962-01-25,2.3405,2.3563,2.3000,2.3159,190800
1962-01-26,2.3159,2.3201,2.3000,2.3081,121200
1962-01-29,2.3081,2.3201,2.3039,2.3120,122400
1962-01-30,2.3405,2.3767,2.3405,2.3524,213600
1962-01-31,2.3524,2.4252,2.3482,2.4252,225600
1962-02-01,2.4252,2.4375,2.3848,2.4090,308400
1962-02-02,2.4090,2.4213,2.3929,2.4213,177600
1962-02-05,2.4171,2.4171,2.3767,2.3767,169200
1962-02-06,2.3848,2.4090,2.3848,2.4009,124800
1962-02-07,2.4009,2.4252,2.3929,2.4252,202800
1962-02-08,2.4252,2.4414,2.4213,2.4414,211200
1962-02-09,2.4414,2.4414,2.3971,2.4291,181200
1962-02-12,2.4291,2.4375,2.4171,2.4291,98400
1962-02-13,2.4333,2.4575,2.4333,2.4575,145200
1962-02-14,2.4575,2.4857,2.4533,2.4779,194400
1962-02-15,2.4818,2.5222,2.4818,2.5141,224400
1962-02-16,2.5141,2.5183,2.4779,2.4979,280800
1962-02-19,2.4979,2.5099,2.4656,2.4779,187200
1962-02-20,2.4779,2.4779,2.4414,2.4737,128400
1962-02-21,2.4737,2.4857,2.4494,2.4656,129600
1962-02-23,2.4656,2.4695,2.4375,2.4414,195600
1962-02-26,2.4414,2.4494,2.3886,2.4090,151200
1962-02-27,2.4090,2.4252,2.4051,2.4252,111600
1962-02-28,2.4252,2.4333,2.4051,2.4129,199200
1962-03-01,2.4252,2.4575,2.4252,2.4575,109200
1962-03-02,2.4617,2.4899,2.4617,2.4737,151200
1962-03-05,2.4779,2.4979,2.4779,2.4779,166800
1962-03-06,2.4779,2.4818,2.4333,2.4414,112800
1962-03-07,2.4414,2.4695,2.4414,2.4575,121200
1962-03-08,2.4575,2.5021,2.4494,2.4941,212400
1962-03-09,2.5060,2.5345,2.5060,2.5303,237600
1962-03-12,2.5303,2.5384,2.5222,2.5345,253200
1962-03-13,2.5345,2.5345,2.5060,2.5222,154800
1962-03-14,2.5222,2.5261,2.4941,2.5099,130800
1962-03-15,2.5099,2.5384,2.4979,2.5183,226800
1962-03-16,2.5222,2.5384,2.5222,2.5345,124800
1962-03-19,2.5345,2.5345,2.5060,2.5060,133200
1962-03-20,2.5060,2.5141,2.4979,2.5060,102000
1962-03-21,2.5060,2.5141,2.4979,2.5021,193200
1962-03-22,2.5021,2.5099,2.4899,2.4899,122400
1962-03-23,2.4941,2.5222,2.4941,2.5222,153600
1962-03-26,2.5183,2.5183,2.4818,2.4818,139200
1962-03-27,2.4818,2.5021,2.4737,2.5021,150000
1962-03-28,2.5060,2.5345,2.5060,2.5183,159600
1962-03-29,2.5183,2.5384,2.5021,2.5141,140400
1962-03-30,2.5141,2.5183,2.4695,2.4857,176400
1962-04-02,2.4818,2.4818,2.4656,2.4737,136800
1962-04-03,2.4737,2.4737,2.4291,2.4452,204000
1962-04-04,2.4452,2.4695,2.4414,2.4494,164400
1962-04-05,2.4494,2.4695,2.4291,2.4695,212400
1962-04-06,2.4695,2.4818,2.4494,2.4533,169200
1962-04-09,2.4533,2.4617,2.4452,2.4494,142800
1962-04-10,2.4452,2.4452,2.4129,2.4129,171600
1962-04-11,2.4129,2.4375,2.3563,2.3686,151200
1962-04-12,2.3686,2.3809,2.3482,2.3563,172800
1962-04-13,2.3605,2.4452,2.3605,2.4171,205200
1962-04-16,2.4171,2.4213,2.3767,2.3971,182400
1962-04-17,2.3971,2.4090,2.3929,2.4009,172800
1962-04-18,2.4009,2.4090,2.3767,2.3929,423600
1962-04-19,2.3929,2.4051,2.3886,2.3971,122400
1962-04-23,2.3971,2.4051,2.3848,2.3848,207600
1962-04-24,2.3848,2.3886,2.3686,2.3686,267600
1962-04-25,2.3686,2.3809,2.3363,2.3363,265200
1962-04-26,2.3363,2.3647,2.3282,2.3363,172800
1962-04-27,2.3363,2.3725,2.2797,2.2958,256800
1962-04-30,2.2958,2.3120,2.1827,2.2150,332400
1962-05-01,2.2150,2.2797,2.1827,2.2677,382800
1962-05-02,2.2716,2.3159,2.2716,2.2878,349200
1962-05-03,2.3000,2.3282,2.3000,2.3282,374400
1962-05-04,2.3282,2.3363,2.3000,2.3201,237600
1962-05-07,2.3201,2.3243,2.2839,2.2958,250800
1962-05-08,2.2958,2.2958,2.2755,2.2916,186000
1962-05-09,2.2916,2.2958,2.2716,2.2878,262800
1962-05-10,2.2878,2.3039,2.2512,2.2677,318000
1962-05-11,2.2677,2.2958,2.2312,2.2393,465600
1962-05-14,2.2393,2.2755,2.2111,2.2755,363600
1962-05-15,2.2755,2.3039,2.2755,2.2878,315600
1962-05-16,2.2878,2.2958,2.2797,2.2916,208800
1962-05-17,2.2916,2.3081,2.2797,2.2916,97200
1962-05-18,2.3000,2.3243,2.3000,2.3243,225600
1962-05-21,2.3243,2.3243,2.3039,2.3039,166800
1962-05-22,2.3039,2.3081,2.2473,2.2473,202800
1962-05-23,2.2312,2.2312,2.1908,2.2030,265200
1962-05-24,2.2030,2.2273,2.1665,2.1746,342000
1962-05-25,2.1746,2.1746,2.1060,2.1303,306000
1962-05-28,2.1219,2.1219,2.0090,2.0210,508800
1962-05-29,2.0210,2.1303,1.9402,2.1060,937200
1962-05-31,2.1141,2.1665,2.1141,2.1261,522000
1962-06-01,2.1261,2.1465,2.1018,2.1342,328800
1962-06-04,2.1303,2.1303,2.0372,2.0372,242400
1962-06-05,2.0372,2.1018,2.0210,2.0494,381600
1962-06-06,2.0737,2.1342,2.0737,2.0737,264000
1962-06-07,2.0815,2.1141,2.0815,2.0815,127200
1962-06-08,2.0899,2.1303,2.0899,2.1018,160800
1962-06-11,2.1018,2.1219,2.0815,2.0976,141600
1962-06-12,2.0737,2.0737,1.9767,1.9845,328800
1962-06-13,1.9845,2.0333,1.9725,1.9806,333600
1962-06-14,1.9806,2.0210,1.9644,1.9683,69600
1962-06-15,1.9683,2.0291,1.9402,2.0291,421200
1962-06-18,2.0249,2.0249,1.9725,1.9967,270000
1962-06-19,1.9967,2.0006,1.9683,1.9845,153600
1962-06-20,1.9767,1.9767,1.9402,1.9402,295200
1962-06-21,1.9402,1.9402,1.8755,1.8755,366000
1962-06-22,1.8674,1.8674,1.7904,1.7946,399600
1962-06-25,1.7946,1.8270,1.7542,1.8108,555600
1962-06-26,1.8108,1.8309,1.7946,1.7946,406800
1962-06-27,1.7946,1.8231,1.7827,1.8231,213600
1962-06-28,1.8554,1.9120,1.8554,1.8997,315600
1962-06-29,1.9120,1.9524,1.9120,1.9240,264000
1962-07-02,1.9240,2.0572,1.9120,2.0333,237600
1962-07-03,2.0333,2.0614,2.0048,2.0333,382800
1962-07-05,2.0333,2.0776,2.0333,2.0776,211200
1962-07-06,2.0572,2.0572,2.0048,2.0333,187200
1962-07-09,2.0333,2.0653,1.9967,2.0494,208800
1962-07-10,2.0494,2.1099,2.0452,2.0572,352800
1962-07-11,2.0572,2.0776,2.0291,2.0695,174000
1962-07-12,2.0857,2.1219,2.0857,2.0976,294000
1962-07-13,2.0937,2.0937,2.0452,2.0815,232800
1962-07-16,2.0776,2.0776,2.0494,2.0776,118800
1962-07-17,2.0695,2.0695,2.0171,2.0171,157200
1962-07-18,2.0048,2.0048,1.9767,1.9887,187200
1962-07-19,1.9887,2.0410,1.9845,2.0210,181200
1962-07-20,2.0210,2.0572,2.0171,2.0291,121200
1962-07-23,2.0333,2.0614,2.0333,2.0572,116400
1962-07-24,2.0572,2.0653,2.0291,2.0291,118800
1962-07-25,2.0291,2.0291,1.9806,2.0210,110400
1962-07-26,2.0210,2.0614,2.0210,2.0614,150000
1962-07-27,2.0614,2.0815,2.0410,2.0572,175200
1962-07-30,2.0572,2.0937,2.0572,2.0937,127200
1962-07-31,2.1018,2.1542,2.1018,2.1465,344400
1962-08-01,2.1465,2.1503,2.1261,2.1342,171600
1962-08-02,2.1342,2.1503,2.1342,2.1503,141600
1962-08-03,2.1503,2.1665,2.1465,2.1665,184800
1962-08-06,2.1623,2.1623,2.1219,2.1261,184800
1962-08-07,2.1261,2.1303,2.1099,2.1219,192000
1962-08-08,2.1219,2.1219,2.0815,2.1219,124800
1962-08-09,2.1219,2.1422,2.1141,2.1261,142800
1962-08-10,2.1261,2.1542,2.1219,2.1465,186000
1962-08-13,2.1465,2.1465,2.1180,2.1261,146400
1962-08-14,2.1342,2.1827,2.1342,2.1827,261600
1962-08-15,2.1827,2.1908,2.1665,2.1746,181200
1962-08-16,2.1746,2.1946,2.1746,2.1827,163200
1962-08-17,2.1869,2.2111,2.1869,2.2030,175200
1962-08-20,2.2030,2.2351,2.1908,2.1988,186000
1962-08-21,2.1988,2.2273,2.1908,2.1988,140400
1962-08-22,2.2069,2.2473,2.2069,2.2473,178800
1962-08-23,2.2473,2.2593,2.2351,2.2393,174000
1962-08-24,2.2393,2.2435,2.1827,2.1988,246000
1962-08-27,2.1988,2.2189,2.1707,2.1707,151200
1962-08-28,2.1746,2.2030,2.1746,2.1869,196800
1962-08-29,2.1869,2.1908,2.1665,2.1827,124800
1962-08-30,2.1869,2.2069,2.1869,2.1908,148800
1962-08-31,2.1908,2.2150,2.1908,2.2150,98400
1962-09-04,2.2150,2.2189,2.1542,2.1542,126000
1962-09-05,2.1542,2.1584,2.1060,2.1141,204000
1962-09-06,2.1141,2.1422,2.0899,2.1141,224400
1962-09-07,2.1141,2.1623,2.1141,2.1584,205200
1962-09-10,2.1584,2.1908,2.1303,2.1869,121200
1962-09-11,2.1869,2.1946,2.1623,2.1623,159600
1962-09-12,2.1623,2.1869,2.1584,2.1869,73200
1962-09-13,2.1869,2.2150,2.1623,2.1665,210000
1962-09-14,2.1665,2.1988,2.1665,2.1869,94800
1962-09-17,2.1869,2.2150,2.1869,2.2030,98400
1962-09-18,2.2030,2.2189,2.1827,2.1988,178800
1962-09-19,2.1988,2.2030,2.1584,2.1946,164400
1962-09-20,2.1946,2.1946,2.1465,2.1623,145200
1962-09-21,2.1584,2.1584,2.1141,2.1180,218400
1962-09-24,2.1099,2.1099,2.0737,2.0937,249600
1962-09-25,2.0937,2.1060,2.0410,2.1018,214800
1962-09-26,2.0976,2.0976,2.0410,2.0533,198000
1962-09-27,2.0494,2.0494,2.0090,2.0129,186000
1962-09-28,2.0129,2.0653,2.0048,2.0653,210000
1962-10-01,2.0653,2.0653,2.0372,2.0572,142800
1962-10-02,2.0572,2.0976,2.0533,2.0976,104400
1962-10-03,2.0976,2.1099,2.0857,2.0857,132000
1962-10-04,2.0857,2.1342,2.0533,2.1342,198000
1962-10-05,2.1422,2.1827,2.1422,2.1707,152400
1962-10-08,2.1746,2.2030,2.1746,2.1827,154800
1962-10-09,2.1827,2.1908,2.1665,2.1908,144000
