date,open,high,low,close,volume
1983-06-10,1.0033,1.0103,1.0033,1.0056,758400
1983-06-13,1.0079,1.0218,1.0056,1.0172,1092800
1983-06-14,1.0126,1.0126,0.9987,1.0011,204800
1983-06-15,0.9895,0.9919,0.9849,0.9849,3395200
1983-06-16,0.9895,1.0056,0.9849,1.0033,3532800
1983-06-17,1.0033,1.0218,1.0011,1.0218,1433600
1983-06-20,1.0218,1.0380,1.0218,1.0356,988800
1983-06-21,1.0356,1.0380,1.0218,1.0218,3516800
1983-06-22,1.0264,1.0310,1.0218,1.0288,2174400
1983-06-23,1.0310,1.0310,1.0126,1.0172,1310400
1983-06-24,1.0079,1.0148,1.0011,1.0126,600000
1983-06-27,1.0126,1.0126,0.9987,1.0033,566400
1983-06-28,0.9987,0.9987,0.9595,0.9711,1508800
1983-06-29,0.9711,1.0103,0.9711,1.0103,766400
1983-06-30,1.0033,1.0172,0.9987,1.0172,3984000
1983-07-01,1.0103,1.0172,1.0103,1.0126,976000
1983-07-05,1.0172,1.0172,1.0103,1.0148,1448000
1983-07-06,1.0195,1.0240,1.0033,1.0033,1350400
1983-07-07,1.0079,1.0148,1.0033,1.0103,486400
1983-07-08,1.0148,1.0195,1.0056,1.0172,1054400
1983-07-11,1.0126,1.0356,1.0126,1.0172,649600
1983-07-12,1.0079,1.0195,1.0033,1.0033,1441600
1983-07-13,0.9987,1.0011,0.9895,0.9919,486400
1983-07-14,0.9919,0.9919,0.9779,0.9803,891200
1983-07-15,0.9803,0.9803,0.9665,0.9757,1350400
1983-07-18,0.9711,0.9711,0.9643,0.9665,2534400
1983-07-19,0.9711,0.9735,0.9595,0.9595,1374400
1983-07-20,0.9619,0.9757,0.9619,0.9757,1073600
1983-07-21,0.9757,0.9757,0.9619,0.9665,1833600
1983-07-22,0.9595,0.9619,0.9573,0.9619,1974400
1983-07-25,0.9619,0.9619,0.9459,0.9459,934400
1983-07-26,0.9459,0.9573,0.9435,0.9527,2184000
1983-07-27,0.9527,0.9551,0.9435,0.9551,1385600
1983-07-28,0.9551,0.9573,0.9527,0.9551,961600
1983-07-29,0.9459,0.9481,0.9205,0.9343,2564800
1983-08-01,0.9297,0.9435,0.9227,0.9319,2680000
1983-08-02,0.9319,0.9481,0.9297,0.9435,1318400
1983-08-03,0.9459,0.9459,0.9389,0.9411,270400
1983-08-04,0.9411,0.9411,0.9251,0.9275,2472000
1983-08-05,0.9227,0.9459,0.9227,0.9343,720000
1983-08-08,0.9343,0.9389,0.9205,0.9227,990400
1983-08-09,0.9251,0.9251,0.9113,0.9159,1697600
1983-08-10,0.9113,0.9205,0.9113,0.9183,2198400
1983-08-11,0.9135,0.9297,0.9113,0.9275,979200
1983-08-12,0.9367,0.9435,0.9343,0.9367,1329600
1983-08-15,0.9411,0.9435,0.9275,0.9275,2272000
1983-08-16,0.9275,0.9297,0.9067,0.9067,1033600
1983-08-17,0.8975,0.9113,0.8975,0.9067,2982400
1983-08-18,0.9021,0.9021,0.8837,0.8929,3284800
1983-08-19,0.8859,0.8929,0.8837,0.8883,1124800
1983-08-22,0.8883,0.8907,0.8767,0.8883,1635200
1983-08-23,0.8883,0.8907,0.8767,0.8907,2654400
1983-08-24,0.8883,0.8883,0.8815,0.8837,1513600
1983-08-25,0.8859,0.8929,0.8815,0.8929,444800
1983-08-26,0.8929,0.8951,0.8767,0.8815,972800
1983-08-29,0.8815,0.8837,0.8767,0.8837,868800
1983-08-30,0.8929,0.9227,0.8907,0.9205,1169600
1983-08-31,0.9159,0.9251,0.9159,0.9251,552000
1983-09-01,0.9251,0.9435,0.9183,0.9435,2641600
1983-09-02,0.9435,0.9503,0.9389,0.9503,452800
1983-09-06,0.9551,0.9595,0.9527,0.9551,838400
1983-09-07,0.9527,0.9527,0.9411,0.9411,683200
1983-09-08,0.9435,0.9573,0.9389,0.9503,1363200
1983-09-09,0.9503,0.9527,0.9459,0.9503,318400
1983-09-12,0.9551,0.9595,0.9435,0.9435,936000
1983-09-13,0.9389,0.9573,0.9389,0.9573,524800
1983-09-14,0.9573,0.9595,0.9551,0.9595,171200
1983-09-15,0.9573,0.9735,0.9573,0.9711,884800
1983-09-16,0.9665,1.0126,0.9665,1.0126,1552000
1983-09-19,1.0079,1.0148,1.0033,1.0126,2606400
1983-09-20,1.0126,1.0126,0.9987,1.0011,2928000
1983-09-21,0.9964,0.9964,0.9643,0.9643,1555200
1983-09-22,0.9687,0.9849,0.9687,0.9757,5099200
1983-09-23,0.9757,0.9757,0.9527,0.9527,2390400
1983-09-26,0.9573,0.9643,0.9527,0.9643,1899200
1983-09-27,0.9619,0.9643,0.9481,0.9503,1435200
1983-09-28,0.9389,0.9389,0.9067,0.9091,5524800
1983-09-29,0.9043,0.9043,0.8745,0.8929,4160000
1983-09-30,0.8951,0.8951,0.8791,0.8907,2958400
1983-10-03,0.8607,0.8859,0.8607,0.8859,3622400
1983-10-04,0.8907,0.9091,0.8883,0.9043,3152000
1983-10-05,0.9205,0.9459,0.9159,0.9435,8385600
1983-10-06,0.9435,0.9619,0.9435,0.9573,2982400
1983-10-07,0.9573,0.9757,0.9481,0.9757,4185600
1983-10-10,0.9665,0.9757,0.9595,0.9757,1384000
1983-10-11,0.9803,0.9803,0.9619,0.9643,1486400
1983-10-12,0.9527,0.9527,0.9367,0.9389,1206400
1983-10-13,0.9389,0.9411,0.9343,0.9389,1283200
1983-10-14,0.9367,0.9411,0.9251,0.9367,3515200
1983-10-17,0.9367,0.9481,0.9251,0.9481,552000
1983-10-18,0.9435,0.9435,0.9343,0.9343,593600
1983-10-19,0.9251,0.9367,0.9251,0.9343,3923200
1983-10-20,0.9435,0.9459,0.9367,0.9411,2206400
1983-10-21,0.9435,0.9459,0.9275,0.9319,7200000
1983-10-24,0.9251,0.9319,0.9251,0.9297,3963200
1983-10-25,0.9297,0.9435,0.9251,0.9389,1508800
1983-10-26,0.9367,0.9503,0.9367,0.9481,3720000
1983-10-27,0.9435,0.9827,0.9435,0.9779,2185600
1983-10-28,0.9779,0.9895,0.9757,0.9757,811200
1983-10-31,0.9803,0.9987,0.9779,0.9849,2163200
1983-11-01,0.9941,0.9941,0.9665,0.9711,7686400
1983-11-02,0.9735,0.9757,0.9665,0.9757,2526400
1983-11-03,0.9757,0.9779,0.9665,0.9711,1612800
1983-11-04,0.9711,0.9803,0.9643,0.9735,644800
1983-11-07,0.9687,0.9803,0.9619,0.9711,1251200
1983-11-08,0.9711,0.9711,0.9527,0.9527,2297600
1983-11-09,0.9619,0.9849,0.9619,0.9849,1342400
1983-11-10,0.9827,0.9895,0.9827,0.9871,1100800
1983-11-11,0.9919,1.0126,0.9895,1.0126,3548800
1983-11-14,1.0126,1.0494,1.0126,1.0402,2060800
1983-11-15,1.0356,1.0356,1.0126,1.0218,1873600
1983-11-16,1.0264,1.0310,1.0172,1.0310,700800
1983-11-17,1.0103,1.0310,1.0011,1.0103,4096000
1983-11-18,1.0126,1.0126,0.9779,0.9941,2758400
1983-11-21,0.9827,0.9895,0.9803,0.9827,1750400
1983-11-22,0.9827,0.9827,0.9711,0.9735,4054400
1983-11-23,0.9711,0.9735,0.9643,0.9735,1051200
1983-11-25,0.9643,0.9735,0.9619,0.9735,579200
1983-11-28,0.9711,0.9735,0.9665,0.9711,342400
1983-11-29,0.9711,0.9735,0.9619,0.9711,686400
1983-11-30,0.9687,0.9827,0.9687,0.9711,1569600
1983-12-01,0.9735,0.9827,0.9711,0.9779,889600
1983-12-02,0.9711,0.9827,0.9711,0.9757,1750400
1983-12-05,0.9803,0.9919,0.9735,0.9919,523200
1983-12-06,0.9941,1.0056,0.9919,0.9941,1302400
1983-12-07,0.9919,0.9919,0.9803,0.9827,436800
