date,open,high,low,close,volume
1987-12-30,1.2243,1.2817,1.2243,1.2690,723603
1987-12-31,1.2563,1.2690,1.2436,1.2436,685199
1988-01-04,1.2502,1.3070,1.2502,1.3004,411753
1988-01-05,1.3070,1.3197,1.2817,1.2817,346346
1988-01-06,1.2817,1.3197,1.2751,1.3131,445500
1988-01-07,1.3131,1.3197,1.2941,1.3197,336150
1988-01-08,1.3069,1.3069,1.2557,1.2557,558900
1988-01-11,1.2557,1.2813,1.2172,1.2751,1344600
1988-01-12,1.2813,1.2813,1.2557,1.2685,857253
1988-01-13,1.2813,1.2941,1.2685,1.2874,662853
1988-01-14,1.2874,1.2941,1.2685,1.2874,858600
1988-01-15,1.3008,1.3197,1.3008,1.3131,622353
1988-01-18,1.3131,1.3259,1.3069,1.3197,609596
1988-01-19,1.3131,1.3454,1.3069,1.3454,397649
1988-01-20,1.3325,1.3648,1.3197,1.3197,2636550
1988-01-21,1.3131,1.3582,1.3131,1.3582,1487099
1988-01-22,1.3582,1.4222,1.3582,1.4222,1005149
1988-01-25,1.4222,1.4479,1.4094,1.4350,611550
1988-01-26,1.4289,1.4350,1.4222,1.4222,286203
1988-01-27,1.4222,1.4350,1.4156,1.4156,427346
1988-01-28,1.4156,1.4222,1.4156,1.4156,91196
1988-01-29,1.4289,1.4607,1.4289,1.4350,288299
1988-02-01,1.4479,1.4801,1.4350,1.4801,220796
1988-02-02,1.4735,1.4801,1.4668,1.4801,458399
1988-02-03,1.4801,1.4863,1.4607,1.4607,314553
1988-02-04,1.4607,1.4668,1.4417,1.4668,940349
1988-02-05,1.4668,1.4668,1.4479,1.4479,290253
1988-02-08,1.4350,1.4350,1.4222,1.4350,249146
1988-02-09,1.4350,1.4479,1.4222,1.4479,1117800
1988-02-10,1.4545,1.4668,1.4479,1.4607,889046
1988-02-11,1.4545,1.4668,1.4479,1.4479,293696
1988-02-12,1.4479,1.4545,1.4289,1.4545,777600
1988-02-16,1.4479,1.4607,1.4289,1.4289,354446
1988-02-17,1.4350,1.4607,1.4289,1.4479,743853
1988-02-18,1.4350,1.4801,1.4350,1.4735,295650
1988-02-19,1.4801,1.4924,1.4735,1.4924,2282246
1988-02-22,1.4863,1.5053,1.4735,1.4991,187049
1988-02-23,1.4991,1.5119,1.4991,1.5053,265346
1988-02-24,1.5119,1.5247,1.4991,1.5053,990296
1988-02-25,1.5053,1.5314,1.4924,1.5247,612299
1988-02-26,1.5186,1.5247,1.5119,1.5119,187049
1988-02-29,1.5119,1.5314,1.5119,1.5247,224846
1988-03-01,1.5247,1.5314,1.5119,1.5186,563699
1988-03-02,1.5314,1.5437,1.5186,1.5186,1952849
1988-03-03,1.5186,1.5437,1.5186,1.5437,466499
1988-03-04,1.5437,1.5888,1.5247,1.5888,375303
1988-03-07,1.5760,1.5760,1.5314,1.5375,311850
1988-03-08,1.5247,1.5888,1.5247,1.5698,521103
1988-03-09,1.5821,1.5821,1.5570,1.5570,585296
1988-03-10,1.5437,1.5632,1.4991,1.4991,305846
1988-03-11,1.5053,1.5314,1.4991,1.5314,475946
1988-03-14,1.5314,1.5314,1.5186,1.5186,533253
1988-03-15,1.5314,1.5314,1.5186,1.5247,309896
1988-03-16,1.5375,1.5375,1.5186,1.5247,435446
1988-03-17,1.5247,1.5375,1.5053,1.5375,984150
1988-03-18,1.5314,1.5504,1.5314,1.5375,291600
1988-03-21,1.5504,1.5504,1.5186,1.5186,841053
1988-03-22,1.5186,1.5247,1.4991,1.4991,1019253
1988-03-23,1.5053,1.5119,1.4991,1.5119,288299
1988-03-24,1.5119,1.5119,1.4991,1.5119,187049
1988-03-25,1.5119,1.5247,1.5119,1.5186,291600
1988-03-28,1.5119,1.5247,1.5053,1.5186,259200
1988-03-29,1.5186,1.5186,1.5053,1.5053,199199
1988-03-30,1.5053,1.5053,1.4924,1.4991,577196
1988-03-31,1.4991,1.4991,1.4924,1.4924,180296
1988-04-04,1.4991,1.5120,1.4991,1.4991,149850
1988-04-05,1.4991,1.5250,1.4929,1.5250,905246
1988-04-06,1.5250,1.5570,1.5250,1.5508,449550
1988-04-07,1.5508,1.5570,1.5508,1.5570,662853
1988-04-08,1.5570,1.5834,1.5570,1.5766,444153
1988-04-11,1.5766,1.5896,1.5766,1.5896,149850
1988-04-12,1.5896,1.5896,1.5766,1.5896,319950
1988-04-13,1.5958,1.5958,1.5766,1.5766,316649
