date,open,high,low,close,volume
1981-12-31,1.0727,1.0766,1.0688,1.0741,674400
1982-01-04,1.0793,1.0870,1.0688,1.0766,914400
1982-01-05,1.0688,1.0741,1.0636,1.0688,876000
1982-01-06,1.0559,1.0636,1.0456,1.0483,770400
1982-01-07,1.0249,1.0404,1.0066,1.0093,1250400
1982-01-08,1.0352,1.0559,1.0120,1.0456,902400
1982-01-11,1.0404,1.0559,1.0222,1.0249,835200
1982-01-12,1.0120,1.0222,0.9990,1.0222,506400
1982-01-13,1.0120,1.0197,1.0042,1.0066,1408800
1982-01-14,0.9911,1.0066,0.9731,0.9810,830400
1982-01-15,0.9886,0.9938,0.9810,0.9938,936000
1982-01-18,0.9965,1.0042,0.9886,1.0042,688800
1982-01-19,1.0042,1.0145,0.9911,0.9911,1039200
1982-01-20,0.9783,0.9861,0.9704,0.9810,607200
1982-01-21,0.9810,0.9861,0.9756,0.9810,904800
1982-01-22,0.9810,0.9861,0.9756,0.9861,1020000
1982-01-25,0.9810,0.9835,0.9756,0.9835,1658400
1982-01-26,0.9886,0.9911,0.9835,0.9911,612000
1982-01-27,0.9886,0.9886,0.9861,0.9861,100800
1982-01-28,0.9810,0.9861,0.9756,0.9861,1795200
1982-01-29,0.9886,0.9911,0.9835,0.9835,772800
1982-02-01,0.9810,0.9835,0.9756,0.9756,139200
1982-02-02,0.9704,0.9756,0.9627,0.9654,492000
1982-02-03,0.9551,0.9654,0.9420,0.9420,326400
1982-02-04,0.9290,0.9344,0.9240,0.9317,1740000
1982-02-05,0.9317,0.9369,0.9265,0.9290,1348800
1982-02-08,0.9240,0.9265,0.9189,0.9189,501600
1982-02-09,0.9162,0.9189,0.9110,0.9162,1368000
1982-02-10,0.9213,0.9290,0.9135,0.9290,840000
1982-02-11,0.9290,0.9344,0.9240,0.9317,1915200
1982-02-12,0.9344,0.9344,0.9317,0.9317,777600
1982-02-16,0.9290,0.9317,0.9265,0.9265,847200
1982-02-17,0.9265,0.9290,0.9240,0.9265,734400
1982-02-18,0.9265,0.9290,0.9240,0.9265,794400
1982-02-19,0.9240,0.9265,0.9213,0.9240,799200
1982-02-22,0.9290,0.9317,0.9240,0.9265,1250400
1982-02-23,0.9240,0.9265,0.9213,0.9213,856800
1982-02-24,0.9265,0.9265,0.9240,0.9265,496800
1982-02-25,0.9290,0.9317,0.9240,0.9290,2095200
