date,open,high,low,close,volume
2010-02-11,29.2165,29.7783,27.8680,28.8569,9627100
2010-02-12,8.7059,9.1493,8.7059,9.1493,2911896
2010-02-16,9.1425,9.1562,8.8082,9.0879,166900
2010-02-17,9.0197,9.5519,9.0061,9.0743,400400
2010-02-18,8.9378,8.9720,8.7673,8.8901,402300
2010-02-19,8.8696,9.0265,8.8014,9.0265,325600
2010-02-22,9.0606,9.3472,8.9105,8.9310,189900
2010-02-23,8.9037,9.0743,8.8764,8.9174,110000
2010-02-24,8.8696,8.9037,8.8150,8.9037,36800
2010-02-25,8.8696,9.0061,8.8628,9.0061,192600
2010-02-26,8.8833,9.2380,8.8764,9.1630,72100
2010-03-01,9.2107,9.2449,8.9447,9.0402,92200
2010-03-02,9.0402,9.1289,8.9037,9.0265,100400
2010-03-03,8.9515,9.0470,8.8969,8.9651,39700
2010-03-04,8.8969,9.1084,8.8765,9.0402,53600
2010-03-05,9.0061,9.0061,8.9037,8.9378,44000
2010-03-08,8.9583,9.2449,8.9425,9.1971,32700
2010-03-09,9.1152,9.2653,9.0129,9.2653,30700
2010-03-10,9.1425,9.4359,9.1289,9.3813,76000
2010-03-11,9.2176,9.6133,9.2107,9.5451,127700
2010-03-12,9.4427,9.6883,9.3472,9.6542,147100
2010-03-15,9.5519,10.7049,9.5519,10.2273,413100
2010-03-16,10.4457,10.7732,9.9954,10.4593,289800
2010-03-17,10.4184,10.5753,9.8112,10.5071,168300
2010-03-18,10.4388,10.5412,10.3774,10.5003,38600
2010-03-19,10.3160,10.5753,9.7566,10.5071,204200
2010-03-22,10.3979,10.5412,10.2615,10.3092,96100
2010-03-23,10.3570,10.7322,10.0977,10.3365,171700
2010-03-24,10.3092,10.4116,10.1796,10.3570,56300
2010-03-25,10.2478,10.3570,10.1045,10.2478,50400
2010-03-26,10.1728,10.5344,9.8998,10.0636,265400
2010-03-29,9.2176,9.9715,9.2176,9.8384,351400
2010-03-30,10.0636,10.3638,9.5860,9.6474,254600
2010-03-31,9.7225,9.8180,9.4291,9.5587,1530600
2010-04-01,9.5860,9.8043,9.5144,9.7566,200300
2010-04-05,9.8384,9.9202,9.7702,9.8248,98600
2010-04-06,9.7225,10.1114,9.6542,10.0909,72700
2010-04-07,10.0295,10.1728,9.9271,10.1659,66300
2010-04-08,10.1659,10.5071,10.0772,10.4934,63000
2010-04-09,10.4047,10.4934,10.3706,10.4457,96000
2010-04-12,10.4730,10.6026,10.3706,10.3979,91600
2010-04-13,10.3433,10.5139,10.1250,10.3843,82000
2010-04-14,10.4730,10.5753,10.3024,10.3911,131400
2010-04-15,10.4593,10.5207,10.3706,10.4388,220600
2010-04-16,10.4593,10.6026,10.3774,10.4320,84100
2010-04-19,10.4184,10.5207,10.2137,10.4047,47000
2010-04-20,10.4184,10.4184,10.2751,10.3638,91900
2010-04-21,10.3774,10.5207,10.3365,10.4457,46700
2010-04-22,10.4184,10.5139,10.3502,10.5071,84200
2010-04-23,10.4798,10.4798,10.3638,10.4730,59800
2010-04-26,10.4320,10.4593,10.3365,10.3911,126900
2010-04-27,10.3774,10.4252,10.3024,10.3774,56500
2010-04-28,10.3911,10.4320,10.2342,10.3774,84800
2010-04-29,10.4252,10.4320,10.2342,10.4047,54100
2010-04-30,10.3570,10.5412,10.2546,10.2956,92800
2010-05-03,10.2956,10.3706,10.2069,10.3570,72600
2010-05-04,10.3365,10.3365,9.9476,10.1045,99800
2010-05-05,10.1045,10.1591,9.9408,10.0227,115000
2010-05-06,9.9954,10.2273,9.2790,9.6201,94600
2010-05-07,9.5519,9.5519,9.1493,9.2244,153600
2010-05-10,9.3813,9.5041,9.0675,9.3063,157700
2010-05-11,9.2312,9.7225,9.2039,9.6338,60800
2010-05-12,9.6747,9.7088,9.4632,9.6338,91900
2010-05-13,9.5178,9.6201,9.3472,9.3950,517000
2010-05-14,9.3540,9.4359,9.1493,9.1971,81200
2010-05-17,9.2517,9.2585,8.8764,8.9447,108000
2010-05-18,9.0879,9.0879,8.7400,8.8082,311800
2010-05-19,8.7400,8.9378,8.5012,8.8560,131400
2010-05-20,8.7468,8.7468,8.2078,8.2146,81600
2010-05-21,8.1396,8.1805,7.9622,8.0645,137200
2010-05-24,8.0509,8.0509,7.7029,7.7029,217500
2010-05-25,7.5869,7.5869,7.2117,7.4027,190900
2010-05-26,7.4368,7.4709,7.3277,7.4232,148200
2010-05-27,7.5119,7.5665,7.4027,7.5119,103200
2010-05-28,7.4982,7.5528,7.4573,7.4982,215600
2010-06-01,7.4641,7.5119,7.2594,7.2663,58500
2010-06-02,7.3345,8.1532,7.2321,8.1396,114600
2010-06-03,8.0577,8.8696,8.0577,8.8491,50100
2010-06-04,8.6445,8.8969,8.4193,8.4807,142100
2010-06-07,8.5489,8.6854,8.3921,8.5285,76400
2010-06-08,8.5285,8.7536,8.3920,8.7127,48200
2010-06-09,8.7468,8.9720,8.5216,8.5899,68500
2010-06-10,8.6376,8.8560,8.5558,8.7604,62900
2010-06-11,8.7093,8.9720,8.6717,8.9515,59400
2010-06-14,8.9992,9.3199,8.9720,9.1425,116300
2010-06-15,9.1630,9.5451,9.1016,9.4495,225300
2010-06-16,9.4018,9.4768,9.2107,9.2380,65700
2010-06-17,9.3199,9.4018,9.1562,9.3267,39600
2010-06-18,9.3131,9.5246,9.1971,9.4154,238300
2010-06-21,9.4837,9.8316,9.4291,9.4905,96000
2010-06-22,9.5724,9.6611,9.3881,9.4291,56800
2010-06-23,9.4223,9.5246,9.3540,9.4359,54100
2010-06-24,9.3813,9.6952,9.3745,9.4632,79700
2010-06-25,9.5382,10.4934,9.4291,10.3365,754200
2010-06-28,10.2546,10.4593,10.2342,10.3774,139300
2010-06-29,10.2273,10.4730,10.0977,10.1659,86300
2010-06-30,10.1728,10.1728,9.5314,9.5587,98800
2010-07-01,9.5382,9.8248,9.2176,9.7429,66700
2010-07-02,9.7975,9.8248,9.5996,9.7361,33500
2010-07-06,9.8521,9.8794,9.2858,9.4018,90000
2010-07-07,9.4700,9.9613,9.4154,9.9544,113200
2010-07-08,9.9749,10.3365,9.9749,10.1932,76500
2010-07-09,10.1659,10.2410,10.0636,10.2410,38400
2010-07-12,10.2137,10.2137,9.8657,10.0363,54200
2010-07-13,10.1796,10.1796,9.9271,10.0909,83300
2010-07-14,10.0363,10.1114,9.9340,10.0977,30800
2010-07-15,10.1114,10.1114,9.8384,10.0295,25300
2010-07-16,9.9613,10.0022,9.7429,9.8112,99000
2010-07-19,9.8589,9.9544,9.6406,9.7770,70500
2010-07-20,9.6406,10.0022,9.6133,9.9613,71700
2010-07-21,10.0499,10.1051,9.7702,9.8384,37500
2010-07-22,9.9408,10.2137,9.8589,10.1796,57500
2010-07-23,10.1045,10.3433,10.0772,10.2819,54000
2010-07-26,10.3638,10.5207,10.1659,10.2751,43400
2010-07-27,10.3774,10.4047,10.2069,10.2273,38400
2010-07-28,10.1864,10.3092,9.9135,9.9271,21900
2010-07-29,10.0090,10.0636,9.5860,10.0431,47500
2010-07-30,9.9885,10.1045,9.7907,10.0772,73400
2010-08-02,10.3502,10.3502,10.1182,10.2819,187400
2010-08-03,10.2683,10.4457,10.2137,10.2546,77500
2010-08-04,10.2819,10.4730,10.2410,10.2887,42600
2010-08-05,10.2205,10.2819,10.0977,10.1591,31000
2010-08-06,10.0295,10.1250,9.6815,9.8726,38400
2010-08-09,9.9408,10.0090,9.7975,9.8248,35400
2010-08-10,9.6883,9.7975,9.4359,9.4632,20600
2010-08-11,9.2722,9.2722,8.9037,8.9447,81200
2010-08-12,8.7741,8.9310,8.7366,8.8764,35900
2010-08-13,8.8696,8.9651,8.5694,8.7059,66700
2010-08-16,8.6308,9.0675,8.6308,9.0675,26100
2010-08-17,9.1766,9.2687,9.0061,9.1698,55300
2010-08-18,9.1289,9.1289,8.8287,8.8628,49000
2010-08-19,8.8014,8.8901,8.4057,8.4671,92200
2010-08-20,8.3988,8.5899,8.2419,8.5831,67000
2010-08-23,8.6308,8.8491,8.3170,8.3579,140500
2010-08-24,8.2487,8.3511,7.9826,8.2897,52000
2010-08-25,8.2419,8.3511,8.1259,8.2760,77800
