date,open,high,low,close,volume
1983-04-06,2.7321,2.7321,2.6513,2.6513,667501
1983-04-07,2.6513,2.6513,2.5704,2.5950,572999
1983-04-08,2.5950,2.5950,2.5543,2.5866,460900
1983-04-11,2.5866,2.5950,2.5620,2.5704,805201
1983-04-12,2.5620,2.5704,2.4896,2.5381,521200
1983-04-13,2.5543,2.6028,2.5543,2.6028,575201
1983-04-14,2.5950,2.6674,2.5950,2.6429,441602
1983-04-15,2.6429,2.7244,2.6429,2.7075,214599
1983-04-18,2.7075,2.7244,2.6674,2.7159,172900
1983-04-19,2.7159,2.7321,2.6914,2.6998,378898
1983-04-20,2.6998,2.7075,2.6597,2.7075,90401
1983-04-21,2.7159,2.7483,2.6674,2.6914,311101
1983-04-22,2.6998,2.6998,2.6351,2.6597,150701
1983-04-25,2.6189,2.6597,2.5704,2.5950,298500
1983-04-26,2.6112,2.6351,2.5866,2.6267,415900
1983-04-27,2.6597,2.6836,2.6351,2.6429,484198
1983-04-28,2.6674,2.6914,2.6429,2.6836,305699
1983-04-29,2.6836,2.6998,2.6597,2.6836,449499
1983-05-02,2.6351,2.6914,2.5704,2.5704,837601
1983-05-03,2.5704,2.6267,2.5620,2.6267,946500
1983-05-04,2.6674,2.6914,2.6429,2.6597,1025501
1983-05-05,2.6267,2.6513,2.6028,2.6189,580502
1983-05-06,2.5950,2.6351,2.5950,2.6351,1010698
1983-05-09,2.6189,2.6513,2.6112,2.6513,217900
1983-05-10,2.6597,2.6597,2.6112,2.6189,392101
1983-05-11,2.6189,2.6513,2.5950,2.6028,659401
1983-05-12,2.5866,2.6112,2.5782,2.6112,710699
1983-05-13,2.6028,2.7159,2.6028,2.6998,416401
1983-05-16,2.7159,2.7644,2.6914,2.7483,517600
1983-05-17,2.7321,2.7483,2.7159,2.7483,330298
1983-05-18,2.7644,2.8207,2.7483,2.7560,95398
1983-05-19,2.7560,2.7644,2.7159,2.7244,340301
1983-05-20,2.7644,2.7644,2.6914,2.7483,552101
1983-05-23,2.7321,2.7560,2.7075,2.7399,216002
1983-05-24,2.7483,2.7560,2.7159,2.7159,404200
1983-05-25,2.7159,2.7321,2.7075,2.7321,258400
1983-05-26,2.7244,2.7321,2.6836,2.6998,503501
1983-05-27,2.7159,2.7483,2.7075,2.7321,214599
1983-05-31,2.7159,2.7560,2.6914,2.7159,210701
1983-06-01,2.7159,2.7159,2.6597,2.6914,346498
1983-06-02,2.7075,2.7890,2.7075,2.7890,137700
1983-06-03,2.8207,2.8375,2.7968,2.8045,272702
1983-06-06,2.7968,2.8537,2.7968,2.8453,618400
1983-06-07,2.8291,2.8453,2.8129,2.8129,220902
1983-06-08,2.8207,2.8375,2.7890,2.7890,233098
1983-06-09,2.7806,2.8375,2.7806,2.8291,368499
1983-06-10,2.8375,2.8375,2.8129,2.8129,726302
1983-06-13,2.8291,2.8291,2.7968,2.8129,763298
1983-06-14,2.8129,2.8129,2.7890,2.8045,612401
1983-06-15,2.8129,2.8854,2.8129,2.8776,382001
1983-06-16,2.9099,2.9746,2.9022,2.9507,938800
1983-06-17,2.9507,2.9746,2.9507,2.9507,151202
1983-06-20,2.9668,2.9985,2.9584,2.9824,474701
1983-06-21,2.9824,2.9824,2.9507,2.9668,187601
1983-06-22,2.9746,2.9824,2.9584,2.9668,321899
1983-06-23,2.9746,3.0153,2.9746,3.0069,565800
1983-06-24,3.0069,3.0632,2.9985,3.0393,200698
1983-06-27,3.0393,3.1117,3.0393,3.0878,615701
1983-06-28,3.0716,3.0716,3.0315,3.0470,1030902
1983-06-29,3.0470,3.0554,3.0231,3.0393,289499
1983-06-30,3.0231,3.0716,3.0153,3.0716,391600
1983-07-01,3.0716,3.1117,3.0716,3.1117,156700
1983-07-05,3.1039,3.1039,3.0716,3.0800,555002
1983-07-06,3.0878,3.1039,3.0800,3.0800,226901
1983-07-07,3.0800,3.1039,3.0800,3.0955,50802
1983-07-08,3.0955,3.1117,3.0878,3.0955,73001
1983-07-11,3.0955,3.1117,3.0955,3.1117,41401
1983-07-12,3.1039,3.1201,3.1039,3.1117,57601
1983-07-13,3.1117,3.1285,3.1117,3.1201,56700
1983-07-14,3.1201,3.1201,3.0955,3.1039,256502
1983-07-15,3.1117,3.1117,3.0315,3.0315,765602
1983-07-18,3.0231,3.0470,3.0153,3.0231,58902
1983-07-19,3.0231,3.0470,3.0231,3.0393,305998
1983-07-20,3.0554,3.0716,3.0470,3.0632,421200
1983-07-21,3.0470,3.0554,3.0153,3.0153,198602
1983-07-22,3.0069,3.0231,2.9908,3.0153,218801
1983-07-25,3.0231,3.0231,3.0069,3.0231,62102
1983-07-26,3.0153,3.0632,3.0153,3.0632,210701
1983-07-27,3.0470,3.0632,3.0069,3.0153,512198
1983-07-28,3.0069,3.0069,2.9177,2.9261,847802
1983-07-29,2.9099,2.9099,2.8291,2.8291,157899
1983-08-01,2.8129,2.8375,2.7968,2.7968,191201
1983-08-02,2.8045,2.8045,2.7399,2.7399,291600
1983-08-03,2.7244,2.7729,2.7244,2.7644,189100
1983-08-04,2.7806,2.7968,2.6674,2.7560,272201
1983-08-05,2.7483,2.7483,2.6836,2.7244,294400
1983-08-08,2.7075,2.7321,2.6998,2.7159,313202
1983-08-09,2.7159,2.7399,2.6998,2.7321,426101
1983-08-10,2.7483,2.7644,2.7321,2.7644,28502
1983-08-11,2.7644,2.8291,2.7644,2.8207,125702
1983-08-12,2.8129,2.8692,2.8129,2.8453,363700
1983-08-15,2.8537,2.8537,2.8129,2.8129,105401
1983-08-16,2.8129,2.8129,2.7729,2.7890,39700
1983-08-17,2.7806,2.8045,2.7729,2.7890,168900
1983-08-18,2.7890,2.7968,2.7806,2.7806,213901
1983-08-19,2.7806,2.7890,2.7806,2.7806,93302
1983-08-22,2.7890,2.7890,2.7806,2.7806,227701
1983-08-23,2.7806,2.7890,2.7806,2.7806,424501
1983-08-24,2.7806,2.7890,2.7806,2.7890,82301
1983-08-25,2.7806,2.7890,2.7806,2.7890,93099
1983-08-26,2.7890,2.7890,2.7644,2.7729,217900
1983-08-29,2.7729,2.7729,2.7321,2.7399,185500
1983-08-30,2.7399,2.7560,2.7159,2.7159,37301
1983-08-31,2.6998,2.7321,2.6998,2.7244,122801
1983-09-01,2.7075,2.7321,2.7075,2.7321,218801
1983-09-02,2.7159,2.7159,2.6836,2.7159,147101
1983-09-06,2.6998,2.7321,2.6914,2.7321,261402
1983-09-07,2.7399,2.8537,2.7399,2.8537,150701
1983-09-08,2.8692,2.8692,2.8291,2.8291,559001
1983-09-09,2.8129,2.8129,2.7806,2.7806,239801
1983-09-12,2.7968,2.7968,2.7560,2.7560,168298
1983-09-13,2.7483,2.7560,2.7483,2.7560,163898
1983-09-14,2.7560,2.7560,2.7321,2.7399,124300
1983-09-15,2.7244,2.7244,2.6836,2.6836,118301
1983-09-16,2.6998,2.7399,2.6998,2.7244,203801
1983-09-19,2.7321,2.7483,2.7321,2.7399,183602
1983-09-20,2.7560,2.8776,2.7560,2.8537,507101
1983-09-21,2.8537,2.8614,2.8207,2.8614,136500
1983-09-22,2.8776,2.9584,2.8537,2.9339,110702
1983-09-23,2.9339,2.9339,2.9099,2.9099,68101
1983-09-26,2.9261,2.9584,2.9261,2.9423,426101
1983-09-27,2.9584,2.9584,2.9022,2.9099,154001
1983-09-28,2.8938,2.8938,2.8453,2.8453,50498
1983-09-29,2.8291,2.8453,2.8045,2.8045,159899
1983-09-30,2.8291,2.8537,2.8291,2.8375,193600
1983-10-03,2.8291,2.8614,2.8291,2.8291,111598
1983-10-04,2.8453,2.8776,2.8453,2.8614,122801
1983-10-05,2.8453,2.8692,2.8453,2.8692,44702
1983-10-06,2.8614,2.8854,2.8453,2.8854,121601
1983-10-07,2.8938,2.9022,2.8854,2.8938,50498
1983-10-10,2.8938,2.9099,2.8938,2.9099,44499
1983-10-11,2.9099,2.9177,2.9022,2.9022,100501
1983-10-12,2.9022,2.9177,2.8938,2.9099,135002
1983-10-13,2.9261,2.9507,2.9099,2.9261,47400
1983-10-14,2.9339,2.9423,2.9177,2.9177,56700
1983-10-17,2.9339,2.9339,2.9177,2.9177,131498
1983-10-18,2.9177,2.9177,2.8614,2.8776,120700
1983-10-19,2.8614,2.8854,2.8537,2.8614,25201
1983-10-20,2.8453,2.8453,2.8207,2.8291,486101
1983-10-21,2.8453,2.8453,2.8291,2.8453,86402
1983-10-24,2.8291,2.8375,2.8207,2.8375,100501
1983-10-25,2.8291,2.8453,2.7968,2.7968,232202
1983-10-26,2.7968,2.8129,2.7806,2.7806,160198
1983-10-27,2.7806,2.7806,2.7560,2.7644,17501
1983-10-28,2.7644,2.7968,2.7644,2.7806,41801
1983-10-31,2.7644,2.8291,2.7644,2.8207,102101
1983-11-01,2.8207,2.8291,2.7806,2.7968,279399
1983-11-02,2.8045,2.8129,2.7890,2.7968,795698
1983-11-03,2.7968,2.8045,2.7806,2.7968,119399
1983-11-04,2.7968,2.8045,2.7806,2.7968,29702
1983-11-07,2.8129,2.8129,2.7968,2.7968,58598
1983-11-08,2.7968,2.7968,2.7890,2.7968,120300
1983-11-09,2.7806,2.7806,2.7483,2.7806,326202
1983-11-10,2.7806,2.8129,2.7806,2.8129,209400
1983-11-11,2.8045,2.8045,2.7890,2.8045,130901
1983-11-14,2.8129,2.8129,2.7399,2.7483,425199
1983-11-15,2.7644,2.8045,2.7483,2.8045,230799
1983-11-16,2.8045,2.8129,2.7890,2.7890,48600
1983-11-17,2.8045,2.8291,2.7968,2.8291,345602
1983-11-18,2.8291,2.8375,2.8207,2.8291,130901
1983-11-21,2.8291,2.8692,2.8207,2.8692,201700
1983-11-22,2.8614,2.8938,2.8537,2.8614,391600
1983-11-23,2.8614,2.8692,2.8291,2.8291,351601
1983-11-25,2.8453,2.8692,2.8375,2.8453,151799
1983-11-28,2.8537,2.8614,2.8453,2.8614,110201
1983-11-29,2.8614,2.8614,2.8453,2.8453,375901
1983-11-30,2.8537,2.8854,2.8453,2.8614,1083598
1983-12-01,2.8537,2.8854,2.8537,2.8854,401801
1983-12-02,2.8854,2.9099,2.8854,2.9099,97200
1983-12-05,2.8776,2.8938,2.8692,2.8854,62102
1983-12-06,2.8776,2.8854,2.8692,2.8692,41801
1983-12-07,2.8938,2.9177,2.8938,2.9099,122801
1983-12-08,2.9099,2.9099,2.8692,2.8776,293498
1983-12-09,2.8614,2.8854,2.8537,2.8692,248999
1983-12-12,2.8537,2.8614,2.7806,2.7806,196602
1983-12-13,2.7644,2.8375,2.7644,2.8207,203801
1983-12-14,2.8453,2.8776,2.8453,2.8776,206499
1983-12-15,2.8692,2.9668,2.8692,2.8854,593502
1983-12-16,2.8938,2.9423,2.8854,2.9423,64000
1983-12-19,2.9423,2.9507,2.9099,2.9507,369902
1983-12-20,2.9423,2.9423,2.9261,2.9339,163898
1983-12-21,2.9339,2.9423,2.9177,2.9261,167999
1983-12-22,2.9423,3.0069,2.9423,2.9423,90998
1983-12-23,2.9339,2.9746,2.9177,2.9584,553600
1983-12-27,2.9746,3.0069,2.9746,2.9824,332100
1983-12-28,2.9824,2.9824,2.9507,2.9668,171998
1983-12-29,2.9746,2.9746,2.9423,2.9423,155201
1983-12-30,2.9261,2.9261,2.9022,2.9099,114301
1984-01-03,2.9099,2.9099,2.8938,2.8938,32400
1984-01-04,2.8938,2.9261,2.8938,2.9261,147101
1984-01-05,2.9507,2.9908,2.9507,2.9908,623801
1984-01-06,2.9908,2.9908,2.9507,2.9507,404200
1984-01-09,2.9668,2.9668,2.9177,2.9261,97301
1984-01-10,2.9177,2.9584,2.9177,2.9507,69701
1984-01-11,2.9423,2.9824,2.9423,2.9824,120700
1984-01-12,2.9985,3.0716,2.9985,3.0393,621898
1984-01-13,3.0393,3.0470,2.9746,2.9985,96400
1984-01-16,2.9985,2.9985,2.9824,2.9908,107198
1984-01-17,2.9746,3.0231,2.9746,3.0069,197200
1984-01-18,2.9908,3.0069,2.9584,2.9824,292501
1984-01-19,2.9824,3.0153,2.9746,2.9985,109299
1984-01-20,2.9985,2.9985,2.9584,2.9584,35200
1984-01-23,2.9746,2.9824,2.9584,2.9746,34298
1984-01-24,2.9824,2.9824,2.9584,2.9584,87298
1984-01-25,2.9824,2.9908,2.9584,2.9584,511201
1984-01-26,2.9507,2.9584,2.9022,2.9099,191702
1984-01-27,2.9099,2.9099,2.8291,2.8453,247901
1984-01-30,2.8375,2.8375,2.8291,2.8375,38399
1984-01-31,2.8207,2.8453,2.8207,2.8207,47400
1984-02-01,2.8291,2.8291,2.7729,2.7729,37301
1984-02-02,2.7399,2.7644,2.7321,2.7644,54599
1984-02-03,2.7644,2.7806,2.7644,2.7806,299801
1984-02-06,2.7644,2.7806,2.7399,2.7483,82898
1984-02-07,2.7806,2.8207,2.7159,2.8207,171001
1984-02-08,2.8045,2.8537,2.7644,2.7644,345101
1984-02-09,2.7483,2.7729,2.6998,2.7075,482801
1984-02-10,2.7075,2.7244,2.6914,2.6998,217500
1984-02-13,2.6674,2.6674,2.5782,2.5866,157201
1984-02-14,2.5782,2.6351,2.4650,2.6351,310600
1984-02-15,2.6429,2.6674,2.6267,2.6267,98501
1984-02-16,2.6112,2.6112,2.5704,2.5866,280802
1984-02-17,2.5950,2.6351,2.5782,2.5782,328202
1984-02-21,2.5620,2.5704,2.5381,2.5381,45902
1984-02-22,2.5220,2.5220,2.4735,2.4896,657998
1984-02-23,2.4896,2.4896,2.4004,2.4172,145901
1984-02-24,2.4250,2.4980,2.4250,2.4896,310600
1984-02-27,2.4896,2.5620,2.4896,2.5620,311101
1984-02-28,2.5704,2.5782,2.4980,2.5381,261402
1984-02-29,2.5381,2.5543,2.5304,2.5543,228698
1984-03-01,2.5381,2.6513,2.5381,2.6513,290800
1984-03-02,2.6513,2.7321,2.6513,2.6836,1490501
1984-03-05,2.6674,2.6759,2.6351,2.6513,76899
1984-03-06,2.6513,2.6674,2.6429,2.6674,234100
1984-03-07,2.6597,2.6597,2.5543,2.5543,199802
1984-03-08,2.5381,2.5543,2.4896,2.4896,880799
1984-03-09,2.4819,2.5058,2.4088,2.4735,141699
1984-03-12,2.4819,2.4980,2.4489,2.4896,350198
1984-03-13,2.4896,2.5543,2.4896,2.5381,188502
1984-03-14,2.5465,2.5543,2.5220,2.5543,98501
1984-03-15,2.5704,2.5950,2.5304,2.5304,45902
1984-03-16,2.5465,2.6513,2.5465,2.6513,74798
1984-03-19,2.6351,2.6351,2.5950,2.6028,46798
1984-03-20,2.5866,2.5950,2.5543,2.5782,192598
1984-03-21,2.5782,2.5782,2.5220,2.5220,112200
1984-03-22,2.5220,2.5220,2.4735,2.4896,143102
1984-03-23,2.5058,2.5304,2.4980,2.4980,77102
1984-03-26,2.5135,2.5135,2.4819,2.5135,213901
1984-03-27,2.4980,2.5304,2.4896,2.5304,117399
1984-03-28,2.5381,2.5704,2.5381,2.5704,100501
1984-03-29,2.5782,2.5866,2.5782,2.5782,179101
1984-03-30,2.5620,2.5620,2.4896,2.5058,147101
1984-04-02,2.4896,2.5220,2.4735,2.4980,463001
1984-04-03,2.4980,2.5058,2.4896,2.5058,213400
1984-04-04,2.5058,2.5304,2.5058,2.5135,43300
1984-04-05,2.4980,2.5220,2.4980,2.5058,63600
1984-04-06,2.5220,2.5220,2.4573,2.4819,126902
1984-04-09,2.4896,2.4896,2.4250,2.4334,104100
1984-04-10,2.4250,2.4492,2.4007,2.4366,69667
1984-04-11,2.4618,2.4618,2.3522,2.3522,146701
1984-04-12,2.3638,2.4977,2.3280,2.4851,224201
1984-04-13,2.4735,2.5704,2.4735,2.5220,303301
1984-04-16,2.5103,2.6432,2.4977,2.6432,480701
