date,open,high,low,close,volume
1987-07-23,1.5791,1.5791,1.5118,1.5143,2732400
1987-07-24,1.5143,1.5172,1.4902,1.4956,2562300
1987-07-27,1.5010,1.5143,1.4956,1.5064,936900
1987-07-28,1.5172,1.5441,1.5172,1.5334,1630800
1987-07-29,1.5388,1.5873,1.5280,1.5737,1458000
1987-07-30,1.5737,1.5737,1.5578,1.5737,691200
1987-07-31,1.5683,1.5927,1.5657,1.5927,1452600
1987-08-03,1.5873,1.5899,1.5683,1.5683,1674000
1987-08-04,1.5632,1.5683,1.5441,1.5578,834300
1987-08-05,1.5603,1.5845,1.5549,1.5632,828900
1987-08-06,1.5603,1.6197,1.5578,1.6117,1925100
1987-08-07,1.6305,1.6763,1.6225,1.6737,2397600
1987-08-10,1.6629,1.6709,1.6575,1.6629,1981800
1987-08-11,1.6629,1.6683,1.6547,1.6655,1925100
1987-08-12,1.6683,1.6819,1.6575,1.6629,1908900
1987-08-13,1.6575,1.6655,1.6143,1.6333,4357800
1987-08-14,1.6279,1.6413,1.6197,1.6197,1941300
1987-08-17,1.6305,1.6413,1.6197,1.6279,1795500
1987-08-18,1.6279,1.6305,1.5549,1.6035,2367900
1987-08-19,1.5981,1.6143,1.5899,1.5927,961200
1987-08-20,1.5927,1.6413,1.5927,1.6305,1935900
1987-08-21,1.6413,1.6683,1.6359,1.6575,2033100
1987-08-24,1.6629,1.6629,1.6143,1.6171,1377000
1987-08-25,1.6171,1.6251,1.6007,1.6063,3871800
1987-08-26,1.5981,1.5981,1.5765,1.5819,745200
1987-08-27,1.5873,1.5873,1.5118,1.5334,3053700
1987-08-28,1.5334,1.5334,1.4902,1.5010,1746900
1987-08-31,1.5089,1.5308,1.4981,1.5089,1609200
1987-09-01,1.5089,1.5089,1.4416,1.4470,6957900
1987-09-02,1.4416,1.4714,1.4388,1.4714,6787800
1987-09-03,1.4822,1.4822,1.4470,1.4578,7624800
1987-09-04,1.4524,1.4606,1.4038,1.4092,3526200
1987-09-08,1.4038,1.4038,1.3228,1.3418,7541100
1987-09-09,1.3472,1.3578,1.3066,1.3552,9936000
1987-09-10,1.3606,1.3632,1.2796,1.2984,7349400
1987-09-11,1.2958,1.3282,1.2958,1.3092,4797900
1987-09-14,1.3174,1.3256,1.2984,1.3120,3542400
1987-09-15,1.3066,1.3066,1.2608,1.2608,7287300
1987-09-16,1.2418,1.2418,1.1932,1.1986,13464900
1987-09-17,1.2094,1.2148,1.1932,1.2066,6698700
1987-09-18,1.2014,1.2014,1.0042,1.0204,55620000
1987-09-21,0.8207,0.8315,0.7613,0.7991,97470000
1987-09-22,0.8045,0.8181,0.7775,0.8127,52650000
1987-09-23,0.8127,0.8181,0.7801,0.7909,29565000
1987-09-24,0.7883,0.8099,0.7775,0.7963,25002000
1987-09-25,0.7963,0.7991,0.7909,0.7963,8958600
1987-09-28,0.8045,0.8099,0.7937,0.8017,13670100
1987-09-29,0.8017,0.8235,0.7883,0.8207,12544200
1987-09-30,0.8207,0.8395,0.8127,0.8261,14755500
1987-10-01,0.8289,0.8477,0.8207,0.8449,17663400
1987-10-02,0.8423,0.8423,0.8207,0.8395,7395300
1987-10-05,0.8395,0.8423,0.8153,0.8207,5208300
1987-10-06,0.8207,0.8207,0.7775,0.7829,7322400
1987-10-07,0.7775,0.7775,0.7479,0.7505,14466600
1987-10-08,0.7343,0.7343,0.6749,0.6965,42390000
1987-10-09,0.6991,0.7153,0.6911,0.6965,13319100
1987-10-12,0.6991,0.7073,0.6885,0.6991,14488200
1987-10-13,0.7127,0.7127,0.6965,0.6991,5346000
1987-10-14,0.6965,0.6991,0.6857,0.6857,9790200
1987-10-15,0.6831,0.6831,0.6479,0.6479,12239100
1987-10-16,0.6425,0.6425,0.6047,0.6075,18424800
1987-10-19,0.5723,0.5939,0.4913,0.4913,17992800
1987-10-20,0.4993,0.5291,0.3779,0.4859,18030600
1987-10-21,0.4535,0.5345,0.4535,0.5075,16642800
1987-10-22,0.4913,0.4939,0.4237,0.4401,10538100
1987-10-23,0.4265,0.4563,0.4157,0.4291,6191100
1987-10-26,0.3969,0.4021,0.3455,0.3535,8912700
1987-10-27,0.3725,0.4049,0.3725,0.3833,8799300
1987-10-28,0.3455,0.4157,0.3455,0.4049,7470900
1987-10-29,0.3995,0.4291,0.3887,0.4237,6593400
1987-10-30,0.4427,0.4481,0.4265,0.4265,10071000
1987-11-02,0.4183,0.4183,0.4049,0.4129,4695300
1987-11-03,0.4075,0.4075,0.3807,0.3915,4738500
1987-11-04,0.3779,0.4211,0.3779,0.4129,5688900
1987-11-05,0.4075,0.4129,0.3995,0.4049,8928900
1987-11-06,0.4021,0.4345,0.3995,0.4103,10478700
1987-11-09,0.4157,0.4535,0.4103,0.4455,9396000
1987-11-10,0.4319,0.4831,0.4265,0.4319,17266500
1987-11-11,0.4373,0.4481,0.4319,0.4373,5483700
1987-11-12,0.4643,0.4751,0.4291,0.4751,13751100
1987-11-13,0.4535,0.4563,0.4237,0.4345,16559100
1987-11-16,0.4509,0.4509,0.4237,0.4237,4889700
1987-11-17,0.4211,0.4211,0.3887,0.4075,9220500
1987-11-18,0.4049,0.4211,0.4049,0.4157,5030100
1987-11-19,0.4157,0.4211,0.4049,0.4049,2932200
1987-11-20,0.3941,0.4157,0.3941,0.4157,5038200
1987-11-23,0.4319,0.4373,0.4211,0.4237,7487100
1987-11-24,0.4291,0.4319,0.4157,0.4157,4230900
1987-11-25,0.4103,0.4265,0.4103,0.4237,4395600
1987-11-27,0.4211,0.4291,0.4183,0.4211,1946700
1987-11-30,0.3888,0.4077,0.3805,0.4022,6709500
1987-12-01,0.4103,0.4157,0.3968,0.3968,3483000
1987-12-02,0.3968,0.4103,0.3942,0.3996,3153600
1987-12-03,0.4022,0.4077,0.3751,0.3805,7641000
