date,open,high,low,close,volume
1972-06-01,2.2109,2.2201,2.1892,2.2201,158400
1972-06-02,2.2201,2.2618,2.2060,2.2368,704808
1972-06-05,2.2227,2.2227,2.1445,2.1501,284400
1972-06-06,2.1501,2.1669,2.1390,2.1445,203592
1972-06-07,2.1445,2.1501,2.1334,2.1363,85608
1972-06-08,2.1363,2.1501,2.1278,2.1278,191208
1972-06-09,2.1222,2.1222,2.0831,2.1166,292008
1972-06-12,2.1166,2.1419,2.1166,2.1166,128400
1972-06-13,2.1166,2.1278,2.0943,2.1055,720000
1972-06-14,2.1055,2.1278,2.1028,2.1222,594000
1972-06-15,2.1222,2.1419,2.1222,2.1363,251592
1972-06-16,2.1363,2.1528,2.1334,2.1472,279192
1972-06-19,2.1501,2.1725,2.1501,2.1696,516000
1972-06-20,2.1696,2.1754,2.1501,2.1642,375192
1972-06-21,2.1642,2.1810,2.1613,2.1725,246408
1972-06-22,2.1725,2.1836,2.1472,2.1836,208800
1972-06-23,2.1836,2.2395,2.1836,2.2171,498408
1972-06-26,2.2171,2.2283,2.2033,2.2171,251592
1972-06-27,2.2171,2.2339,2.2116,2.2339,271608
1972-06-28,2.2339,2.2424,2.2283,2.2339,110808
1972-06-29,2.2339,2.2507,2.2283,2.2451,211200
1972-06-30,2.2424,2.2424,2.2283,2.2283,120792
1972-07-03,2.2283,2.2339,2.2004,2.2116,128400
1972-07-05,2.2116,2.2227,2.2004,2.2116,118008
1972-07-06,2.2116,2.2451,2.2060,2.2060,236400
1972-07-07,2.2060,2.2087,2.1669,2.1781,226392
1972-07-10,2.1781,2.2116,2.1781,2.2004,370008
1972-07-11,2.2004,2.2004,2.1836,2.1836,148392
1972-07-12,2.1781,2.1781,2.1419,2.1445,271608
1972-07-13,2.1445,2.1445,2.1222,2.1419,269208
1972-07-14,2.1445,2.1892,2.1445,2.1836,742800
1972-07-17,2.1836,2.1863,2.1669,2.1781,536400
1972-07-18,2.1781,2.1781,2.1586,2.1781,186000
1972-07-19,2.1836,2.2227,2.1836,2.1892,339600
1972-07-20,2.1810,2.1810,2.1613,2.1669,312000
1972-07-21,2.1669,2.1836,2.1586,2.1836,360000
1972-07-24,2.1836,2.1892,2.1586,2.1836,543600
1972-07-25,2.1919,2.2368,2.1919,2.2116,941592
1972-07-26,2.2116,2.2171,2.2004,2.2033,203592
1972-07-27,2.2116,2.2339,2.2116,2.2339,360000
1972-07-28,2.2339,2.2451,2.2339,2.2451,395208
1972-07-31,2.2451,2.2562,2.2339,2.2451,138408
1972-08-01,2.2451,2.2674,2.2368,2.2674,193608
1972-08-02,2.2786,2.3679,2.2786,2.3623,904008
1972-08-03,2.3679,2.4517,2.3679,2.4238,523608
1972-08-04,2.4350,2.4573,2.4350,2.4461,496008
1972-08-07,2.4461,2.4488,2.4294,2.4294,188808
1972-08-08,2.4294,2.4937,2.4294,2.4937,307200
1972-08-09,2.4937,2.5466,2.4937,2.5020,448008
1972-08-10,2.5131,2.5466,2.5131,2.5328,246408
1972-08-11,2.5355,2.6360,2.5355,2.5913,400392
1972-08-14,2.5913,2.6333,2.5802,2.6137,314400
1972-08-15,2.6110,2.6110,2.5690,2.5969,218808
1972-08-16,2.5969,2.6137,2.5690,2.5690,196392
1972-08-17,2.5690,2.5857,2.5607,2.5690,432792
1972-08-18,2.5690,2.5828,2.5578,2.5690,236400
1972-08-21,2.5551,2.5551,2.5270,2.5328,183600
1972-08-22,2.5328,2.5661,2.5299,2.5578,304392
1972-08-23,2.5578,2.5690,2.5522,2.5634,440400
1972-08-24,2.5578,2.5578,2.5270,2.5328,55200
1972-08-25,2.4517,2.4517,2.3988,2.4070,594000
1972-08-28,2.4070,2.4097,2.3568,2.3932,344808
1972-08-29,2.3932,2.3932,2.3597,2.3735,236400
1972-08-30,2.3791,2.4461,2.3791,2.4265,354792
1972-08-31,2.4265,2.5020,2.4126,2.5020,516000
1972-09-01,2.5020,2.5466,2.4937,2.5187,352392
1972-09-05,2.5187,2.5187,2.4769,2.4852,307200
1972-09-06,2.4852,2.4908,2.4685,2.4823,601608
1972-09-07,2.4823,2.4964,2.4769,2.4852,344808
1972-09-08,2.4796,2.4796,2.4573,2.4602,375192
1972-09-11,2.4602,2.4714,2.4602,2.4629,282000
1972-09-12,2.4629,2.4629,2.4041,2.4182,707592
1972-09-13,2.4182,2.4350,2.3903,2.4238,382392
1972-09-14,2.4238,2.4517,2.4126,2.4350,425208
1972-09-15,2.4350,2.4488,2.4265,2.4350,422808
1972-09-18,2.4350,2.4350,2.4155,2.4294,140808
1972-09-19,2.4294,2.4323,2.4126,2.4211,317208
1972-09-20,2.4014,2.4014,2.3791,2.3988,367608
1972-09-21,2.3988,2.3988,2.3820,2.3820,511200
1972-09-22,2.3903,2.4405,2.3903,2.4294,334800
1972-09-25,2.4350,2.4796,2.4350,2.4350,367608
1972-09-26,2.4405,2.4629,2.4405,2.4517,244008
1972-09-27,2.4656,2.5216,2.4656,2.5187,647208
1972-09-28,2.5187,2.6025,2.5187,2.6025,856008
1972-09-29,2.6304,2.6974,2.6304,2.6501,631992
1972-10-02,2.6501,2.6751,2.6025,2.6304,1029600
1972-10-03,2.6360,2.6834,2.6360,2.6834,294408
1972-10-04,2.6863,2.7365,2.6863,2.6919,418008
1972-10-05,2.6919,2.7086,2.6360,2.6360,410400
1972-10-06,2.6360,2.6360,2.5466,2.5998,760392
1972-10-09,2.6219,2.6360,2.6219,2.6219,178800
1972-10-10,2.6472,2.7142,2.6472,2.6807,536400
1972-10-11,2.6807,2.7115,2.6472,2.6807,322008
1972-10-12,2.6807,2.6807,2.6275,2.6751,301992
1972-10-13,2.6751,2.6807,2.6501,2.6695,299592
1972-10-16,2.6695,2.6780,2.6472,2.6501,324792
1972-10-17,2.6501,2.6639,2.6248,2.6501,561192
1972-10-18,2.6501,2.7225,2.6501,2.7171,591600
1972-10-19,2.7171,2.7421,2.7057,2.7171,652008
1972-10-20,2.7171,2.7562,2.7142,2.7394,1354800
1972-10-23,2.7812,2.8203,2.7812,2.7868,463200
1972-10-24,2.7868,2.8091,2.7589,2.7924,379992
1972-10-25,2.7812,2.7812,2.7448,2.7700,113208
1972-10-26,2.7700,2.7924,2.7254,2.7254,256800
1972-10-27,2.7254,2.7589,2.7254,2.7477,425208
1972-10-30,2.7645,2.7868,2.7645,2.7729,259200
1972-10-31,2.7924,2.8482,2.7924,2.8482,564000
1972-11-01,2.8567,2.9097,2.8567,2.9041,521208
1972-11-02,2.9041,2.9376,2.8985,2.9181,443208
1972-11-03,2.9264,2.9990,2.9264,2.9934,412800
1972-11-06,2.9934,3.0325,2.9711,3.0131,490800
1972-11-08,3.0214,3.0381,3.0214,3.0240,982008
1972-11-09,3.0240,3.0381,3.0184,3.0325,780408
1972-11-10,3.0325,3.0549,3.0184,3.0325,649608
1972-11-13,3.0325,3.0464,3.0269,3.0408,480792
1972-11-14,3.0408,3.0464,2.9878,2.9878,1254000
1972-11-15,2.9711,2.9711,2.9152,2.9208,883608
1972-11-16,2.9208,2.9320,2.8873,2.9012,594000
1972-11-17,2.8929,2.8929,2.7839,2.8735,1069992
1972-11-20,2.8735,2.8985,2.8567,2.8679,505992
1972-11-21,2.8679,2.8985,2.8621,2.8735,312000
1972-11-22,2.8817,2.9152,2.8817,2.9041,289608
1972-11-24,2.9041,2.9152,2.8706,2.9041,342408
1972-11-27,2.9041,2.9041,2.8844,2.8844,223992
1972-11-28,2.8844,2.8902,2.8594,2.8594,241608
1972-11-29,2.8594,2.8791,2.8511,2.8594,239208
1972-11-30,2.8594,2.8706,2.8426,2.8567,145992
1972-12-01,2.8567,2.9264,2.8511,2.9208,614400
1972-12-04,2.9376,2.9823,2.9376,2.9823,223992
1972-12-05,3.0269,3.0522,3.0269,3.0381,19800
1972-12-06,3.0716,3.1219,3.0716,3.0995,402792
1972-12-07,3.0995,3.0995,3.0828,3.0995,253992
1972-12-08,3.0995,3.1107,3.0995,3.1080,249192
1972-12-11,3.1080,3.1080,3.0214,3.0549,440400
1972-12-12,3.0631,3.0995,3.0631,3.0799,276792
1972-12-13,3.0716,3.0716,3.0381,3.0578,367608
1972-12-14,3.0578,3.0745,3.0408,3.0660,163608
1972-12-15,3.0493,3.0493,2.9934,3.0381,1251600
1972-12-18,3.0269,3.0269,3.0102,3.0102,223992
1972-12-19,3.0102,3.0381,2.9823,3.0240,249192
1972-12-20,3.0240,3.0269,2.9823,3.0102,377592
1972-12-21,3.0269,3.0604,3.0269,3.0381,432792
1972-12-22,3.0549,3.1107,3.0549,3.0799,274392
1972-12-26,3.0799,3.0940,3.0716,3.0716,150792
1972-12-27,3.0828,3.0940,3.0828,3.0884,55200
1972-12-29,3.1080,3.1498,3.1080,3.1330,440400
1973-01-02,3.1386,3.1945,3.1386,3.1777,342408
1973-01-03,3.1833,3.2392,3.1833,3.2056,453192
1973-01-04,3.2086,3.2727,3.2086,3.2727,370008
1973-01-05,3.3732,3.4570,3.3732,3.4179,649608
1973-01-08,3.4179,3.4737,3.3844,3.3844,601608
1973-01-09,3.3591,3.3591,3.2894,3.3509,536400
1973-01-10,3.3591,3.4123,3.3591,3.4040,249192
1973-01-11,3.5575,3.6859,3.5575,3.5742,1176000
1973-01-12,3.5742,3.6189,3.4514,3.4625,883608
1973-01-15,3.4849,3.5575,3.4849,3.5575,667200
1973-01-16,3.5575,3.5716,3.5016,3.5519,690000
1973-01-17,3.5378,3.5378,3.5128,3.5184,661992
1973-01-18,3.5184,3.5631,3.4710,3.5519,586392
1973-01-19,3.5575,3.5939,3.5575,3.5575,697200
1973-01-22,3.5575,3.5742,3.5546,3.5546,186000
1973-01-23,3.5546,3.5631,3.5546,3.5575,168408
1973-01-24,3.5575,3.5716,3.5184,3.5269,418008
1973-01-26,3.5240,3.5240,3.4514,3.4849,732792
1973-01-29,3.4849,3.4987,3.4319,3.4625,375192
1973-01-30,3.4514,3.4514,3.3091,3.3118,395208
1973-01-31,3.3006,3.3006,3.1833,3.1833,1143192
1973-02-01,3.2001,3.2476,3.2001,3.2253,727608
1973-02-02,3.2253,3.2586,3.1972,3.2503,473208
1973-02-05,3.2503,3.3033,3.2280,3.2418,412800
1973-02-06,3.2418,3.2894,3.2168,3.2671,1039992
1973-02-07,3.2782,3.3285,3.2782,3.2867,564000
1973-02-08,3.2867,3.3033,3.2615,3.2615,440400
1973-02-09,3.2671,3.3229,3.2671,3.3173,276792
1973-02-12,3.3955,3.4570,3.3955,3.4487,468408
1973-02-13,3.4487,3.6077,3.4319,3.4543,883608
1973-02-14,3.4543,3.4793,3.4067,3.4152,614400
1973-02-15,3.4152,3.4290,3.3397,3.3397,312000
1973-02-16,3.3368,3.3368,3.2727,3.3173,395208
1973-02-20,3.3173,3.3955,3.3062,3.3229,317208
1973-02-21,3.3229,3.3424,3.2671,3.2671,256800
1973-02-22,3.2671,3.2727,3.2168,3.2168,432792
1973-02-23,3.2168,3.2195,3.2056,3.2086,357600
1973-02-26,3.2086,3.2253,3.0298,3.0604,604392
1973-02-27,3.0604,3.0884,2.9934,2.9934,964392
1973-02-28,3.0046,3.1554,3.0046,3.1498,762792
1973-03-01,3.1498,3.1610,3.0828,3.1051,820800
1973-03-02,3.1051,3.1777,3.0381,3.1637,725208
1973-03-05,3.1637,3.2112,3.1275,3.1721,1541208
1973-03-06,3.1721,3.2224,3.1610,3.1804,1213608
1973-03-07,3.1804,3.1833,3.0799,3.1136,737592
1973-03-08,3.1554,3.2056,3.1554,3.1918,435600
1973-03-09,3.1889,3.1889,3.1275,3.1777,279192
1973-03-12,3.1777,3.2112,3.1695,3.1945,118008
1973-03-13,3.2027,3.2615,3.2027,3.2615,196392
1973-03-14,3.2615,3.2615,3.2168,3.2336,435600
1973-03-15,3.2336,3.2476,3.2224,3.2280,317208
1973-03-16,3.2253,3.2253,3.1637,3.1637,231600
1973-03-19,3.1219,3.1219,3.0549,3.0604,730008
1973-03-20,3.0604,3.0604,3.0184,3.0464,438000
1973-03-21,3.0381,3.0381,2.8817,2.8817,850800
1973-03-22,2.8511,2.8511,2.7980,2.8259,1027200
1973-03-23,2.8259,2.9487,2.8203,2.9097,1080000
1973-03-26,2.9487,3.0325,2.9487,3.0269,402792
1973-03-27,3.0269,3.0660,2.9907,3.0381,379992
1973-03-28,3.0381,3.1442,3.0184,3.1304,337200
1973-03-29,3.1304,3.1777,3.1163,3.1219,672000
1973-03-30,3.1219,3.1219,3.0631,3.0631,198792
1973-04-02,3.0522,3.0522,3.0214,3.0298,327192
1973-04-03,3.0298,3.0549,3.0158,3.0549,181200
1973-04-04,3.0549,3.0604,3.0240,3.0269,301992
1973-04-05,2.9878,2.9878,2.9264,2.9487,259200
1973-04-06,2.9517,3.0158,2.9517,2.9934,349992
1973-04-09,2.9934,3.0604,2.9711,3.0381,453192
1973-04-10,3.0995,3.1945,3.0995,3.1945,486000
1973-04-11,3.1945,3.2392,3.1498,3.2056,324792
1973-04-12,3.2056,3.2392,3.1889,3.2168,198792
1973-04-13,3.2168,3.2336,3.1554,3.1581,269208
1973-04-16,3.1581,3.1695,3.1304,3.1304,183600
1973-04-17,3.0913,3.0913,3.0604,3.0604,289608
1973-04-18,3.0604,3.1442,3.0604,3.1442,223992
1973-04-19,3.1498,3.2168,3.1498,3.1777,347208
1973-04-23,3.1777,3.2838,3.1721,3.2336,352392
1973-04-24,3.2056,3.2056,3.1275,3.1386,216408
1973-04-25,3.1163,3.1163,3.0772,3.0772,256800
1973-04-26,3.0660,3.0660,3.0184,3.0493,271608
1973-04-27,3.0493,3.0884,3.0381,3.0408,591600
1973-04-30,3.0017,3.0017,2.9543,2.9626,448008
1973-05-01,2.9626,2.9934,2.9264,2.9907,307200
1973-05-02,3.0046,3.0604,3.0046,3.0549,226392
1973-05-03,3.0549,3.0940,3.0075,3.0913,387600
1973-05-04,3.0884,3.1498,3.0884,3.1330,679608
1973-05-07,3.1330,3.1330,3.0995,3.1219,271608
1973-05-08,3.1219,3.1721,3.1051,3.1721,518400
1973-05-09,3.1721,3.2168,3.1721,3.1833,372408
1973-05-10,3.1833,3.2168,3.1498,3.1498,405192
1973-05-11,3.1330,3.1330,3.0940,3.0995,228792
1973-05-14,3.0828,3.0828,3.0269,3.0269,228792
1973-05-15,3.0269,3.0549,2.9907,3.0493,259200
1973-05-16,3.0604,3.1107,3.0604,3.1107,418008
1973-05-17,3.1107,3.1219,3.0381,3.0381,372408
1973-05-18,3.0269,3.0269,2.9458,2.9458,304392
1973-05-21,2.9458,2.9794,2.9012,2.9458,725208
1973-05-22,2.9458,3.0102,2.9068,2.9403,606792
1973-05-23,2.9403,2.9626,2.9126,2.9458,624408
1973-05-24,2.9458,3.1051,2.9012,3.1051,674808
1973-05-25,3.1051,3.1498,3.0660,3.1163,568800
1973-05-29,3.1163,3.1889,3.1051,3.1777,498408
1973-05-30,3.1777,3.1777,3.1051,3.1219,279192
1973-05-31,3.1219,3.1219,3.0493,3.0493,171192
1973-06-01,3.0437,3.0437,3.0158,3.0325,153600
1973-06-04,3.0325,3.0325,2.9907,2.9907,208800
1973-06-05,2.9907,3.1219,2.9849,3.0995,379992
1973-06-06,3.0995,3.1610,3.0995,3.1051,289608
1973-06-07,3.1051,3.2392,3.1051,3.2392,246408
1973-06-08,3.2559,3.4040,3.2559,3.3564,700008
