date,open,high,low,close,volume
1984-12-18,1.8709,1.8865,1.8473,1.8865,467100
1984-12-19,1.8865,1.9337,1.8865,1.9181,429908
1984-12-20,1.9101,1.9181,1.9022,1.9140,398199
1984-12-21,1.9022,1.9101,1.8865,1.8865,259808
1984-12-24,1.9022,1.9181,1.9022,1.9181,87699
1984-12-26,1.9257,1.9417,1.9181,1.9257,203799
1984-12-27,1.9181,1.9337,1.7607,1.7607,807908
1984-12-28,1.7766,1.8238,1.7766,1.7922,1923699
1984-12-31,1.7843,1.7922,1.6663,1.7059,972000
1985-01-02,1.7176,1.7922,1.7176,1.7568,742500
1985-01-03,1.7686,1.7922,1.7686,1.7922,131507
1985-01-04,1.8002,1.8078,1.7922,1.8002,293507
1985-01-07,1.8002,1.8002,1.7607,1.7725,155199
1985-01-08,1.7686,1.7843,1.7686,1.7766,436607
1985-01-09,1.7843,1.8196,1.7843,1.8158,342107
1985-01-10,1.8196,1.8196,1.8196,1.8196,185507
1985-01-11,1.8238,1.8276,1.8078,1.8158,315107
1985-01-14,1.8158,1.8238,1.8158,1.8238,202500
1985-01-15,1.8314,1.8394,1.8120,1.8276,384699
1985-01-16,1.8078,1.8238,1.8078,1.8238,467100
1985-01-17,1.8158,1.8196,1.7804,1.8040,352299
1985-01-18,1.8196,1.8238,1.8120,1.8196,139607
1985-01-21,1.8238,1.8356,1.8238,1.8314,384699
1985-01-22,1.8238,1.8238,1.7922,1.8158,320507
1985-01-23,1.8158,1.8238,1.8078,1.8158,143100
1985-01-24,1.8238,1.8432,1.8238,1.8394,305100
1985-01-25,1.8394,1.8432,1.8196,1.8238,202500
1985-01-28,1.8180,1.9160,1.8180,1.8961,286963
1985-01-29,1.9256,1.9551,1.9160,1.9455,1057597
1985-01-30,1.8865,1.8865,1.8475,1.8865,783000
1985-01-31,1.8865,1.8865,1.8571,1.8770,338803
1985-02-01,1.8770,1.9256,1.8666,1.8865,389401
1985-02-04,1.9065,1.9654,1.9065,1.9654,506203
1985-02-05,2.0045,2.0339,2.0045,2.0244,557503
1985-02-06,2.0045,2.1224,2.0045,2.1128,842400
1985-02-07,2.1224,2.2307,2.0929,2.2307,1616497
1985-02-08,2.1614,2.2012,2.1423,2.1614,1285200
1985-02-11,2.1518,2.1518,2.0833,2.1224,773503
1985-02-12,2.1224,2.2403,2.1024,2.2204,830203
1985-02-13,2.2602,2.2602,2.1813,2.2108,897001
1985-02-14,2.2204,2.3287,2.2108,2.3287,2052601
1985-02-15,2.3383,2.3582,2.2793,2.2793,1038103
1985-02-19,2.2602,2.3383,2.2307,2.3383,387997
1985-02-20,2.3582,2.4267,2.3383,2.3582,964501
1985-02-21,2.3486,2.3582,2.2992,2.3287,420397
1985-02-22,2.3191,2.3287,2.2697,2.2793,301597
1985-02-25,2.2602,2.2602,2.1813,2.2602,341503
1985-02-26,2.2602,2.3088,2.2602,2.2793,571003
1985-02-27,2.2897,2.3191,2.2897,2.3088,388800
1985-02-28,2.3287,2.4371,2.3088,2.4371,573703
1985-03-01,2.4171,2.4267,2.3877,2.4171,581101
1985-03-04,2.4171,2.4171,2.3582,2.3972,290797
1985-03-05,2.3781,2.4371,2.3781,2.4171,211903
1985-03-06,2.4076,2.4076,2.3972,2.4076,225997
1985-03-07,2.3781,2.3877,2.3191,2.3781,463597
1985-03-08,2.3781,2.3781,2.3486,2.3582,140400
1985-03-11,2.2793,2.2793,2.2403,2.2793,247597
1985-03-12,2.2602,2.2793,2.2403,2.2793,100501
1985-03-13,2.2602,2.2697,2.1909,2.2012,152503
1985-03-14,2.1909,2.2012,2.1813,2.1909,127501
1985-03-15,2.1909,2.2012,2.1813,2.2012,79603
1985-03-18,2.2012,2.2204,2.1813,2.1909,122101
1985-03-19,2.1909,2.2108,2.1423,2.1813,624301
1985-03-20,2.1909,2.2012,2.1718,2.2012,425797
1985-03-21,2.1909,2.2897,2.1909,2.2897,170701
1985-03-22,2.2897,2.3088,2.2307,2.2307,185497
1985-03-25,2.2307,2.2498,2.1909,2.2012,205200
1985-03-26,2.2108,2.2403,2.1909,2.2307,522997
1985-03-27,2.2012,2.2108,2.1813,2.2012,363103
1985-03-28,2.2012,2.2498,2.2012,2.2108,336697
1985-03-29,2.2307,2.2403,2.2012,2.2204,573703
1985-04-01,2.2204,2.2307,2.1909,2.2108,284101
1985-04-02,2.2108,2.2697,2.2108,2.2403,2362500
1985-04-03,2.2498,2.2498,2.2108,2.2204,1620000
1985-04-04,2.2204,2.2204,2.2012,2.2012,1293901
1985-04-08,2.2012,2.2204,2.2012,2.2108,479203
1985-04-09,2.2108,2.2403,2.2012,2.2307,756000
1985-04-10,2.2307,2.2793,2.2307,2.2602,500803
1985-04-11,2.2793,2.2897,2.2602,2.2793,527101
1985-04-12,2.2992,2.3088,2.2602,2.2992,762703
1985-04-15,2.2992,2.3383,2.2992,2.3088,405601
1985-04-16,2.3088,2.3191,2.2897,2.3191,348300
1985-04-17,2.3191,2.3287,2.2992,2.3191,314503
1985-04-18,2.3287,2.3677,2.3191,2.3486,811897
1985-04-19,2.3486,2.4371,2.3383,2.3877,708001
1985-04-22,2.3877,2.3877,2.3191,2.3677,792997
1985-04-23,2.3582,2.4076,2.3486,2.4076,1639501
1985-04-24,2.4076,2.4171,2.3486,2.3582,654703
1985-04-25,2.3781,2.4466,2.3677,2.4371,549403
1985-04-26,2.4562,2.4960,2.4562,2.4960,358297
1985-04-29,2.4857,2.4857,2.4371,2.4466,371203
1985-04-30,2.4171,2.4267,2.3972,2.4171,326700
1985-05-01,2.4171,2.4267,2.3677,2.3677,598597
1985-05-02,2.3383,2.3677,2.3287,2.3582,627703
1985-05-03,2.3677,2.4076,2.3677,2.3877,707400
1985-05-06,2.3972,2.3972,2.3486,2.3486,256500
1985-05-07,2.3486,2.3582,2.3287,2.3486,263203
1985-05-08,2.3383,2.3972,2.3383,2.3781,422503
1985-05-09,2.3972,2.4665,2.3972,2.4466,697201
1985-05-10,2.4761,2.5645,2.4761,2.5151,768103
1985-05-13,2.5151,2.5940,2.5151,2.5550,657997
1985-05-14,2.5446,2.6235,2.5446,2.5940,342097
1985-05-15,2.5940,2.6235,2.5940,2.6139,259200
1985-05-16,2.6330,2.6625,2.6139,2.6330,476503
1985-05-17,2.6729,2.7215,2.6625,2.6920,683701
1985-05-20,2.7318,2.7414,2.6824,2.6824,697903
1985-05-21,2.7023,2.7509,2.6434,2.7509,623700
1985-05-22,2.7709,2.8003,2.7509,2.7509,618901
1985-05-23,2.7613,2.7709,2.7414,2.7509,162000
1985-05-24,2.7414,2.8099,2.7414,2.8099,398203
1985-05-28,2.8298,2.8983,2.8203,2.8689,589201
1985-05-29,2.8888,2.9868,2.8689,2.9868,506203
1985-05-30,3.0067,3.0266,2.8593,2.9087,595303
1985-05-31,2.9087,2.9477,2.8689,2.9182,317203
1985-06-03,2.9278,2.9382,2.8792,2.8888,263203
1985-06-04,2.9278,2.9676,2.9087,2.9573,349603
1985-06-05,2.9868,3.0266,2.9573,2.9573,729000
1985-06-06,2.9477,2.9477,2.8689,2.8888,425797
1985-06-07,2.8983,2.9087,2.8497,2.8792,400201
1985-06-10,2.8689,2.8689,2.8497,2.8689,105901
1985-06-11,2.8689,2.8983,2.8689,2.8983,364500
1985-06-12,2.8888,2.8983,2.8792,2.8792,272700
1985-06-13,2.8792,2.8792,2.7318,2.8003,1149397
1985-06-14,2.8003,2.8099,2.7414,2.7613,273301
1985-06-17,2.7804,2.8203,2.7613,2.7908,313200
1985-06-18,2.7908,2.8099,2.7613,2.7709,83700
1985-06-19,2.7709,2.7709,2.7119,2.7318,542700
1985-06-20,2.7509,2.8983,2.6235,2.6530,1331100
1985-06-21,2.6235,2.7119,2.6235,2.6920,535201
1985-06-24,2.7215,2.7613,2.7119,2.7509,444697
1985-06-25,2.7509,2.8298,2.7414,2.8003,583801
1985-06-26,2.8003,2.8888,2.8003,2.8888,842400
1985-06-27,2.8983,2.9573,2.8983,2.9477,637801
1985-06-28,2.9868,3.0561,2.9676,3.0457,1002301
1985-07-01,3.0561,3.0561,2.9278,2.9868,833497
1985-07-02,2.9971,3.0067,2.9477,2.9477,491400
1985-07-03,2.9676,2.9868,2.8983,2.9087,408301
1985-07-05,2.9087,2.9182,2.8888,2.9182,244897
