date,open,high,low,close,volume
1990-03-26,3.8919,3.9199,3.8662,3.8662,98400
1990-03-27,3.8662,3.9199,3.8125,3.8382,209500
1990-03-28,3.8662,3.8662,3.7588,3.8125,133200
1990-03-29,3.7588,3.8662,3.7588,3.8125,41900
1990-03-30,3.8125,3.8662,3.8125,3.8382,209600
1990-04-02,3.8125,3.8382,3.7845,3.8125,182000
1990-04-03,3.7845,3.8382,3.7845,3.7845,174500
1990-04-04,3.7845,3.8382,3.7588,3.8382,87800
1990-04-05,3.8125,3.8125,3.7308,3.8125,89500
1990-04-06,3.8125,3.8125,3.6514,3.7051,334100
1990-04-09,3.7588,3.7588,3.6514,3.7588,48900
1990-04-10,3.7051,3.7588,3.7051,3.7588,74200
1990-04-11,3.7051,3.7588,3.7051,3.7588,101900
1990-04-12,3.7051,3.7588,3.7051,3.7051,115000
1990-04-16,3.7588,3.7588,3.7051,3.7588,190400
1990-04-17,3.7588,3.7588,3.7051,3.7588,99900
1990-04-18,3.7588,3.7588,3.7051,3.7051,80400
1990-04-19,3.7051,3.7051,3.6514,3.6514,119100
1990-04-20,3.6514,3.7051,3.5977,3.6514,65300
1990-04-23,3.5977,3.7051,3.5440,3.6514,152200
1990-04-24,3.5977,3.6514,3.5977,3.6514,65100
1990-04-25,3.6514,3.6514,3.5977,3.5977,9900
1990-04-26,3.5977,3.6514,3.5440,3.6514,39400
1990-04-27,3.5440,3.6514,3.5440,3.5440,32100
1990-04-30,3.5440,3.6514,3.5440,3.6514,181500
1990-05-01,3.5977,3.7051,3.5977,3.7051,122500
1990-05-02,3.7051,3.7051,3.6514,3.6514,35500
1990-05-03,3.6514,3.7051,3.6514,3.6514,12200
1990-05-04,3.6514,3.7051,3.6514,3.6514,23900
1990-05-07,3.6514,3.7051,3.6514,3.6514,61300
1990-05-08,3.6514,3.7051,3.6514,3.7051,46500
1990-05-09,3.7051,3.7051,3.6514,3.7051,38000
1990-05-10,3.7051,3.7051,3.6514,3.7051,70800
1990-05-11,3.7051,3.8125,3.6514,3.7588,129600
1990-05-14,3.8125,3.8125,3.7588,3.8125,122600
1990-05-15,3.7588,3.8125,3.7588,3.8125,90800
1990-05-16,3.7588,3.8662,3.7588,3.7588,102400
1990-05-17,3.8125,3.8662,3.7588,3.7588,23900
1990-05-18,3.8125,3.8662,3.8125,3.8382,81900
1990-05-21,3.8125,3.8662,3.7588,3.8125,368800
1990-05-22,3.7845,3.8662,3.7588,3.8662,26800
1990-05-23,3.8662,3.8662,3.7588,3.7588,93900
1990-05-24,3.7588,3.8662,3.7588,3.8125,63400
1990-05-25,3.8125,3.8662,3.8125,3.8662,339000
1990-05-29,3.8662,3.8662,3.8125,3.8662,47300
1990-05-30,3.8125,3.8662,3.8125,3.8382,67800
1990-05-31,3.8662,3.8662,3.8125,3.8382,76600
1990-06-01,3.8662,3.8662,3.8125,3.8382,91100
1990-06-04,3.8662,3.8662,3.8125,3.8662,174000
1990-06-05,3.8849,3.9389,3.8309,3.8309,76400
