date,open,high,low,close,volume
2006-09-06,3.9660,4.2853,3.9259,4.2391,30584000
2006-09-07,4.2411,4.5865,4.1267,4.4379,21539200
2006-09-08,4.3998,4.5624,4.3395,4.4299,15618000
2006-09-11,4.3195,4.4118,4.3174,4.3656,20751600
2006-09-12,4.3556,4.4279,4.3074,4.4038,9154000
2006-09-13,4.4199,4.6588,4.4199,4.5283,12278800
2006-09-14,4.4681,4.5183,4.3516,4.3797,5515200
2006-09-15,4.3596,4.3857,4.2572,4.2713,8064000
2006-09-18,4.3174,4.3677,4.2713,4.3496,3601600
2006-09-19,4.3275,4.5183,4.2632,4.2974,3788800
2006-09-20,4.2934,4.4701,4.2893,4.4580,2536800
2006-09-21,4.3576,4.4179,4.3509,4.3677,2767600
2006-09-22,4.3717,4.4620,4.3496,4.4460,1448800
2006-09-25,4.4018,4.5203,4.3877,4.4721,3204000
2006-09-26,4.4982,4.5183,4.4786,4.4922,1690000
2006-09-27,4.3897,4.5564,4.3777,4.5383,4552400
2006-09-28,4.4881,4.6046,4.4761,4.5082,2999600
2006-09-29,4.5283,4.5464,4.4600,4.5203,3173200
2006-10-02,4.4942,4.5403,4.4781,4.5163,2194000
2006-10-03,4.5343,4.5644,4.4821,4.5203,2680400
2006-10-04,4.4982,4.6367,4.4681,4.5584,2998800
2006-10-05,4.5383,4.6729,4.5383,4.6488,4523200
2006-10-06,4.6227,4.6468,4.5705,4.6026,1599200
2006-10-09,4.5785,4.6448,4.5484,4.6146,993600
2006-10-10,4.5243,4.5885,4.4962,4.5544,3932000
2006-10-11,4.5584,4.5705,4.4881,4.5484,3731200
2006-10-12,4.6869,4.7171,4.5946,4.6187,6095200
2006-10-13,4.6347,4.7050,4.6347,4.6889,4036400
2006-10-16,4.6869,4.6869,4.6187,4.6187,1898400
2006-10-17,4.6187,4.6287,4.5765,4.5785,2042800
2006-10-18,4.5966,4.6287,4.5644,4.6167,2838800
2006-10-19,4.6187,4.6387,4.5685,4.6187,1372800
2006-10-20,4.6207,4.6950,4.6207,4.6669,722400
2006-10-23,4.6669,4.7552,4.6669,4.7291,2190800
2006-10-24,4.6789,4.7813,4.6408,4.7813,1939200
2006-10-25,4.7592,4.8496,4.7512,4.7793,2170400
2006-10-26,4.7773,4.9199,4.7632,4.8737,2729600
2006-10-27,4.8697,4.9199,4.8536,4.9098,2366000
2006-10-30,4.8697,4.9400,4.8175,4.8697,2126800
2006-10-31,4.7191,4.8014,4.6227,4.7392,5304000
2006-11-01,4.6930,4.7050,4.5966,4.6227,2341200
2006-11-02,4.6187,4.7432,4.5183,4.7291,2562000
2006-11-03,4.6789,4.7191,4.5885,4.6126,2596800
2006-11-06,4.5785,4.6187,4.5594,4.5785,3257200
2006-11-07,4.5524,4.6026,4.4600,4.4841,2862000
2006-11-08,4.4179,4.4901,4.3576,4.4440,3322800
2006-11-09,4.4339,4.4640,4.4158,4.4460,2870800
2006-11-10,4.4881,4.5283,4.4179,4.5243,2338400
2006-11-13,4.5243,4.5865,4.5002,4.5303,1491600
2006-11-14,4.5183,4.7412,4.5183,4.7151,2555200
2006-11-15,4.8195,4.8235,4.7095,4.7753,2912000
2006-11-16,4.7894,4.8496,4.7592,4.8275,2921600
2006-11-17,4.8315,4.8315,4.7753,4.8195,2610800
2006-11-20,4.8195,4.8938,4.7894,4.8757,2311600
2006-11-21,4.8516,4.8878,4.8175,4.8496,1254400
2006-11-22,4.8677,4.9500,4.8476,4.9159,2896400
2006-11-24,4.8898,4.9098,4.8335,4.9098,581200
2006-11-27,4.8797,4.8898,4.7753,4.8275,1120800
2006-11-28,4.8155,4.8476,4.7592,4.8235,2980800
2006-11-29,4.7934,4.8476,4.7914,4.8195,1025200
2006-11-30,4.8576,4.9319,4.8215,4.8978,5052000
2006-12-01,4.9038,4.9741,4.8496,4.9621,2306000
2006-12-04,4.8315,4.8335,4.7351,4.7954,4436000
2006-12-05,4.8094,4.8636,4.7994,4.8355,955200
2006-12-06,4.8536,4.8556,4.7713,4.8054,1823200
2006-12-07,4.8054,4.8717,4.7693,4.7894,1774400
2006-12-08,4.7793,4.8396,4.7171,4.7612,1918400
2006-12-11,4.7492,4.8195,4.6709,4.8135,2202000
2006-12-12,4.4319,4.8175,4.4319,4.7813,1162000
2006-12-13,4.7693,4.8375,4.7532,4.8295,991200
2006-12-14,4.8576,4.8697,4.7773,4.8014,3572800
2006-12-15,4.8155,4.8476,4.7532,4.7612,3381600
2006-12-18,4.7693,4.7894,4.6849,4.7311,1520400
2006-12-19,4.7070,4.7171,4.5986,4.6468,2048800
2006-12-20,4.6468,4.7050,4.6468,4.7030,1110000
2006-12-21,4.7030,4.7271,4.5685,4.6086,1804000
2006-12-22,4.6046,4.7351,4.5926,4.6889,889200
2006-12-26,4.6789,4.7592,4.6709,4.7392,787600
2006-12-27,4.7512,4.8195,4.7512,4.7894,782400
2006-12-28,4.7894,4.8235,4.7392,4.8215,1501600
2006-12-29,4.8275,4.8321,4.7311,4.7432,947200
2007-01-03,4.7592,4.8536,4.7562,4.8275,3182400
2007-01-04,4.8094,4.8677,4.7793,4.8355,1463600
2007-01-05,4.8295,4.8978,4.7833,4.8657,1504800
2007-01-08,4.8576,4.9821,4.8496,4.9821,1513600
2007-01-09,4.9641,4.9942,4.9118,4.9580,916800
2007-01-10,4.9319,4.9701,4.8878,4.9600,1479200
2007-01-11,4.9701,5.0042,4.9520,5.0042,1178400
2007-01-12,5.0123,5.0886,5.0063,5.0645,1158000
2007-01-16,5.0705,5.1709,5.0585,5.1609,2068400
2007-01-17,5.1428,5.1528,5.1147,5.1388,1318400
2007-01-18,5.1247,5.1749,5.0805,5.1468,1574800
2007-01-19,5.1307,5.1388,5.0705,5.1147,1012800
2007-01-22,5.0725,5.1247,5.0062,5.1147,1385600
2007-01-23,5.0906,5.1468,5.0725,5.1287,1312400
2007-01-24,5.1207,5.2211,5.0926,5.2091,2431200
2007-01-25,5.2151,5.2331,5.1769,5.1850,894000
2007-01-26,5.1890,5.2211,5.1368,5.1990,1055600
2007-01-29,5.1870,5.2191,5.1127,5.1749,1300000
2007-01-30,5.1870,5.2010,5.1508,5.1729,992000
2007-01-31,5.1689,5.1709,5.1107,5.1368,1929600
2007-02-01,5.0444,5.0966,4.9299,5.0524,4252400
2007-02-02,5.0022,5.1348,5.0022,5.0845,1593200
2007-02-05,5.0705,5.1287,5.0102,5.0404,4002000
2007-02-06,5.0424,5.0785,5.0183,5.0203,1961200
2007-02-07,5.0323,5.1107,5.0102,5.0404,1640000
2007-02-08,5.0263,5.0705,5.0022,5.0384,1783200
2007-02-09,5.0323,5.0966,5.0283,5.0605,1010800
2007-02-12,5.0645,5.2111,5.0605,5.2091,1383600
2007-02-13,5.2191,5.3215,5.2010,5.2854,1582000
2007-02-14,5.2954,5.3516,5.2954,5.3496,1328400
2007-02-15,5.3637,5.3938,5.3215,5.3717,1344400
2007-02-16,5.3556,5.4079,5.3516,5.3777,1002800
2007-02-20,5.3617,5.4219,5.3396,5.3617,1356000
2007-02-21,5.3376,5.4641,5.3336,5.4460,1059600
2007-02-22,5.4540,5.4721,5.4119,5.4279,1265600
2007-02-23,5.4179,5.4601,5.4079,5.4360,2868800
2007-02-26,5.4219,5.5163,5.4159,5.5063,2458000
2007-02-27,5.4460,5.5223,5.4219,5.5223,2372000
2007-02-28,5.5163,5.7733,5.4882,5.7452,3478800
2007-03-01,5.6930,5.7412,5.5846,5.6950,3306000
2007-03-02,5.6428,5.7472,5.6167,5.6227,2272400
2007-03-05,5.5705,5.5826,5.4520,5.4540,6603200
2007-03-06,5.4621,5.5886,5.4621,5.5745,2562800
2007-03-07,5.5886,5.6227,5.5444,5.5725,3404000
2007-03-08,5.6026,5.6669,5.5866,5.6468,2199200
2007-03-09,5.6749,5.6990,5.6428,5.6930,1268400
2007-03-12,5.6729,5.7673,5.6709,5.7131,1151200
2007-03-13,5.7030,5.7613,5.6850,5.7452,3396800
2007-03-14,5.7292,5.7713,5.5625,5.5866,3284000
2007-03-15,5.5745,5.6227,5.4360,5.4440,2937600
2007-03-16,5.4340,5.4641,5.3797,5.4239,1773600
2007-03-19,5.3978,5.5806,5.3978,5.5364,1265600
2007-03-20,5.5203,5.6689,5.5203,5.6207,2666800
2007-03-21,5.6388,5.7071,5.6107,5.7071,1007600
2007-03-22,5.5283,5.7814,5.5283,5.7653,1940400
2007-03-23,5.7754,5.9059,5.7733,5.8537,2222000
2007-03-26,5.8456,5.8858,5.7894,5.8195,953200
2007-03-27,5.8155,5.8617,5.7974,5.8356,764800
2007-03-28,5.8737,5.9119,5.8255,5.8717,1957200
2007-03-29,5.9019,5.9521,5.8637,5.9179,2252000
2007-03-30,5.9300,5.9541,5.8235,5.9019,1714800
2007-04-02,5.9139,5.9360,5.9019,5.9139,1334400
2007-04-03,5.9320,5.9541,5.9019,5.9159,1538800
2007-04-04,5.9039,5.9280,5.8135,5.8276,1446000
2007-04-05,5.8075,5.8336,5.7894,5.8115,946800
2007-04-09,5.8075,5.8235,5.7051,5.7191,1244400
2007-04-10,5.7091,5.7512,5.6830,5.7131,1319200
2007-04-11,5.7010,5.7292,5.6247,5.6810,1975600
2007-04-12,5.6729,5.7673,5.6508,5.7191,1748000
2007-04-13,5.7292,5.7593,5.6850,5.7231,1362400
2007-04-16,5.7231,5.7231,5.6629,5.6930,1319200
2007-04-17,5.6870,5.7010,5.6769,5.6870,2079600
2007-04-18,5.6689,5.7111,5.6267,5.6790,1275600
2007-04-19,5.6428,5.6589,5.5986,5.6006,1829600
