date,open,high,low,close,volume
1983-04-06,4.9929,4.9929,4.8878,4.9404,563100
1983-04-07,4.9656,5.0455,4.8878,5.0181,654000
1983-04-08,5.1506,5.2305,5.0455,5.2031,1287900
1983-04-11,5.2557,5.3881,5.2305,5.3083,1340100
1983-04-12,5.3335,5.3335,5.2557,5.3083,903900
1983-04-13,5.3083,5.3083,5.1506,5.2305,449400
1983-04-14,5.2557,5.4134,5.2557,5.4134,2201400
1983-04-15,5.4407,5.4407,5.3608,5.4134,618600
1983-04-18,5.4134,5.4407,5.2809,5.4134,1045800
1983-04-19,5.3335,5.4134,5.2557,5.2809,569100
1983-04-20,5.2305,5.3608,5.2305,5.2809,731400
1983-04-21,5.3083,5.3083,5.1254,5.1506,667500
1983-04-22,5.1506,5.1758,5.0728,5.0980,364800
1983-04-25,5.2031,5.2557,5.1506,5.2557,513300
1983-04-26,5.3881,5.5710,5.2031,5.4912,1484100
1983-04-27,5.5458,5.6488,5.4407,5.4912,1817700
1983-04-28,5.5458,5.5963,5.4912,5.5458,920100
1983-04-29,5.6762,5.7813,5.5458,5.7035,2624100
1983-05-02,5.6488,5.7035,5.5710,5.5710,915300
1983-05-03,5.5458,5.6236,5.4912,5.5963,1007100
1983-05-04,5.7035,5.7813,5.6236,5.6488,971100
1983-05-05,5.4134,5.6488,5.1506,5.2557,834900
1983-05-06,5.3608,5.6236,5.3608,5.5185,702600
1983-05-09,5.4407,5.4912,5.3608,5.4407,754500
1983-05-10,5.4134,5.5710,5.4134,5.5185,415800
1983-05-11,5.5185,5.6762,5.5185,5.5963,614100
1983-05-12,5.5963,5.6488,5.5185,5.5710,914700
1983-05-13,5.5710,5.6762,5.5710,5.5963,993600
1983-05-16,5.5963,5.7035,5.5185,5.6762,538500
1983-05-17,5.7287,5.7813,5.6488,5.7287,753000
1983-05-18,5.7813,5.7813,5.5710,5.6762,972000
1983-05-19,5.6762,5.7035,5.5458,5.5710,540900
1983-05-20,5.5710,5.6488,5.5185,5.5963,485700
1983-05-23,5.6236,5.8338,5.4912,5.8338,726000
1983-05-24,5.8612,5.8612,5.6236,5.7813,670500
1983-05-25,5.7813,5.8065,5.6762,5.8065,545700
1983-05-26,5.7813,5.7813,5.6236,5.7035,260700
1983-05-27,5.6762,5.7035,5.6488,5.6762,248700
1983-05-31,5.5963,5.7035,5.5963,5.5963,388500
1983-06-01,5.5185,5.6236,5.5185,5.5963,414000
1983-06-02,5.5710,5.6236,5.4407,5.5185,566700
1983-06-03,5.5185,5.5963,5.4659,5.5458,429000
1983-06-06,5.5710,5.5963,5.4659,5.4659,366000
1983-06-07,5.3881,5.4407,5.3083,5.3083,717600
1983-06-08,5.3335,5.4407,5.3083,5.3881,590100
1983-06-09,5.3881,5.4659,5.3608,5.3881,321900
1983-06-10,5.4134,5.5458,5.4134,5.4912,578700
1983-06-13,5.5458,5.5710,5.4407,5.5185,714300
1983-06-14,5.5710,5.7813,5.5185,5.7035,739200
1983-06-15,5.6762,5.9915,5.6236,5.9389,792000
1983-06-16,6.0966,6.0966,5.9642,6.0714,2281800
1983-06-17,6.0441,6.1218,5.8864,6.0966,1424100
1983-06-20,6.1765,6.2269,6.0714,6.1218,1101300
1983-06-21,6.0966,6.3594,6.0966,6.3594,1344600
1983-06-22,6.3068,6.3867,6.2017,6.3068,1783500
1983-06-23,6.3068,6.4119,6.2269,6.4119,699000
1983-06-24,6.2269,6.3068,6.2269,6.2269,501900
1983-06-27,6.2269,6.2269,6.0441,6.0714,448500
1983-06-28,6.0714,6.1218,5.8612,5.9116,266100
1983-06-29,5.8864,6.0714,5.8864,6.0441,337200
1983-06-30,6.0966,6.2017,6.0714,6.1765,549900
1983-07-01,6.1765,6.3068,6.1765,6.2795,553200
1983-07-05,6.1765,6.2543,6.1218,6.2269,736800
1983-07-06,6.2543,6.5696,6.2017,6.4918,1429500
1983-07-07,6.4918,6.5696,6.3342,6.3594,1465500
1983-07-08,6.4119,6.4372,6.2543,6.3068,522000
1983-07-11,6.3594,6.5171,6.3594,6.4645,801300
1983-07-12,6.4372,6.4645,6.2543,6.2795,804900
1983-07-13,6.2017,6.2269,6.1492,6.1765,489600
1983-07-14,6.1765,6.3342,6.1492,6.1492,411000
1983-07-15,6.0966,6.1218,6.0188,6.0441,297900
1983-07-18,6.0441,6.2543,5.9116,6.1492,1121700
1983-07-19,6.2017,6.4372,6.2017,6.3594,898500
1983-07-20,6.5171,6.6495,6.3594,6.6222,1593600
1983-07-21,6.6222,6.6495,6.3594,6.4918,1466700
1983-07-22,6.4771,6.5171,6.4372,6.4645,482400
1983-07-25,6.4119,6.5423,6.4119,6.4645,518700
1983-07-26,6.4645,6.5171,6.4372,6.4918,1079700
1983-07-27,6.5171,6.5948,6.3342,6.3867,2579400
1983-07-28,6.3867,6.4372,6.1765,6.2795,1424100
1983-07-29,6.2269,6.3594,6.0966,6.3068,912600
1983-08-01,6.2269,6.3068,6.0966,6.1765,681900
1983-08-02,6.1492,6.2795,6.1492,6.1492,654000
1983-08-03,6.1492,6.2543,6.0966,6.2269,804600
1983-08-04,6.2017,6.2269,6.0188,6.0966,727200
1983-08-05,6.0966,6.3867,6.0966,6.3867,849900
1983-08-08,6.4119,6.5696,6.2795,6.4918,987600
1983-08-09,6.4372,6.4918,6.2795,6.4645,1203600
1983-08-10,6.4372,6.6222,6.4119,6.5171,670500
1983-08-11,6.6222,6.7525,6.6222,6.7525,1990500
1983-08-12,6.8576,7.3054,6.8576,7.2802,3105300
1983-08-15,7.2255,7.2255,6.9901,7.0174,1350900
1983-08-16,7.0174,7.2255,6.9375,7.1730,1101900
1983-08-17,7.1225,7.3054,7.0679,7.2003,1291500
1983-08-18,7.3054,7.3054,7.0174,7.0679,1426200
1983-08-19,7.0679,7.1730,7.0174,7.1225,432900
1983-08-22,7.0952,7.2255,7.0952,7.1225,812400
1983-08-23,7.1730,7.1730,6.8850,6.9102,1458900
1983-08-24,6.8850,6.9102,6.6747,6.7273,1110600
1983-08-25,6.7273,6.8324,6.6495,6.7798,673200
1983-08-26,6.7525,6.9102,6.7021,6.9102,545700
1983-08-29,6.8576,6.8576,6.7798,6.8576,303000
1983-08-30,6.8576,7.0174,6.8576,6.9375,960300
1983-08-31,6.9375,7.0952,6.9375,7.0952,1084200
1983-09-01,7.1225,7.1477,7.0426,7.0952,528000
1983-09-02,7.0426,7.2003,7.0426,7.2003,699600
1983-09-06,7.2529,7.2802,7.2003,7.2529,1232100
1983-09-07,7.2529,7.2529,7.0952,7.0952,1175700
1983-09-08,7.1477,7.1477,6.9102,7.1225,1659600
1983-09-09,7.0952,7.1225,6.9375,6.9901,1986900
1983-09-12,7.0952,7.0952,6.4119,6.5171,1455900
1983-09-13,6.4119,6.5171,6.3594,6.4372,1323600
1983-09-14,6.3867,6.5948,6.3867,6.5171,477300
1983-09-15,6.4918,6.8072,6.4645,6.6495,582900
1983-09-16,6.7525,6.8850,6.7273,6.7525,606600
1983-09-19,6.7525,6.8850,6.7525,6.8324,703200
1983-09-20,6.8576,6.9648,6.8576,6.9375,991200
1983-09-21,6.8576,6.9102,6.7525,6.7798,285900
1983-09-22,6.7273,6.8324,6.7273,6.7525,273600
1983-09-23,6.7525,6.7798,6.6495,6.7021,520800
1983-09-26,6.6747,6.7273,6.6222,6.6747,188100
1983-09-27,6.7021,6.7525,6.6747,6.7021,472500
1983-09-28,6.7525,6.9375,6.7273,6.9375,1194300
1983-09-29,6.9102,6.9901,6.8324,6.8324,473700
1983-09-30,6.7798,6.7798,6.5171,6.5696,1742400
1983-10-03,6.5423,6.5423,6.3342,6.3867,1025100
1983-10-04,6.2543,6.3068,5.9915,6.0441,3207300
1983-10-05,6.0441,6.0966,5.9116,6.0188,1409700
1983-10-06,6.0441,6.3342,6.0441,6.3068,796200
1983-10-07,6.2795,6.3342,6.2269,6.2795,985500
1983-10-10,6.2543,6.7525,6.1765,6.7525,652800
1983-10-11,6.5948,6.6747,6.4119,6.4119,1195200
1983-10-12,6.4645,6.5696,6.3867,6.5171,641700
1983-10-13,6.5423,6.5696,6.4119,6.4645,269400
1983-10-14,6.3867,6.4119,6.2269,6.3867,387300
1983-10-17,6.4119,6.5948,6.4119,6.4645,580500
1983-10-18,6.4119,6.4119,6.3068,6.3594,429600
1983-10-19,6.3594,6.4645,6.3342,6.3594,481800
1983-10-20,6.4119,6.4372,6.2017,6.2543,287100
1983-10-21,6.2795,6.2795,5.9642,6.1218,348000
1983-10-24,6.0441,6.2795,6.0188,6.2795,512100
1983-10-25,6.2795,6.2795,6.0188,6.0966,1324500
1983-10-26,6.1218,6.1492,5.8864,5.8864,2938500
1983-10-27,5.8864,5.8864,5.6236,5.7813,2944500
1983-10-28,5.7287,5.7560,5.5963,5.7035,1024200
