date,open,high,low,close,volume
2011-03-22,31.3477,32.9975,29.8382,32.9010,491400
2011-03-23,32.5324,33.1731,32.4271,32.6904,601200
2011-03-24,32.9098,32.9098,32.6026,32.6904,230400
2011-03-25,32.9098,34.4456,32.6904,34.4456,497400
2011-03-28,34.2262,34.2262,33.1292,33.1292,53100
2011-03-29,33.1380,33.3047,32.8835,32.9098,269300
2011-03-30,33.3047,33.7786,32.1024,33.5241,8573500
2011-03-31,33.7435,37.5084,33.3486,36.4202,2653000
2011-04-01,35.9726,37.2451,34.9634,35.1389,2222900
2011-04-04,34.9809,35.9989,34.3490,35.2354,1122700
2011-04-05,34.6913,35.3934,33.9892,35.3232,1373400
2011-04-06,34.9809,35.3758,34.3315,34.8229,2080100
2011-04-07,33.5680,34.4456,32.9186,34.0507,2134600
2011-04-08,33.6382,34.1209,33.5241,33.7874,1307200
2011-04-11,33.7874,33.8576,33.5943,33.6294,1563100
2011-04-12,33.2696,33.7172,33.0502,33.3925,1637500
2011-04-13,33.0941,33.6733,32.7167,33.3486,1649100
2011-04-14,33.2608,34.5421,33.2169,34.0243,1232400
2011-04-15,34.1296,35.7620,34.0594,35.2266,1502100
2011-04-18,34.6211,35.2968,33.8664,35.1477,793700
2011-04-19,35.1740,35.2091,34.6562,34.9107,802400
2011-04-20,35.2266,35.4197,34.6650,35.1564,358200
2011-04-21,35.1301,35.2705,34.3841,34.4982,799400
2011-04-25,34.3403,34.5860,33.8839,34.2876,298000
2011-04-26,34.1998,34.8493,33.9629,34.5246,696700
2011-04-27,34.1998,35.2793,33.4363,35.1125,772000
2011-04-28,35.1038,35.3144,34.7352,35.0950,692000
2011-04-29,35.1038,35.2530,35.0511,35.1038,556000
2011-05-02,34.5860,36.1481,34.2701,35.9638,542100
2011-05-03,35.8848,36.0603,35.4373,35.5426,539000
2011-05-04,35.4548,35.6918,34.7440,35.0599,591800
2011-05-05,34.9370,36.1569,34.6650,34.9634,635800
2011-05-06,35.1125,35.2354,34.5246,34.6650,413800
2011-05-09,34.5158,34.9721,34.1033,34.7527,368900
2011-05-10,34.9195,35.4022,34.9019,35.2530,709100
2011-05-11,34.6474,34.6650,33.7874,34.0331,1297900
2011-05-12,34.0507,34.1384,33.5855,33.6908,382000
2011-05-13,33.6206,33.8839,33.3223,33.7523,435000
2011-05-16,33.5241,34.1296,33.5241,33.9541,303700
2011-05-17,33.7084,34.1209,33.7084,34.0331,369700
2011-05-18,33.9102,33.9190,33.4276,33.7874,559900
2011-05-19,33.7435,33.9453,33.3486,33.6821,519700
2011-05-20,33.6382,33.6733,33.2169,33.4012,349000
2011-05-23,33.1116,33.4802,32.7430,33.1731,283600
2011-05-24,33.0941,33.2257,32.4798,32.6202,368900
2011-05-25,32.4885,32.5587,32.1287,32.1814,327400
2011-05-26,31.9708,32.1551,31.8479,31.9620,481700
2011-05-27,32.1902,32.3832,31.9883,32.1024,241300
2011-05-31,32.2604,32.8045,31.9795,32.0936,835400
2011-06-01,32.0936,32.0936,31.5583,31.6812,669000
2011-06-02,31.6109,31.8040,31.4705,31.6373,317500
2011-06-03,31.3038,31.6285,30.9264,31.4179,421500
2011-06-06,31.3213,31.7075,31.1634,31.5758,355200
2011-06-07,31.5934,32.0585,31.4969,31.9795,252100
2011-06-08,31.8391,32.5675,31.8391,32.4447,254000
2011-06-09,32.4183,32.8308,32.3042,32.4622,986800
2011-06-10,32.3481,32.3481,31.7250,31.8830,462200
2011-06-13,31.8830,32.2428,31.8830,32.0410,385600
2011-06-14,32.2077,32.2516,31.9093,32.1024,231300
2011-06-15,31.8128,31.9006,31.4881,31.7338,289200
2011-06-16,31.6899,31.9795,31.5671,31.5934,290100
2011-06-17,31.7514,31.9708,31.4705,31.5495,494300
2011-06-20,31.4442,31.9620,31.4267,31.5846,1960200
2011-06-21,31.6548,31.9883,31.6197,31.9006,198100
2011-06-22,31.7514,32.1989,31.5934,31.7250,129800
2011-06-23,31.5934,31.6987,31.3477,31.5056,169000
2011-06-24,31.5758,31.5758,30.9352,31.2336,538600
2011-06-27,31.1546,31.5495,30.8650,30.8913,162300
2011-06-28,30.9791,31.3477,30.7597,30.9440,160300
2011-06-29,30.9440,31.0230,30.4701,30.5578,328600
2011-06-30,30.5929,30.7597,30.0401,30.2770,600700
2011-07-01,30.2858,30.7860,30.2331,30.3735,284600
