date,open,high,low,close,volume
2013-12-12,61.1826,62.9635,61.0390,61.7571,8847858
2013-12-13,63.1646,64.2848,61.9007,63.4805,837799
2013-12-16,66.4391,74.5394,61.8145,61.8145,3226897
2013-12-17,62.0731,63.1646,61.9869,62.6475,1582665
2013-12-18,62.7050,63.7103,62.2167,62.7050,1954765
2013-12-19,62.4752,64.3710,61.9007,63.9976,1004866
2013-12-20,64.6295,64.7731,62.7912,62.9922,680466
2013-12-23,63.2220,63.7391,61.9294,61.9294,834966
2013-12-24,62.0443,62.2454,60.7517,61.7858,844099
2013-12-26,61.9294,63.0784,61.9007,62.3316,895499
2013-12-27,62.0443,62.7337,61.9007,62.0443,745766
2013-12-30,62.3890,63.1071,62.0443,62.8773,596333
2013-12-31,63.1933,64.5433,63.0497,63.9114,775866
2014-01-02,63.9114,64.1986,62.5326,62.7912,1206432
2014-01-03,62.6188,63.4518,62.4752,63.2220,315500
2014-01-06,63.1646,63.5380,62.5039,63.1933,801866
2014-01-07,63.1933,63.4805,62.9061,63.1933,1362932
2014-01-08,63.2795,63.2795,62.6188,63.2795,789499
2014-01-09,63.1933,63.2507,62.3603,62.8199,314366
2014-01-10,62.5039,62.7912,61.9582,62.3028,555633
2014-01-13,61.9294,62.7050,61.9294,62.3890,498100
2014-01-14,62.3603,63.5093,62.1592,63.4805,856099
2014-01-15,63.3369,63.6816,62.7050,62.9348,626033
2014-01-16,62.9061,63.2795,62.3028,63.0784,772933
2014-01-17,63.0784,64.8019,62.6188,63.9114,1848365
2014-01-21,64.6582,64.8880,62.7225,62.9635,875666
2014-01-22,63.1646,64.6008,62.9061,64.5146,977199
2014-01-23,64.4284,65.0891,63.4805,65.0891,640266
2014-01-24,64.1986,64.5721,63.4518,64.4859,609466
2014-01-27,64.4859,64.4859,62.8773,63.1646,752133
2014-01-28,62.7337,63.1933,62.4752,62.9061,469366
2014-01-29,62.6475,62.8486,61.9294,62.2167,299500
2014-01-30,62.5039,62.6763,62.0443,62.2167,355866
2014-01-31,61.7858,62.3028,61.2975,62.1879,293166
2014-02-03,62.1879,62.3316,59.8613,60.1773,762666
2014-02-04,60.3209,60.5504,59.8469,60.4070,571666
2014-02-05,59.8900,60.2060,59.0283,59.7464,475233
2014-02-06,59.8613,60.8954,59.8038,60.8954,201166
2014-02-07,61.0677,62.8199,60.9528,62.1879,350900
2014-02-10,62.2454,62.3028,61.1826,61.4986,384700
2014-02-11,62.4177,62.5326,61.6422,62.3028,439433
2014-02-12,62.4465,63.0497,62.1018,62.8773,298666
2014-02-13,62.5614,63.2507,62.1879,63.0497,377300
2014-02-14,63.1933,63.3369,62.7912,63.1933,443133
2014-02-18,63.1933,63.1933,62.4177,62.5039,421466
2014-02-19,62.5039,63.0497,61.7571,61.8433,301666
2014-02-20,61.7571,62.2454,61.2113,61.7284,411833
2014-02-21,61.7571,63.7391,61.6709,63.6242,797599
2014-02-24,63.7965,64.6295,63.3085,63.9401,508333
2014-02-25,63.9114,64.8593,63.7965,64.2561,563066
2014-02-26,64.3710,65.1465,64.0550,64.7444,733266
2014-02-27,64.3710,65.6639,62.6188,64.6008,1496465
2014-02-28,64.6295,64.8593,63.4231,64.2274,663866
2014-03-03,63.8252,64.6295,63.5093,64.6008,462900
2014-03-04,65.8072,66.3530,64.5002,64.8019,1577998
2014-03-05,64.5433,65.7498,64.4859,65.4051,457400
2014-03-06,65.4051,65.6636,64.3423,64.5721,466766
2014-03-07,64.4859,65.5774,64.3423,65.2327,439366
2014-03-10,65.3763,65.6349,63.8540,64.2848,630666
2014-03-11,64.3135,64.5146,63.1933,63.5093,571433
2014-03-12,63.3082,64.3403,62.5326,64.1986,539433
2014-03-13,63.8540,64.4284,63.0784,63.3369,678999
2014-03-14,63.0784,63.9401,62.8199,63.2795,416600
2014-03-17,63.5093,64.3135,63.4518,63.5380,252566
2014-03-18,63.4805,64.8880,63.3656,64.8306,463600
2014-03-19,64.6870,64.7013,63.6529,63.9401,501633
2014-03-20,63.9114,64.3997,63.5093,63.6816,446466
2014-03-21,63.9689,66.0370,63.6242,66.0370,2070298
2014-03-24,65.8934,66.3242,64.5146,65.3763,660766
2014-03-25,65.4338,65.7785,64.5721,64.5721,534733
2014-03-26,64.6295,64.8306,64.0263,64.1699,534866
2014-03-27,64.0837,64.6726,63.6816,63.8540,458633
2014-03-28,63.6816,64.2848,63.0497,63.9114,1417965
2014-03-31,64.1699,64.4284,63.1933,63.8827,3349497
2014-04-01,63.8252,65.2040,63.7965,64.7731,719933
2014-04-02,64.6295,65.1781,64.4859,64.5433,726099
2014-04-03,64.6295,64.8593,63.2507,63.2507,656199
2014-04-04,63.2795,63.3369,61.9294,62.0156,1892831
2014-04-07,62.0443,62.1337,61.0677,61.3837,474900
2014-04-08,61.3262,61.4698,60.7230,61.3549,469333
2014-04-09,61.5560,62.1879,61.4124,61.7858,591533
2014-04-10,61.6709,61.9582,60.4358,60.8379,361133
2014-04-11,60.6081,61.4124,60.2060,61.0390,519933
2014-04-14,61.1539,62.0731,60.6368,61.3262,352533
2014-04-15,61.7858,61.7858,60.3209,61.4124,331733
2014-04-16,61.0964,62.0874,60.9815,62.0443,358400
2014-04-17,61.8720,62.7912,61.1826,62.5326,550733
2014-04-21,62.3890,62.3890,61.3837,61.6422,340733
2014-04-22,61.6135,62.3890,61.5560,61.7858,350033
2014-04-23,61.6996,62.1879,61.3549,61.7284,321400
2014-04-24,61.9294,62.2454,61.6422,61.7571,206800
2014-04-25,61.7571,61.8145,61.0103,61.2688,140167
2014-04-28,61.2975,61.5560,60.4645,61.3837,427966
2014-04-29,62.1018,62.2741,60.2347,60.5794,884299
