date,open,high,low,close,volume
1990-03-26,2.3438,2.3438,2.2813,2.2813,18400
1990-03-27,2.2975,2.2975,2.2188,2.2813,141600
1990-03-28,2.1875,2.2500,2.1875,2.2188,136800
1990-03-29,2.2500,2.2813,2.2188,2.2188,164000
1990-03-30,2.2188,2.3438,2.2188,2.3438,453600
1990-04-02,2.2813,2.3125,2.2500,2.3125,113600
1990-04-03,2.3125,2.3125,2.2813,2.2813,48800
1990-04-04,2.3125,2.3125,2.1875,2.1875,333600
1990-04-05,2.2500,2.2500,2.2188,2.2500,15200
1990-04-06,2.1875,2.2500,2.1563,2.1875,111200
1990-04-09,2.1563,2.1875,2.1250,2.1250,88800
1990-04-10,2.1875,2.1875,2.0625,2.1250,356800
1990-04-11,2.1563,2.1875,2.1250,2.1725,240000
1990-04-12,2.1875,2.2188,2.1250,2.1563,120800
1990-04-16,2.2188,2.2188,2.1250,2.1250,84800
1990-04-17,2.1250,2.1563,2.0938,2.0938,103200
1990-04-18,2.0938,2.1250,2.0938,2.1250,7200
1990-04-19,2.1250,2.1400,2.1250,2.1400,16000
1990-04-20,2.1875,2.1875,2.1250,2.1250,30400
1990-04-23,2.1875,2.2500,2.1875,2.1875,268000
1990-04-24,2.2813,2.2813,2.2188,2.2500,125600
1990-04-25,2.2500,2.3438,2.2500,2.3125,93600
1990-04-26,2.4375,2.5313,2.3750,2.5313,371200
1990-04-27,2.5625,2.6563,2.5000,2.5775,232000
1990-04-30,2.5313,2.6563,2.5313,2.6563,42400
1990-05-01,2.6563,2.6563,2.5938,2.6563,23200
1990-05-02,2.6250,2.6250,2.5000,2.5313,230400
1990-05-03,2.5938,2.7188,2.5313,2.6875,596000
1990-05-04,2.7188,2.8438,2.6875,2.8125,252800
1990-05-07,2.9063,2.9063,2.8438,2.8438,31200
1990-05-08,2.8125,2.8900,2.7188,2.8275,635200
1990-05-09,2.9063,2.9375,2.8125,2.8438,113600
1990-05-10,2.8750,2.8750,2.7813,2.8438,80800
1990-05-11,2.8438,2.9063,2.8438,2.9063,187200
1990-05-14,2.9688,3.0313,2.9063,2.9688,85600
1990-05-15,3.0000,3.0313,2.9375,2.9375,54400
1990-05-16,3.0313,3.0313,2.9375,3.0313,123200
1990-05-17,3.0313,3.1250,3.0000,3.0938,192000
1990-05-18,3.1250,3.1250,2.9063,2.9688,234400
1990-05-21,3.0000,3.0938,3.0000,3.0938,103200
1990-05-22,3.0313,3.1250,3.0313,3.0938,250400
1990-05-23,3.1250,3.2500,3.1250,3.1250,215200
1990-05-24,3.0938,3.1563,3.0625,3.1250,144800
1990-05-25,3.0625,3.1250,3.0313,3.0938,67200
1990-05-29,3.0625,3.0625,3.0625,3.0625,16800
1990-05-30,3.1250,3.1250,3.0625,3.0625,59200
1990-05-31,3.0313,3.0313,2.9688,2.9688,125600
1990-06-01,2.9688,3.0000,2.7813,2.8750,776000
1990-06-04,2.8438,2.8438,2.7188,2.8125,717600
1990-06-05,2.7188,2.8125,2.5150,2.6563,804000
1990-06-06,2.6250,2.9375,2.5938,2.9375,922400
1990-06-07,2.9375,2.9375,2.8125,2.8750,101600
1990-06-08,2.8125,2.8125,2.7500,2.7650,41600
1990-06-11,2.7813,2.8125,2.7188,2.8125,120800
1990-06-12,2.8125,2.8275,2.6563,2.7350,1218400
1990-06-13,2.7188,2.7500,2.6725,2.7188,1096800
1990-06-14,2.6875,2.8125,2.6875,2.7813,274400
1990-06-15,2.8125,3.1250,2.8125,3.0313,406400
1990-06-18,3.0625,3.0625,3.0000,3.0313,104000
1990-06-19,3.0313,3.0313,2.9063,2.9688,81600
1990-06-20,2.9063,2.9688,2.9063,2.9375,41600
1990-06-21,2.9688,3.0625,2.8750,2.9063,2614400
1990-06-22,2.8750,2.9063,2.7500,2.7813,1673600
1990-06-25,2.8438,2.9063,2.7813,2.9063,589600
1990-06-26,2.9063,2.9063,2.8438,2.8750,533600
1990-06-27,2.8750,2.8750,2.8125,2.8125,50400
1990-06-28,2.8438,2.8438,2.8125,2.8438,196800
1990-06-29,2.8750,2.8750,2.8275,2.8275,104000
1990-07-02,2.8125,2.8750,2.7813,2.8750,10400
1990-07-03,2.8125,2.8750,2.8125,2.8125,76800
1990-07-05,2.8750,2.8750,2.8125,2.8125,16000
1990-07-06,2.8750,2.9063,2.7500,2.8900,250400
1990-07-09,2.8750,3.3125,2.8750,3.1725,941600
1990-07-10,3.2500,3.2500,3.0000,3.0313,408800
1990-07-11,3.0625,3.0625,2.9850,3.0150,235200
1990-07-12,3.0625,3.3750,3.0625,3.3750,1322400
1990-07-13,3.4063,3.8750,3.3750,3.6563,938400
1990-07-16,3.6563,3.7813,3.6250,3.6563,1113600
1990-07-17,3.7188,3.7188,3.5000,3.5625,240800
1990-07-18,3.5000,3.6250,3.5000,3.6250,45600
1990-07-19,3.6250,3.6250,3.5000,3.5625,312000
1990-07-20,3.5000,3.5625,3.3750,3.3750,268800
1990-07-23,3.4063,3.4063,3.1250,3.1875,461600
1990-07-24,3.1875,3.4063,3.0938,3.4063,487200
1990-07-25,3.4375,3.6875,3.4063,3.5313,324800
1990-07-26,3.6250,3.6250,3.5313,3.5625,42400
1990-07-27,3.5625,3.5625,3.4375,3.5000,224000
1990-07-30,3.4375,3.4375,3.1250,3.3125,463200
1990-07-31,3.2500,3.2500,2.9063,3.0313,3778400
1990-08-01,2.9375,3.0313,2.8750,2.8750,1006400
1990-08-02,2.8750,2.8750,2.5938,2.6875,769600
1990-08-03,2.6875,2.7188,2.5000,2.6250,314400
1990-08-06,2.6250,2.6875,2.3125,2.4375,356000
1990-08-07,2.5000,2.5000,2.2188,2.4688,534400
1990-08-08,2.4688,2.5938,2.4688,2.5000,348000
1990-08-09,2.6250,2.6875,2.6250,2.6250,101600
1990-08-10,2.5938,2.6563,2.5625,2.6563,194400
1990-08-13,2.6563,2.6875,2.6563,2.6875,48000
1990-08-14,2.7188,2.7500,2.6563,2.7500,41600
1990-08-15,2.7500,2.7813,2.7500,2.7500,155200
1990-08-16,2.7188,2.7188,2.6250,2.7188,216000
1990-08-17,2.5625,2.5625,2.2813,2.4375,242400
1990-08-20,2.5000,2.5313,2.4688,2.5313,51200
1990-08-21,2.4063,2.5000,2.3125,2.4063,244800
1990-08-22,2.3438,2.4688,2.3438,2.4688,202400
1990-08-23,2.3438,2.4688,2.2813,2.4688,157600
1990-08-24,2.4063,2.5000,2.3750,2.4063,113600
1990-08-27,2.4375,2.8750,2.4375,2.7813,866400
1990-08-28,2.6875,2.7813,2.6250,2.7350,504000
1990-08-29,2.6563,2.7813,2.6563,2.7813,217600
1990-08-30,2.6875,2.7813,2.6875,2.7500,91200
1990-08-31,2.6875,2.7813,2.6875,2.7813,8000
1990-09-04,2.7025,2.7188,2.6875,2.7188,30400
1990-09-05,2.7813,2.9063,2.7188,2.8438,328000
1990-09-06,2.8125,2.8438,2.6563,2.7188,524000
1990-09-07,2.6563,2.7188,2.6563,2.7188,344000
1990-09-10,2.7188,2.7188,2.5625,2.5775,350400
1990-09-11,2.5625,2.5625,2.5313,2.5313,39200
1990-09-12,2.5000,2.5938,2.4375,2.4375,140800
1990-09-13,2.4688,2.4688,2.2500,2.3438,219200
1990-09-14,2.3750,2.3750,2.2025,2.3125,362400
1990-09-17,2.2188,2.2188,2.0313,2.0938,2564800
1990-09-18,2.0313,2.0775,1.9375,2.0000,777600
1990-09-19,2.0313,2.0313,1.9688,2.0000,824000
1990-09-20,1.9688,2.0000,1.9375,1.9375,100000
1990-09-21,2.0000,2.0000,1.8750,1.9375,251200
1990-09-24,1.8125,1.8750,1.8125,1.8750,21600
1990-09-25,1.8125,2.0000,1.8125,2.0000,249600
1990-09-26,2.0000,2.0313,1.9375,2.0313,45600
1990-09-27,2.0313,2.0625,1.9375,2.0625,40000
1990-09-28,1.9688,2.2188,1.9688,2.2188,128800
1990-10-01,2.2813,2.4063,2.2188,2.4063,537600
1990-10-02,2.4688,2.5000,2.3125,2.3750,436000
1990-10-03,2.3125,2.3125,2.1875,2.2813,325600
1990-10-04,2.2500,2.2500,2.1250,2.2188,92800
1990-10-05,2.1250,2.1563,2.0625,2.1563,39200
1990-10-08,2.1875,2.1875,2.1875,2.1875,800
1990-10-09,2.0938,2.0938,2.0000,2.0625,284800
1990-10-10,2.0000,2.0938,2.0000,2.0938,436000
1990-10-11,2.0000,2.0938,2.0000,2.0625,276000
1990-10-12,2.0625,2.0938,2.0000,2.0938,162400
1990-10-15,2.0313,2.1250,2.0313,2.0938,171200
1990-10-16,2.1563,2.1563,2.0313,2.1250,101600
1990-10-17,2.1250,2.1250,2.1100,2.1100,84000
1990-10-18,2.1250,2.2500,2.0938,2.2500,212800
1990-10-19,2.2500,2.2500,2.1563,2.2188,308000
1990-10-22,2.1875,2.2500,2.1563,2.2188,276800
1990-10-23,2.1875,2.2188,2.1563,2.2188,32000
1990-10-24,2.1250,2.2188,2.1250,2.2188,32800
1990-10-25,2.2188,2.2813,2.1875,2.2188,262400
1990-10-26,2.2188,2.2500,2.1875,2.2188,373600
1990-10-29,2.1875,2.1875,2.1563,2.1875,100000
1990-10-30,2.1563,2.1563,2.0313,2.1250,260800
1990-10-31,2.0938,2.0938,2.0313,2.0313,543200
1990-11-01,1.9688,2.0150,1.5938,1.8125,2479200
1990-11-02,1.8125,2.0313,1.7500,1.9688,735200
1990-11-05,1.9688,2.0625,1.9375,2.0313,320000
1990-11-06,2.0313,2.0775,1.9688,2.0625,210400
1990-11-07,2.0625,2.0625,1.8125,1.8750,264000
1990-11-08,1.8600,1.8750,1.8600,1.8750,79200
1990-11-09,1.8125,1.8750,1.7813,1.8438,894400
1990-11-12,1.8750,1.9375,1.8125,1.9225,1618400
1990-11-13,2.0000,2.0625,1.9688,2.0625,180800
1990-11-14,2.0313,2.0775,1.9375,1.9375,596800
1990-11-15,2.0000,2.0000,1.8438,1.8750,872800
1990-11-16,1.4375,1.4375,1.0000,1.0938,9620800
1990-11-19,1.0938,1.1875,0.9375,0.9688,3294400
1990-11-20,1.0313,1.0313,0.9375,0.9525,3440800
1990-11-21,0.9375,0.9688,0.9063,0.9375,1285600
1990-11-23,0.9063,1.0000,0.9063,0.9063,776800
1990-11-26,0.9688,0.9688,0.9063,0.9525,2445600
1990-11-27,1.0000,1.0313,0.9525,1.0313,502400
1990-11-28,1.0625,1.0625,0.9688,1.0000,104800
1990-11-29,1.0313,1.0313,0.9688,0.9850,1386400
1990-11-30,0.9850,1.0313,0.9688,1.0313,1372000
1990-12-03,1.0313,1.0313,1.0000,1.0000,340800
1990-12-04,1.0313,1.0313,0.9688,0.9688,949600
1990-12-05,0.9688,1.0625,0.9688,1.0000,1827200
1990-12-06,1.0625,1.0938,1.0313,1.0313,1138400
1990-12-07,1.0938,1.1563,1.0625,1.1250,730400
1990-12-10,1.1563,1.2188,1.1250,1.2188,856800
1990-12-11,1.1563,1.2188,1.0625,1.0625,594400
1990-12-12,1.1100,1.1563,1.0775,1.1250,475200
1990-12-13,1.1875,1.1875,1.0938,1.1100,196800
1990-12-14,1.1250,1.1563,1.0625,1.1563,328000
1990-12-17,1.1563,1.1563,1.0625,1.0625,41600
1990-12-18,1.0625,1.0938,1.0313,1.0313,181600
1990-12-19,1.0938,1.1563,1.0625,1.0625,905600
1990-12-20,1.1563,1.1563,1.0938,1.1250,922400
1990-12-21,1.1563,1.1563,1.0938,1.1250,256800
1990-12-24,1.1563,1.1563,1.0938,1.0938,117600
1990-12-26,1.0938,1.1563,1.0625,1.0625,76800
1990-12-27,1.0625,1.0938,1.0000,1.0000,833600
1990-12-28,1.0000,1.0938,1.0000,1.0938,224000
1990-12-31,1.0313,1.1563,1.0313,1.1250,191200
1991-01-02,1.1250,1.1563,1.0938,1.1250,246400
1991-01-03,1.1250,1.1250,1.0625,1.0625,40800
