date,open,high,low,close,volume
2015-11-02,9.7168,9.8334,8.9843,9.3927,40865891
2015-11-03,9.1204,9.5353,8.8644,9.3084,40205612
2015-11-04,9.3278,9.4056,8.8222,8.8546,31516491
2015-11-05,8.8417,9.0037,8.5046,8.6083,22189959
2015-11-06,8.5435,9.3862,8.5240,9.3343,30049669
2015-11-09,9.2436,9.3862,9.1593,9.2047,17528088
2015-11-10,9.1593,9.3602,9.0815,9.3408,14777765
2015-11-11,9.2047,9.2760,9.1334,9.1463,11009387
2015-11-12,8.9519,8.9584,8.8093,8.8806,20371666
2015-11-13,8.8222,8.9195,8.5240,8.6796,14924533
2015-11-16,8.6667,8.8222,8.5176,8.6731,13781375
2015-11-17,8.6731,8.7444,8.5046,8.5694,12420759
2015-11-18,8.7380,8.9000,8.5491,8.8417,13020475
2015-11-19,8.7704,9.0037,8.7639,8.9324,13171491
2015-11-20,8.9324,9.4834,8.8676,9.2112,18558586
2015-11-23,9.1852,9.2112,8.7963,8.9778,15317345
2015-11-24,8.8028,9.0912,8.7509,8.8741,24108918
2015-11-25,9.0167,9.6325,8.9713,9.1528,22674894
2015-11-27,9.1528,9.4899,9.1074,9.3019,6041718
2015-11-30,9.2241,9.7232,9.1917,9.6325,29096030
2015-12-01,9.6455,10.2937,9.6260,10.1187,25106264
2015-12-02,9.9631,10.0733,9.6390,9.6908,12681067
2015-12-03,9.7232,9.9436,9.4510,9.4769,18905240
2015-12-04,9.3278,9.9145,9.2306,9.8659,12001085
2015-12-07,9.7579,10.0701,9.7058,10.0506,9545947
2015-12-08,9.8164,9.9465,9.5107,9.8685,11617601
2015-12-09,9.7514,10.0116,9.5497,9.6603,14261925
2015-12-10,9.6213,9.6343,9.4521,9.5757,11350207
2015-12-11,9.7514,10.0181,9.1984,9.2244,10614763
2015-12-14,9.3025,9.4326,9.0553,9.3936,11527694
2015-12-15,9.4391,9.7449,9.4228,9.4716,12888739
2015-12-16,9.5107,9.6343,9.4651,9.5627,7840968
2015-12-17,9.5042,9.5757,9.2505,9.3090,7625458
2015-12-18,9.2830,9.3578,9.1073,9.2114,19307237
2015-12-21,9.1854,9.3675,9.0228,9.1203,9863255
2015-12-22,9.1334,9.1984,9.0554,9.1464,7292476
2015-12-23,9.2309,9.7383,9.1399,9.6993,11252128
2015-12-24,9.6343,9.8685,9.6213,9.7709,2178459
2015-12-28,9.6863,9.9400,9.6408,9.9075,5930636
2015-12-29,9.9465,10.0422,9.8750,9.8880,6275753
2015-12-30,9.9465,10.0701,9.8554,9.9400,6275778
2015-12-31,9.9075,9.9595,9.8229,9.8880,6767773
