date,open,high,low,close,volume
1962-01-02,0.1745,0.1745,0.1650,0.1650,1126400
1962-01-03,0.1650,0.1650,0.1615,0.1633,230400
1962-01-04,0.1633,0.1686,0.1568,0.1598,384000
1962-01-05,0.1591,0.1591,0.1562,0.1562,153600
1962-01-08,0.1562,0.1586,0.1533,0.1586,396800
1962-01-09,0.1586,0.1650,0.1568,0.1609,422400
1962-01-10,0.1609,0.1621,0.1586,0.1621,204800
1962-01-11,0.1621,0.1627,0.1603,0.1615,192000
1962-01-12,0.1615,0.1639,0.1603,0.1603,243200
1962-01-15,0.1603,0.1609,0.1580,0.1580,140800
1962-01-16,0.1580,0.1580,0.1556,0.1562,89600
1962-01-17,0.1562,0.1586,0.1556,0.1556,192000
1962-01-18,0.1556,0.1556,0.1538,0.1550,217600
1962-01-19,0.1568,0.1650,0.1568,0.1639,640000
1962-01-22,0.1639,0.1680,0.1633,0.1650,256000
1962-01-23,0.1650,0.1698,0.1627,0.1627,371200
1962-01-24,0.1615,0.1615,0.1580,0.1603,153600
1962-01-25,0.1603,0.1627,0.1591,0.1603,371200
1962-01-26,0.1603,0.1615,0.1598,0.1603,627200
1962-01-29,0.1591,0.1591,0.1568,0.1568,89600
1962-01-30,0.1568,0.1586,0.1562,0.1586,704
1962-01-31,0.1609,0.1609,0.1580,0.1609,256000
1962-02-01,0.1609,0.1633,0.1586,0.1586,243200
1962-02-02,0.1586,0.1586,0.1580,0.1586,64000
1962-02-05,0.1586,0.1609,0.1568,0.1568,307200
1962-02-06,0.1568,0.1574,0.1556,0.1574,256000
1962-02-07,0.1574,0.1574,0.1538,0.1538,243200
1962-02-08,0.1538,0.1556,0.1533,0.1533,332800
1962-02-09,0.1538,0.1550,0.1538,0.1544,166400
1962-02-12,0.1544,0.1574,0.1538,0.1556,140800
1962-02-13,0.1556,0.1556,0.1521,0.1521,89600
1962-02-14,0.1521,0.1538,0.1509,0.1509,179200
1962-02-15,0.1497,0.1497,0.1462,0.1480,371200
1962-02-16,0.1480,0.1503,0.1467,0.1497,281600
1962-02-19,0.1497,0.1515,0.1497,0.1503,268800
1962-02-20,0.1503,0.1521,0.1503,0.1515,396800
1962-02-21,0.1515,0.1544,0.1509,0.1538,25600
1962-02-23,0.1538,0.1550,0.1527,0.1544,320000
1962-02-26,0.1544,0.1580,0.1533,0.1568,384000
1962-02-27,0.1568,0.1586,0.1568,0.1580,307200
1962-02-28,0.1580,0.1586,0.1568,0.1568,204800
1962-03-01,0.1568,0.1580,0.1568,0.1580,102400
1962-03-02,0.1580,0.1580,0.1568,0.1574,384000
1962-03-05,0.1574,0.1580,0.1550,0.1556,524800
1962-03-06,0.1556,0.1556,0.1550,0.1556,294400
1962-03-07,0.1556,0.1556,0.1533,0.1550,460800
1962-03-08,0.1562,0.1586,0.1562,0.1586,217600
1962-03-09,0.1591,0.1615,0.1591,0.1615,294400
1962-03-12,0.1615,0.1639,0.1609,0.1609,166400
1962-03-13,0.1609,0.1627,0.1609,0.1609,204800
1962-03-14,0.1609,0.1615,0.1580,0.1580,243200
1962-03-15,0.1580,0.1603,0.1568,0.1574,422400
1962-03-16,0.1580,0.1603,0.1580,0.1603,294400
1962-03-19,0.1603,0.1615,0.1603,0.1615,217600
1962-03-20,0.1609,0.1609,0.1603,0.1603,153600
1962-03-21,0.1603,0.1603,0.1598,0.1603,588800
1962-03-22,0.1609,0.1609,0.1609,0.1609,332800
1962-03-23,0.1609,0.1668,0.1609,0.1639,1177600
1962-03-26,0.1639,0.1639,0.1609,0.1609,204800
1962-03-27,0.1603,0.1603,0.1562,0.1591,345600
1962-03-28,0.1591,0.1615,0.1591,0.1609,294400
1962-03-29,0.1609,0.1627,0.1609,0.1609,256000
1962-03-30,0.1609,0.1615,0.1562,0.1591,473600
1962-04-02,0.1591,0.1591,0.1580,0.1591,371200
1962-04-03,0.1591,0.1591,0.1527,0.1533,512000
1962-04-04,0.1521,0.1521,0.1462,0.1462,358400
1962-04-05,0.1462,0.1485,0.1444,0.1480,409600
1962-04-06,0.1480,0.1509,0.1450,0.1462,1356800
1962-04-09,0.1456,0.1456,0.1432,0.1444,524800
1962-04-10,0.1462,0.1497,0.1462,0.1485,780800
1962-04-11,0.1485,0.1503,0.1474,0.1480,448000
1962-04-12,0.1480,0.1485,0.1474,0.1474,192000
1962-04-13,0.1450,0.1450,0.1415,0.1450,1024000
1962-04-16,0.1450,0.1450,0.1397,0.1403,742400
