date,open,high,low,close,volume
1990-01-02,1.1322,1.1658,1.1322,1.1658,374400
1990-01-03,1.1742,1.2037,1.1742,1.1742,899200
1990-01-04,1.1742,1.1869,1.1447,1.1490,361600
1990-01-05,1.1490,1.1574,1.1490,1.1490,131200
1990-01-08,1.1490,1.1534,1.1322,1.1322,222400
1990-01-09,1.1322,1.1406,1.1239,1.1322,489600
1990-01-10,1.1322,1.1366,1.1198,1.1239,598400
1990-01-11,1.1239,1.1279,1.1198,1.1239,582400
1990-01-12,1.1244,1.1244,1.0990,1.0990,128000
1990-01-15,1.0990,1.0990,1.0568,1.0612,432000
1990-01-16,1.0612,1.0950,1.0399,1.0906,744000
1990-01-17,1.0906,1.0906,1.0737,1.0781,976000
1990-01-18,1.0821,1.0950,1.0821,1.0862,324800
1990-01-19,1.0920,1.1090,1.0920,1.1090,387200
1990-01-22,1.1090,1.1090,1.0839,1.0920,296000
1990-01-23,1.0920,1.1009,1.0839,1.1009,211200
1990-01-24,1.1009,1.1049,1.0839,1.0879,272000
1990-01-25,1.0879,1.0964,1.0709,1.0750,220800
1990-01-26,1.0750,1.0794,1.0624,1.0794,126400
1990-01-29,1.0794,1.0794,1.0580,1.0624,172800
1990-01-30,1.0580,1.0580,1.0240,1.0284,638400
1990-01-31,1.0284,1.0369,1.0284,1.0369,848000
1990-02-01,1.0369,1.0369,1.0240,1.0329,188800
1990-02-02,1.0329,1.0410,1.0284,1.0329,126400
1990-02-05,1.0329,1.0369,1.0284,1.0284,97600
1990-02-06,1.0284,1.0329,1.0199,1.0240,779200
1990-02-07,1.0199,1.0199,1.0070,1.0114,444800
1990-02-08,1.0114,1.0284,1.0114,1.0159,502400
1990-02-09,1.0159,1.0199,0.9859,1.0114,384000
1990-02-12,1.0114,1.0159,1.0114,1.0159,110400
1990-02-13,1.0159,1.0159,1.0114,1.0159,99200
1990-02-14,1.0159,1.0159,1.0114,1.0114,62400
1990-02-15,1.0114,1.0114,0.9989,1.0114,627200
1990-02-16,1.0114,1.0114,1.0029,1.0070,1393600
1990-02-20,1.0070,1.0070,1.0029,1.0070,328000
1990-02-21,1.0118,1.0118,0.9689,0.9859,62000
1990-02-22,0.9948,1.0029,0.9778,0.9859,576800
1990-02-23,0.9859,0.9859,0.9778,0.9859,178400
1990-02-26,0.9778,1.0029,0.9778,0.9859,336000
1990-02-27,0.9948,1.0369,0.9948,1.0369,1697600
1990-02-28,1.0369,1.0458,1.0288,1.0369,376000
1990-03-01,1.0199,1.0458,1.0199,1.0458,245600
1990-03-02,1.0458,1.0458,1.0369,1.0458,228800
1990-03-05,1.0458,1.0709,1.0458,1.0539,642400
1990-03-06,1.0539,1.1308,1.0539,1.1308,949600
1990-03-07,1.1648,1.1648,1.1219,1.1389,312800
1990-03-08,1.1389,1.1559,1.1389,1.1559,276000
1990-03-09,1.1729,1.1899,1.1559,1.1729,550400
1990-03-12,1.1729,1.1818,1.1729,1.1729,179200
1990-03-13,1.1648,1.1648,1.1219,1.1478,215200
1990-03-14,1.1389,1.1559,1.1219,1.1478,179200
1990-03-15,1.1478,1.1648,1.1389,1.1648,2087200
1990-03-16,1.1648,1.1648,1.1389,1.1478,302400
1990-03-19,1.1389,1.1389,1.1219,1.1389,424000
1990-03-20,1.1478,1.1478,1.1389,1.1389,116000
1990-03-21,1.1478,1.1478,1.1389,1.1478,200000
1990-03-22,1.1478,1.1478,1.0968,1.1219,134400
1990-03-23,1.1219,1.1219,1.1049,1.1138,30400
1990-03-26,1.1138,1.1138,1.0968,1.0968,44000
1990-03-27,1.0879,1.0879,1.0628,1.0709,161600
1990-03-28,1.0539,1.0628,1.0458,1.0539,308000
1990-03-29,1.0539,1.0628,1.0458,1.0539,223200
1990-03-30,1.0628,1.0628,1.0458,1.0628,239200
1990-04-02,1.0628,1.0628,1.0288,1.0288,140800
1990-04-03,1.0369,1.0369,1.0199,1.0369,329600
1990-04-04,1.0369,1.0369,1.0199,1.0288,1576000
1990-04-05,1.0458,1.0458,1.0199,1.0288,297600
1990-04-06,1.0369,1.0458,1.0199,1.0199,143200
1990-04-09,1.0199,1.0199,0.9948,1.0029,208000
1990-04-10,1.0118,1.0118,0.9948,0.9948,207200
1990-04-11,1.0029,1.0369,1.0029,1.0199,1217600
1990-04-12,1.0369,1.0798,1.0369,1.0628,194400
1990-04-16,1.0753,1.1095,1.0753,1.0842,212000
1990-04-17,1.0671,1.0924,1.0671,1.0753,67200
1990-04-18,1.0671,1.0753,1.0582,1.0671,106400
1990-04-19,1.0753,1.0753,1.0671,1.0753,114400
1990-04-20,1.0753,1.0753,1.0671,1.0671,43200
1990-04-23,1.0671,1.0671,1.0582,1.0671,104000
1990-04-24,1.0582,1.0671,1.0501,1.0501,52000
1990-04-25,1.0582,1.0671,1.0582,1.0582,124000
1990-04-26,1.0671,1.0671,1.0412,1.0412,367200
1990-04-27,1.0501,1.0582,1.0501,1.0582,55200
1990-04-30,1.0582,1.0582,1.0412,1.0501,148800
1990-05-01,1.0412,1.0412,1.0241,1.0412,87200
1990-05-02,1.0330,1.0412,1.0241,1.0330,408000
1990-05-03,1.0412,1.0412,1.0412,1.0412,19200
1990-05-04,1.0412,1.0412,1.0159,1.0241,38400
1990-05-07,1.0241,1.0241,1.0159,1.0159,58400
1990-05-08,1.0241,1.0241,1.0159,1.0241,68000
1990-05-09,1.0159,1.0241,1.0070,1.0070,304000
1990-05-10,1.0159,1.0582,1.0070,1.0582,240000
1990-05-11,1.0671,1.0671,1.0582,1.0671,106400
1990-05-14,1.0753,1.0842,1.0671,1.0842,69600
1990-05-15,1.0582,1.0842,1.0582,1.0671,172800
1990-05-16,1.0671,1.0924,1.0671,1.0753,114400
