date,open,high,low,close,volume
1995-11-03,5.4375,5.8750,5.0950,5.6875,18996000
1995-11-06,5.6250,5.8125,5.5625,5.7200,2947600
1995-11-07,5.7500,5.7500,5.5625,5.6250,2660000
1995-11-08,5.5000,5.6875,5.5000,5.5625,667600
1995-11-09,5.5625,5.7500,5.5625,5.6875,450800
1995-11-10,5.5625,5.7500,5.4375,5.4375,840000
1995-11-13,5.6250,5.6250,5.4375,5.5625,386000
1995-11-14,5.4375,5.6250,5.4375,5.4375,828800
1995-11-15,5.4375,5.6875,5.4375,5.5475,676800
1995-11-16,5.6875,5.6875,5.4375,5.6250,498000
1995-11-17,5.4375,5.6875,5.4375,5.5000,228000
1995-11-20,5.5000,5.6875,5.5000,5.5000,211200
1995-11-21,5.6875,5.6875,5.5000,5.5000,274400
1995-11-22,5.5000,5.6875,5.5000,5.5000,532800
1995-11-24,5.6875,5.6875,5.5625,5.6725,43600
1995-11-27,5.5625,5.9375,5.5625,5.7500,432800
1995-11-28,5.8125,5.8750,5.7500,5.8750,83200
1995-11-29,5.7500,6.4375,5.7500,6.3750,1223600
1995-11-30,6.4375,6.5000,6.2500,6.3125,687600
1995-12-01,6.3125,6.4375,6.2500,6.3125,507600
1995-12-04,6.3750,6.3750,6.0625,6.0950,312800
1995-12-05,6.1875,6.1875,6.0625,6.1875,398800
1995-12-06,6.1875,6.2500,6.0625,6.2200,132000
1995-12-07,6.0625,6.2500,6.0625,6.0625,384000
1995-12-08,6.2500,6.2825,6.0625,6.1250,576800
1995-12-11,6.1250,6.2500,6.0625,6.1250,277200
1995-12-12,6.2500,6.2500,6.0000,6.0625,1038000
1995-12-13,6.0000,6.0625,5.8750,5.9375,812400
1995-12-14,5.8125,5.9375,5.7500,5.8125,162800
1995-12-15,5.6875,5.8125,5.6875,5.8125,246000
1995-12-18,5.6875,5.8125,5.6875,5.6875,59200
1995-12-19,5.8125,5.8450,5.6875,5.8125,329600
1995-12-20,5.7500,5.9375,5.7500,5.9375,375600
1995-12-21,5.9700,6.0000,5.8125,5.8125,12800
1995-12-22,6.0000,6.0000,5.8125,6.0000,13200
1995-12-26,5.8125,6.0000,5.8125,5.8125,11600
1995-12-27,6.0000,6.6875,5.8750,6.6875,390800
1995-12-28,6.7500,7.2500,6.7500,7.0625,1364800
1995-12-29,7.0625,7.3750,6.9375,7.3750,667600
1996-01-02,7.2500,7.3125,6.8125,6.8125,242400
1996-01-03,6.9375,6.9375,6.4375,6.5625,615600
1996-01-04,7.2500,7.3125,6.8125,6.8125,725600
1996-01-05,6.9375,6.9375,6.4375,6.5625,301600
1996-01-08,6.0625,6.0625,5.9050,5.9050,21200
1996-01-09,6.1250,6.1250,5.9375,5.9525,375200
1996-01-10,6.0625,6.0625,5.9063,5.9063,574000
1996-01-11,6.1250,6.1250,5.9375,5.9531,193600
1996-01-12,6.0625,6.0625,5.9375,6.0625,55200
1996-01-15,6.1875,6.1875,5.9375,5.9375,73600
1996-01-16,5.9375,6.1875,5.9375,6.1250,21600
1996-01-17,6.1875,6.1875,5.9375,5.9375,166400
1996-01-18,5.9375,6.1875,5.9375,6.1250,92800
1996-01-19,6.1250,6.1875,5.9375,6.1250,410400
1996-01-22,6.6875,7.0000,6.5625,7.0000,294400
1996-01-23,7.0000,7.1875,7.0000,7.0950,258400
1996-01-24,6.6875,7.0000,6.5625,7.0000,258400
1996-01-25,7.0000,7.1875,7.0000,7.0938,66400
