date,open,high,low,close,volume
1983-04-06,4.3786,4.3786,4.2908,4.3084,139900
1983-04-07,4.3084,4.3175,4.1244,4.1680,430500
1983-04-08,4.1420,4.1862,4.1160,4.1862,66300
1983-04-11,4.2038,4.3084,4.1862,4.3000,211400
1983-04-12,4.3175,4.3266,4.2824,4.3266,315600
1983-04-13,4.3442,4.4846,4.3351,4.4846,163400
1983-04-14,4.4663,4.5106,4.4404,4.5021,44400
1983-04-15,4.5021,4.6067,4.5021,4.6067,162900
1983-04-18,4.6250,4.8089,4.6250,4.7830,490800
1983-04-19,4.7563,4.7914,4.7303,4.7387,114400
1983-04-20,4.8440,4.9669,4.8265,4.9142,1208900
1983-04-21,4.9234,4.9318,4.8707,4.8876,267100
1983-04-22,4.8707,4.8707,4.7914,4.7914,176200
1983-04-25,4.7647,4.8265,4.7036,4.7212,394800
1983-04-26,4.7212,4.7738,4.6594,4.7471,170000
1983-04-27,4.7830,4.8265,4.7387,4.7471,233900
1983-04-28,4.7563,4.7738,4.7387,4.7563,249700
1983-04-29,4.7387,4.7647,4.7127,4.7647,122500
1983-05-02,4.7563,4.7647,4.7303,4.7303,294100
1983-05-03,4.7471,4.7647,4.7303,4.7303,260400
1983-05-04,4.7387,4.7563,4.7212,4.7471,109300
1983-05-05,4.8440,4.9409,4.7387,4.9142,454000
1983-05-06,4.9142,5.0813,4.9051,5.0638,1223700
1983-05-09,5.0638,5.1248,4.9844,5.0989,210400
1983-05-10,5.0813,5.1248,5.0638,5.0989,342200
1983-05-11,5.0813,5.0813,5.0371,5.0638,122000
1983-05-12,5.0638,5.0813,5.0546,5.0813,233400
1983-05-13,5.0638,5.0813,5.0546,5.0722,144500
1983-05-16,5.0546,5.0546,5.0111,5.0280,93900
1983-05-17,5.0020,5.0280,4.9669,5.0195,80600
1983-05-18,5.0371,5.1248,5.0371,5.0722,155700
1983-05-19,5.0897,5.1073,5.0371,5.0371,410100
1983-05-20,5.0195,5.0371,4.9578,5.0371,84200
1983-05-23,5.0195,5.0371,4.9936,5.0280,49500
1983-05-24,5.0280,5.0989,5.0280,5.0897,151100
1983-05-25,5.0722,5.0989,5.0638,5.0989,137900
1983-05-26,5.0989,5.1157,5.0722,5.0722,128700
1983-05-27,5.0638,5.0813,5.0371,5.0546,216500
1983-05-31,5.0371,5.0371,4.9409,4.9669,115900
1983-06-01,4.9318,4.9493,4.9142,4.9493,284900
1983-06-02,4.9669,5.0020,4.9318,4.9844,206300
1983-06-03,5.0020,5.0280,4.9936,5.0020,61200
1983-06-06,4.9844,5.0371,4.9844,5.0371,38800
1983-06-07,5.0371,5.1248,5.0111,5.1248,302800
1983-06-08,5.1248,5.1248,5.0371,5.0546,1007100
1983-06-09,5.1073,5.2561,5.1073,5.2561,245600
1983-06-10,5.2393,5.2652,5.2393,5.2477,241000
1983-06-13,5.2652,5.3003,5.2652,5.2737,88300
1983-06-14,5.3797,5.3881,5.2828,5.2828,247200
1983-06-15,5.3530,5.4583,5.3439,5.4057,327300
1983-06-16,5.3881,5.4934,5.3881,5.4934,265500
1983-06-17,5.4934,5.5285,5.4583,5.4759,199700
1983-06-20,5.5110,5.5110,5.4583,5.4759,152200
1983-06-21,5.5110,5.5461,5.4499,5.5461,203200
1983-06-22,5.5636,5.6163,5.5110,5.6163,77100
1983-06-23,5.6514,5.6865,5.6163,5.6163,236400
1983-06-24,5.6163,5.6338,5.5812,5.6163,57700
1983-06-27,5.6163,5.6163,5.5812,5.5903,57200
1983-06-28,5.5903,5.6078,5.4759,5.5018,106700
1983-06-29,5.4408,5.4934,5.4057,5.4759,245600
1983-06-30,5.4583,5.4759,5.4232,5.4408,291600
1983-07-01,5.4057,5.4057,5.3355,5.3355,107200
1983-07-05,5.3439,5.3439,5.2126,5.2652,381500
1983-07-06,5.2828,5.4057,5.2828,5.3706,169500
1983-07-07,5.3881,5.4583,5.3003,5.3003,139900
1983-07-08,5.3179,5.3179,5.1775,5.2477,145000
1983-07-11,5.3003,5.3179,5.2652,5.2652,148100
1983-07-12,5.2652,5.2652,5.2035,5.2477,114900
1983-07-13,5.2301,5.3179,5.2126,5.3003,143500
1983-07-14,5.3355,5.3881,5.2828,5.3179,103600
1983-07-15,5.3355,5.3355,5.2652,5.2652,212900
1983-07-18,5.2652,5.2652,5.2126,5.2393,136300
1983-07-19,5.2561,5.3003,5.2561,5.3003,132200
1983-07-20,5.4057,5.5636,5.3881,5.5636,266100
1983-07-21,5.5636,5.5636,5.4232,5.4408,215500
1983-07-22,5.4499,5.4759,5.4232,5.4759,34200
1983-07-25,5.4408,5.5110,5.4232,5.4934,44900
1983-07-26,5.5110,5.5110,5.4141,5.4674,84200
1983-07-27,5.4499,5.4759,5.3881,5.3972,36700
1983-07-28,5.4141,5.4323,5.3355,5.3355,29600
1983-07-29,5.2652,5.2652,5.1691,5.2301,264000
1983-08-01,5.1691,5.1775,5.0897,5.1333,361600
1983-08-02,5.1157,5.2301,5.1157,5.2035,225200
1983-08-03,5.2126,5.2126,5.1599,5.1775,93400
1983-08-04,5.1950,5.1950,5.0897,5.1248,173600
1983-08-05,5.0897,5.1775,5.0897,5.1599,231300
1983-08-08,5.1073,5.1248,5.0813,5.0897,96500
1983-08-09,5.1073,5.1248,5.0989,5.1157,239000
1983-08-10,5.1248,5.2393,5.1248,5.2393,117400
1983-08-11,5.3179,5.3797,5.3003,5.3706,496400
1983-08-12,5.3355,5.3530,5.3095,5.3263,104700
1983-08-15,5.3263,5.3530,5.3003,5.3179,93400
1983-08-16,5.2828,5.2828,5.2126,5.2301,137900
1983-08-17,5.2301,5.3530,5.2301,5.3530,253300
1983-08-18,5.3881,5.4408,5.3881,5.4057,187400
1983-08-19,5.3881,5.3881,5.3179,5.3797,321700
1983-08-22,5.3621,5.3881,5.3355,5.3621,273700
1983-08-23,5.3439,5.3439,5.2828,5.2828,61200
1983-08-24,5.2828,5.2919,5.1775,5.1775,254800
1983-08-25,5.1950,5.2652,5.1775,5.2652,170500
1983-08-26,5.2477,5.2652,5.2301,5.2477,93400
1983-08-29,5.2477,5.2477,5.1950,5.2126,135300
1983-08-30,5.1950,5.2301,5.1950,5.2126,113800
1983-08-31,5.2301,5.3530,5.2301,5.3530,74000
1983-09-01,5.3003,5.3706,5.3003,5.3003,303300
