date,open,high,low,close,volume
1981-12-31,10.4693,10.5788,10.3568,10.3568,67800
1982-01-04,10.6172,10.7652,10.4308,10.7267,106500
1982-01-05,10.6527,10.8362,10.4693,10.5048,240600
1982-01-06,10.4693,10.5788,10.3184,10.4308,238900
1982-01-07,10.3923,10.4308,10.3568,10.4308,162600
1982-01-08,10.4693,10.5403,10.3923,10.5048,210900
1982-01-11,10.4693,10.5788,10.3184,10.3184,218100
1982-01-12,10.2828,10.3184,10.2089,10.2473,198100
1982-01-13,10.2473,10.2828,10.2089,10.2473,465000
1982-01-14,10.0994,10.1704,9.9869,10.0994,288100
1982-01-15,10.0609,10.0994,10.0224,10.0224,408100
1982-01-18,9.9514,10.0224,9.8390,9.8745,623400
1982-01-19,9.8390,9.9869,9.6910,9.7265,420600
1982-01-20,9.6170,9.7265,9.5046,9.6910,345700
1982-01-21,9.6526,9.6910,9.5815,9.6170,339900
1982-01-22,9.5815,9.6170,9.5431,9.5431,257700
1982-01-25,9.6170,9.6910,9.5046,9.5431,269200
1982-01-26,9.4336,9.5815,9.2856,9.3211,187200
1982-01-27,9.3566,9.3951,9.2856,9.3566,236800
1982-01-28,9.8035,10.1349,9.4336,10.1349,448600
1982-01-29,10.5048,10.6172,10.3568,10.5403,432100
1982-02-01,6.8444,6.9539,6.6935,6.7319,315000
1982-02-02,6.7319,6.7704,6.6580,6.7704,206500
1982-02-03,6.8444,6.9154,6.7704,6.9154,153400
1982-02-04,6.6935,6.8444,6.5100,6.6580,201600
1982-02-05,6.8799,6.9923,6.7319,6.9539,310200
1982-02-08,7.0663,7.3238,6.8059,6.9923,374400
1982-02-09,6.9923,7.1758,6.8059,6.8444,225600
1982-02-10,6.9923,7.1018,6.8444,7.0278,233400
1982-02-11,7.0278,7.1373,6.8799,6.9923,239400
1982-02-12,7.1373,7.2498,6.9923,7.1758,180000
1982-02-16,7.0663,7.1373,6.9923,7.0663,340600
1982-02-17,7.2143,7.2882,7.1018,7.2143,212700
1982-02-18,7.3593,7.4717,7.2498,7.3977,199300
1982-02-19,7.5102,7.6936,7.3238,7.5457,434800
1982-02-22,7.5102,7.7321,7.2498,7.2498,430200
1982-02-23,7.2143,7.3593,7.0663,7.2498,280000
1982-02-24,7.2498,7.3977,7.1018,7.3977,235000
1982-02-25,7.4717,7.6197,7.3238,7.3977,208900
1982-02-26,7.3238,7.5102,7.1018,7.2498,200200
1982-03-01,7.4362,7.5457,7.3238,7.3593,157800
1982-03-02,7.3593,7.3593,7.3238,7.3238,69400
1982-03-03,7.2498,7.3238,7.1373,7.1758,171600
1982-03-04,6.9923,7.1018,6.8444,7.0278,269400
1982-03-05,6.8444,6.9923,6.6580,6.8444,148500
1982-03-08,6.6580,6.9154,6.3620,6.4005,444100
1982-03-09,6.6224,6.9539,6.2881,6.8059,366700
1982-03-10,6.7704,6.8444,6.6580,6.6580,103000
1982-03-11,6.5485,6.6580,6.4005,6.4715,471600
1982-03-12,6.3620,6.5840,6.1401,6.1786,321000
1982-03-15,6.2141,6.2881,6.1046,6.2496,185100
1982-03-16,6.3620,6.4715,6.2496,6.3265,317700
1982-03-17,6.1786,6.3620,5.9567,6.0661,852600
1982-03-18,6.1786,6.2496,6.0661,6.2496,355600
1982-03-19,6.5100,6.5840,6.4005,6.4360,191100
1982-03-22,6.6224,6.7319,6.4715,6.7319,245400
1982-03-23,6.8444,6.9154,6.7319,6.8799,362100
1982-03-24,7.1758,7.3238,7.0278,7.1018,270000
1982-03-25,7.1018,7.1373,7.0278,7.1018,157200
1982-03-26,6.9923,7.1018,6.8799,6.9539,435000
1982-03-29,6.8444,6.8799,6.8059,6.8799,49000
1982-03-30,6.9539,7.0278,6.8444,6.9539,134100
1982-03-31,7.0278,7.0663,6.9539,6.9923,149800
1982-04-01,6.9539,7.0663,6.8059,6.9539,689800
1982-04-02,7.1758,7.3977,6.9539,7.3977,615700
1982-04-05,7.4362,7.5102,7.3238,7.3238,353800
1982-04-06,7.3593,7.4362,7.2498,7.3593,213400
1982-04-07,7.4362,7.5102,7.3593,7.4362,215400
1982-04-08,7.5102,7.5457,7.4362,7.5457,288000
1982-04-12,7.5457,7.6581,7.4362,7.4362,46900
1982-04-13,7.6197,7.6936,7.5102,7.5457,186000
1982-04-14,7.4717,7.5102,7.3977,7.3977,187300
1982-04-15,7.5102,7.6197,7.3977,7.5457,184900
1982-04-16,7.8031,7.9540,7.6197,7.8416,375400
1982-04-19,7.7676,7.9156,7.6197,7.6197,133800
1982-04-20,7.5812,7.6936,7.4717,7.5102,219700
1982-04-21,7.4717,7.5102,7.3977,7.3977,164400
1982-04-22,7.4717,7.5102,7.4362,7.4717,91800
1982-04-23,7.5812,7.6581,7.5102,7.5812,123300
1982-04-26,7.6936,7.8801,7.5102,7.8801,235500
1982-04-27,7.9156,7.9540,7.8416,7.8416,322800
1982-04-28,7.8416,7.8801,7.7676,7.8031,112600
1982-04-29,7.6581,7.6936,7.5812,7.6581,110400
1982-04-30,7.6581,7.7321,7.5812,7.6581,94200
1982-05-03,7.6936,7.7676,7.5812,7.7676,171000
1982-05-04,7.7676,7.8031,7.6936,7.7321,103900
1982-05-05,7.6936,7.7321,7.6197,7.6581,318900
1982-05-06,7.7321,7.8031,7.6581,7.6581,186000
1982-05-07,7.6581,7.6936,7.5812,7.6197,47800
1982-05-10,7.5102,7.5812,7.4362,7.5102,69900
1982-05-11,7.5102,7.5457,7.4717,7.5457,68700
1982-05-12,7.5102,7.5812,7.4362,7.4717,141700
1982-05-13,7.4717,7.5457,7.3977,7.5102,82900
1982-05-14,7.4717,7.5102,7.3977,7.3977,114000
1982-05-17,7.4717,7.5102,7.4362,7.5102,55300
1982-05-18,7.3977,7.5102,7.2498,7.3593,105900
1982-05-19,7.3593,7.3977,7.3238,7.3238,40200
1982-05-20,7.2882,7.3593,7.1758,7.2498,85000
1982-05-21,7.2882,7.3238,7.2143,7.3238,256900
1982-05-24,7.2498,7.3238,7.1373,7.1758,194500
1982-05-25,7.2143,7.2498,7.1758,7.2498,90300
1982-05-26,7.1758,7.2143,7.1018,7.1373,111900
1982-05-27,7.0278,7.1373,6.9154,7.0278,328900
1982-05-28,6.9539,7.0278,6.8799,6.9539,173100
1982-06-01,6.8059,6.9154,6.6935,6.7319,234600
1982-06-02,6.6224,6.7319,6.5100,6.6935,661800
1982-06-03,6.7319,6.7704,6.6580,6.7319,122400
1982-06-04,6.6580,6.7704,6.5485,6.5840,84300
1982-06-07,6.5100,6.6224,6.4005,6.5485,273900
1982-06-08,6.5100,6.5485,6.4715,6.5100,132400
1982-06-09,6.5100,6.5840,6.4360,6.5100,208900
1982-06-10,6.5485,6.5840,6.4715,6.5840,211200
1982-06-11,6.9923,7.1373,6.8059,7.1018,511300
1982-06-14,7.0663,7.1018,6.9923,7.0278,229200
1982-06-15,7.1018,7.1758,6.9923,7.1758,102900
1982-06-16,7.1018,7.1758,6.9923,6.9923,245800
1982-06-17,6.9539,6.9923,6.9154,6.9923,225600
1982-06-18,6.9539,6.9923,6.9154,6.9539,108000
1982-06-21,7.0663,7.1758,6.9539,7.0663,124600
1982-06-22,7.1758,7.2498,7.0663,7.1758,58900
1982-06-23,7.0663,7.1758,6.9539,7.1758,315600
1982-06-24,7.2882,7.3593,7.1758,7.2143,269400
1982-06-25,7.2143,7.3238,7.1018,7.2143,89200
1982-06-28,7.2498,7.3593,7.1373,7.2882,126900
1982-06-29,7.2143,7.2498,7.1758,7.2498,90900
1982-06-30,7.3238,7.4362,7.2143,7.3977,722400
1982-07-01,7.2882,7.3238,7.2498,7.2882,267300
1982-07-02,7.2498,7.2882,7.1758,7.2143,206700
1982-07-06,7.1758,7.2882,7.0663,7.1018,171300
1982-07-07,7.0278,7.1018,6.9539,7.0278,232800
1982-07-08,6.9539,7.0278,6.8799,6.9923,76500
1982-07-09,7.0278,7.0663,6.9923,7.0663,486600
1982-07-12,7.4362,7.8031,7.0663,7.6581,270900
1982-07-13,7.6581,7.8031,7.4362,7.7321,332100
1982-07-14,7.7321,7.8031,7.0663,7.6581,270900
1982-07-15,7.6581,7.6936,7.5812,7.6197,236100
1982-07-16,7.6581,7.7676,7.5102,7.6936,317800
1982-07-19,7.9156,7.9895,7.8416,7.9895,291100
1982-07-20,8.0251,8.1375,7.9156,8.1375,366000
1982-07-21,8.2115,8.2855,8.1020,8.1375,415300
1982-07-22,8.1760,8.2855,8.0251,8.2115,267900
1982-07-23,8.1375,8.2115,8.0635,8.1760,135600
1982-07-26,8.1375,8.2115,8.0635,8.0635,255700
1982-07-27,7.9895,8.1020,7.8416,7.9156,213300
1982-07-28,7.7676,7.9156,7.5812,7.6197,307000
1982-07-29,7.8416,7.9895,7.6936,7.9895,372600
1982-07-30,7.9540,8.0635,7.8416,7.8416,86700
1982-08-02,7.9540,7.9895,7.8801,7.9895,330000
1982-08-03,7.9156,8.1375,7.6936,7.7676,462300
1982-08-04,7.6936,7.7676,7.5812,7.6197,168000
1982-08-05,7.5102,7.6581,7.3238,7.4717,230700
1982-08-06,7.5102,7.5812,7.3977,7.3977,72600
1982-08-09,7.2143,7.2882,7.1018,7.2498,196200
1982-08-10,7.2882,7.4362,7.1373,7.3238,290400
1982-08-11,7.3238,7.3977,7.2498,7.3238,117600
1982-08-12,7.4717,7.5812,7.3238,7.5457,176500
1982-08-13,7.6197,7.7321,7.5102,7.6936,337800
1982-08-16,7.8416,7.9540,7.7321,7.7321,195400
1982-08-17,7.9156,8.0635,7.7321,8.0635,436500
1982-08-18,8.2470,8.3594,8.1375,8.1375,599400
1982-08-19,8.1375,8.2115,8.0251,8.1760,410700
1982-08-20,8.3594,8.4334,8.2470,8.4334,422700
1982-08-23,8.3594,8.4334,8.2470,8.4334,1043200
1982-08-24,8.6553,8.8033,8.5074,8.5814,745200
1982-08-25,8.8033,8.9513,8.6198,8.8773,629500
1982-08-26,9.2472,9.5431,8.9128,9.0637,593500
1982-08-27,9.0252,9.0992,8.9128,8.9897,171400
1982-08-30,8.9128,9.0637,8.7293,9.0637,115200
1982-08-31,9.3566,9.4691,9.2117,9.4336,438600
1982-09-01,9.3211,9.4336,9.1732,9.2472,231400
1982-09-02,9.2117,9.3211,9.0637,9.3211,399100
1982-09-03,9.6170,9.8005,9.3951,9.5431,1023900
1982-09-07,9.2117,9.4336,8.9897,9.1732,209400
1982-09-08,9.1732,9.2472,9.0637,9.0992,192900
1982-09-09,9.1347,9.1732,9.0637,9.0992,122700
1982-09-10,8.9897,9.0637,8.8773,8.9513,93600
1982-09-13,8.8418,8.9897,8.6553,8.8773,235800
1982-09-14,9.0992,9.2856,8.9128,8.9897,297000
1982-09-15,9.5431,9.6910,9.3566,9.5786,704800
1982-09-16,9.6555,9.7295,9.5431,9.5431,200200
1982-09-17,9.3951,9.5786,9.1732,9.1732,261000
1982-09-20,9.2117,9.3211,9.0992,9.1732,73300
1982-09-21,9.3951,9.7650,9.0252,9.6555,443400
1982-09-22,9.7650,9.9514,9.5431,9.5431,1336200
1982-09-23,9.5786,9.7650,9.3566,9.7650,500700
1982-09-24,9.7295,9.8390,9.6170,9.7295,283800
1982-09-27,9.6170,9.7650,9.4336,9.7650,524100
1982-09-28,9.7650,9.8774,9.6170,9.6555,379800
1982-09-29,9.5431,9.6910,9.3566,9.5076,177300
1982-09-30,9.4336,9.5076,9.3211,9.4691,272200
1982-10-01,9.6555,9.8774,9.3951,9.7650,320400
1982-10-04,9.7295,9.8005,9.6170,9.7295,216600
1982-10-05,9.9130,10.0224,9.8005,9.9514,227800
1982-10-06,10.2089,10.5048,9.8774,10.5048,565300
1982-10-07,10.8392,10.9871,10.6527,10.8007,1122400
1982-10-08,11.1706,11.3925,10.9486,11.2830,953500
1982-10-11,11.5760,11.7979,11.3185,11.4310,644700
1982-10-12,11.4310,11.4310,11.2090,11.3540,396600
1982-10-13,11.4310,11.5049,11.3185,11.3540,439300
1982-10-14,11.2830,11.4310,11.0966,11.3925,680700
1982-10-15,11.2830,11.4310,11.1321,11.2830,326100
1982-10-18,11.5760,11.7979,11.3185,11.7269,410500
1982-10-19,11.7269,11.9103,11.5405,11.8748,311800
1982-10-20,11.6529,11.8748,11.4310,11.6144,504000
1982-10-21,11.6884,11.7979,11.5760,11.7979,465700
1982-10-22,11.8748,11.9843,11.7624,11.8364,407100
1982-10-25,11.5049,11.6529,11.3540,11.4310,266400
1982-10-26,11.1321,11.3540,10.9102,11.3540,400500
1982-10-27,11.4665,11.6529,11.2830,11.3925,270000
1982-10-28,11.3540,11.4665,11.2445,11.3925,190200
1982-10-29,11.2830,11.3925,11.1706,11.2445,259500
1982-11-01,11.2445,11.3185,11.1321,11.2830,104400
1982-11-02,11.6529,11.9103,11.3540,11.8364,278700
1982-11-03,12.2802,12.7241,11.8364,12.6501,883300
1982-11-04,12.7241,12.7981,12.6501,12.6856,365400
1982-11-05,12.3927,12.7626,11.9843,12.1323,594000
1982-11-08,11.9103,12.1707,11.6529,11.9103,277800
1982-11-09,12.0583,12.1707,11.9103,12.0968,156100
1982-11-10,12.3187,12.5406,12.0583,12.1323,183000
1982-11-11,12.3187,12.5761,12.0583,12.5761,75100
1982-11-12,12.3542,12.8365,11.8364,11.8748,200200
1982-11-15,11.8748,12.0198,11.7269,11.9103,79800
1982-11-16,11.5049,11.8748,11.0966,11.5760,335700
1982-11-17,11.5405,11.6529,11.4310,11.6529,1611000
1982-11-18,11.5760,11.7269,11.3925,11.6144,728700
