date,open,high,low,close,volume
1962-01-02,12.0399,12.0399,11.9046,11.9046,387200
1962-01-03,11.9046,12.0087,11.9046,12.0087,288000
1962-01-04,12.0087,12.0087,11.8838,11.8890,256000
1962-01-05,11.8734,11.8734,11.6341,11.6549,363200
1962-01-08,11.6445,11.6445,11.3427,11.4364,544000
1962-01-09,11.4884,11.7173,11.4884,11.5716,491200
1962-01-10,11.5925,11.6445,11.5925,11.5925,299200
1962-01-11,11.6237,11.7173,11.6237,11.7173,315200
1962-01-12,11.7381,11.8214,11.7381,11.7381,435200
1962-01-15,11.7798,11.8162,11.7798,11.7902,251200
1962-01-16,11.7798,11.7798,11.6653,11.6653,251200
1962-01-17,11.6133,11.6133,11.4468,11.4780,419200
1962-01-18,11.5092,11.6237,11.5092,11.5092,371200
1962-01-19,11.5092,11.5404,11.3843,11.5196,400000
1962-01-22,11.5196,11.6341,11.4884,11.4988,275200
1962-01-23,11.4936,11.5092,11.3635,11.3843,371200
1962-01-24,11.3843,11.4468,11.3271,11.4468,408000
1962-01-25,11.4468,11.5404,11.3011,11.3219,315200
1962-01-26,11.3219,11.3635,11.2595,11.2647,243200
1962-01-29,11.2647,11.3427,11.0722,11.0722,579200
1962-01-30,11.0722,11.1346,10.9317,10.9317,736000
1962-01-31,11.0409,11.2803,11.0409,11.2803,760000
1962-02-01,11.3947,11.5716,11.3947,11.5404,640000
1962-02-02,11.5404,11.6133,11.4884,11.6133,507200
1962-02-05,11.6133,11.6133,11.4051,11.4676,312000
1962-02-06,11.4676,11.4884,11.4260,11.4780,256000
1962-02-07,11.4884,11.5508,11.4884,11.4884,251200
1962-02-08,11.4884,11.5508,11.4884,11.4988,16000
1962-02-09,11.4988,11.5821,11.4468,11.5821,432000
1962-02-12,11.5821,11.6757,11.5716,11.5925,280000
1962-02-13,11.5925,11.6029,11.4051,11.4051,256000
1962-02-14,11.4051,11.4468,11.3635,11.3843,208000
1962-02-15,11.3843,11.3843,11.3323,11.3427,227200
1962-02-16,11.3427,11.3843,11.3323,11.3323,219200
1962-02-19,11.3323,11.3843,11.1970,11.2178,280000
1962-02-20,11.2230,11.2803,11.2230,11.2230,288000
1962-02-21,11.2230,11.3011,11.1398,11.1398,363200
1962-02-23,11.1554,11.1970,11.1554,11.1762,288000
1962-02-26,11.1762,11.1866,11.1138,11.1346,299200
1962-02-27,11.1346,11.2282,11.0722,11.1554,347200
1962-02-28,11.1554,11.1762,11.0930,11.1762,267200
1962-03-01,11.2178,11.3115,11.2178,11.3115,280000
1962-03-02,11.4051,11.4676,11.4051,11.4051,243200
1962-03-05,11.4051,11.4051,11.3219,11.3635,360000
1962-03-06,11.3635,11.4156,11.3427,11.3739,184000
1962-03-07,11.3739,11.4104,11.3427,11.4104,123200
1962-03-08,11.4104,11.4364,11.3427,11.4364,184000
1962-03-09,11.4468,11.5092,11.4468,11.5092,288000
1962-03-12,11.5092,11.5404,11.4676,11.4988,280000
1962-03-13,11.4988,11.4988,11.4468,11.4884,123200
1962-03-14,11.4884,11.5196,11.4468,11.4676,195200
1962-03-15,11.4676,11.5300,11.4468,11.4468,243200
1962-03-16,11.4468,11.4988,11.4468,11.4988,160000
1962-03-19,11.5196,11.5716,11.5196,11.5300,371200
1962-03-20,11.5092,11.5092,11.4572,11.4572,160000
1962-03-21,11.4572,11.4884,11.4260,11.4676,256000
1962-03-22,11.4260,11.4260,11.3427,11.3427,240000
1962-03-23,11.3531,11.4051,11.3531,11.3843,184000
1962-03-26,11.3843,11.4260,11.3635,11.3791,131200
1962-03-27,11.3531,11.3531,11.1554,11.1658,347200
1962-03-28,11.1762,11.2595,11.1762,11.2282,328000
1962-03-29,11.2282,11.2803,11.1970,11.1970,227200
1962-03-30,11.1762,11.1762,11.0357,11.0878,435200
1962-04-02,11.0826,11.0826,10.9369,10.9369,371200
1962-04-03,10.9265,10.9265,10.5518,10.6663,912000
1962-04-04,10.6663,10.7600,10.6195,10.6195,648000
1962-04-05,10.6767,10.8432,10.6767,10.8432,912000
1962-04-06,10.8432,10.9265,10.7600,10.8328,432000
1962-04-09,10.8328,10.8952,10.7600,10.8432,16000
1962-04-10,10.8432,10.8848,10.7808,10.8848,256000
1962-04-11,10.8848,10.9681,10.7392,10.7392,528000
1962-04-12,10.7392,10.7600,10.6247,10.6247,400000
1962-04-13,10.6247,10.7808,10.6143,10.7808,627200
1962-04-16,10.7808,10.8536,10.6559,10.7704,507200
1962-04-17,10.7704,10.8224,10.7183,10.8224,299200
1962-04-18,10.8224,10.9161,10.7912,10.8016,424000
1962-04-19,10.8016,10.8432,10.7600,10.8016,387200
1962-04-23,10.8016,10.8120,10.7496,10.7912,312000
1962-04-24,10.7912,10.8588,10.7704,10.7808,456000
1962-04-25,10.7808,10.8224,10.6663,10.6663,459200
1962-04-26,10.6559,10.6559,10.3958,10.3958,928000
1962-04-27,10.3958,10.5102,9.9899,10.1044,1632000
1962-04-30,10.1044,10.1980,9.3655,9.4488,2344000
1962-05-01,9.4488,9.6673,8.9493,9.6153,5315200
1962-05-02,9.7818,10.0732,9.7818,9.8338,2555200
1962-05-03,9.8338,10.0732,9.7610,10.0367,1360000
1962-05-04,10.0367,10.1148,9.9379,10.1148,779200
1962-05-07,10.1148,10.1928,9.8911,9.8911,827200
1962-05-08,9.8779,9.8779,9.5633,9.5633,1032000
1962-05-09,9.5633,9.6517,9.3655,9.3864,1600000
1962-05-10,9.3864,9.5685,9.3447,9.4280,1907200
1962-05-11,9.4280,9.5737,9.2407,9.2823,1896000
1962-05-14,9.2823,9.4592,9.1210,9.4592,2728000
1962-05-15,9.4592,9.6361,9.4072,9.4072,1683200
1962-05-16,9.4072,9.5633,9.4072,9.5112,880000
1962-05-17,9.5112,9.5112,9.3031,9.3447,971200
1962-05-18,9.3447,9.3968,9.2719,9.3968,731200
1962-05-21,9.3968,9.3968,9.2823,9.3655,395200
1962-05-22,9.3551,9.3551,9.0534,9.0534,1000000
1962-05-23,9.0534,9.1158,8.6423,8.6423,2891200
1962-05-24,8.6423,8.8660,8.2833,8.2833,4152000
1962-05-25,8.2833,8.4706,8.0752,8.2937,4299200
1962-05-28,8.2625,8.2625,7.3884,7.5132,4320000
1962-05-29,7.6069,8.0544,7.6069,7.9711,3856000
1962-05-31,8.1168,8.3249,8.1168,8.1688,4128000
1962-06-01,8.1376,8.1376,7.9659,8.0127,2411200
1962-06-04,7.9087,7.9087,7.4924,7.4924,1811200
1962-06-05,7.4924,7.7838,7.3467,7.5784,3160000
1962-06-06,7.5784,7.8254,7.5341,7.6069,2880000
1962-06-07,7.6589,7.7838,7.6589,7.7006,1227200
1962-06-08,7.7058,7.8254,7.7058,7.7266,1168000
1962-06-11,7.7266,7.7422,7.4612,7.4716,1187200
1962-06-12,7.3884,7.3884,6.9746,6.9746,3328000
1962-06-13,6.9746,7.1386,6.7068,6.7147,4384000
1962-06-14,6.7147,6.9045,6.2437,6.3686,6675200
1962-06-15,6.3686,6.9617,6.2541,6.9409,6328000
1962-06-18,6.9409,7.0710,6.6079,6.8629,4768000
1962-06-19,6.8629,6.9929,6.7848,6.9929,2104000
1962-06-20,6.9929,7.1334,6.8264,6.8264,3059200
1962-06-21,6.7432,6.7432,6.5611,6.5715,3707200
1962-06-22,6.5715,6.6912,6.4622,6.6599,3371200
1962-06-25,6.6599,6.9929,6.5663,6.9201,3792000
1962-06-26,6.9201,7.0554,6.6599,6.6599,3227200
1962-06-27,6.6703,6.9305,6.6703,6.9305,2955200
1962-06-28,6.9773,7.2531,6.9773,7.1594,4083200
1962-06-29,7.1594,7.2323,7.0398,7.0606,2824000
1962-07-02,7.0606,7.2843,7.0450,7.2843,1392000
1962-07-03,7.2843,7.3624,7.2427,7.3155,2584000
1962-07-05,7.3155,7.3467,7.2583,7.2843,2016000
1962-07-06,7.2011,7.2011,7.1178,7.1802,1624000
1962-07-09,7.1802,7.2947,7.0970,7.2895,1888000
1962-07-10,7.4144,7.5289,7.4144,7.4664,3048000
1962-07-11,7.4664,7.7942,7.4352,7.7917,3312000
1962-07-12,7.8098,8.1116,7.8098,7.8879,3299200
1962-07-13,7.8879,7.9399,7.7526,7.8306,2104000
1962-07-16,7.8306,7.9607,7.7526,7.9607,1656000
1962-07-17,7.9607,8.0023,7.7006,7.7031,1707200
1962-07-18,7.7031,7.7422,7.5341,7.6017,2435200
1962-07-19,7.6433,7.8254,7.6433,7.6485,2195200
1962-07-20,7.6693,7.7838,7.6693,7.7422,675200
1962-07-23,7.7422,7.8462,7.7318,7.7630,840000
1962-07-24,7.7214,7.7214,7.5601,7.5601,888000
1962-07-25,7.5601,7.6693,7.4664,7.6485,1875200
1962-07-26,7.6849,7.7630,7.6849,7.6901,947200
1962-07-27,7.6901,7.8229,7.6849,7.8229,947200
1962-07-30,7.8723,8.0621,7.8723,8.0621,2848000
1962-07-31,8.0621,8.1896,8.0544,8.0544,2771200
1962-08-01,8.0336,8.0336,7.8306,7.8306,1216000
1962-08-02,7.8358,8.0283,7.8358,8.0283,1488000
1962-08-03,8.0283,8.0648,7.9503,8.0127,947200
1962-08-06,8.0127,8.0440,7.8983,7.9087,6603200
1962-08-07,7.9010,7.9010,7.7682,7.7682,915200
1962-08-08,7.7682,7.9711,7.7110,7.9451,1576000
1962-08-09,7.9399,7.9399,7.8073,7.8358,1288000
1962-08-10,7.8358,7.9035,7.8073,7.8202,976000
1962-08-13,7.8254,7.9035,7.8254,7.8827,1019200
1962-08-14,7.8827,8.0336,7.8698,8.0336,1896000
1962-08-15,8.0440,8.2053,8.0440,8.0440,2344000
1962-08-16,8.0440,8.1740,8.0283,8.0388,1272000
1962-08-17,8.0388,8.1480,8.0336,8.1064,888000
1962-08-20,8.1480,8.2677,8.1480,8.1948,1803200
1962-08-21,8.1948,8.2833,8.1584,8.1740,1296000
1962-08-22,8.1896,8.5643,8.1896,8.5122,3304000
1962-08-23,8.5122,8.6319,8.4758,8.5435,2920000
1962-08-24,8.5435,8.5539,8.4810,8.5122,1248000
1962-08-27,8.5122,8.5695,8.4810,8.4914,912000
1962-08-28,8.4862,8.4862,8.1896,8.1896,2747200
1962-08-29,8.1896,8.2417,8.0804,8.1376,2520000
1962-08-30,8.1376,8.2105,8.0544,8.0700,947200
1962-08-31,8.0856,8.2781,8.0856,8.2469,1227200
1962-09-04,8.2469,8.3561,8.0336,8.0648,1624000
1962-09-05,8.0648,8.1584,7.9399,7.9711,2248000
1962-09-06,7.9711,8.0933,7.9295,8.0752,1811200
1962-09-07,8.0752,8.1351,7.9555,7.9555,1320000
1962-09-10,7.9555,8.0492,7.8566,7.9971,1803200
1962-09-11,7.9971,8.0700,7.9295,7.9503,1539200
1962-09-12,7.9607,8.0440,7.9607,7.9840,1299200
1962-09-13,7.9840,8.0440,7.9790,7.9815,843200
