date,open,high,low,close,volume
1991-06-24,0.9375,0.9688,0.9375,0.9450,11384000
1991-06-25,0.9450,0.9450,0.9063,0.9063,1881600
1991-06-26,0.9219,0.9219,0.9063,0.9063,2684800
1991-06-27,0.9138,0.9138,0.9063,0.9063,84800
1991-06-28,0.9063,0.9138,0.9063,0.9063,1560000
1991-07-01,0.9138,0.9375,0.9063,0.9300,233600
1991-07-02,0.9300,0.9300,0.8825,0.9063,1380800
1991-07-03,0.8825,0.8988,0.8750,0.8750,572800
1991-07-05,0.8750,0.8750,0.8750,0.8750,78400
1991-07-08,0.8675,0.8825,0.8594,0.8594,326400
1991-07-09,0.8825,0.8825,0.8594,0.8750,627200
1991-07-10,0.8594,0.8825,0.8594,0.8825,105600
1991-07-11,0.8594,0.8750,0.8594,0.8750,88000
1991-07-12,0.8594,0.8825,0.8594,0.8594,112000
1991-07-15,0.8825,0.8825,0.8594,0.8594,56000
1991-07-16,0.8594,0.8825,0.8594,0.8825,203200
1991-07-17,0.8675,0.8825,0.8594,0.8594,216000
1991-07-18,0.8594,0.8825,0.8594,0.8675,284800
1991-07-19,0.8825,0.9219,0.8675,0.8906,532800
1991-07-22,0.8906,0.9063,0.8750,0.8750,275200
1991-07-23,0.8750,0.8906,0.8750,0.8750,139200
1991-07-24,0.8750,0.8988,0.8750,0.8988,46400
1991-07-25,0.8750,0.8988,0.8675,0.8825,419200
1991-07-26,0.8988,0.9450,0.8988,0.9375,524800
1991-07-29,0.9375,0.9450,0.9219,0.9450,112000
1991-07-30,0.9219,0.9450,0.9063,0.9300,92800
1991-07-31,0.9063,0.9300,0.9063,0.9063,457600
1991-08-01,0.9300,0.9375,0.9063,0.9375,728000
1991-08-02,0.9219,0.9375,0.9219,0.9219,198400
1991-08-05,0.9375,0.9375,0.9219,0.9219,160000
1991-08-06,0.9138,0.9300,0.9138,0.9219,46400
1991-08-07,0.9300,0.9300,0.9219,0.9300,240000
1991-08-08,0.9300,0.9375,0.9219,0.9375,217600
