date,open,high,low,close,volume
1981-12-31,2.7488,2.7836,2.7140,2.7140,32100
1982-01-04,2.7488,2.7669,2.7140,2.7669,71400
1982-01-05,2.6959,2.7669,2.6277,2.6277,23700
1982-01-06,2.6096,2.6444,2.5748,2.5915,25200
1982-01-07,2.6096,2.6277,2.5915,2.6277,39300
1982-01-08,2.6444,2.6792,2.6096,2.6792,73200
1982-01-11,2.6792,2.6959,2.6611,2.6611,33600
1982-01-12,2.6611,2.6959,2.6277,2.6444,441000
1982-01-13,2.6611,2.6792,2.6277,2.6611,464400
1982-01-14,2.6096,2.6277,2.5915,2.5915,29700
1982-01-15,2.6277,2.6444,2.5915,2.6444,57600
1982-01-18,2.6444,2.6611,2.6277,2.6444,33300
1982-01-19,2.6611,2.6792,2.6277,2.6444,59700
1982-01-20,2.6611,2.6792,2.6444,2.6792,13200
1982-01-21,2.6611,2.6959,2.6277,2.6277,63000
1982-01-22,2.6444,2.6444,2.6277,2.6277,6300
1982-01-25,2.6277,2.6444,2.6096,2.6277,38100
1982-01-26,2.6444,2.6611,2.6277,2.6277,12600
1982-01-27,2.6611,2.6959,2.6096,2.6611,460200
1982-01-28,2.6959,2.7321,2.6444,2.7321,150000
1982-01-29,2.7321,2.7321,2.7140,2.7140,53100
1982-02-01,2.6959,2.6959,2.6792,2.6792,49800
1982-02-02,2.7140,2.7321,2.6792,2.6792,228000
1982-02-03,2.6792,2.6959,2.6444,2.6792,40500
1982-02-04,2.6792,2.6959,2.6444,2.6444,13500
1982-02-05,2.6611,2.6792,2.6444,2.6444,69600
1982-02-08,2.6277,2.6444,2.6096,2.6096,165000
1982-02-09,2.6096,2.6277,2.5748,2.6096,69000
1982-02-10,2.6096,2.6096,2.5915,2.5915,39900
1982-02-11,2.5915,2.6096,2.5748,2.5748,50400
1982-02-12,2.5748,2.5915,2.5400,2.5400,163800
1982-02-16,2.5233,2.5233,2.5233,2.5233,116700
1982-02-17,2.5052,2.5400,2.4704,2.4871,409200
1982-02-18,2.4871,2.5052,2.4704,2.4871,18900
1982-02-19,2.4704,2.4704,2.4523,2.4523,55800
1982-02-22,2.4704,2.4871,2.4356,2.4356,98100
1982-02-23,2.4523,2.4704,2.4356,2.4704,48600
1982-02-24,2.4871,2.5233,2.4523,2.5233,747000
1982-02-25,2.5581,2.5915,2.5233,2.5400,1059600
1982-02-26,2.5400,2.5748,2.5052,2.5400,70200
1982-03-01,2.6096,2.6444,2.5581,2.6277,232800
1982-03-02,2.6277,2.6277,2.6277,2.6277,193800
