date,open,high,low,close,volume
2014-06-19,26.0160,27.2596,25.9265,26.5632,32014000
2014-06-20,26.5632,27.3094,26.5632,26.8119,3840000
2014-06-23,27.1104,27.1104,26.3841,26.6030,1526300
2014-06-24,26.4339,26.9413,26.3145,26.6229,1102900
2014-06-25,26.4339,26.9512,26.3742,26.7622,921100
2014-06-26,26.6528,27.1004,26.6329,26.8418,1161300
2014-06-27,26.8418,27.0905,26.5632,26.8418,1097700
2014-06-30,27.0408,27.0408,26.5334,26.8418,694500
2014-07-01,27.0607,27.0607,26.5732,26.6030,999600
2014-07-02,26.4836,26.9512,26.4836,26.6329,1401700
2014-07-03,26.5234,26.9612,26.5234,26.8119,467900
2014-07-07,26.8219,26.8617,26.5234,26.8020,264600
2014-07-08,26.8020,26.8119,26.4896,26.7224,445300
2014-07-09,26.6826,26.8220,26.5931,26.7423,224400
2014-07-10,26.3642,26.7323,26.0061,26.5234,470200
2014-07-11,26.5234,26.8020,26.4140,26.5433,484500
2014-07-14,26.3642,26.5632,25.3694,25.9464,2140600
2014-07-15,25.8370,25.9862,25.6181,25.8668,530900
2014-07-16,25.9364,26.7622,25.8668,25.9165,276400
2014-07-17,25.8668,26.0757,25.8171,25.9066,276900
2014-07-18,25.6678,25.9464,25.6678,25.9165,402900
2014-07-21,25.6579,25.9165,25.3097,25.6678,1044900
2014-07-22,25.8867,25.8867,25.1604,25.4688,1213800
2014-07-23,25.4688,25.8071,25.0052,25.6380,1004100
2014-07-24,25.3793,25.6977,25.1624,25.5484,579700
2014-07-25,25.3594,25.9663,25.0808,25.9165,706800
2014-07-28,25.7872,26.1155,25.3992,25.9961,306100
2014-07-29,26.1155,26.1653,25.8171,25.8270,237300
2014-07-30,26.0658,26.0658,25.3793,25.8568,220700
2014-07-31,25.5285,25.8469,25.0510,25.1803,367600
2014-08-01,24.9316,25.3097,24.7028,24.8719,400700
2014-08-04,24.9217,25.4092,24.8023,25.3296,192200
2014-08-05,25.2500,25.4291,24.8321,24.9714,208500
2014-08-06,24.8719,25.3564,24.6033,25.0808,128700
2014-08-07,25.2798,25.4092,24.9316,25.2699,109500
2014-08-08,23.9367,25.5186,23.9367,25.3793,187300
2014-08-11,23.9367,25.7375,23.9367,25.6977,152300
2014-08-12,25.8171,26.2349,25.5484,26.0359,550300
2014-08-13,26.0857,26.2150,25.1505,25.2898,975300
2014-08-14,25.4788,25.7773,25.2798,25.4390,312600
2014-08-15,25.2997,25.4291,25.1206,25.3196,540400
2014-08-18,25.2500,25.6827,24.9317,25.2997,639600
2014-08-19,25.2997,25.7673,24.9814,25.6280,543900
2014-08-20,25.3694,26.4438,25.3694,25.8171,866100
2014-08-21,25.5982,25.9563,25.2002,25.3992,279000
2014-08-22,25.3097,25.7603,25.1604,25.2599,452500
2014-08-25,25.2102,25.4291,24.9714,25.0808,502100
2014-08-26,24.9316,25.6380,24.7227,25.2002,883600
2014-08-27,25.1405,25.5683,24.9316,25.0908,468900
2014-08-28,23.9467,25.2201,23.9467,24.8819,358200
2014-08-29,24.8819,25.1206,24.3844,24.8819,501700
2014-09-02,24.9117,25.3793,24.8620,24.8819,214700
2014-09-03,24.9515,25.3196,24.7028,25.2599,199900
2014-09-04,25.2699,25.2699,24.6729,24.7625,288600
2014-09-05,24.7028,24.9814,24.6332,24.7525,656800
2014-09-08,24.6431,24.7754,24.4446,24.5536,243000
2014-09-09,24.5735,24.5735,23.8671,24.2750,603100
2014-09-10,24.3944,24.5735,24.0064,24.3645,929100
2014-09-11,24.3944,24.6829,24.2154,24.6729,202500
2014-09-12,24.7326,24.7326,24.2253,24.3446,304600
2014-09-15,24.2949,24.4839,24.1258,24.3546,128600
2014-09-16,24.2253,24.5436,24.1755,24.2750,89800
2014-09-17,24.2551,24.4590,24.0064,24.0959,114600
2014-09-18,24.1258,24.3645,23.9168,24.1258,355200
2014-09-19,24.2849,24.2849,23.9368,24.0561,252700
2014-09-22,23.7676,24.0611,23.7179,23.9069,254100
