date,open,high,low,close,volume
1970-01-02,1.5164,1.5674,1.5113,1.5623,71800
1970-01-05,1.5878,1.6338,1.5878,1.6185,118400
1970-01-06,1.6185,1.6236,1.5929,1.6032,84400
1970-01-07,1.5981,1.5981,1.5572,1.5674,93700
1970-01-08,1.5725,1.5878,1.5725,1.5827,74200
1970-01-09,1.5776,1.5776,1.5521,1.5674,93300
1970-01-12,1.5674,1.5725,1.5368,1.5470,39300
1970-01-13,1.5470,1.5521,1.5317,1.5368,108300
1970-01-14,1.5368,1.5368,1.5164,1.5317,38500
1970-01-15,1.5317,1.5317,1.5010,1.5164,47900
1970-01-16,1.5062,1.5062,1.4091,1.4551,95700
1970-01-19,1.4551,1.4781,1.4551,1.4653,63700
1970-01-20,1.4653,1.4755,1.4551,1.4704,75800
1970-01-21,1.4704,1.4755,1.4398,1.4551,71800
1970-01-22,1.4551,1.4704,1.4449,1.4500,51100
1970-01-23,1.4500,1.4602,1.4194,1.4194,81100
1970-01-26,1.4194,1.4194,1.3887,1.4091,58000
1970-01-27,1.4091,1.4091,1.3836,1.3938,63300
1970-01-28,1.3887,1.3887,1.3581,1.3734,72200
1970-01-29,1.3581,1.3581,1.3172,1.3377,107900
1970-01-30,1.3377,1.3785,1.3326,1.3428,63700
1970-02-02,1.3530,1.3989,1.3530,1.3530,135100
1970-02-03,1.3530,1.3989,1.3479,1.3836,150500
1970-02-04,1.3836,1.4040,1.3836,1.3989,111900
1970-02-05,1.3989,1.4296,1.3989,1.4245,41400
1970-02-06,1.4347,1.4806,1.4347,1.4704,86000
1970-02-09,1.4806,1.5062,1.4806,1.4959,41400
1970-02-10,1.4959,1.5010,1.4755,1.4908,87200
1970-02-11,1.4908,1.5164,1.4551,1.5113,137500
1970-02-12,1.5113,1.5419,1.4959,1.5317,60800
1970-02-13,1.5317,1.5317,1.5164,1.5266,62500
1970-02-16,1.5423,1.5423,1.4649,1.4804,49100
1970-02-17,1.4804,1.4856,1.4443,1.4443,163500
1970-02-18,1.4495,1.4753,1.4495,1.4753,98200
1970-02-19,1.4753,1.5011,1.4443,1.4495,90900
1970-02-20,1.4495,1.4495,1.4237,1.4495,62100
1970-02-24,1.4495,1.4649,1.4340,1.4340,61200
1970-02-25,1.4340,1.4753,1.4237,1.4701,70600
1970-02-26,1.4701,1.4701,1.4495,1.4649,43400
1970-02-27,1.4649,1.5062,1.4546,1.5011,67700
1970-03-02,1.5062,1.5372,1.5062,1.5165,82700
1970-03-03,1.5165,1.5217,1.4907,1.5062,56000
1970-03-04,1.5062,1.5165,1.4959,1.5062,69000
1970-03-05,1.5114,1.5372,1.5114,1.5114,67300
1970-03-06,1.5114,1.5114,1.4804,1.4959,104200
1970-03-09,1.4959,1.4959,1.4598,1.4753,50700
1970-03-10,1.4753,1.4856,1.4649,1.4701,61200
1970-03-11,1.4701,1.4804,1.4598,1.4649,66100
1970-03-12,1.4649,1.4753,1.4546,1.4701,47000
1970-03-13,1.4701,1.4701,1.4495,1.4495,101800
1970-03-16,1.4495,1.4598,1.4185,1.4288,49500
1970-03-17,1.4288,1.4443,1.4134,1.4288,140700
1970-03-18,1.4288,1.4392,1.4237,1.4288,311900
1970-03-19,1.4288,1.4443,1.4237,1.4237,50700
1970-03-20,1.4237,1.4340,1.4030,1.4030,70200
1970-03-23,1.4030,1.4340,1.3979,1.4082,60000
1970-03-24,1.4082,1.4443,1.4030,1.4288,27600
1970-03-25,1.4288,1.4907,1.4237,1.4495,362600
1970-03-26,1.4546,1.4649,1.4546,1.4649,102200
1970-03-30,1.4649,1.4649,1.4495,1.4495,69800
1970-03-31,1.4546,1.4701,1.4546,1.4598,49500
1970-04-01,1.4804,1.5062,1.4804,1.4907,176000
1970-04-02,1.5011,1.5268,1.5011,1.5062,135500
1970-04-03,1.5165,1.5268,1.5165,1.5217,44600
1970-04-06,1.5217,1.5372,1.5165,1.5268,26800
1970-04-07,1.5268,1.5423,1.5217,1.5423,24300
1970-04-08,1.5423,1.5475,1.5268,1.5423,75000
1970-04-09,1.5475,1.5681,1.5475,1.5526,73400
1970-04-10,1.5526,1.5630,1.5475,1.5526,56800
1970-04-13,1.5526,1.5578,1.5475,1.5475,28800
1970-04-14,1.5475,1.5578,1.5372,1.5578,45800
1970-04-15,1.5578,1.5630,1.5475,1.5578,60400
1970-04-16,1.5578,1.5630,1.5165,1.5165,240900
1970-04-17,1.5114,1.5114,1.4907,1.4959,48300
1970-04-20,1.4959,1.4959,1.4598,1.4856,43800
1970-04-21,1.4856,1.4959,1.4598,1.4649,45800
1970-04-22,1.4649,1.4804,1.4237,1.4546,226300
1970-04-23,1.4495,1.4495,1.4185,1.4340,52300
1970-04-24,1.4340,1.4392,1.3927,1.3927,153300
1970-04-27,1.3927,1.3927,1.3721,1.3876,61700
1970-04-28,1.3876,1.3876,1.3618,1.3669,101400
1970-04-29,1.3669,1.3927,1.3618,1.3927,77100
1970-04-30,1.3927,1.4288,1.3824,1.4030,53900
1970-05-01,1.4030,1.4340,1.4030,1.4237,48700
1970-05-04,1.4134,1.4134,1.3669,1.3773,57200
1970-05-05,1.3773,1.3979,1.3669,1.3669,107500
1970-05-06,1.3669,1.4030,1.3669,1.3773,59600
1970-05-07,1.3773,1.3876,1.3669,1.3824,60400
1970-05-08,1.3773,1.3773,1.3618,1.3721,48700
1970-05-11,1.3721,1.3773,1.3618,1.3669,39300
1970-05-12,1.3618,1.3618,1.3360,1.3411,90400
1970-05-13,1.3411,1.3411,1.2999,1.2999,114800
1970-05-14,1.2483,1.2483,1.1967,1.2174,231200
1970-05-15,1.2174,1.2689,1.2070,1.2586,88000
1970-05-18,1.2586,1.2741,1.2380,1.2741,46200
1970-05-19,1.2895,1.2895,1.2739,1.2739,45800
1970-05-20,1.2739,1.2791,1.2321,1.2321,89200
1970-05-21,1.2321,1.2321,1.2060,1.2269,77100
1970-05-22,1.2269,1.2530,1.2165,1.2321,70600
1970-05-25,1.2321,1.2426,1.2008,1.2008,55200
1970-05-26,1.2008,1.2426,1.1851,1.1851,132200
1970-05-27,1.1851,1.2948,1.1851,1.2895,79900
1970-05-28,1.2895,1.3104,1.2843,1.3104,137500
1970-05-29,1.3104,1.3365,1.2948,1.3261,62100
1970-06-01,1.3261,1.3522,1.3157,1.3313,66900
1970-06-02,1.3365,1.3679,1.3365,1.3679,43400
1970-06-03,1.3679,1.3835,1.3470,1.3783,53900
1970-06-04,1.3783,1.3992,1.3574,1.3574,105100
1970-06-05,1.3470,1.3470,1.2948,1.2948,51500
1970-06-08,1.3052,1.3679,1.3052,1.3522,53500
1970-06-09,1.3522,1.3887,1.3522,1.3679,99400
1970-06-10,1.3679,1.3783,1.3574,1.3626,30800
1970-06-11,1.3626,1.3731,1.3470,1.3470,70200
1970-06-12,1.3470,1.3574,1.3365,1.3522,56800
1970-06-15,1.3522,1.3574,1.3365,1.3470,62100
1970-06-16,1.3470,1.3940,1.3418,1.3940,76300
1970-06-17,1.3940,1.4044,1.3783,1.3783,63700
1970-06-18,1.3783,1.3783,1.3209,1.3522,56400
1970-06-19,1.3522,1.3626,1.3365,1.3522,51100
1970-06-22,1.3365,1.3365,1.3052,1.3052,39700
1970-06-23,1.3052,1.3157,1.2791,1.2791,47500
1970-06-24,1.2791,1.3000,1.2530,1.2530,52300
1970-06-25,1.2530,1.2739,1.2373,1.2530,74600
1970-06-26,1.2530,1.2634,1.2426,1.2478,57200
1970-06-29,1.2478,1.2634,1.2321,1.2321,47500
1970-06-30,1.2426,1.2843,1.2426,1.2739,81100
1970-07-01,1.2739,1.2948,1.2687,1.2948,32900
1970-07-02,1.2948,1.3365,1.2948,1.3261,43400
1970-07-06,1.3261,1.3365,1.3052,1.3052,50300
1970-07-07,1.3052,1.3104,1.2791,1.2948,81100
1970-07-08,1.2948,1.3157,1.2948,1.3052,34900
1970-07-09,1.3052,1.3470,1.3052,1.3470,157000
1970-07-10,1.3470,1.3783,1.3365,1.3679,102200
1970-07-13,1.3679,1.3783,1.3626,1.3731,36100
1970-07-14,1.3783,1.3940,1.3783,1.3940,80700
1970-07-15,1.3992,1.4201,1.3992,1.4096,68100
1970-07-16,1.4410,1.4827,1.4410,1.4827,101400
1970-07-17,1.4932,1.5245,1.4932,1.4984,111100
1970-07-20,1.4984,1.5036,1.4827,1.4932,49900
1970-07-21,1.4775,1.4775,1.4148,1.4253,100200
1970-07-22,1.4253,1.4410,1.4096,1.4410,69400
1970-07-23,1.4410,1.4514,1.4253,1.4357,109500
1970-07-24,1.4357,1.4566,1.4357,1.4566,71000
1970-07-27,1.4566,1.4618,1.4566,1.4566,38100
1970-07-28,1.4566,1.4671,1.4410,1.4514,43400
1970-07-29,1.4514,1.4566,1.4253,1.4462,20700
1970-07-30,1.4514,1.4618,1.4514,1.4566,63700
1970-07-31,1.4566,1.4723,1.4305,1.4410,122900
1970-08-03,1.4410,1.4566,1.4253,1.4357,27200
1970-08-04,1.4357,1.4357,1.4253,1.4305,33300
1970-08-05,1.4305,1.4410,1.4201,1.4357,75000
