date,open,high,low,close,volume
1987-11-05,1.6186,1.7600,1.6186,1.7600,729603
1987-11-06,1.7915,1.7996,1.7600,1.7600,407403
1987-11-09,1.7519,1.7600,1.7211,1.7519,587403
1987-11-10,1.7362,1.7362,1.6972,1.6972,396603
1987-11-11,1.6972,1.8543,1.6972,1.7996,554400
1987-11-12,1.8625,1.8858,1.8147,1.8229,841203
1987-11-13,1.8304,1.8386,1.8304,1.8386,121203
1987-11-16,1.9015,1.9329,1.8543,1.9015,265203
1987-11-17,1.8543,1.8700,1.8147,1.8700,603000
1987-11-18,1.8700,1.8858,1.8147,1.8468,470403
1987-11-19,1.7915,1.8386,1.7915,1.8147,646200
1987-11-20,1.8103,1.8103,1.8021,1.8103,442800
1987-11-23,1.8021,1.8179,1.8021,1.8103,401400
1987-11-24,1.8255,1.8812,1.8255,1.8495,203400
1987-11-25,1.8337,1.9210,1.8255,1.8970,301203
1987-11-27,1.8970,1.9128,1.8970,1.8970,54000
1987-11-30,1.8812,1.8887,1.8179,1.8255,535203
1987-12-01,1.8179,1.8337,1.8103,1.8337,832203
1987-12-02,1.8495,1.8653,1.8103,1.8337,212400
1987-12-03,1.8179,1.8255,1.7945,1.7945,695403
1987-12-04,1.7705,1.8255,1.7547,1.8255,2098800
1987-12-07,1.7945,1.8255,1.7945,1.8103,307800
1987-12-08,1.8337,1.8887,1.8179,1.8736,259200
1987-12-09,1.8578,1.8970,1.8495,1.8812,153000
1987-12-10,1.8653,1.9045,1.8179,1.8495,169803
1987-12-11,1.8495,1.8495,1.8179,1.8337,131400
1987-12-14,1.8413,1.8495,1.8255,1.8337,347400
1987-12-15,1.8495,1.8653,1.8021,1.8021,435600
1987-12-16,1.8495,1.8495,1.8179,1.8179,295200
1987-12-17,1.8021,1.8495,1.8021,1.8255,249003
1987-12-18,1.7945,1.8495,1.7945,1.8495,428400
1987-12-21,1.8413,1.9444,1.8413,1.9444,631800
1987-12-22,1.9444,1.9678,1.9286,1.9602,290403
1987-12-23,1.9444,2.0392,1.9444,2.0158,195003
1987-12-24,2.0158,2.0234,2.0076,2.0234,180603
1987-12-28,2.0158,2.0158,1.9444,1.9678,367200
1987-12-29,1.9526,1.9526,1.8653,1.9210,468603
1987-12-30,1.9045,1.9918,1.9045,1.9918,621603
1987-12-31,1.9602,2.0234,1.9444,2.0076,165600
1988-01-04,2.0000,2.0550,2.0000,2.0158,373203
1988-01-05,2.0234,2.0310,2.0000,2.0000,191403
1988-01-06,1.9836,1.9918,1.9678,1.9918,299403
1988-01-07,1.9760,2.0076,1.9286,2.0076,133200
1988-01-08,1.9760,1.9918,1.9444,1.9602,153603
1988-01-11,1.9128,1.9286,1.8812,1.9128,307800
1988-01-12,1.9128,1.9286,1.8812,1.8812,270603
1988-01-13,1.8736,1.9128,1.8736,1.9128,268803
1988-01-14,1.9444,1.9444,1.8495,1.8495,423603
1988-01-15,1.8653,1.9128,1.8653,1.9128,70803
1988-01-18,1.9045,1.9210,1.9045,1.9128,144000
1988-01-19,1.9128,1.9210,1.9128,1.9128,133803
1988-01-20,1.8970,1.8970,1.8736,1.8887,1143000
1988-01-21,1.9444,1.9444,1.8970,1.8970,220203
1988-01-22,1.8812,1.9045,1.8653,1.9045,75600
1988-01-25,1.9210,1.9444,1.8970,1.8970,157203
1988-01-26,1.8970,1.8970,1.8337,1.8337,248400
1988-01-27,1.8495,1.8736,1.8413,1.8495,333000
1988-01-28,1.8413,1.8578,1.8337,1.8413,131400
1988-01-29,1.8413,1.8736,1.8413,1.8495,86400
1988-02-01,1.8653,1.8970,1.8653,1.8736,248400
1988-02-02,1.8736,1.8970,1.8736,1.8887,268200
