date,open,high,low,close,volume
2017-05-12,21.2429,21.2928,20.2632,21.0929,10933718
2017-05-15,21.0029,22.2925,21.0029,22.0126,3487278
2017-05-16,22.1825,22.4025,22.0426,22.0926,1289339
2017-05-17,22.1426,22.5024,21.6627,22.0926,1583699
2017-05-18,22.1825,23.6221,21.9726,22.4924,4075173
2017-05-19,22.5524,23.4821,22.3125,22.7124,1248618
2017-05-22,22.7923,23.0822,22.5124,22.8823,383071
2017-05-23,22.9823,23.6021,22.6424,23.4421,703985
2017-05-24,23.5321,23.5851,23.0023,23.3422,408791
2017-05-25,23.4121,23.8120,22.3025,22.5024,1080743
2017-05-26,22.5424,23.2322,22.3475,23.0223,721073
2017-05-30,22.9923,23.2822,22.5824,22.9423,843125
2017-05-31,22.9623,23.1722,22.6624,22.9223,484429
2017-06-01,22.9023,23.4266,22.8023,22.9223,486400
2017-06-02,22.8823,23.0922,22.5924,22.6424,546591
2017-06-05,22.6024,22.9023,21.9126,22.6224,422153
2017-06-06,21.8227,22.7024,21.8227,22.2825,1089496
2017-06-07,22.3925,22.7823,21.5628,21.7527,733543
2017-06-08,21.7427,21.9226,21.6027,21.6427,432553
2017-06-09,21.6727,22.8123,21.6727,22.4824,565863
2017-06-12,22.4525,23.5721,21.8826,23.0223,826169
2017-06-13,22.9823,24.2319,22.7923,23.4821,927265
2017-06-14,23.5621,23.7020,22.5424,23.2422,1988480
2017-06-15,23.0722,24.5418,22.7623,22.9823,1510315
2017-06-16,22.9923,23.9919,22.9923,23.9120,2465627
2017-06-19,24.0519,24.2019,23.5321,23.9120,460198
2017-06-20,23.7120,23.7120,22.2025,22.6124,1043702
2017-06-21,22.5324,22.7374,20.6231,20.7130,1275376
2017-06-22,20.7130,21.0629,19.9033,21.0529,1321878
2017-06-23,21.0229,21.0979,20.2333,20.4631,3690385
2017-06-26,20.4131,21.0429,20.0733,20.4931,790772
2017-06-27,20.5531,21.6227,20.4131,21.2828,1029076
2017-06-28,21.2728,21.6327,21.1329,21.2629,737567
2017-06-29,21.3228,21.5328,21.0329,21.4228,796188
2017-06-30,21.5328,21.7327,21.2329,21.6027,250831
2017-07-03,21.7427,22.3925,21.3828,22.3325,396507
2017-07-05,22.3725,22.4025,21.7527,21.8127,765815
2017-07-06,21.6027,21.6027,20.8880,20.9630,1184427
2017-07-07,20.9829,21.2129,20.5731,20.6631,953857
2017-07-10,20.6231,21.4728,20.5431,21.3328,826888
2017-07-11,21.2229,21.7927,21.0129,21.7227,656134
2017-07-12,21.7727,22.3325,21.7227,22.1226,1091807
2017-07-13,22.1026,22.2525,21.8527,22.0526,1577730
2017-07-14,22.1226,22.2825,21.9826,22.0726,211254
2017-07-17,22.0526,23.1122,21.9151,22.9623,1357054
2017-07-18,22.8223,23.2022,22.8023,23.0323,962684
2017-07-19,23.0223,23.4121,22.9923,23.4121,742424
2017-07-20,23.4021,23.6121,22.9923,23.5421,454431
2017-07-21,23.4321,23.6820,22.8123,23.0023,1163239
2017-07-24,22.9223,23.1422,22.7024,23.1322,724428
2017-07-25,23.2722,23.5521,22.9823,23.4421,1832279
2017-07-26,23.5921,23.5921,22.6324,22.8123,781210
2017-07-27,22.8023,23.2422,22.7374,23.2222,314159
2017-07-28,23.0722,23.2122,22.8723,23.0822,260792
2017-07-31,23.2222,23.2222,22.9023,22.9523,536924
2017-08-01,22.9923,22.9923,22.3825,22.4924,998199
2017-08-02,22.4924,23.1222,22.4924,23.0123,1444358
2017-08-03,23.8220,23.9884,22.9523,23.2522,2650329
2017-08-04,23.4521,24.0719,23.2822,24.0619,809595
2017-08-07,24.0819,24.3318,23.7320,24.0319,1039061
2017-08-08,24.0519,24.2818,23.7220,24.1219,626655
2017-08-09,24.0319,24.0559,23.4721,23.5921,296760
2017-08-10,23.3821,23.3821,22.5124,22.6524,1247866
2017-08-11,22.2725,22.9023,22.2725,22.6724,605297
2017-08-14,22.8823,23.1822,22.1526,22.5824,970281
2017-08-15,22.6824,22.7923,22.5424,22.6824,1061909
2017-08-16,22.7923,22.8622,22.5824,22.7424,536296
2017-08-17,22.5924,22.8023,21.9726,21.9926,417867
2017-08-18,21.9026,22.1725,21.7527,21.9626,506385
2017-08-21,22.6524,22.8923,22.1276,22.3825,713596
2017-08-22,22.5124,22.8423,22.3925,22.7723,245085
2017-08-23,22.5724,23.0572,22.5724,22.9523,612417
2017-08-24,22.9723,22.9723,22.6274,22.6924,230258
2017-08-25,22.8123,23.0323,22.7024,22.9723,572279
2017-08-28,23.0622,23.0622,22.7374,22.9423,355201
2017-08-29,22.8023,23.1722,22.6724,23.0523,262197
2017-08-30,22.9423,23.3022,22.8823,23.2922,368533
2017-08-31,23.4621,23.8220,23.2822,23.4821,382968
2017-09-01,23.6920,23.9420,23.6620,23.6920,465509
2017-09-05,23.7720,23.8620,22.9323,23.1122,450345
2017-09-06,23.3122,23.4821,22.9123,23.3422,400617
2017-09-07,23.4221,23.6720,23.1722,23.6021,247264
2017-09-08,23.5221,23.9220,23.4921,23.7520,404073
2017-09-11,23.9420,24.3918,23.8320,23.8820,386702
2017-09-12,24.0519,25.0416,23.8620,24.5218,655510
2017-09-13,24.5717,24.7917,24.5118,24.6617,331126
2017-09-14,24.6717,25.0616,24.5617,24.9616,480421
2017-09-15,24.9916,25.1515,24.7517,25.0816,517173
2017-09-18,25.1615,25.9913,25.1615,25.7713,703911
2017-09-19,25.8813,26.1712,25.5714,25.8113,421275
2017-09-20,25.8513,26.0308,25.6214,25.9713,561009
2017-09-21,26.0213,26.0812,25.7713,25.8413,432778
2017-09-22,25.8713,26.2912,25.6914,26.2712,269645
2017-09-25,26.3112,26.6460,26.2512,26.3911,485646
2017-09-26,26.5011,26.7310,26.1912,26.3012,660778
2017-09-27,26.3911,27.0709,26.2012,27.0609,557771
2017-09-28,27.0409,27.4808,27.0409,27.3208,694414
2017-09-29,27.4108,27.6407,27.3208,27.5108,298426
2017-10-02,27.4508,27.8306,27.2109,27.5407,473650
2017-10-03,27.9406,27.9406,27.5607,27.6207,400178
2017-10-04,27.4908,27.5907,26.8010,26.8810,665671
2017-10-05,26.9110,27.1609,26.7310,26.7810,417850
2017-10-06,26.6011,26.8310,26.4911,26.5911,414025
2017-10-09,26.5911,26.8410,26.2183,26.7710,372926
2017-10-10,26.8410,27.2808,26.7710,26.8910,257457
2017-10-11,26.8710,26.9809,26.7610,26.8510,273850
2017-10-12,26.6910,26.9709,26.5911,26.8810,269614
2017-10-13,27.1009,27.2508,26.5211,26.9509,379610
2017-10-16,26.9909,27.0910,26.8110,26.9110,399191
