date,open,high,low,close,volume
1996-02-01,1.6057,1.6057,1.5810,1.5928,13717998
1996-02-02,1.5928,1.6057,1.5810,1.6057,3828698
1996-02-05,1.6057,1.6057,1.5810,1.5810,908000
1996-02-06,1.5810,1.6057,1.5810,1.5810,509298
1996-02-07,1.5810,1.6057,1.5810,1.5810,366100
1996-02-08,1.5810,1.6057,1.5810,1.5810,794600
1996-02-09,1.5810,1.6057,1.5810,1.5810,515798
1996-02-12,1.5810,1.6057,1.5810,1.5810,351500
1996-02-13,1.5810,1.6057,1.5810,1.5810,216802
1996-02-14,1.5810,1.6057,1.5810,1.5810,460100
1996-02-15,1.5810,1.5810,1.5810,1.5810,250700
1996-02-16,1.5810,1.6057,1.5563,1.5563,491802
1996-02-20,1.5563,1.5810,1.4328,1.4328,769298
1996-02-21,1.4328,1.4822,1.4328,1.4328,580800
1996-02-22,1.4328,1.4822,1.4328,1.4328,251900
1996-02-23,1.4328,1.4822,1.4328,1.4575,486400
1996-02-26,1.4822,1.5316,1.4575,1.5069,218199
1996-02-27,1.5069,1.5563,1.5069,1.5563,1286098
1996-02-28,1.5316,1.5563,1.5069,1.5316,219100
1996-02-29,1.5563,1.5810,1.5316,1.5691,289200
1996-03-01,1.5563,1.5810,1.5563,1.5810,528201
1996-03-04,1.5563,1.5810,1.5563,1.5563,477601
1996-03-05,1.5563,1.5810,1.5563,1.5563,175299
1996-03-06,1.5563,1.5563,1.4822,1.4822,1273199
1996-03-07,1.4822,1.5316,1.4822,1.4950,612598
1996-03-08,1.4822,1.5069,1.4081,1.4081,657300
1996-03-11,1.4575,1.4575,1.4081,1.4328,346098
1996-03-12,1.4328,1.4822,1.4328,1.4822,297098
1996-03-13,1.4328,1.4822,1.4328,1.4822,135802
1996-03-14,1.4703,1.4822,1.4328,1.4328,405501
1996-03-15,1.4328,1.4575,1.4328,1.4328,57900
1996-03-18,1.4328,1.5069,1.4328,1.4328,278200
1996-03-19,1.4328,1.5069,1.4328,1.5069,21900
1996-03-20,1.5069,1.5069,1.4081,1.4328,1378002
1996-03-21,1.4081,1.4575,1.4081,1.4575,24001
1996-03-22,1.4081,1.4456,1.4081,1.4081,72201
1996-03-25,1.4575,1.4575,1.3587,1.3587,203999
1996-03-26,1.3587,1.4081,1.3587,1.3587,1286098
1996-03-27,1.4081,1.4081,1.3587,1.4081,119799
1996-03-28,1.3834,1.4822,1.3834,1.4328,1144601
1996-03-29,1.4822,1.5069,1.4328,1.5069,52701
1996-04-01,1.5069,1.5810,1.5069,1.5316,124102
1996-04-02,1.5316,1.5563,1.5316,1.5316,59398
1996-04-03,1.5316,1.5563,1.5316,1.5316,77998
1996-04-04,1.5316,1.5563,1.5316,1.5316,45902
1996-04-08,1.5069,1.5316,1.5069,1.5069,61499
1996-04-09,1.5316,1.5316,1.4328,1.4703,72201
1996-04-10,1.4328,1.4822,1.4328,1.4328,33099
1996-04-11,1.4456,1.4822,1.4328,1.4822,182098
1996-04-12,1.4822,1.4822,1.4328,1.4575,69199
1996-04-15,1.4328,1.4575,1.4328,1.4456,343202
1996-04-16,1.4328,1.4822,1.4328,1.4822,85399
1996-04-17,1.4822,1.4822,1.4328,1.4328,110499
1996-04-18,1.4328,1.4703,1.4328,1.4328,408999
1996-04-19,1.4328,1.4822,1.4328,1.4703,162299
1996-04-22,1.4328,1.4822,1.4328,1.4822,122700
1996-04-23,1.4822,1.4822,1.4328,1.4328,28299
1996-04-24,1.4328,1.4822,1.4328,1.4822,80899
1996-04-25,1.4328,1.4822,1.4328,1.4822,30598
1996-04-26,1.4822,1.4822,1.4328,1.4328,19901
1996-04-29,1.4328,1.5069,1.4328,1.4575,53602
1996-04-30,1.4822,1.6551,1.4822,1.6551,417798
1996-05-01,1.6304,1.6551,1.5810,1.5810,419398
1996-05-02,1.6551,1.6551,1.5810,1.5810,469800
1996-05-03,1.5810,1.6551,1.5810,1.6304,251201
1996-05-06,1.6551,1.6551,1.5810,1.6551,188598
1996-05-07,1.6304,1.6551,1.5810,1.5810,357402
1996-05-08,1.5810,1.6551,1.5810,1.6551,278498
1996-05-09,1.6057,1.6551,1.6057,1.6057,149101
1996-05-10,1.6057,1.7045,1.6057,1.6798,569698
1996-05-13,1.7045,1.7045,1.6304,1.7045,175299
1996-05-14,1.7045,1.7045,1.6304,1.6551,336099
1996-05-15,1.7292,1.7539,1.6798,1.7292,507500
1996-05-16,1.6798,1.6798,1.6304,1.6798,68799
1996-05-17,1.6304,1.6798,1.6304,1.6670,88599
1996-05-20,1.6304,1.7539,1.6304,1.7045,169498
1996-05-21,1.6798,1.7539,1.6798,1.7045,277501
1996-05-22,1.7292,1.7292,1.6798,1.7292,173300
1996-05-23,1.7292,1.7786,1.6798,1.7292,473298
1996-05-24,1.8033,1.9021,1.7786,1.8399,467502
1996-05-28,1.8527,1.8774,1.8033,1.8033,349702
1996-05-29,1.8527,1.8774,1.8280,1.8527,248999
1996-05-30,1.8527,1.8774,1.8280,1.8280,483398
1996-05-31,1.8774,1.8774,1.8280,1.8527,213400
1996-06-03,1.8774,1.8774,1.8280,1.8280,411900
1996-06-04,1.8527,1.8527,1.8527,1.8527,188401
1996-06-05,1.8774,1.8774,1.8280,1.8280,163600
1996-06-06,1.8774,1.8774,1.8280,1.8527,256502
1996-06-07,1.8280,1.8280,1.8280,1.8280,26401
1996-06-10,1.8774,1.8774,1.8399,1.8774,333001
1996-06-11,1.8774,1.8774,1.8280,1.8774,19602
1996-06-12,1.8774,1.8774,1.8280,1.8774,247501
1996-06-13,1.8774,1.8774,1.8280,1.8280,589300
1996-06-14,1.8280,1.8774,1.8280,1.8527,33099
