date,open,high,low,close,volume
1987-11-05,2.2075,2.2156,2.1056,2.1314,552000
1987-11-06,2.1477,2.1477,2.0546,2.0546,496000
1987-11-09,2.0546,2.0546,1.9358,1.9697,876800
1987-11-10,1.9358,1.9528,1.8169,1.8760,748000
1987-11-11,1.9188,2.0716,1.9100,2.0716,496000
1987-11-12,2.1395,2.2414,2.0886,2.1226,1035200
1987-11-13,2.1056,2.1565,2.0377,2.0377,928000
1987-11-16,2.0546,2.0974,2.0546,2.0886,536800
1987-11-17,2.0716,2.0716,2.0207,2.0635,772000
1987-11-18,2.0716,2.1395,2.0207,2.1395,467200
1987-11-19,2.1395,2.1905,2.0377,2.0716,335200
1987-11-20,2.0716,2.1314,2.0207,2.1056,1008800
1987-11-23,2.1226,2.1565,2.0716,2.1565,149600
1987-11-24,2.1735,2.1993,2.1395,2.1817,564000
1987-11-25,2.1477,2.2075,2.1226,2.1905,288000
1987-11-27,2.1905,2.1905,2.1056,2.1226,695200
1987-11-30,2.0037,2.0716,1.9697,2.0207,1473600
1987-12-01,2.0377,2.1477,2.0207,2.1056,597600
1987-12-02,2.0886,2.0886,2.0377,2.0716,487200
1987-12-03,2.0635,2.0635,1.9188,1.9358,802400
1987-12-04,1.8679,1.9358,1.8339,1.9188,787200
1987-12-07,1.8848,1.9528,1.8509,1.9358,227200
1987-12-08,1.9188,2.1395,1.9188,2.1226,396000
1987-12-09,2.1056,2.2414,2.0974,2.1654,1044800
1987-12-10,2.0886,2.2584,2.0886,2.1395,572800
1987-12-11,2.1226,2.2075,2.1226,2.1905,157600
1987-12-14,2.1735,2.2754,2.1735,2.2754,832000
1987-12-15,2.2924,2.3094,2.2244,2.2754,992000
1987-12-16,2.2754,2.2754,2.2075,2.2754,502400
1987-12-17,2.2754,2.2754,2.2584,2.2584,560000
1987-12-18,2.2754,2.3094,2.2584,2.3094,1742400
1987-12-21,2.3603,2.3603,2.3094,2.3263,701600
1987-12-22,2.3263,2.3263,2.2754,2.3094,409600
1987-12-23,2.2924,2.4112,2.2414,2.4112,2480000
1987-12-24,2.3943,2.4792,2.3943,2.4282,103200
1987-12-28,2.3773,2.3773,2.2924,2.3433,484000
1987-12-29,2.3263,2.3263,2.2496,2.2754,695200
1987-12-30,2.2584,2.2754,2.2414,2.2754,385600
1987-12-31,2.2754,2.2754,2.2414,2.2414,291200
1988-01-04,2.2584,2.3012,2.2414,2.3012,2088000
1988-01-05,2.3263,2.4622,2.3263,2.4031,1412000
1988-01-06,2.4452,2.4622,2.4112,2.4452,396800
1988-01-07,2.4282,2.5301,2.4031,2.5131,676000
1988-01-08,2.4622,2.4961,2.2924,2.2924,383200
1988-01-11,2.3094,2.3094,2.0716,2.3012,485600
1988-01-12,2.3094,2.3773,2.1395,2.3603,667200
1988-01-13,2.3263,2.3603,2.2414,2.2414,824000
1988-01-14,2.2754,2.2924,2.2414,2.2584,676000
1988-01-15,2.3773,2.4112,2.3094,2.3094,899200
1988-01-18,2.2924,2.2924,2.2584,2.2754,331200
1988-01-19,2.2584,2.3603,2.2496,2.2584,858400
1988-01-20,2.2496,2.2924,2.2156,2.2156,752000
1988-01-21,2.2333,2.2333,2.1395,2.1735,696000
1988-01-22,2.1905,2.2244,2.1735,2.1905,1225600
1988-01-25,2.2075,2.3603,2.1905,2.3352,271200
1988-01-26,2.3012,2.3433,2.2754,2.2924,156800
1988-01-27,2.2754,2.3433,2.2156,2.2414,231200
1988-01-28,2.2414,2.2414,2.2156,2.2156,512800
1988-01-29,2.2311,2.2652,2.2311,2.2652,284000
1988-02-01,2.2482,2.2822,2.2311,2.2482,129600
1988-02-02,2.2482,2.2652,2.1630,2.2311,1119200
1988-02-03,2.2400,2.2652,2.0608,2.0949,606400
1988-02-04,2.0949,2.1971,2.0949,2.1460,700800
1988-02-05,2.1290,2.1290,2.1119,2.1119,497600
1988-02-08,2.1119,2.1290,2.0949,2.1290,302400
1988-02-09,2.1290,2.2141,2.1290,2.2141,118400
1988-02-10,2.1800,2.2400,2.1800,2.2311,360000
1988-02-11,2.2482,2.2822,2.1800,2.1971,212800
1988-02-12,2.2223,2.3585,2.2223,2.3504,749600
1988-02-16,2.3163,2.3674,2.3163,2.3504,273600
1988-02-17,2.3674,2.3844,2.2993,2.2993,374400
1988-02-18,2.2822,2.2904,2.2311,2.2311,798400
1988-02-19,2.2141,2.3504,2.2141,2.3504,743200
1988-02-22,2.3504,2.4355,2.3333,2.4185,688000
1988-02-23,2.4185,2.4185,2.3163,2.3844,376000
1988-02-24,2.3844,2.4015,2.3245,2.3844,583200
1988-02-25,2.4015,2.4444,2.3585,2.3585,2243200
1988-02-26,2.3585,2.4185,2.3585,2.3844,224800
1988-02-29,2.3504,2.4866,2.3504,2.4784,560800
1988-03-01,2.4696,2.5036,2.4526,2.4866,556800
1988-03-02,2.5547,2.5547,2.5036,2.5377,572000
1988-03-03,2.5207,2.5547,2.5207,2.5466,340800
1988-03-04,2.5466,2.5718,2.4696,2.5377,624800
1988-03-07,2.5207,2.5207,2.4526,2.5207,504800
1988-03-08,2.5207,2.5289,2.4526,2.4526,347200
1988-03-09,2.4696,2.5036,2.4185,2.4185,524800
1988-03-10,2.4355,2.4355,2.3333,2.3504,372800
1988-03-11,2.3674,2.3844,2.2822,2.3844,534400
1988-03-14,2.3844,2.5036,2.3844,2.4696,190400
1988-03-15,2.4526,2.4866,2.4526,2.4866,344000
1988-03-16,2.5036,2.5718,2.4526,2.5718,365600
1988-03-17,2.5888,2.6229,2.5377,2.5629,904000
1988-03-18,2.6058,2.6058,2.5036,2.5888,1212000
1988-03-21,2.5718,2.5718,2.5036,2.5036,578400
1988-03-22,2.5207,2.5207,2.4526,2.4784,332000
1988-03-23,2.4948,2.5207,2.4866,2.5125,396000
1988-03-24,2.5036,2.5036,2.3674,2.4015,490400
1988-03-25,2.3844,2.4015,2.3674,2.4015,574400
1988-03-28,2.3844,2.4103,2.3844,2.3844,578400
1988-03-29,2.4015,2.4185,2.3674,2.4015,210400
1988-03-30,2.4015,2.4355,2.3674,2.3762,426400
1988-03-31,2.3674,2.3762,2.3333,2.3762,434400
1988-04-04,2.3585,2.3762,2.2993,2.2993,521600
1988-04-05,2.3163,2.3504,2.3163,2.3422,276800
1988-04-06,2.3504,2.4015,2.3333,2.3844,508800
1988-04-07,2.4103,2.4267,2.3844,2.3844,450400
1988-04-08,2.3844,2.4526,2.3674,2.4267,521600
1988-04-11,2.4103,2.4866,2.4015,2.4866,234400
1988-04-12,2.4696,2.5718,2.4526,2.5718,299200
1988-04-13,2.5547,2.5547,2.5207,2.5547,428000
1988-04-14,2.4526,2.4696,2.4015,2.4355,482400
1988-04-15,2.3844,2.4015,2.3333,2.3844,720000
1988-04-18,2.3674,2.3844,2.3163,2.3163,411200
1988-04-19,2.3504,2.4355,2.3504,2.3674,685600
1988-04-20,2.3422,2.3585,2.3163,2.3422,1239200
1988-04-21,2.3245,2.4185,2.3245,2.3245,380000
1988-04-22,2.3333,2.4526,2.3245,2.4185,424800
1988-04-25,2.4015,2.4696,2.3926,2.4526,242400
1988-04-26,2.4696,2.5547,2.4526,2.5466,501600
1988-04-27,2.5289,2.5547,2.5125,2.5547,275200
1988-04-28,2.5547,2.5718,2.5377,2.5629,1035200
1988-04-29,2.5615,2.5786,2.5356,2.5786,416800
1988-05-02,2.5615,2.5615,2.4932,2.5615,589600
1988-05-03,2.5615,2.5697,2.5444,2.5697,606400
1988-05-04,2.5444,2.5444,2.4590,2.4590,664000
1988-05-05,2.4249,2.4932,2.4078,2.4672,563200
1988-05-06,2.4850,2.5103,2.4420,2.4420,276000
1988-05-09,2.4590,2.4761,2.4167,2.4331,251200
1988-05-10,2.4509,2.5192,2.4509,2.5192,732800
1988-05-11,2.5014,2.5014,2.4509,2.4590,313600
1988-05-12,2.4850,2.4932,2.4672,2.4850,453600
1988-05-13,2.5014,2.5103,2.4850,2.4932,490400
1988-05-16,2.4932,2.5103,2.4590,2.4932,556800
1988-05-17,2.5192,2.5274,2.4761,2.5014,420000
1988-05-18,2.5192,2.5192,2.4078,2.4420,422400
1988-05-19,2.4249,2.4761,2.4249,2.4761,370400
1988-05-20,2.4761,2.4761,2.4590,2.4672,80000
1988-05-23,2.4509,2.4761,2.4420,2.4761,134400
1988-05-24,2.4590,2.5014,2.4420,2.5014,100800
1988-05-25,2.5192,2.5356,2.4672,2.4672,192000
1988-05-26,2.4509,2.4761,2.4420,2.4761,300800
1988-05-27,2.4761,2.4761,2.4331,2.4331,96000
1988-05-31,2.4509,2.4932,2.4420,2.4932,524800
1988-06-01,2.4932,2.6640,2.4932,2.6640,649600
1988-06-02,2.6469,2.6558,2.5274,2.5697,399200
1988-06-03,2.5444,2.6216,2.5444,2.6127,270400
1988-06-06,2.5957,2.6469,2.5786,2.6469,166400
1988-06-07,2.6298,2.6469,2.5957,2.5957,428800
1988-06-08,2.6127,2.7323,2.6127,2.7323,484000
1988-06-09,2.7323,2.7323,2.6981,2.6981,584800
1988-06-10,2.7152,2.7323,2.6810,2.6981,367200
1988-06-13,2.7241,2.7664,2.7063,2.7063,496800
1988-06-14,2.7323,2.8347,2.7323,2.7494,600000
1988-06-15,2.7494,2.7664,2.7323,2.7664,736800
1988-06-16,2.6981,2.7323,2.6469,2.6810,1026400
1988-06-17,2.7323,2.7323,2.6981,2.7063,675200
1988-06-20,2.6981,2.7241,2.6981,2.7241,308800
1988-06-21,2.7152,2.7664,2.6469,2.7405,412800
1988-06-22,2.7582,2.8518,2.7494,2.7835,551200
1988-06-23,2.7835,2.7835,2.7664,2.7664,242400
1988-06-24,2.7664,2.7924,2.7494,2.7746,319200
1988-06-27,2.7746,2.8088,2.7664,2.7664,423200
1988-06-28,2.7664,2.8006,2.7582,2.7835,364800
1988-06-29,2.7835,2.8518,2.7835,2.8088,635200
1988-06-30,2.8265,2.9884,2.8265,2.9632,607200
1988-07-01,2.9372,2.9372,2.8006,2.8006,616800
1988-07-05,2.7664,2.8689,2.6981,2.8689,599200
1988-07-06,2.8518,2.8689,2.7835,2.8177,527200
1988-07-07,2.8006,2.8177,2.7924,2.8006,237600
1988-07-08,2.7924,2.7924,2.6981,2.7323,211200
1988-07-11,2.7664,2.7835,2.7323,2.7323,583200
1988-07-12,2.7494,2.7494,2.6899,2.7063,356800
1988-07-13,2.6899,2.7835,2.6899,2.7746,260000
1988-07-14,2.7746,2.7746,2.7494,2.7746,196000
1988-07-15,2.7664,2.7746,2.7152,2.7494,363200
1988-07-18,2.7323,2.7323,2.6899,2.7323,166400
1988-07-19,2.7323,2.7323,2.6298,2.6981,196000
1988-07-20,2.6810,2.7241,2.6810,2.7241,75200
