date,open,high,low,close,volume
1990-01-12,1.7800,1.7800,1.7579,1.7722,272000
1990-01-15,1.7651,1.7722,1.7352,1.7651,312000
1990-01-16,1.7651,1.8476,1.7651,1.8476,520000
1990-01-17,1.8847,1.9374,1.8847,1.9075,1720000
1990-01-18,1.8997,1.9595,1.8997,1.9374,425600
1990-01-19,1.9446,1.9446,1.9218,1.9296,208000
1990-01-22,1.9374,1.9446,1.9218,1.9374,1080000
1990-01-23,1.9296,1.9446,1.9218,1.9374,284800
1990-01-24,1.9075,1.9374,1.8919,1.9218,382400
1990-01-25,1.9296,1.9296,1.9147,1.9296,126400
1990-01-26,1.9374,1.9374,1.9147,1.9147,299200
1990-01-29,1.9218,1.9218,1.9147,1.9147,116800
1990-01-30,1.9147,1.9296,1.9147,1.9218,316800
1990-01-31,1.9296,1.9296,1.9147,1.9147,532800
1990-02-01,1.9218,1.9218,1.8997,1.9147,649600
1990-02-02,1.9218,1.9218,1.9147,1.9147,116800
1990-02-05,1.9218,1.9517,1.9147,1.9517,499200
1990-02-06,1.9673,1.9894,1.9595,1.9745,222400
1990-02-07,1.9745,2.0493,1.9745,2.0493,747200
1990-02-08,2.0714,2.1989,2.0714,2.1612,873600
1990-02-09,2.1839,2.2288,2.1767,2.2210,398400
1990-02-12,2.1839,2.2138,2.1689,2.2138,924800
1990-02-13,2.2210,2.2587,2.1989,2.2587,641600
1990-02-14,2.2587,2.2587,2.2210,2.2288,347200
1990-02-15,2.2210,2.2366,2.2138,2.2210,233600
1990-02-16,2.2288,2.2886,2.2288,2.2665,276800
1990-02-20,2.2665,2.2736,2.2509,2.2509,299200
1990-02-21,2.2366,2.2437,2.2138,2.2366,606400
1990-02-22,2.2288,2.2587,2.2210,2.2587,216000
1990-02-23,2.2587,2.2587,2.2138,2.2138,321600
1990-02-26,2.2138,2.2288,2.2138,2.2288,112000
1990-02-27,2.2138,2.2437,2.2066,2.2288,283200
1990-02-28,2.2366,2.2366,2.2066,2.2138,152000
1990-03-01,2.2138,2.2210,2.2138,2.2138,41600
1990-03-02,2.2138,2.2210,2.2138,2.2138,174400
1990-03-05,2.2138,2.2210,2.2138,2.2210,86400
1990-03-06,2.2210,2.2288,2.2210,2.2288,83200
1990-03-07,2.2210,2.2366,2.2138,2.2210,163200
1990-03-08,2.2138,2.2366,2.2066,2.2288,129600
1990-03-09,2.2288,2.2366,2.2138,2.2366,446400
1990-03-12,2.2210,2.2437,2.2138,2.2437,142400
1990-03-13,2.2366,2.2366,2.2210,2.2288,169600
1990-03-14,2.2366,2.2509,2.2288,2.2509,132800
1990-03-15,2.2509,2.2509,2.2366,2.2437,816000
1990-03-16,2.2587,2.2587,2.2366,2.2437,68800
1990-03-19,2.2366,2.2437,2.2288,2.2366,179200
1990-03-20,2.2366,2.2437,2.2288,2.2366,52800
1990-03-21,2.2366,2.2437,2.2366,2.2366,56000
1990-03-22,2.2288,2.2366,2.2288,2.2366,46400
1990-03-23,2.2437,2.3484,2.2437,2.3335,784000
1990-03-26,2.3562,2.4304,2.3562,2.4232,545600
1990-03-27,2.4232,2.4232,2.3784,2.4083,355200
1990-03-28,2.3861,2.3933,2.3706,2.3784,305600
1990-03-29,2.3634,2.3933,2.3634,2.3933,105600
1990-03-30,2.3933,2.4083,2.3784,2.4083,656000
1990-04-02,2.4083,2.4161,2.3861,2.4161,262400
1990-04-03,2.4388,2.4986,2.4388,2.4986,94000
1990-04-04,2.5130,2.5429,2.4986,2.5273,618400
1990-04-05,2.5429,2.7380,2.5429,2.7224,791200
1990-04-06,2.7068,2.7978,2.7068,2.7822,510400
1990-04-09,2.7822,2.8121,2.7523,2.7978,244800
1990-04-10,2.8265,2.8421,2.7978,2.8265,508000
1990-04-11,2.8265,2.8576,2.8121,2.8576,258400
1990-04-12,2.8720,2.9019,2.8576,2.8720,199200
1990-04-16,2.8720,2.9617,2.8720,2.9019,625600
1990-04-17,2.8720,2.9019,2.8720,2.8863,305600
1990-04-18,2.9019,2.9175,2.6027,2.7068,1240800
1990-04-19,2.7224,2.7224,2.3634,2.5130,870400
1990-04-20,2.5429,2.6183,2.5130,2.5585,412800
1990-04-23,2.5273,2.5429,2.4986,2.4986,226400
1990-04-24,2.4986,2.4986,2.3634,2.3634,387200
1990-04-25,2.3933,2.4077,2.3790,2.3933,272000
1990-04-26,2.3790,2.3933,2.3634,2.3790,112000
1990-04-27,2.3790,2.3790,2.3634,2.3790,56800
1990-04-30,2.3478,2.3478,2.1995,2.2880,384000
1990-05-01,2.2437,2.2593,2.2282,2.2282,136000
1990-05-02,2.2437,2.4232,2.2282,2.4232,530400
1990-05-03,2.4232,2.5872,2.4232,2.5585,599200
1990-05-04,2.5728,2.7224,2.5273,2.7068,336800
1990-05-07,2.6925,2.7224,2.6626,2.6925,228800
1990-05-08,2.6925,2.6925,2.6470,2.6470,230400
1990-05-09,2.6326,2.6326,2.5728,2.5728,144800
1990-05-10,2.5429,2.6326,2.5429,2.6326,382400
1990-05-11,2.6626,2.7667,2.6626,2.7523,567200
1990-05-14,2.7380,2.8265,2.7068,2.7978,274400
1990-05-15,2.7978,2.9019,2.7822,2.9019,309600
1990-05-16,2.9019,2.9318,2.8576,2.8863,649600
1990-05-17,2.9175,3.0060,2.8863,2.9175,288000
1990-05-18,2.9318,2.9617,2.9019,2.9318,184000
1990-05-21,2.9617,2.9617,2.9175,2.9175,170400
1990-05-22,2.9462,2.9462,2.8720,2.8863,191200
1990-05-23,2.8720,2.9462,2.8265,2.9462,183200
1990-05-24,2.9773,2.9773,2.9318,2.9318,333600
1990-05-25,2.9462,2.9773,2.9318,2.9617,102400
1990-05-29,2.9617,2.9773,2.9318,2.9462,72800
1990-05-30,2.9773,3.0515,2.9617,3.0060,177600
1990-05-31,2.9773,2.9916,2.9773,2.9773,60000
1990-06-01,2.9773,2.9916,2.8421,2.8863,235200
1990-06-04,2.8863,2.9019,2.8720,2.8720,82400
1990-06-05,2.8720,2.9019,2.8421,2.8720,177600
1990-06-06,2.8720,2.8720,2.7380,2.7380,160000
1990-06-07,2.7380,2.7978,2.7380,2.7667,196000
1990-06-08,2.7667,2.7978,2.7667,2.7822,133600
1990-06-11,2.7978,2.7978,2.7667,2.7667,66400
