date,open,high,low,close,volume
1990-03-26,2.6674,2.6981,2.6674,2.6674,356400
1990-03-27,2.7288,2.7288,2.6674,2.6981,121602
1990-03-28,2.6674,2.7288,2.6674,2.7288,100800
1990-03-29,2.6981,2.6981,2.6981,2.6981,33600
1990-03-30,2.6674,2.7594,2.6674,2.7288,154800
1990-04-02,2.6981,2.7901,2.6981,2.7901,90000
1990-04-03,2.7901,2.8514,2.7594,2.8207,978402
1990-04-04,2.8207,2.8207,2.7594,2.7594,496002
1990-04-05,2.7594,2.7901,2.7594,2.7594,1087200
1990-04-06,2.7594,2.7901,2.7594,2.7594,122802
1990-04-09,2.7594,2.7901,2.7594,2.7901,59202
1990-04-10,2.7288,2.7288,2.6674,2.6981,517200
1990-04-11,2.7288,2.7594,2.6981,2.7594,253200
1990-04-12,2.6981,2.7288,2.6674,2.7128,223200
1990-04-16,2.6674,2.6981,2.6674,2.6674,678402
1990-04-17,2.6368,2.6674,2.6368,2.6674,225600
1990-04-18,2.6674,2.6674,2.6368,2.6674,527202
1990-04-19,2.6368,2.7288,2.6368,2.6674,217602
1990-04-20,2.6674,2.7288,2.6674,2.6674,597600
1990-04-23,2.6981,2.6981,2.6061,2.6368,148002
1990-04-24,2.5755,2.6061,2.5289,2.5289,322800
1990-04-25,2.5141,2.5448,2.4835,2.5448,181602
1990-04-26,2.4835,2.5448,2.4835,2.5448,128400
1990-04-27,2.4835,2.5448,2.4835,2.4982,284400
1990-04-30,2.4909,2.4909,2.4294,2.4761,228402
1990-05-01,2.4761,2.5216,2.4761,2.4909,122802
1990-05-02,2.5524,2.5831,2.5216,2.5524,207600
1990-05-03,2.5364,2.5364,2.3679,2.4909,409602
1990-05-04,2.4601,2.5216,2.4601,2.5216,637200
1990-05-07,2.4909,2.5216,2.4909,2.4909,133602
1990-05-08,2.5216,2.5216,2.4909,2.5216,52002
1990-05-09,2.5216,2.5524,2.4909,2.5524,648000
1990-05-10,2.5216,2.5831,2.5216,2.5831,1025202
1990-05-11,2.5524,2.6139,2.5216,2.5831,1180002
1990-05-14,2.6446,2.7369,2.6446,2.6754,308400
1990-05-15,2.7061,2.7369,2.6754,2.7369,212400
1990-05-16,2.6754,2.7061,2.6446,2.6446,94800
1990-05-17,2.6446,2.7369,2.6446,2.6902,1250400
1990-05-18,2.6754,2.7369,2.6754,2.6754,378402
1990-05-21,2.6754,2.7369,2.6754,2.7209,1994400
1990-05-22,2.7061,2.7369,2.7061,2.7061,598800
1990-05-23,2.7061,2.7369,2.7061,2.7209,1464402
1990-05-24,2.7369,2.7677,2.7061,2.7369,395202
1990-05-25,2.7061,2.7369,2.6754,2.7369,121200
1990-05-29,2.6754,2.7369,2.6754,2.7369,261600
1990-05-30,2.7061,2.7369,2.7061,2.7061,235200
1990-05-31,2.7369,2.7677,2.7061,2.7369,964002
1990-06-01,2.7369,2.7677,2.7061,2.7061,333600
1990-06-04,2.7369,2.7369,2.6754,2.7061,231600
1990-06-05,2.7061,2.7369,2.5979,2.6446,378000
1990-06-06,2.6139,2.6299,2.5831,2.6139,518400
1990-06-07,2.5831,2.6446,2.5831,2.6446,149202
1990-06-08,2.5831,2.6754,2.5831,2.6754,119202
1990-06-11,2.6446,2.7369,2.5831,2.6754,332400
1990-06-12,2.7061,2.7984,2.7061,2.7061,865602
1990-06-13,2.7677,2.7677,2.7061,2.7677,665202
1990-06-14,2.7061,2.7677,2.7061,2.7061,108000
1990-06-15,2.7061,2.7369,2.7061,2.7209,570000
1990-06-18,2.7061,2.7061,2.6446,2.7061,158802
1990-06-19,2.6446,2.7061,2.6446,2.6446,69600
1990-06-20,2.7061,2.7061,2.6446,2.7061,93600
1990-06-21,2.6754,2.7061,2.6446,2.6446,97200
1990-06-22,2.6446,2.6446,2.4909,2.5216,581202
1990-06-25,2.4909,2.5524,2.4909,2.5364,198000
1990-06-26,2.5524,2.6139,2.4909,2.5524,169200
1990-06-27,2.5524,2.5831,2.4909,2.4909,198402
1990-06-28,2.4909,2.5831,2.4909,2.4909,49200
1990-06-29,2.4909,2.5831,2.4909,2.5831,550800
1990-07-02,2.5216,2.6446,2.5216,2.6446,134802
1990-07-03,2.6139,2.6446,2.6139,2.6139,55602
1990-07-05,2.5524,2.6139,2.5524,2.6139,86400
1990-07-06,2.5216,2.6754,2.5216,2.6139,158802
1990-07-09,2.6139,2.6299,2.5216,2.5216,298800
1990-07-10,2.5831,2.5831,2.5216,2.5831,214800
1990-07-11,2.4909,2.6139,2.4909,2.5831,607200
1990-07-12,2.5979,2.6139,2.5364,2.5684,337602
1990-07-13,2.5524,2.6139,2.5524,2.5524,78000
1990-07-16,2.5831,2.6139,2.5524,2.5831,66402
1990-07-17,2.5524,2.6139,2.5524,2.5684,207600
1990-07-18,2.5524,2.5524,2.4909,2.5216,809202
1990-07-19,2.4909,2.5216,2.4294,2.4294,643602
1990-07-20,2.4294,2.4909,2.4294,2.4601,87600
1990-07-23,2.4294,2.4761,2.3986,2.4601,270402
1990-07-24,2.4909,2.5831,2.4294,2.4909,189600
1990-07-25,2.5216,2.5216,2.4909,2.4909,92400
1990-07-26,2.5216,2.5216,2.4909,2.5056,40800
1990-07-27,2.5056,2.5216,2.4294,2.4294,397602
1990-07-30,2.4369,2.4677,2.4060,2.4060,175602
1990-07-31,2.4369,2.4677,2.4369,2.4369,1837200
1990-08-01,2.4369,2.4677,2.4060,2.4369,101202
1990-08-02,2.3752,2.3752,2.2209,2.2678,278400
1990-08-03,2.2209,2.2209,2.1284,2.2209,584400
1990-08-06,2.1284,2.1284,1.9742,2.0359,386400
1990-08-07,2.0359,2.1592,2.0050,2.0975,314400
1990-08-08,2.0975,2.1592,2.0975,2.0975,71202
1990-08-09,2.1901,2.2209,2.1592,2.1592,559602
1990-08-10,2.2209,2.2209,2.1592,2.2209,616800
1990-08-13,2.1592,2.1592,2.1592,2.1592,30000
1990-08-14,2.1592,2.2209,2.1592,2.1901,118002
1990-08-15,2.1901,2.2061,2.1901,2.1901,62802
1990-08-16,2.2209,2.2209,2.1592,2.1901,1136802
1990-08-17,2.1592,2.1901,2.0975,2.1284,275202
1990-08-20,2.0975,2.1592,2.0975,2.0975,66000
1990-08-21,2.0975,2.0975,2.0050,2.0667,276402
1990-08-22,2.0359,2.0667,2.0359,2.0359,418800
1990-08-23,2.0667,2.0667,1.8199,1.8508,758802
1990-08-24,1.9433,1.9742,1.8508,1.9433,620802
1990-08-27,2.0050,2.0667,1.9742,2.0667,274002
1990-08-28,2.0050,2.0975,2.0050,2.0667,270402
1990-08-29,2.0975,2.0975,2.0359,2.0359,35202
1990-08-30,2.0359,2.0359,2.0359,2.0359,9600
1990-08-31,2.0975,2.0975,2.0359,2.0359,132402
1990-09-04,2.0050,2.0507,2.0050,2.0050,14802
1990-09-05,2.0050,2.0359,2.0050,2.0359,6000
1990-09-06,2.0050,2.0667,2.0050,2.0050,43200
1990-09-07,2.0359,2.0359,2.0050,2.0210,124800
1990-09-10,2.0050,2.0975,2.0050,2.0359,68802
1990-09-11,2.0975,2.0975,2.0359,2.0975,99600
1990-09-12,2.0359,2.1284,2.0359,2.1136,756000
1990-09-13,2.0359,2.1284,2.0359,2.0975,279600
1990-09-14,2.0667,2.0975,2.0359,2.0975,144000
1990-09-17,2.0667,2.0975,2.0667,2.0667,1602
1990-09-18,2.0667,2.0975,2.0667,2.0667,143202
1990-09-19,2.0667,2.0667,2.0050,2.0050,278400
1990-09-20,2.0050,2.0050,1.8508,1.8816,319602
1990-09-21,1.8816,1.9125,1.8508,1.9125,770400
1990-09-24,1.8816,1.9433,1.8508,1.8816,189600
1990-09-25,1.8508,1.9125,1.8508,1.8816,136800
1990-09-26,1.8816,1.9433,1.8816,1.8816,187200
1990-09-27,1.9742,1.9742,1.9125,1.9125,224802
1990-09-28,1.9125,1.9433,1.8816,1.9433,372000
1990-10-01,1.9125,1.9742,1.9125,1.9433,337200
1990-10-02,1.9433,2.0050,1.9125,1.9125,956802
1990-10-03,1.9125,1.9285,1.8816,1.8816,37602
1990-10-04,1.8816,1.9433,1.8816,1.9433,253200
1990-10-05,1.8508,1.9125,1.8199,1.8816,139200
1990-10-08,1.8816,1.8977,1.8508,1.8508,756000
1990-10-09,1.8508,1.8816,1.8508,1.8816,360000
1990-10-10,1.8656,1.8816,1.8508,1.8508,1364802
1990-10-11,1.8508,1.8816,1.8508,1.8656,574800
1990-10-12,1.8816,1.8816,1.8039,1.8199,2556402
1990-10-15,1.8199,1.8816,1.8199,1.8199,281202
1990-10-16,1.8508,1.8508,1.7891,1.8039,559200
1990-10-17,1.7891,1.8039,1.7891,1.7891,263202
1990-10-18,1.7891,1.8199,1.7891,1.8199,118002
1990-10-19,1.7891,1.8816,1.7891,1.7891,297600
1990-10-22,1.8816,1.8816,1.8199,1.8816,680802
1990-10-23,1.8656,1.8816,1.8199,1.8508,912402
1990-10-24,1.8816,1.8816,1.8199,1.8199,46800
1990-10-25,1.9125,1.9125,1.8199,1.8508,512802
1990-10-26,1.8816,1.8816,1.8199,1.8199,10800
1990-10-29,1.7891,1.8508,1.7891,1.7891,40800
1990-10-30,1.7891,1.8508,1.7891,1.8508,100800
1990-10-31,1.8508,1.9125,1.8199,1.9125,492000
1990-11-01,1.8816,1.8816,1.8508,1.8508,65202
1990-11-02,1.8508,1.9125,1.8508,1.8816,222000
1990-11-05,1.9506,1.9816,1.8887,1.9816,258402
1990-11-06,1.9578,2.0200,1.9578,2.0200,576402
1990-11-07,1.9889,2.0200,1.9889,1.9889,54402
1990-11-08,1.9889,2.0200,1.9889,2.0038,45600
1990-11-09,1.9889,2.0821,1.9889,2.0821,128802
1990-11-12,2.1132,2.2375,2.0821,2.2064,175200
1990-11-13,2.2375,2.2996,2.2064,2.2064,243600
1990-11-14,2.2064,2.2064,2.0821,2.0821,318402
1990-11-15,2.0510,2.1132,2.0510,2.0510,44802
1990-11-16,2.0510,2.1132,1.9889,1.9889,269202
