date,open,high,low,close,volume
1999-06-25,14.7789,14.9197,13.2307,13.9175,44833800
1999-06-28,13.7768,14.0048,12.6860,13.9527,9166200
1999-06-29,13.7768,18.9733,13.4854,16.2568,14730000
1999-06-30,17.1154,22.3936,16.7495,20.9720,16852800
1999-07-01,22.2247,22.8018,19.9867,20.5498,9501000
1999-07-02,20.7468,21.2394,19.0015,20.0994,3912600
1999-07-06,20.2683,21.7180,19.2830,19.6349,3632400
1999-07-07,19.5082,20.1275,18.0162,19.0156,4234800
1999-07-08,19.3534,19.4237,18.0162,18.0162,2370000
1999-07-09,18.5792,18.7200,17.1717,18.6918,2935200
1999-07-12,18.8607,19.0015,17.9599,18.0162,1416000
1999-07-13,17.7066,18.7059,17.1717,17.5940,1843800
1999-07-14,17.9318,19.2830,17.6643,18.5933,3486000
1999-07-15,18.6918,21.1128,18.5792,21.0424,5128200
1999-07-16,21.7602,22.2388,19.8601,20.1134,5008800
1999-07-19,20.8735,20.9720,18.9733,19.0015,2044800
1999-07-20,18.6637,20.2401,17.9318,19.4237,3841800
1999-07-21,20.3386,22.1543,19.9867,20.2401,12091200
1999-07-22,20.9439,21.6195,19.1141,20.9016,7816800
1999-07-23,21.3943,21.5350,20.1275,20.5357,3629400
1999-07-26,20.3949,20.8313,19.5645,20.3105,4404000
1999-07-27,20.9016,21.0846,20.4090,20.5638,2255400
1999-07-28,20.4231,20.4512,19.9164,20.2401,2297400
1999-07-29,19.4237,20.7609,19.2830,20.4090,1638000
1999-07-30,20.6764,23.2240,20.5498,22.8581,9073800
1999-08-02,22.5203,24.2797,21.9573,22.7033,6874200
1999-08-03,23.1396,23.7167,21.5491,21.8728,6499800
1999-08-04,21.6476,21.9573,20.8313,21.9432,4508400
1999-08-05,21.6335,22.6610,20.5498,22.1966,5100000
1999-08-06,22.0276,23.0551,21.5913,22.5203,3399000
1999-08-09,21.8165,23.8856,21.0424,22.8581,2832600
1999-08-10,22.9144,24.0826,22.6610,24.0545,3091800
1999-08-11,24.3501,26.0954,24.3219,26.0954,4552200
1999-08-12,26.0813,28.0096,26.0391,27.7281,4590600
1999-08-13,28.6430,30.2476,28.0096,30.0927,6362400
1999-08-16,29.8957,29.9801,28.1504,28.7134,4176000
1999-08-17,29.2623,30.8950,28.4459,30.7683,4975800
1999-08-18,30.4024,31.5143,29.1075,29.1075,3699600
1999-08-19,28.5726,29.5579,28.2911,28.9386,2773800
1999-08-20,29.4734,29.4875,28.2911,28.7978,1428000
1999-08-23,28.7134,32.0773,28.6430,31.9506,4897800
1999-08-24,31.4017,32.9922,30.5291,31.8240,7678800
1999-08-25,31.6691,31.9506,30.1913,30.4728,3115200
1999-08-26,30.5291,31.6973,30.2053,30.3039,3348000
1999-08-27,30.7261,31.3876,29.8394,30.6839,2197200
1999-08-30,30.6839,30.6839,29.3608,29.5719,2007600
1999-08-31,29.6282,30.0505,28.5163,28.8541,2745600
1999-09-01,29.0512,29.3467,25.2086,25.3775,12541200
1999-09-02,24.4627,28.4037,23.9559,27.9533,13288800
1999-09-03,28.7837,28.8682,26.6162,27.2073,7052400
1999-09-07,26.9680,27.6718,26.1939,27.2355,1929600
1999-09-08,27.0806,28.7134,26.5458,27.2355,3897600
1999-09-09,27.6296,27.6296,26.1798,27.0525,1240800
1999-09-10,27.3762,28.1504,26.7569,26.9540,1700400
1999-09-13,27.0243,27.1369,25.3212,25.3353,1663200
1999-09-14,25.5464,26.7288,25.3212,25.7716,2368800
1999-09-15,26.4050,27.4184,25.6309,25.9687,4597800
1999-09-16,26.1658,26.1798,25.1101,25.8139,2417400
1999-09-17,26.0813,26.4895,25.5887,25.6872,1386000
1999-09-20,25.7998,26.1517,25.1946,25.7576,1418400
1999-09-21,25.7294,27.2918,25.5183,26.3206,3106800
1999-09-22,26.3065,26.9399,25.6168,26.7147,1777800
1999-09-23,26.6021,27.5170,25.6168,25.7435,3078000
1999-09-24,25.8139,28.0096,25.4761,27.9955,3400800
1999-09-27,28.1363,30.6698,28.1363,29.1215,7338000
