date,open,high,low,close,volume
1983-12-30,2.7439,2.7751,2.7127,2.7439,211500
1984-01-03,2.7401,2.7595,2.7202,2.7439,385502
1984-01-04,2.7963,2.8605,2.7595,2.8605,292500
1984-01-05,2.9191,2.9546,2.8842,2.9546,344102
1984-01-06,2.9235,2.9546,2.8923,2.9235,194400
1984-01-09,2.9310,2.9546,2.9073,2.9310,216302
1984-01-10,2.9740,3.0089,2.9384,2.9858,143100
1984-01-11,2.9858,3.0557,2.9546,3.0476,397800
1984-01-12,3.0476,3.0950,3.0326,3.0787,297900
1984-01-13,3.1099,3.1336,3.0869,3.0950,591300
1984-01-16,3.0787,3.0950,3.0638,3.0638,103802
1984-01-17,3.0638,3.0638,2.9933,3.0089,134100
1984-01-18,3.0519,3.0869,3.0170,3.0787,1352700
1984-01-19,3.0787,3.0950,3.0638,3.0787,245102
1984-01-20,3.0787,3.0787,3.0401,3.0557,168300
1984-01-23,3.0831,3.1024,3.0638,3.0950,246002
1984-01-24,3.1143,3.1336,3.0950,3.1336,292500
1984-01-25,3.1767,3.1960,3.1567,3.1648,243000
1984-01-26,3.1648,3.1729,3.1261,3.1336,212400
1984-01-27,3.1336,3.1336,3.0950,3.1180,183002
1984-01-30,3.1024,3.1099,3.0950,3.1024,99900
1984-01-31,3.1024,3.1960,3.1024,3.1492,352202
1984-02-01,3.1492,3.1804,3.0950,3.1024,225302
1984-02-02,3.1024,3.1099,3.0787,3.0787,230702
1984-02-03,3.1180,3.1492,3.0869,3.1024,319802
1984-02-06,3.0519,3.0950,3.0089,3.0326,67500
1984-02-07,2.9933,3.0170,2.9696,2.9933,212400
1984-02-08,2.9933,3.0476,2.9696,3.0089,395100
1984-02-09,3.0089,3.0245,2.9777,2.9933,196502
1984-02-10,2.9933,3.0326,2.9933,3.0326,232502
1984-02-13,3.0326,3.0557,3.0245,3.0245,324000
1984-02-14,3.0245,3.0869,3.0170,3.0869,135000
1984-02-15,3.0869,3.1492,3.0713,3.1336,543600
1984-02-16,3.1336,3.2041,3.1180,3.1804,362102
1984-02-17,3.1804,3.1879,3.1261,3.1261,654300
1984-02-21,3.1261,3.1411,3.0950,3.0950,108000
1984-02-22,3.0950,3.1099,3.0089,3.0089,197402
1984-02-23,3.0089,3.0170,2.9384,2.9777,466200
1984-02-24,2.9777,3.0089,2.9621,2.9933,66600
1984-02-27,2.9933,3.0326,2.9384,3.0326,613202
1984-02-28,3.0052,3.0245,2.9696,2.9933,294300
