date,open,high,low,close,volume
1984-12-17,1.9249,1.9604,1.8895,1.9188,1154400
1984-12-18,1.9367,1.9840,1.9311,1.9783,1378400
1984-12-19,1.9660,2.0194,1.9660,1.9783,964000
1984-12-20,1.9486,1.9604,1.8895,1.9249,706400
1984-12-21,1.9367,1.9424,1.8602,1.8602,912000
1984-12-24,1.8659,1.9249,1.8659,1.9075,200000
1984-12-26,1.9131,1.9131,1.8777,1.8838,113600
1984-12-27,1.8838,1.9131,1.8838,1.9075,803200
1984-12-28,1.9188,1.9188,1.8838,1.9013,449600
1984-12-31,1.8952,1.8952,1.8716,1.8895,196000
1985-01-02,1.8838,1.8838,1.8305,1.8305,268000
1985-01-03,1.8243,1.8777,1.8187,1.8541,456800
1985-01-04,1.8423,1.8659,1.8423,1.8479,186400
1985-01-07,1.8602,1.8777,1.8479,1.8541,335200
1985-01-08,1.8541,1.8895,1.8541,1.8602,461600
1985-01-09,1.8541,1.9075,1.8541,1.8895,466400
1985-01-10,1.9013,1.9547,1.8952,1.9547,432000
1985-01-11,1.9958,1.9958,1.9486,1.9840,854400
1985-01-14,1.9840,2.0256,1.9367,2.0194,1024000
1985-01-15,2.0194,2.0194,1.9722,2.0019,978400
1985-01-16,1.9840,2.0133,1.9604,1.9660,925600
1985-01-17,1.9660,1.9783,1.9311,1.9367,829600
1985-01-18,1.9424,1.9660,1.9249,1.9486,499200
1985-01-21,1.9660,2.0019,1.9604,2.0019,1239200
1985-01-22,2.0256,2.0256,1.9660,1.9840,1009600
1985-01-23,1.9722,1.9840,1.9249,1.9486,1063200
1985-01-24,1.9660,1.9783,1.9486,1.9660,1792800
1985-01-25,1.9367,1.9958,1.9131,1.9783,975200
1985-01-28,1.9958,2.0430,1.9840,2.0312,1496000
1985-01-29,2.0256,2.0728,2.0133,2.0728,484800
1985-01-30,2.0785,2.1021,2.0667,2.0841,792000
1985-01-31,2.0841,2.0964,2.0785,2.0841,476000
1985-02-01,2.0785,2.0841,2.0492,2.0785,383200
1985-02-04,2.0785,2.1493,2.0785,2.1139,591200
1985-02-05,2.1200,2.1200,2.0785,2.0841,540000
1985-02-06,2.1077,2.1077,2.0256,2.0548,644800
1985-02-07,2.0667,2.0728,2.0430,2.0667,159200
1985-02-08,2.0785,2.0785,2.0605,2.0728,597600
1985-02-11,2.0605,2.0667,2.0369,2.0548,416800
1985-02-12,2.0430,2.0548,2.0369,2.0492,395200
1985-02-13,2.0312,2.1021,2.0312,2.0964,462400
1985-02-14,2.0903,2.1257,2.0903,2.1200,801600
1985-02-15,2.1257,2.1257,2.1021,2.1257,433600
1985-02-19,2.1139,2.1257,2.1021,2.1257,143200
1985-02-20,2.1021,2.1200,2.0841,2.1021,633600
1985-02-21,2.0903,2.1375,2.0903,2.1314,406400
1985-02-22,2.1314,2.1729,2.1314,2.1493,542400
1985-02-25,2.1550,2.2438,2.1550,2.2084,1926400
1985-02-26,2.1966,2.2617,2.1966,2.2617,1000000
1985-02-27,2.2258,2.2617,2.2258,2.2556,682400
1985-02-28,2.2495,2.2674,2.2320,2.2556,341600
1985-03-01,2.2495,2.3147,2.2495,2.2731,881600
1985-03-04,2.2731,2.2792,2.2438,2.2617,330400
1985-03-05,2.2617,2.2731,2.2495,2.2495,494400
1985-03-06,2.2617,2.2674,2.2145,2.2258,614400
1985-03-07,2.2145,2.2320,2.1847,2.2202,574400
1985-03-08,2.2084,2.2556,2.1966,2.2258,535200
1985-03-11,2.2258,2.2674,2.2258,2.2438,344000
1985-03-12,2.2674,2.2792,2.2438,2.2617,532000
1985-03-13,2.2617,2.2792,2.2438,2.2438,284800
1985-03-14,2.2320,2.2556,2.2320,2.2556,582400
1985-03-15,2.2556,2.2731,2.2381,2.2381,566400
1985-03-18,2.2617,2.2967,2.2617,2.2731,626400
1985-03-19,2.2967,2.3383,2.2967,2.3203,670400
1985-03-20,2.3203,2.3501,2.3147,2.3383,445600
1985-03-21,2.3501,2.3501,2.3265,2.3383,275200
1985-03-22,2.3501,2.3619,2.3326,2.3383,397600
1985-03-25,2.3383,2.3619,2.3383,2.3383,203200
