date,open,high,low,close,volume
1987-11-05,1.5063,1.5151,1.4894,1.4975,55000
1987-11-06,1.5063,1.5233,1.4975,1.4975,212000
1987-11-09,1.4894,1.5063,1.4556,1.4556,107600
1987-11-10,1.4725,1.5063,1.4556,1.4975,61600
1987-11-11,1.4725,1.5151,1.4725,1.4975,65600
1987-11-12,1.5233,1.5910,1.5063,1.5822,102000
1987-11-13,1.5659,1.6079,1.5571,1.5822,30200
1987-11-16,1.5659,1.5910,1.5571,1.5740,53400
1987-11-17,1.5822,1.5910,1.5402,1.5483,29800
1987-11-18,1.5402,1.5402,1.4894,1.5063,38400
1987-11-19,1.4725,1.4894,1.4217,1.4217,422800
1987-11-20,1.4386,1.4468,1.3879,1.4217,111200
1987-11-23,1.4386,1.4468,1.4217,1.4305,31800
1987-11-24,1.4414,1.5018,1.4153,1.4847,198200
1987-11-25,1.4847,1.4847,1.4503,1.4503,96000
1987-11-27,1.4414,1.4668,1.4414,1.4668,31000
1987-11-30,1.4503,1.4503,1.4153,1.4325,74600
1987-12-01,1.4243,1.4668,1.4243,1.4586,96800
1987-12-02,1.4503,1.4668,1.4414,1.4503,78200
1987-12-03,1.4414,1.4586,1.4243,1.4243,29000
1987-12-04,1.4071,1.4153,1.3989,1.3989,73200
1987-12-07,1.3899,1.4071,1.3810,1.3810,46200
1987-12-08,1.3810,1.4414,1.3810,1.4414,84000
1987-12-09,1.4243,1.4325,1.3556,1.3899,111200
1987-12-10,1.3728,1.3810,1.3556,1.3810,63800
1987-12-11,1.3646,1.3899,1.3474,1.3646,48400
1987-12-14,1.3728,1.3989,1.3556,1.3899,92600
1987-12-15,1.3728,1.4153,1.3728,1.4071,67800
1987-12-16,1.4153,1.4325,1.3899,1.3899,131800
1987-12-17,1.3899,1.4757,1.3899,1.4325,295600
1987-12-18,1.4503,1.4929,1.4325,1.4929,198800
1987-12-21,1.4929,1.5272,1.4325,1.4668,109400
1987-12-22,1.4847,1.4847,1.4503,1.4847,114200
1987-12-23,1.4586,1.5615,1.4243,1.5272,135200
1987-12-24,1.5444,1.5444,1.4929,1.5101,135800
1987-12-28,1.4929,1.5698,1.4586,1.5526,76800
1987-12-29,1.5361,1.5444,1.4929,1.4929,46800
1987-12-30,1.4757,1.5361,1.4586,1.5101,73800
1987-12-31,1.5101,1.5101,1.4414,1.4586,53600
1988-01-04,1.4414,1.5272,1.4414,1.5018,67800
1988-01-05,1.5183,1.5526,1.5183,1.5526,158400
1988-01-06,1.5787,1.5787,1.5272,1.5444,214800
1988-01-07,1.5272,1.5698,1.5272,1.5698,86000
1988-01-08,1.5615,1.5615,1.4929,1.4929,30600
1988-01-11,1.4929,1.5101,1.4757,1.4929,28800
1988-01-12,1.4757,1.4929,1.4325,1.4668,98400
1988-01-13,1.4503,1.4503,1.3899,1.4414,82400
1988-01-14,1.4586,1.4757,1.3899,1.4153,169000
1988-01-15,1.4153,1.4325,1.3989,1.4243,177800
1988-01-18,1.4414,1.4586,1.4243,1.4586,31200
1988-01-19,1.4668,1.5101,1.4668,1.5101,41400
1988-01-20,1.4929,1.5272,1.4668,1.4847,175800
1988-01-21,1.4757,1.4757,1.4586,1.4668,73200
1988-01-22,1.4847,1.4929,1.4847,1.4929,15000
1988-01-25,1.4847,1.5101,1.4668,1.4847,32000
1988-01-26,1.4757,1.5018,1.4757,1.4847,32000
1988-01-27,1.5018,1.5526,1.5018,1.5101,249600
1988-01-28,1.5272,1.5272,1.5101,1.5272,21200
1988-01-29,1.5361,1.5526,1.4929,1.5361,55600
1988-02-01,1.5526,1.5526,1.5101,1.5361,87000
1988-02-02,1.5361,1.5361,1.5018,1.5101,32400
1988-02-03,1.5018,1.5101,1.4929,1.4929,97800
1988-02-04,1.4929,1.4929,1.4503,1.4668,13800
1988-02-05,1.4503,1.4757,1.4503,1.4668,41400
1988-02-08,1.4847,1.4847,1.4503,1.4586,21800
1988-02-09,1.4503,1.4586,1.4071,1.4243,83800
1988-02-10,1.4243,1.4414,1.4071,1.4414,108600
1988-02-11,1.4503,1.4757,1.4414,1.4586,123800
1988-02-12,1.4243,1.4847,1.4243,1.4757,102600
1988-02-16,1.4586,1.4757,1.4414,1.4414,60600
1988-02-17,1.4668,1.4847,1.4586,1.4847,27600
1988-02-18,1.4757,1.4929,1.4757,1.4757,8600
1988-02-19,1.4757,1.4929,1.4668,1.4847,23000
1988-02-22,1.5018,1.5018,1.4668,1.4847,37800
1988-02-23,1.4668,1.4929,1.4586,1.4757,62400
1988-02-24,1.5164,1.5164,1.4899,1.5080,57800
1988-02-25,1.5164,1.5164,1.5080,1.5164,87000
1988-02-26,1.5080,1.5338,1.5080,1.5164,60000
1988-02-29,1.4989,1.5164,1.4899,1.4989,49800
1988-03-01,1.5080,1.5164,1.4815,1.4815,69600
1988-03-02,1.4989,1.4989,1.4815,1.4815,269800
1988-03-03,1.4641,1.4815,1.4467,1.4467,105600
1988-03-04,1.4467,1.5080,1.4376,1.5080,93800
1988-03-07,1.5254,1.5338,1.4989,1.5164,327400
1988-03-08,1.5164,1.5687,1.5164,1.5338,126400
1988-03-09,1.5338,1.5512,1.5080,1.5338,166200
1988-03-10,1.5338,1.5512,1.5080,1.5338,193600
1988-03-11,1.5164,1.5422,1.5080,1.5254,90600
1988-03-14,1.5080,1.5512,1.5080,1.5512,82600
1988-03-15,1.5512,1.5687,1.5422,1.5422,48600
1988-03-16,1.5338,1.5422,1.5254,1.5338,78200
1988-03-17,1.5080,1.5512,1.5080,1.5512,114800
1988-03-18,1.5338,1.5687,1.5254,1.5603,81600
1988-03-21,1.5338,1.5422,1.5164,1.5164,71800
