date,open,high,low,close,volume
2011-02-11,19.5084,19.7792,18.9237,19.1084,50610600
2011-02-14,19.1084,19.2622,18.8930,18.8930,6275900
2011-02-15,19.0161,19.1699,18.9114,19.0407,4337800
2011-02-16,19.1084,19.3484,18.8684,18.9053,4627100
2011-02-17,18.8807,19.1330,18.7760,18.8007,3290700
2011-02-18,18.8622,19.3176,18.7083,19.3053,2583800
2011-02-22,19.1638,19.3422,18.8991,18.9053,2454300
2011-02-23,18.9299,19.0161,18.6160,18.7207,2671200
2011-02-24,18.8007,18.8622,18.6468,18.7453,1698000
2011-02-25,18.7884,18.9237,18.6468,18.7699,2225900
2011-02-28,18.8130,18.9484,18.7207,18.7699,2380400
2011-03-01,18.8622,18.9422,18.6037,18.7391,1908000
2011-03-02,18.8130,18.8868,18.6222,18.8130,2197000
2011-03-03,18.8807,18.9360,18.7884,18.9360,1901800
2011-03-04,18.9545,19.0402,18.8684,18.9853,892300
2011-03-07,19.0407,19.1022,18.8930,19.0161,1049600
2011-03-08,18.9545,19.1022,18.9545,19.0591,827400
2011-03-09,19.0161,19.0653,18.9176,18.9237,294100
2011-03-10,18.8991,18.8991,18.3083,18.5237,2715200
2011-03-11,18.5237,18.7576,18.4437,18.5237,1896900
2011-03-14,18.4622,18.5976,18.3391,18.4560,1967700
2011-03-15,18.3453,18.5853,18.2160,18.3883,1968400
2011-03-16,18.3945,18.5607,18.3145,18.4930,2062200
2011-03-17,18.5853,18.7145,18.4991,18.5545,1511400
2011-03-18,18.5914,18.7699,18.5114,18.7699,1906600
2011-03-21,18.7884,19.0776,18.7083,18.9668,1253000
2011-03-22,19.0161,19.0653,18.8130,18.8930,1014700
2011-03-23,18.7884,18.8745,18.4314,18.4745,2570500
2011-03-24,18.5237,18.6160,18.4006,18.4930,1411600
2011-03-25,18.4683,18.5175,18.1545,18.1668,2687100
2011-03-28,18.3022,18.4191,18.1914,18.2283,1552900
2011-03-29,18.3083,18.3912,18.1791,18.3330,1313800
2011-03-30,18.3822,18.3945,18.2037,18.2714,769700
2011-03-31,18.3391,18.3822,18.1606,18.2406,884400
2011-04-01,18.3330,18.3699,18.1483,18.1545,1869200
2011-04-04,18.1176,18.2776,18.0006,18.1176,1177900
2011-04-05,18.1483,18.2406,17.8468,18.1176,1021200
2011-04-06,18.1299,18.1483,17.9760,18.1299,725100
2011-04-07,18.1668,18.1914,17.9268,17.9822,1226100
2011-04-08,17.9822,18.1053,17.9206,18.0499,934800
2011-04-11,18.0314,18.0991,17.8899,18.0006,1160900
2011-04-12,17.9083,17.9945,17.3975,17.6806,1278100
2011-04-13,17.6868,17.8591,17.6375,17.7422,2766900
2011-04-14,17.7175,17.9452,17.5822,17.9206,785800
2011-04-15,17.9145,17.9391,17.6560,17.7729,863900
2011-04-18,17.7175,17.7483,17.3729,17.5514,882400
2011-04-19,17.5945,17.7606,17.5575,17.7114,1121200
2011-04-20,17.8345,18.2160,17.7175,18.1237,2054000
2011-04-21,18.0437,18.4191,17.8899,18.2345,1516900
2011-04-25,18.3453,18.3453,17.8899,18.0683,604100
2011-04-26,18.1791,18.2093,17.8776,17.9206,1100000
2011-04-27,18.0314,18.1483,17.6929,17.7606,1479600
2011-04-28,17.8345,17.9025,17.7417,17.8283,1041000
2011-04-29,17.9582,18.1128,17.5315,17.6737,1843400
