date,open,high,low,close,volume
1977-01-03,0.6875,0.6875,0.6800,0.6838,156800
1977-01-04,0.6838,0.6909,0.6800,0.6875,220800
1977-01-05,0.6909,0.6981,0.6909,0.6981,134400
1977-01-06,0.6981,0.7125,0.6981,0.7125,268800
1977-01-07,0.7053,0.7053,0.7019,0.7019,169600
1977-01-10,0.7019,0.7053,0.6909,0.6981,297600
1977-01-11,0.6981,0.7053,0.6944,0.7019,160000
1977-01-12,0.6981,0.6981,0.6944,0.6981,89600
1977-01-13,0.6981,0.7019,0.6944,0.6944,176000
1977-01-14,0.6944,0.7019,0.6909,0.6981,956800
1977-01-17,0.6981,0.7053,0.6981,0.7019,163200
1977-01-18,0.7019,0.7053,0.6944,0.7053,179200
1977-01-19,0.6981,0.6981,0.6909,0.6944,137600
1977-01-20,0.6944,0.6981,0.6875,0.6875,288000
1977-01-21,0.6875,0.7019,0.6875,0.6944,560000
1977-01-24,0.6944,0.6944,0.6875,0.6909,694400
1977-01-25,0.6909,0.6944,0.6875,0.6909,736000
1977-01-26,0.6909,0.6944,0.6909,0.6909,294400
1977-01-27,0.6909,0.6981,0.6909,0.6981,512000
1977-01-28,0.6944,0.6944,0.6909,0.6909,124800
1977-01-31,0.6909,0.7019,0.6909,0.6981,390400
1977-02-01,0.6981,0.7019,0.6981,0.6981,176000
1977-02-02,0.6981,0.7019,0.6981,0.6981,131200
1977-02-03,0.6981,0.7088,0.6944,0.7053,665600
1977-02-04,0.7053,0.7088,0.7019,0.7088,1564800
1977-02-07,0.7088,0.7088,0.7019,0.7053,134400
1977-02-08,0.7053,0.7053,0.6981,0.6981,124800
1977-02-09,0.6981,0.7019,0.6981,0.7019,163200
1977-02-10,0.7019,0.7125,0.7019,0.7088,428800
1977-02-11,0.7088,0.7197,0.7053,0.7163,1244800
1977-02-14,0.7163,0.7341,0.7163,0.7341,540800
1977-02-15,0.7341,0.7413,0.7269,0.7341,438400
1977-02-16,0.7341,0.7413,0.7307,0.7341,1881600
1977-02-17,0.7341,0.7341,0.7307,0.7341,150400
1977-02-18,0.7341,0.7413,0.7269,0.7413,396800
1977-02-22,0.7413,0.7451,0.7341,0.7376,553600
1977-02-23,0.7376,0.7557,0.7341,0.7485,1315200
1977-02-24,0.7485,0.7917,0.7451,0.7845,4403200
1977-02-25,0.7773,0.7773,0.7595,0.7664,435200
1977-02-28,0.7664,0.7664,0.7629,0.7629,528000
1977-03-01,0.7629,0.7701,0.7557,0.7701,998400
1977-03-02,0.7701,0.7701,0.7557,0.7557,240000
1977-03-03,0.7557,0.7629,0.7557,0.7557,281600
1977-03-04,0.7557,0.7629,0.7520,0.7595,377600
1977-03-07,0.7595,0.7664,0.7557,0.7557,185600
1977-03-08,0.7557,0.7629,0.7485,0.7557,188800
1977-03-09,0.7520,0.7520,0.7451,0.7520,1148800
1977-03-10,0.7520,0.7557,0.7413,0.7520,211200
1977-03-11,0.7520,0.7629,0.7520,0.7557,275200
1977-03-14,0.7557,0.7629,0.7485,0.7520,291200
1977-03-15,0.7520,0.7557,0.7485,0.7485,147200
1977-03-16,0.7451,0.7451,0.7341,0.7376,480000
1977-03-17,0.7376,0.7451,0.7341,0.7413,339200
1977-03-18,0.7413,0.7595,0.7413,0.7520,275200
1977-03-21,0.7520,0.7557,0.7485,0.7557,457600
1977-03-22,0.7557,0.7595,0.7485,0.7485,217600
1977-03-23,0.7485,0.7557,0.7413,0.7413,1177600
1977-03-24,0.7413,0.7451,0.7341,0.7341,172800
1977-03-25,0.7307,0.7307,0.7232,0.7307,172800
1977-03-28,0.7307,0.7376,0.7163,0.7197,188800
1977-03-29,0.7197,0.7307,0.7197,0.7307,358400
1977-03-30,0.7307,0.7307,0.7232,0.7269,131200
1977-03-31,0.7269,0.7307,0.7232,0.7232,115200
1977-04-01,0.7232,0.7269,0.7232,0.7269,96000
1977-04-04,0.7269,0.7307,0.7232,0.7232,112000
1977-04-05,0.7232,0.7269,0.7232,0.7232,134400
1977-04-06,0.7232,0.7341,0.7232,0.7341,361600
1977-04-07,0.7341,0.7376,0.7269,0.7341,115200
1977-04-11,0.7341,0.7376,0.7269,0.7269,60800
1977-04-12,0.7269,0.7520,0.7232,0.7520,275200
1977-04-13,0.7520,0.7520,0.7376,0.7520,304000
1977-04-14,0.7520,0.7557,0.7451,0.7485,211200
1977-04-15,0.7485,0.7520,0.7413,0.7520,611200
1977-04-18,0.7485,0.7485,0.7413,0.7485,256000
1977-04-19,0.7413,0.7413,0.7413,0.7413,508800
1977-04-20,0.7413,0.7451,0.7376,0.7376,76800
1977-04-21,0.7376,0.7451,0.7341,0.7341,102400
1977-04-22,0.7341,0.7376,0.7307,0.7376,291200
1977-04-25,0.7269,0.7269,0.7232,0.7232,163200
1977-04-26,0.7232,0.7232,0.7163,0.7163,252800
1977-04-27,0.7163,0.7197,0.7088,0.7197,188800
1977-04-28,0.7197,0.7197,0.7125,0.7197,204800
1977-04-29,0.7197,0.7269,0.7197,0.7232,137600
1977-05-02,0.7232,0.7341,0.7232,0.7341,220800
1977-05-03,0.7341,0.7376,0.7341,0.7376,51200
1977-05-04,0.7376,0.7376,0.7307,0.7307,102400
1977-05-05,0.7307,0.7485,0.7307,0.7376,326400
1977-05-06,0.7307,0.7307,0.7307,0.7307,137600
1977-05-09,0.7307,0.7341,0.7269,0.7307,860800
1977-05-10,0.7341,0.7413,0.7341,0.7376,227200
1977-05-11,0.7413,0.7557,0.7413,0.7451,729600
1977-05-12,0.7451,0.7520,0.7413,0.7413,211200
1977-05-13,0.7413,0.7557,0.7413,0.7485,140800
1977-05-16,0.7485,0.7557,0.7485,0.7557,137600
1977-05-17,0.7557,0.7557,0.7520,0.7520,156800
1977-05-18,0.7520,0.7557,0.7520,0.7520,947200
1977-05-19,0.7520,0.7595,0.7485,0.7485,86400
1977-05-20,0.7485,0.7485,0.7413,0.7413,105600
1977-05-23,0.7376,0.7376,0.7232,0.7269,233600
1977-05-24,0.7269,0.7376,0.7125,0.7125,102400
1977-05-25,0.7125,0.7163,0.7088,0.7088,147200
1977-05-26,0.7088,0.7125,0.7053,0.7125,86400
1977-05-27,0.7088,0.7088,0.7053,0.7088,108800
1977-05-31,0.7088,0.7088,0.6981,0.7053,185600
1977-06-01,0.7053,0.7088,0.7053,0.7088,355200
1977-06-02,0.7088,0.7163,0.7088,0.7088,160000
1977-06-03,0.7088,0.7232,0.7088,0.7163,169600
1977-06-06,0.7163,0.7341,0.7163,0.7269,457600
1977-06-07,0.7269,0.7269,0.7232,0.7232,166400
1977-06-08,0.7232,0.7269,0.7232,0.7232,128000
1977-06-09,0.7232,0.7307,0.7232,0.7269,92800
1977-06-10,0.7269,0.7307,0.7269,0.7269,220800
1977-06-13,0.7269,0.7307,0.7269,0.7269,86400
1977-06-14,0.7269,0.7376,0.7269,0.7376,428800
1977-06-15,0.7376,0.7451,0.7376,0.7451,195200
1977-06-16,0.7451,0.7520,0.7413,0.7413,169600
1977-06-17,0.7413,0.7485,0.7413,0.7485,211200
1977-06-20,0.7485,0.7485,0.7451,0.7451,121600
1977-06-21,0.7451,0.7485,0.7413,0.7413,121600
1977-06-22,0.7413,0.7451,0.7376,0.7376,115200
1977-06-23,0.7376,0.7413,0.7341,0.7341,67200
1977-06-24,0.7341,0.7376,0.7341,0.7376,310400
1977-06-27,0.7376,0.7376,0.7341,0.7376,118400
1977-06-28,0.7341,0.7341,0.7232,0.7269,329600
1977-06-29,0.7269,0.7376,0.7269,0.7376,99200
1977-06-30,0.7413,0.7485,0.7413,0.7485,172800
1977-07-01,0.7485,0.7520,0.7413,0.7485,192000
1977-07-05,0.7485,0.7664,0.7413,0.7485,179200
1977-07-06,0.7485,0.7485,0.7341,0.7341,3395200
1977-07-07,0.7413,0.7739,0.7413,0.7739,1395200
1977-07-08,0.7739,0.7808,0.7739,0.7808,1366400
1977-07-11,0.7845,0.7917,0.7845,0.7917,300800
1977-07-12,0.7952,0.8133,0.7952,0.8133,537600
1977-07-13,0.8096,0.8096,0.7989,0.8027,620800
1977-07-15,0.8027,0.8096,0.7989,0.8096,374400
1977-07-18,0.8096,0.8133,0.8096,0.8133,489600
1977-07-19,0.8133,0.8205,0.8133,0.8205,860800
1977-07-20,0.8205,0.8277,0.8205,0.8240,755200
1977-07-21,0.8170,0.8170,0.8061,0.8133,592000
1977-07-22,0.8133,0.8133,0.8061,0.8133,224000
1977-07-25,0.8027,0.8027,0.7883,0.7989,294400
1977-07-26,0.7989,0.8096,0.7989,0.8096,227200
1977-07-27,0.8096,0.8133,0.7989,0.7989,454400
1977-07-28,0.7989,0.8096,0.7989,0.7989,268800
1977-07-29,0.7989,0.8061,0.7989,0.8027,227200
1977-08-01,0.8027,0.8027,0.7952,0.7989,121600
1977-08-02,0.7989,0.8061,0.7989,0.8027,259200
1977-08-03,0.8027,0.8027,0.7989,0.7989,147200
1977-08-04,0.7989,0.7989,0.7952,0.7952,236800
1977-08-05,0.7952,0.8061,0.7952,0.7952,214400
1977-08-08,0.7952,0.8027,0.7952,0.7989,172800
1977-08-09,0.7989,0.8027,0.7952,0.7952,240000
1977-08-10,0.7952,0.8421,0.7952,0.8421,224000
1977-08-11,0.8170,0.8170,0.8061,0.8061,227200
1977-08-12,0.8027,0.8027,0.7917,0.7917,409600
1977-08-15,0.7917,0.7989,0.7883,0.7952,169600
1977-08-16,0.7952,0.7989,0.7917,0.7917,220800
1977-08-17,0.7917,0.7917,0.7845,0.7917,153600
1977-08-18,0.7917,0.7952,0.7845,0.7952,278400
1977-08-19,0.7952,0.7989,0.7917,0.7952,166400
1977-08-22,0.7952,0.8027,0.7917,0.7952,489600
1977-08-23,0.7952,0.7989,0.7952,0.7952,476800
1977-08-24,0.7952,0.7989,0.7883,0.7883,361600
1977-08-25,0.7883,0.7883,0.7739,0.7739,422400
1977-08-26,0.7701,0.7701,0.7664,0.7701,137600
1977-08-29,0.7664,0.7664,0.7629,0.7629,128000
1977-08-30,0.7629,0.7701,0.7557,0.7664,160000
1977-08-31,0.7664,0.7739,0.7629,0.7739,156800
